case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite/local/k3/all/ikea2-raw,1414.374068705121,1413.5704750025282,1414.7612513906213,overwrite/local/k3/all/prior,1.0001176335457542
overwrite/local/k3/all/ikea2-coverage,1415.1903029077791,1415.0350753057712,1415.2848815660896,overwrite/local/k3/all/prior,1.0006948006737748
overwrite/local/k3/all/ikea2-sum-coverage,3546.5097210481845,3546.462130177516,3546.753000845309,overwrite/local/k3/all/prior,2.5077714503129878
overwrite/local/k3/prefilter75/ikea2-raw,4227.090212680181,4226.838221953438,4228.867251285148,,
overwrite/local/k3/prefilter75/ikea2-coverage,4215.581346211892,4215.569976858848,4215.884495422079,,
overwrite/local/k3/prefilter75/ikea2-sum-coverage,4354.492785217484,4354.483857572927,4354.846984324717,,
overwrite/local/k7/all/ikea2-raw,1478.9073050519205,1478.619890864284,1479.0429149797608,overwrite/local/k7/all/prior,1.0406622417397395
overwrite/local/k7/all/ikea2-coverage,1478.903894914779,1478.8188125088038,1478.9498520918403,overwrite/local/k7/all/prior,1.0406598421296016
overwrite/local/k7/all/ikea2-sum-coverage,3485.5490033222686,3485.2650332226,3485.789617940199,overwrite/local/k7/all/prior,2.452675179235607
overwrite/local/k7/prefilter75/ikea2-raw,4009.6895003343666,4009.235215439005,4009.8186681952798,,
overwrite/local/k7/prefilter75/ikea2-coverage,3980.7053690001812,3980.4720166951647,3980.867482451136,,
overwrite/local/k7/prefilter75/ikea2-sum-coverage,4335.739571472936,4335.721250388163,4336.042231653032,,
overwrite/local/k12/all/ikea2-raw,2050.4595293887937,2050.2874926772015,2050.519869166187,overwrite/local/k12/all/ikea,1.2796413382078402
overwrite/local/k12/all/ikea2-coverage,3539.0521739130436,3539.0254115660596,3539.496074292975,overwrite/local/k12/all/ikea,2.2086353789988653
overwrite/local/k12/all/ikea2-sum-coverage,5176.820430769223,5172.5784615384255,5179.012184615426,overwrite/local/k12/all/ikea,3.2307262487964623
overwrite/local/k12/prefilter75/ikea2-raw,6285.573035392944,6285.428914217176,6287.432813437302,,
overwrite/local/k12/prefilter75/ikea2-coverage,6260.776384535006,6259.550679205864,6262.267502612338,,
overwrite/local/k12/prefilter75/ikea2-sum-coverage,7017.585716674983,7017.3830071918055,7017.91537046326,,
overwrite/local/k31/all/ikea2-raw,2482.7450493586334,2482.030797422705,2483.3861204705217,overwrite/local/k31/all/ikea,1.2676569454854703
overwrite/local/k31/all/ikea2-coverage,3714.598053958438,3714.110659000431,3715.305086245006,overwrite/local/k31/all/ikea,1.8966248765670308
overwrite/local/k31/all/ikea2-sum-coverage,6972.08732676576,6971.334112539644,6976.4194356320095,overwrite/local/k31/all/ikea,3.5598560257280596
overwrite/local/k31/prefilter75/ikea2-raw,8141.451688009325,8141.15327900656,8141.608071400879,,
overwrite/local/k31/prefilter75/ikea2-coverage,7866.376523532727,7865.045940371272,7868.426964185298,,
overwrite/local/k31/prefilter75/ikea2-sum-coverage,8733.949833472181,8732.78601165687,8735.055578684476,,
overwrite/local/k56/all/ikea2-raw,1467.0066499547397,1466.5437295453094,1468.1503029036999,overwrite/local/k56/all/prior,0.6940851345564187
overwrite/local/k56/all/ikea2-coverage,3693.4349396529406,3691.9722491410375,3696.679411505547,overwrite/local/k56/all/prior,1.74747557357254
overwrite/local/k56/all/ikea2-sum-coverage,4329.507614735623,4326.25756328459,4332.062049804433,overwrite/local/k56/all/prior,2.04842075898533
overwrite/local/k56/prefilter75/ikea2-raw,2961.9811987560233,2960.244486853283,2964.8141080011305,,
overwrite/local/k56/prefilter75/ikea2-coverage,4167.8004172462415,4166.550466918308,4169.252334591717,,
overwrite/local/k56/prefilter75/ikea2-sum-coverage,6091.569430425445,6086.783273251678,6095.889113193974,,
overwrite/local/k64/all/ikea2-raw,1298.6282244891713,1297.9158936111198,1299.8554874102322,overwrite/local/k64/all/ikea,0.9921286793457353
overwrite/local/k64/all/ikea2-coverage,3816.071649672292,3815.9288055353527,3816.234249817908,overwrite/local/k64/all/ikea,2.9154103188904186
overwrite/local/k64/all/ikea2-sum-coverage,4186.959853291039,4182.362509912728,4187.818992862842,overwrite/local/k64/all/ikea,3.198762256498215
overwrite/local/k64/prefilter75/ikea2-raw,2054.7184760785535,2053.1716860094825,2055.43367122079,,
overwrite/local/k64/prefilter75/ikea2-coverage,3931.4180727408766,3930.916479190113,3933.512373453314,,
overwrite/local/k64/prefilter75/ikea2-sum-coverage,4430.769328129907,4426.636747178624,4431.485075413964,,
overwrite/striped/k3/all/ikea2-raw,172.42831504418888,172.3640634753766,172.53039474981222,overwrite/striped/k3/all/prior,1.3659745715263054
overwrite/striped/k3/all/ikea2-coverage,224.5995080871538,224.58662745622013,225.27234326961437,overwrite/striped/k3/all/prior,1.779273994214609
overwrite/striped/k3/all/ikea2-sum-coverage,768.9936769179953,768.9372273743744,769.1858619552146,overwrite/striped/k3/all/prior,6.091956579551915
overwrite/striped/k3/prefilter75/ikea2-raw,409.2431382880146,409.01684083169704,409.3194684307597,,
