case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite/local/k3/all/ikea2-raw,0,1414.7612513906213,1414.7232916309126,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea2-raw,1,1413.5704750025282,1413.5313690371609,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea2-raw,2,1414.374068705121,1414.3356369833377,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea2-coverage,0,1415.1903029077791,1415.15216147347,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-coverage,1,1415.0350753057712,1414.9961925859086,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-coverage,2,1415.2848815660896,1415.4123117395538,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-sum-coverage,0,3546.462130177516,3546.3642434279086,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-sum-coverage,1,3546.5097210481845,3546.4152155702786,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-sum-coverage,2,3546.753000845309,3546.9072696173403,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea,0,1415.9890098776257,1415.9504433086204,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea,1,1415.7791187674866,1415.7398105383927,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea,2,1415.6920405892865,1415.6550584821769,8192.0,8192.0,0.0
overwrite/local/k3/all/prior,0,1414.2077104377095,1414.1690235651413,8192.0,8192.0,0.0
overwrite/local/k3/all/prior,1,1413.9464983164983,1413.9086531922474,8192.0,8192.0,0.0
overwrite/local/k3/all/prior,2,1415.974680134681,1416.5644107786475,8192.0,8192.0,0.0
overwrite/local/k3/prefilter75/ikea2-raw,0,4227.090212680181,4226.967039622925,8192.0,6144.0,0.0
overwrite/local/k3/prefilter75/ikea2-raw,1,4226.838221953438,4226.726438900455,8192.0,6144.0,0.0
overwrite/local/k3/prefilter75/ikea2-raw,2,4228.867251285148,4229.055437977576,8192.0,6144.0,0.0
overwrite/local/k3/prefilter75/ikea2-coverage,0,4215.581346211892,4215.465942254024,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-coverage,1,4215.569976858848,4215.454170433225,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-coverage,2,4215.884495422079,4216.189556288085,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-sum-coverage,0,4354.846984324717,4354.723346861012,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-sum-coverage,1,4354.483857572927,4354.367071501336,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-sum-coverage,2,4354.492785217484,4354.379528689667,8192.0,6144.0,1.0
overwrite/local/k7/all/ikea2-raw,0,1478.9073050519205,1478.8666784047314,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea2-raw,1,1479.0429149797608,1479.002077095086,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea2-raw,2,1478.619890864284,1478.5801091275537,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea2-coverage,0,1478.903894914779,1478.8649457647819,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-coverage,1,1478.8188125088038,1478.7792294763847,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-coverage,2,1478.9498520918403,1478.91048036202,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-sum-coverage,0,3485.5490033222686,3485.6565614676965,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-sum-coverage,1,3485.789617940199,3485.6931893650158,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-sum-coverage,2,3485.2650332226,3485.1676079757526,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea,0,1479.4368788327315,1479.3976527802758,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea,1,1480.514308874324,1480.4744836890154,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea,2,1478.8290688658656,1478.7904419481722,8192.0,8192.0,0.0
overwrite/local/k7/all/prior,0,1421.3207227363673,1421.583104510712,8192.0,8192.0,0.0
overwrite/local/k7/all/prior,1,1421.0008813858146,1420.963083498354,8192.0,8192.0,0.0
overwrite/local/k7/all/prior,2,1421.1213261466462,1421.0831214603795,8192.0,8192.0,0.0
overwrite/local/k7/prefilter75/ikea2-raw,0,4009.235215439005,4009.1288812212456,8192.0,6144.0,0.0
overwrite/local/k7/prefilter75/ikea2-raw,1,4009.6895003343666,4009.805006203686,8192.0,6144.0,0.0
overwrite/local/k7/prefilter75/ikea2-raw,2,4009.8186681952798,4009.712238482684,8192.0,6144.0,0.0
overwrite/local/k7/prefilter75/ikea2-coverage,0,3980.867482451136,3980.7629482088723,8192.0,6144.0,1.0
overwrite/local/k7/prefilter75/ikea2-coverage,1,3980.7053690001812,3980.5960918208525,8192.0,6144.0,1.0
overwrite/local/k7/prefilter75/ikea2-coverage,2,3980.4720166951647,3980.3655852545107,8192.0,6144.0,1.0
overwrite/local/k7/prefilter75/ikea2-sum-coverage,0,4336.042231653032,4335.923299861981,8192.0,6144.0,1.0
overwrite/local/k7/prefilter75/ikea2-sum-coverage,1,4335.721250388163,4335.600248445359,8192.0,6144.0,1.0
overwrite/local/k7/prefilter75/ikea2-sum-coverage,2,4335.739571472936,4335.619501095392,8192.0,6144.0,1.0
overwrite/local/k12/all/ikea2-raw,0,2050.4595293887937,2050.510740087822,8192.0,8192.0,0.0
overwrite/local/k12/all/ikea2-raw,1,2050.2874926772015,2050.2306678455684,8192.0,8192.0,0.0
overwrite/local/k12/all/ikea2-raw,2,2050.519869166187,2050.463630158161,8192.0,8192.0,0.0
overwrite/local/k12/all/ikea2-coverage,0,3539.0521739130436,3538.9547488545068,8192.0,8192.0,1.0
overwrite/local/k12/all/ikea2-coverage,1,3539.0254115660596,3538.9338961642275,8192.0,8192.0,1.0
overwrite/local/k12/all/ikea2-coverage,2,3539.496074292975,3539.399409029985,8192.0,8192.0,1.0
overwrite/local/k12/all/ikea2-sum-coverage,0,5172.5784615384255,5173.000369205301,8192.0,8192.0,1.0
overwrite/local/k12/all/ikea2-sum-coverage,1,5176.820430769223,5176.6754461613555,8192.0,8192.0,1.0
