case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite/local/k3/all/ikea2-raw,49.36225257233044,49.2926770465448,49.97335525503384,overwrite/local/k3/all/prior,0.8545617371742075
overwrite/local/k3/all/ikea2-coverage,157.26643196708926,151.43935329358547,157.37704523061214,overwrite/local/k3/all/prior,2.722604182296137
overwrite/local/k3/all/ikea2-sum-coverage,1272.4919208424103,1267.756112321472,1272.764282256112,overwrite/local/k3/all/prior,22.029442534492016
overwrite/local/k3/prefilter75/ikea2-raw,1455.3823834914476,1455.0115642961025,1455.5693511529685,,
overwrite/local/k3/prefilter75/ikea2-coverage,1443.0400302374328,1442.9060234340084,1443.093289351614,,
overwrite/local/k3/prefilter75/ikea2-sum-coverage,1603.0122882002686,1602.0436956189901,1603.6984429858007,,
overwrite/local/k7/all/ikea2-raw,55.800410342101614,55.70984027856727,55.959655862577726,overwrite/local/k7/all/prior,0.9575383541250768
overwrite/local/k7/all/ikea2-coverage,152.215931083657,152.19072044935362,152.4144511866818,overwrite/local/k7/all/prior,2.612034413866849
overwrite/local/k7/all/ikea2-sum-coverage,961.2951611426466,960.7282091192094,961.9722578282391,overwrite/local/k7/all/prior,16.495882033584746
overwrite/local/k7/prefilter75/ikea2-raw,1301.4375484150794,1300.6185975893145,1301.4493229634677,,
overwrite/local/k7/prefilter75/ikea2-coverage,1302.229958459917,1300.8457746915478,1302.6602393204796,,
overwrite/local/k7/prefilter75/ikea2-sum-coverage,1275.9538540939363,1274.6049971158866,1278.6818968396185,,
overwrite/local/k12/all/ikea2-raw,347.7576562822358,347.70978337115747,347.79479265524793,overwrite/local/k12/all/ikea,0.9889952340862728
overwrite/local/k12/all/ikea2-coverage,1167.6655179122401,1167.5799449709573,1168.0874350351592,overwrite/local/k12/all/ikea,3.3207482606359955
overwrite/local/k12/all/ikea2-sum-coverage,1270.6014746766548,1270.0783875256936,1271.8718421370747,overwrite/local/k12/all/ikea,3.613489969745901
overwrite/local/k12/prefilter75/ikea2-raw,654.6012367656707,654.5640713326436,654.9814797463993,,
overwrite/local/k12/prefilter75/ikea2-coverage,1168.7330812433859,1168.3076794750539,1169.1431629872668,,
overwrite/local/k12/prefilter75/ikea2-sum-coverage,1276.4442892283396,1276.1439460657691,1276.9262352333783,,
overwrite/local/k31/all/ikea2-raw,704.2683004509147,704.0014415743359,704.3438825284586,overwrite/local/k31/all/ikea,1.0576364045749
overwrite/local/k31/all/ikea2-coverage,1365.2061312158278,1364.9073808903863,1367.6908357198652,overwrite/local/k31/all/ikea,2.0502011849720505
overwrite/local/k31/all/ikea2-sum-coverage,3508.5533411488727,3507.1138837715575,3510.675263774906,overwrite/local/k31/all/ikea,5.268977374980653
overwrite/local/k31/prefilter75/ikea2-raw,5355.666751918137,5355.447953964186,5358.095140664947,,
overwrite/local/k31/prefilter75/ikea2-coverage,5388.5551423441975,5388.4693511156975,5389.487560913044,,
overwrite/local/k31/prefilter75/ikea2-sum-coverage,5475.375570925321,5474.771499412717,5489.606420462045,,
overwrite/local/k56/all/ikea2-raw,597.6750209686829,597.2003468717637,598.2918556217286,overwrite/local/k56/all/prior,0.9803779343849419
overwrite/local/k56/all/ikea2-coverage,1185.9933389782693,1184.9752469658436,1186.8632232571317,overwrite/local/k56/all/prior,1.9454078873454215
overwrite/local/k56/all/ikea2-sum-coverage,2952.7402195328,2952.443287362795,2953.92794821282,overwrite/local/k56/all/prior,4.843437078078237
overwrite/local/k56/prefilter75/ikea2-raw,2984.9615521284695,2984.1869092459815,2986.9855020964906,,
overwrite/local/k56/prefilter75/ikea2-coverage,3051.1270613875545,3045.4270250635946,3053.5418815837397,,
overwrite/local/k56/prefilter75/ikea2-sum-coverage,3411.670787247884,3410.0352960312,3415.244225764492,,
overwrite/local/k64/all/ikea2-raw,638.6836871236517,638.5507876649787,638.8243415850687,overwrite/local/k64/all/ikea,1.3362831137916398
overwrite/local/k64/all/ikea2-coverage,1181.191651919892,1180.7360467402368,1182.7668885705546,overwrite/local/k64/all/ikea,2.471342998786531
overwrite/local/k64/all/ikea2-sum-coverage,1196.879742508829,1196.7672040560533,1197.8228324028814,overwrite/local/k64/all/ikea,2.5041663367929257
overwrite/local/k64/prefilter75/ikea2-raw,714.0532338816773,713.9163005347343,714.1061952930842,,
overwrite/local/k64/prefilter75/ikea2-coverage,1181.9233306085555,1181.6101699692688,1184.5656058855097,,
overwrite/local/k64/prefilter75/ikea2-sum-coverage,1279.292412072536,1277.8347937203373,1280.0850066934397,,
overwrite/striped/k3/all/ikea2-raw,43.093668713520394,43.08077579251412,43.10795768329776,overwrite/striped/k3/all/prior,1.0535244101985957
overwrite/striped/k3/all/ikea2-coverage,60.67091367582958,60.54907823051414,60.67942641613784,overwrite/striped/k3/all/prior,1.4832408206285828
overwrite/striped/k3/all/ikea2-sum-coverage,214.50335262004742,214.43916513887925,214.50422588437044,overwrite/striped/k3/all/prior,5.24403061519233
overwrite/striped/k3/prefilter75/ikea2-raw,75.15987578371828,75.02392717025829,75.22605541874718,,
overwrite/striped/k3/prefilter75/ikea2-coverage,90.69840663952257,90.3163148683882,90.99426542019347,,
overwrite/striped/k3/prefilter75/ikea2-sum-coverage,334.4853482360683,334.4746382355054,334.8189687799468,,
overwrite/striped/k7/all/ikea2-raw,51.261693543968185,51.23998144181537,51.27432017252693,overwrite/striped/k7/all/prior,1.0119368860743834
overwrite/striped/k7/all/ikea2-coverage,70.5015409429037,70.3492870838535,70.60420354500452,overwrite/striped/k7/all/prior,1.3917431296727485
overwrite/striped/k7/all/ikea2-sum-coverage,239.1882531235919,239.08399660435626,239.26978845594996,overwrite/striped/k7/all/prior,4.72172102242103
overwrite/striped/k7/prefilter75/ikea2-raw,90.2517113727905,90.24361617150518,90.41172580243519,,
overwrite/striped/k7/prefilter75/ikea2-coverage,115.67610271327294,115.62285958099962,116.39546329119563,,
overwrite/striped/k7/prefilter75/ikea2-sum-coverage,349.84341868373093,349.7277288791106,350.80227712209137,,
overwrite/striped/k12/all/ikea2-raw,180.8308224764459,180.80350153413102,180.91462798897135,overwrite/striped/k12/all/ikea,2.3752802364648535
overwrite/striped/k12/all/ikea2-coverage,223.72233637099225,223.7119086147407,223.94021206831005,overwrite/striped/k12/all/ikea,2.9386762541932137
