case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite/local/k3/all/ikea2-raw,0,49.36225257233044,49.362705354418104,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea2-raw,1,49.2926770465448,49.29311689203566,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea2-raw,2,49.97335525503384,49.973812741272596,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea2-coverage,0,151.43935329358547,152.17228123714506,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-coverage,1,157.37704523061214,157.39347899658154,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-coverage,2,157.26643196708926,157.26783441107528,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-sum-coverage,0,1272.4919208424103,1272.5032982362952,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-sum-coverage,1,1272.764282256112,1272.7753570585771,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-sum-coverage,2,1267.756112321472,1267.7674291938772,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea,0,58.66443799425074,58.664962305421156,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea,1,58.70936098341228,58.70987131296901,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea,2,58.69707112736713,58.69762340164619,8192.0,8192.0,0.0
overwrite/local/k3/all/prior,0,57.75329306115269,57.75380813838957,8192.0,8192.0,0.0
overwrite/local/k3/all/prior,1,57.80997903978589,57.82101680382768,8192.0,8192.0,0.0
overwrite/local/k3/all/prior,2,57.76323748774122,57.76376767414703,8192.0,8192.0,0.0
overwrite/local/k3/prefilter75/ikea2-raw,0,1455.5693511529685,1455.6841285264607,8192.0,6144.0,0.0
overwrite/local/k3/prefilter75/ikea2-raw,1,1455.0115642961025,1455.0248943980262,8192.0,6144.0,0.0
overwrite/local/k3/prefilter75/ikea2-raw,2,1455.3823834914476,1455.926147768446,8192.0,6144.0,0.0
overwrite/local/k3/prefilter75/ikea2-coverage,0,1442.9060234340084,1442.9185650898455,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-coverage,1,1443.0400302374328,1443.0532591051165,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-coverage,2,1443.093289351614,1443.1061746150222,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-sum-coverage,0,1603.0122882002686,1603.0269806104795,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-sum-coverage,1,1603.6984429858007,1603.7131353936688,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-sum-coverage,2,1602.0436956189901,1602.0583880335184,8192.0,6144.0,1.0
overwrite/local/k7/all/ikea2-raw,0,55.800410342101614,55.94085336339292,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea2-raw,1,55.70984027856727,55.710353205980134,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea2-raw,2,55.959655862577726,55.960168790216024,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea2-coverage,0,152.4144511866818,152.41581176036345,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-coverage,1,152.19072044935362,152.19207738553263,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-coverage,2,152.215931083657,152.21736077841848,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-sum-coverage,0,961.9722578282391,962.0870490811782,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-sum-coverage,1,961.2951611426466,961.3195614390397,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-sum-coverage,2,960.7282091192094,960.7814273949284,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea,0,58.97918765867153,58.97974353626566,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea,1,58.912469673003315,58.912995998254424,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea,2,58.98888526122034,58.989421436867055,8192.0,8192.0,0.0
overwrite/local/k7/all/prior,0,58.24609218048153,58.24904746446571,8192.0,8192.0,0.0
overwrite/local/k7/all/prior,1,58.338908609256784,58.339439257701144,8192.0,8192.0,0.0
overwrite/local/k7/all/prior,2,58.274856669410006,58.27537207751567,8192.0,8192.0,0.0
overwrite/local/k7/prefilter75/ikea2-raw,0,1301.4493229634677,1301.90918105975,8192.0,6144.0,0.0
overwrite/local/k7/prefilter75/ikea2-raw,1,1300.6185975893145,1300.6301242484762,8192.0,6144.0,0.0
overwrite/local/k7/prefilter75/ikea2-raw,2,1301.4375484150794,1301.4493849325165,8192.0,6144.0,0.0
overwrite/local/k7/prefilter75/ikea2-coverage,0,1302.229958459917,1302.2418004748067,8192.0,6144.0,1.0
overwrite/local/k7/prefilter75/ikea2-coverage,1,1302.6602393204796,1302.6720813524673,8192.0,6144.0,1.0
overwrite/local/k7/prefilter75/ikea2-coverage,2,1300.8457746915478,1300.8573067145057,8192.0,6144.0,1.0
overwrite/local/k7/prefilter75/ikea2-sum-coverage,0,1274.6049971158866,1274.61659431131,8192.0,6144.0,1.0
overwrite/local/k7/prefilter75/ikea2-sum-coverage,1,1278.6818968396185,1280.059746797936,8192.0,6144.0,1.0
overwrite/local/k7/prefilter75/ikea2-sum-coverage,2,1275.9538540939363,1276.0583502788652,8192.0,6144.0,1.0
overwrite/local/k12/all/ikea2-raw,0,347.70978337115747,347.71286981669533,8192.0,8192.0,0.0
overwrite/local/k12/all/ikea2-raw,1,347.7576562822358,347.7607344756891,8192.0,8192.0,0.0
overwrite/local/k12/all/ikea2-raw,2,347.79479265524793,347.79787085001686,8192.0,8192.0,0.0
overwrite/local/k12/all/ikea2-coverage,0,1168.0874350351592,1168.0977738354845,8192.0,8192.0,1.0
overwrite/local/k12/all/ikea2-coverage,1,1167.6655179122401,1167.8170701166098,8192.0,8192.0,1.0
overwrite/local/k12/all/ikea2-coverage,2,1167.5799449709573,1167.5902837668145,8192.0,8192.0,1.0
overwrite/local/k12/all/ikea2-sum-coverage,0,1270.6014746766548,1270.6127160657816,8192.0,8192.0,1.0
overwrite/local/k12/all/ikea2-sum-coverage,1,1271.8718421370747,1272.042699136722,8192.0,8192.0,1.0
overwrite/local/k12/all/ikea2-sum-coverage,2,1270.0783875256936,1270.160038672837,8192.0,8192.0,1.0
overwrite/local/k12/all/ikea,0,351.68222737273396,351.6854268462154,8192.0,8192.0,0.0
overwrite/local/k12/all/ikea,1,351.6272316554965,351.6304311301265,8192.0,8192.0,0.0
overwrite/local/k12/all/ikea,2,351.5830604121515,351.58617591315993,8192.0,8192.0,0.0
overwrite/local/k12/prefilter75/ikea2-raw,0,654.9814797463993,654.9872731771652,8192.0,6144.0,0.0
overwrite/local/k12/prefilter75/ikea2-raw,1,654.6012367656707,654.7970736099533,8192.0,6144.0,0.0
overwrite/local/k12/prefilter75/ikea2-raw,2,654.5640713326436,654.56986476782,8192.0,6144.0,0.0
overwrite/local/k12/prefilter75/ikea2-coverage,0,1169.1431629872668,1169.1535338836086,8192.0,6144.0,1.0
overwrite/local/k12/prefilter75/ikea2-coverage,1,1168.7330812433859,1168.7434521523344,8192.0,6144.0,1.0
overwrite/local/k12/prefilter75/ikea2-coverage,2,1168.3076794750539,1168.3180225778515,8192.0,6144.0,1.0
overwrite/local/k12/prefilter75/ikea2-sum-coverage,0,1276.4442892283396,1276.4556166321122,8192.0,6144.0,1.0
overwrite/local/k12/prefilter75/ikea2-sum-coverage,1,1276.9262352333783,1276.9375322682001,8192.0,6144.0,1.0
overwrite/local/k12/prefilter75/ikea2-sum-coverage,2,1276.1439460657691,1277.4009535702346,8192.0,6144.0,1.0
overwrite/local/k31/all/ikea2-raw,0,704.0014415743359,704.0076772168538,8192.0,8192.0,0.0
overwrite/local/k31/all/ikea2-raw,1,704.3438825284586,704.3501349402442,8192.0,8192.0,0.0
overwrite/local/k31/all/ikea2-raw,2,704.2683004509147,704.2745360993133,8192.0,8192.0,0.0
overwrite/local/k31/all/ikea2-coverage,0,1367.6908357198652,1367.7032673767003,8192.0,8192.0,1.0
overwrite/local/k31/all/ikea2-coverage,1,1364.9073808903863,1364.9191291245806,8192.0,8192.0,1.0
overwrite/local/k31/all/ikea2-coverage,2,1365.2061312158278,1365.2182048902669,8192.0,8192.0,1.0
overwrite/local/k31/all/ikea2-sum-coverage,0,3508.5533411488727,3509.1488025421236,8192.0,8192.0,1.0
overwrite/local/k31/all/ikea2-sum-coverage,1,3510.675263774906,3510.707167945125,8192.0,8192.0,1.0
overwrite/local/k31/all/ikea2-sum-coverage,2,3507.1138837715575,3507.2780941001392,8192.0,8192.0,1.0
overwrite/local/k31/all/ikea,0,665.888860675124,665.8949389798521,8192.0,8192.0,0.0
overwrite/local/k31/all/ikea,1,666.0029836060323,666.0090460390271,8192.0,8192.0,0.0
overwrite/local/k31/all/ikea,2,665.8338067956404,665.8852581318182,8192.0,8192.0,0.0
overwrite/local/k31/prefilter75/ikea2-raw,0,5358.095140664947,5358.142583159382,8192.0,6144.0,0.0
overwrite/local/k31/prefilter75/ikea2-raw,1,5355.447953964186,5355.495524300376,8192.0,6144.0,0.0
overwrite/local/k31/prefilter75/ikea2-raw,2,5355.666751918137,5357.165601043145,8192.0,6144.0,0.0
overwrite/local/k31/prefilter75/ikea2-coverage,0,5389.487560913044,5389.846883789818,8192.0,6144.0,1.0
overwrite/local/k31/prefilter75/ikea2-coverage,1,5388.5551423441975,5388.602975129037,8192.0,6144.0,1.0
overwrite/local/k31/prefilter75/ikea2-coverage,2,5388.4693511156975,5388.518338062937,8192.0,6144.0,1.0
overwrite/local/k31/prefilter75/ikea2-sum-coverage,0,5474.771499412717,5474.820044376726,8192.0,6144.0,1.0
overwrite/local/k31/prefilter75/ikea2-sum-coverage,1,5475.375570925321,5475.4242463464325,8192.0,6144.0,1.0
overwrite/local/k31/prefilter75/ikea2-sum-coverage,2,5489.606420462045,5489.655095940066,8192.0,6144.0,1.0
overwrite/local/k56/all/ikea2-raw,0,598.2918556217286,598.7758128057515,8192.0,8192.0,0.0
overwrite/local/k56/all/ikea2-raw,1,597.6750209686829,597.7175554044604,8192.0,8192.0,0.0
overwrite/local/k56/all/ikea2-raw,2,597.2003468717637,597.2043557937556,8192.0,8192.0,0.0
overwrite/local/k56/all/ikea2-coverage,0,1184.9752469658436,1184.985492521331,8192.0,8192.0,1.0
overwrite/local/k56/all/ikea2-coverage,1,1185.9933389782693,1186.0041208115247,8192.0,8192.0,1.0
overwrite/local/k56/all/ikea2-coverage,2,1186.8632232571317,1186.874033305306,8192.0,8192.0,1.0
overwrite/local/k56/all/ikea2-sum-coverage,0,2952.7402195328,2952.766394575794,8192.0,8192.0,1.0
overwrite/local/k56/all/ikea2-sum-coverage,1,2952.443287362795,2952.4686884566013,8192.0,8192.0,1.0
overwrite/local/k56/all/ikea2-sum-coverage,2,2953.92794821282,2953.9534196467694,8192.0,8192.0,1.0
overwrite/local/k56/all/ikea,0,617.0549702783786,617.1416485246986,8192.0,8192.0,0.0
overwrite/local/k56/all/ikea,1,616.702577835319,616.7062709660671,8192.0,8192.0,0.0
overwrite/local/k56/all/ikea,2,619.8307044906105,619.8360308408699,8192.0,8192.0,0.0
overwrite/local/k56/all/prior,0,609.6373653530312,609.6426131285946,8192.0,8192.0,0.0
overwrite/local/k56/all/prior,1,609.6956578622202,609.7010510090315,8192.0,8192.0,0.0
overwrite/local/k56/all/prior,2,609.2025701036483,609.2079632493236,8192.0,8192.0,0.0
overwrite/local/k56/prefilter75/ikea2-raw,0,2984.9615521284695,2984.987989473727,8192.0,6144.0,0.0
overwrite/local/k56/prefilter75/ikea2-raw,1,2984.1869092459815,2984.2133466068935,8192.0,6144.0,0.0
overwrite/local/k56/prefilter75/ikea2-raw,2,2986.9855020964906,2987.011299825592,8192.0,6144.0,0.0
overwrite/local/k56/prefilter75/ikea2-coverage,0,3053.5418815837397,3053.5602615216953,8192.0,6144.0,1.0
