case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite-all/local/k1/ikea2,33.782514589384334,28.766159637033027,35.777080116728825,overwrite-all/local/k1/prior,1.2164841490933442
overwrite-all/striped/k1/ikea2,38.4379407596982,38.43713469442341,38.451918664349805,overwrite-all/striped/k1/prior,0.9026163917625887
overwrite-all/local/k2/ikea2,42.9755090932902,42.95993755013176,42.99229709931408,overwrite-all/local/k2/prior,0.7269338022860223
overwrite-all/striped/k2/ikea2,38.72086176804658,38.66786469539855,38.8433201894929,overwrite-all/striped/k2/prior,0.9383555938387865
overwrite-all/local/k3/ikea2,57.381568617277914,57.32102954247862,57.3932984982312,overwrite-all/local/k3/prior,0.9980824318155301
overwrite-all/striped/k3/ikea2,41.93417411318844,41.928457423152096,42.02195328904563,overwrite-all/striped/k3/prior,1.0620486718828857
overwrite-all/local/k4/ikea2,42.95078110333917,42.94652666117104,42.970533141798526,overwrite-all/local/k4/prior,0.7474613035180897
overwrite-all/striped/k4/ikea2,38.818560437934956,38.79264129309047,38.878109742565606,overwrite-all/striped/k4/prior,1.007351701986878
overwrite-all/local/k5/ikea2,57.46041273800539,57.441556527695255,57.488441207212475,overwrite-all/local/k5/prior,1.000576901167173
overwrite-all/striped/k5/ikea2,43.174901767416024,43.1623588147372,43.28726443441147,overwrite-all/striped/k5/prior,1.042196926648737
overwrite-all/local/k6/ikea2,61.53219454830117,61.526323420220926,61.55562780357815,overwrite-all/local/k6/prior,1.0573682737936907
overwrite-all/striped/k6/ikea2,45.47740322702815,45.47661324358533,45.50746588461894,overwrite-all/striped/k6/prior,1.04425833019409
overwrite-all/local/k7/ikea2,78.84554798691948,78.77737217386513,79.07578213572974,overwrite-all/local/k7/prior,1.343459939387994
overwrite-all/striped/k7/ikea2,51.812773038803876,51.761641437798914,51.818011932350565,overwrite-all/striped/k7/prior,1.0295090785321759
overwrite-all/local/k8/ikea2,62.31340714427541,62.25529361921459,62.32337665800601,overwrite-all/local/k8/ikea,1.2657435453566026
overwrite-all/local/k9/ikea2,403.51458837539576,403.4353655257211,403.88310091812934,overwrite-all/local/k9/ikea,0.8690163241529358
overwrite-all/local/k10/ikea2,330.02904951676203,330.0182314547461,330.06255491401794,overwrite-all/local/k10/ikea,0.9196628280954215
overwrite-all/striped/k10/ikea2,84.25905563846914,84.2503580474802,84.33281442393948,overwrite-all/striped/k10/ikea,1.0290415566371711
overwrite-all/local/k11/ikea2,462.78907422116447,462.7139484599744,462.84135336686586,overwrite-all/local/k11/ikea,0.987168634741712
overwrite-all/local/k12/ikea2,346.4134177423367,346.32347282742256,346.47984049987735,overwrite-all/local/k12/ikea,0.9843075152151697
overwrite-all/striped/k12/ikea2,86.7954342587262,86.61487019961216,86.87257236271056,overwrite-all/striped/k12/ikea,1.1534960191148584
overwrite-all/local/k13/ikea2,457.8937156856301,457.6762910952155,457.9289323446503,overwrite-all/local/k13/ikea,0.9827810861537247
overwrite-all/local/k14/ikea2,461.8541964423074,461.7042371204356,462.1544449086338,overwrite-all/local/k14/ikea,0.9810302182196127
overwrite-all/striped/k14/ikea2,85.66435348697081,85.6097369326393,85.66813980046403,overwrite-all/striped/k14/ikea,0.987565002544603
overwrite-all/local/k15/ikea2,464.3477356925619,464.2988554050332,464.50687309925775,overwrite-all/local/k15/ikea,0.9953189332236891
overwrite-all/striped/k15/ikea2,95.75697609985994,95.72122052388538,95.89741935042383,overwrite-all/striped/k15/ikea,0.9907574572675849
overwrite-all/local/k16/ikea2,79.88792471441067,79.76167435022637,79.90049071973996,overwrite-all/local/k16/ikea,0.8449605320593255
overwrite-all/local/k17/ikea2,516.767936335853,516.7371390558591,516.9594954173615,overwrite-all/local/k17/ikea,1.1084894824430036
overwrite-all/local/k18/ikea2,417.9077612597285,417.6629584425492,418.0947397907214,overwrite-all/local/k18/ikea,1.1410953457258572
overwrite-all/local/k19/ikea2,460.8102880477729,460.2504390972247,461.05618248880916,overwrite-all/local/k19/ikea,1.0752106494730158
overwrite-all/local/k20/ikea2,418.78133471536745,418.5913729867616,418.82458937968033,overwrite-all/local/k20/ikea,1.1708559131995016
overwrite-all/striped/k20/ikea2,257.25386513510017,257.1299358923435,257.34430164279337,overwrite-all/striped/k20/ikea,1.0116477276220424
overwrite-all/local/k21/ikea2,466.2486993754708,466.0956194744223,466.48752620660275,overwrite-all/local/k21/ikea,1.0812860577172345
overwrite-all/local/k22/ikea2,453.14574286517353,453.0974571694019,454.2920582452997,overwrite-all/local/k22/ikea,1.0660064972525038
overwrite-all/local/k23/ikea2,452.2488221500212,451.7184024266846,452.42878041435705,overwrite-all/local/k23/ikea,1.0620528381130356
