case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite-all/local/k1/ikea2,0,28.766159637033027,28.7690201390457,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,1,33.782514589384334,33.78266163417891,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,2,35.777080116728825,35.777235406939184,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,0,33.75514063247419,33.75528861607609,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,1,33.799487736553885,33.79962772101881,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,2,33.89763610097446,33.90124130281535,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,0,27.758164739980096,27.75828594444744,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,1,27.7706163410043,27.77236088977786,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,2,27.80730882487354,27.807430691634405,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,0,38.43713469442341,38.43729407555706,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,1,38.4379407596982,38.43810930079056,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,2,38.451918664349805,38.452078045548234,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,0,37.73973604529054,37.73989275375472,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,1,37.858131998969654,37.85829771370589,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,2,37.78403681028012,37.784202524916964,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,0,42.58502405948813,42.58740261027172,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,1,42.60245729466221,42.60263385936612,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,2,42.58452683683191,42.6475969938792,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,0,42.9755090932902,42.9756973431843,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,1,42.95993755013176,42.960115568903554,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,2,42.99229709931408,42.99247614138195,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,0,62.604717441645825,62.604992767138384,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,1,62.701172142419274,62.701447467765774,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,2,62.565905478530574,62.57290618687408,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,0,59.18224925912946,59.182522854356876,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,1,59.11887569149093,59.12054378411181,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,2,59.10572497825895,59.11017229514189,8192.0,8192.0,0.0
