case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite-all/local/k1/ikea2,142.92458723179385,142.45814052750322,143.0131672549644,overwrite-all/local/k1/prior,1.0879801284385642
overwrite-all/striped/k1/ikea2,106.96148421699635,106.92280010915593,107.06936003407314,overwrite-all/striped/k1/prior,1.171998457564353
overwrite-all/local/k2/ikea2,1344.6227224694967,1344.466521502449,1344.9571552083023,overwrite-all/local/k2/prior,0.96185109784673
overwrite-all/striped/k2/ikea2,110.09707418852994,110.09569458459474,110.21250367894373,overwrite-all/striped/k2/prior,1.2797896632998198
overwrite-all/local/k3/ikea2,1414.4805741820257,1413.9302490143893,1414.7602183509066,overwrite-all/local/k3/prior,1.000146619531974
overwrite-all/striped/k3/ikea2,172.61389028189893,172.46593608957718,172.65309234702585,overwrite-all/striped/k3/prior,1.371846202002831
overwrite-all/local/k4/ikea2,1382.3457131568562,1381.9007638614546,1382.3760042144152,overwrite-all/local/k4/prior,1.0116601268541787
overwrite-all/striped/k4/ikea2,130.58087469305693,130.44830344519673,130.60981099784132,overwrite-all/striped/k4/prior,1.4765537643200906
overwrite-all/local/k5/ikea2,1454.1117618519525,1454.05936373718,1454.3704948710822,overwrite-all/local/k5/prior,1.0025881681893998
overwrite-all/striped/k5/ikea2,168.60958805280887,168.5789104521885,168.63119143239726,overwrite-all/striped/k5/prior,1.1354423062152124
overwrite-all/local/k6/ikea2,1415.0005058680533,1414.9548428436326,1415.15526777283,overwrite-all/local/k6/prior,0.9991810236546911
overwrite-all/striped/k6/ikea2,152.14700488554283,152.12454152713136,152.27736702474388,overwrite-all/striped/k6/prior,1.0949817357147995
overwrite-all/local/k7/ikea2,1478.7629345261048,1478.6088824710373,1478.9295248828716,overwrite-all/local/k7/prior,1.0405623026503128
overwrite-all/striped/k7/ikea2,190.48081327710378,189.57992347124153,191.08480876899793,overwrite-all/striped/k7/prior,0.9909775358681975
overwrite-all/local/k8/ikea2,142.8002205185643,142.29902661727903,146.46793694547316,overwrite-all/local/k8/ikea,1.278165490299909
overwrite-all/local/k9/ikea2,992.0268775447726,990.9974581656475,994.6800348325544,overwrite-all/local/k9/ikea,1.0035288621960938
overwrite-all/local/k10/ikea2,1818.7401489564277,1818.553087381976,1818.9864466961342,overwrite-all/local/k10/ikea,1.1348608233850712
overwrite-all/striped/k10/ikea2,435.656627878089,435.51495983103865,435.80919744906663,overwrite-all/striped/k10/ikea,1.4138801086432615
overwrite-all/local/k11/ikea2,1851.1939180255708,1850.7967827236978,1851.3310709563737,overwrite-all/local/k11/ikea,1.0259287963370634
overwrite-all/local/k12/ikea2,2050.717180100557,2050.5840941268248,2050.9161743884906,overwrite-all/local/k12/ikea,1.272757953106901
overwrite-all/striped/k12/ikea2,392.9048516736576,391.79127392776076,393.6332498616656,overwrite-all/striped/k12/ikea,1.270619845107402
overwrite-all/local/k13/ikea2,1926.4750412919389,1926.373646540613,1929.7075610203494,overwrite-all/local/k13/ikea,1.0725432549371734
overwrite-all/local/k14/ikea2,1926.5744495413137,1926.390825688066,1930.5182568807313,overwrite-all/local/k14/ikea,1.073326322458378
overwrite-all/striped/k14/ikea2,439.2713333054493,439.0642716782466,439.2779810184804,overwrite-all/striped/k14/ikea,1.2453522566343918
overwrite-all/local/k15/ikea2,1929.0641278882788,1928.8139556249141,1929.2424089301087,overwrite-all/local/k15/ikea,1.0606229907454412
overwrite-all/striped/k15/ikea2,463.74244817374006,463.6336952945069,463.7749588680486,overwrite-all/striped/k15/ikea,1.0888839628444056
overwrite-all/local/k16/ikea2,270.4117149680601,253.7105079713382,271.0945330149029,overwrite-all/local/k16/ikea,1.0501357649786598
overwrite-all/local/k17/ikea2,1128.1814165215872,1126.9771589235731,1128.3609586290268,overwrite-all/local/k17/ikea,0.9232732326627168
overwrite-all/local/k18/ikea2,1951.800372526165,1951.3550174620973,1952.0748311990842,overwrite-all/local/k18/ikea,1.1605351598504756
overwrite-all/local/k19/ikea2,2077.8838026426083,2077.852625327874,2077.896125105174,overwrite-all/local/k19/ikea,1.098666287437958
overwrite-all/local/k20/ikea2,2235.779002289313,2235.1984773465556,2235.793217270987,overwrite-all/local/k20/ikea,1.3258602822644534
overwrite-all/striped/k20/ikea2,652.7471515189363,652.0701716102733,654.8529856445958,overwrite-all/striped/k20/ikea,1.0028172060071519
overwrite-all/local/k21/ikea2,2175.891122972475,2174.1309011763283,2176.386795874955,overwrite-all/local/k21/ikea,1.1507023792862106
overwrite-all/local/k22/ikea2,2171.9496071945114,2170.247674178198,2172.2481910274732,overwrite-all/local/k22/ikea,1.1462427424549828
overwrite-all/local/k23/ikea2,2167.124593380514,2166.890690349585,2168.344503536917,overwrite-all/local/k23/ikea,1.1448442645629164
overwrite-all/local/k24/ikea2,770.4495377219089,769.1301960059197,772.0252218935101,overwrite-all/local/k24/ikea,0.9519446880886965
overwrite-all/local/k25/ikea2,1506.6338391991796,1505.781508987174,1509.2444300936763,overwrite-all/local/k25/ikea,1.0202182277540992
overwrite-all/local/k26/ikea2,2285.976313358995,2284.436790351449,2288.5355571250725,overwrite-all/local/k26/ikea,1.304518217791205
overwrite-all/local/k27/ikea2,2403.4848138191683,2401.980552536681,2405.371560944891,overwrite-all/local/k27/ikea,1.229861981789463
overwrite-all/local/k28/ikea2,2637.341166122183,2636.966888665483,2644.2023749686864,overwrite-all/local/k28/ikea,1.5054674037273705
overwrite-all/local/k29/ikea2,2469.9069630675785,2469.7586450247154,2470.306986591437,overwrite-all/local/k29/ikea,1.2640821287827213
overwrite-all/local/k30/ikea2,2467.5589565830287,2467.2402914047566,2467.8477762763464,overwrite-all/local/k30/ikea,1.2647144441631617
overwrite-all/local/k31/ikea2,2478.9333884005127,2476.7576258185777,2478.985957873586,overwrite-all/local/k31/ikea,1.2687397032640355
overwrite-all/local/k32/ikea2,600.3871728871655,598.6285714285843,600.875990275988,overwrite-all/local/k32/ikea,0.9869868384262698
overwrite-all/local/k33/ikea2,1704.7957566150544,1704.5328618461042,1705.4853066699407,overwrite-all/local/k33/ikea,0.9121079973230406
overwrite-all/local/k34/ikea2,2639.1348003772264,2638.09437283874,2639.925683747226,overwrite-all/local/k34/ikea,1.1863121178048428
overwrite-all/local/k35/ikea2,2805.1089062605183,2803.866840382146,2806.4492550277373,overwrite-all/local/k35/ikea,1.1157550571072408
overwrite-all/local/k36/ikea2,3009.205996270336,3006.208076316133,3009.6615263233903,overwrite-all/local/k36/ikea,1.4791346965975996
overwrite-all/local/k37/ikea2,2913.2369994438745,2912.4694104560763,2919.8163236930486,overwrite-all/local/k37/ikea,1.1549831535776633
overwrite-all/local/k38/ikea2,2913.9947847854687,2913.3957304777914,2919.8653083930512,overwrite-all/local/k38/ikea,1.2925628326376897
overwrite-all/local/k39/ikea2,2911.398957971471,2910.8968391803883,2917.917124001396,overwrite-all/local/k39/ikea,1.293689962754518
overwrite-all/local/k40/ikea2,1386.2029531264532,1385.3276517028453,1387.2608264790442,overwrite-all/local/k40/ikea,1.0265119096419217
overwrite-all/local/k41/ikea2,2245.099528857599,2244.899186208465,2245.8613341899586,overwrite-all/local/k41/ikea,1.0274777260838204
overwrite-all/local/k42/ikea2,3223.9536189523956,3223.307514806662,3228.1949080837817,overwrite-all/local/k42/ikea,1.2805513813834621
overwrite-all/local/k43/ikea2,3240.2209743629187,3239.344125164654,3241.8314615444615,overwrite-all/local/k43/ikea,1.1851021057272038
overwrite-all/local/k44/ikea2,3362.515756555155,3361.229572608524,3368.935530430708,overwrite-all/local/k44/ikea,1.3310820340500582
overwrite-all/local/k45/ikea2,3489.156514522823,3487.9125311203015,3495.8090456431382,overwrite-all/local/k45/ikea,1.267490951573391
overwrite-all/local/k46/ikea2,3482.988116014278,3481.575999335224,3483.1810022438294,overwrite-all/local/k46/ikea,1.2657055778653004
overwrite-all/local/k47/ikea2,3491.4984582049065,3491.234019501416,3493.7580631721185,overwrite-all/local/k47/ikea,1.2867487283830616
overwrite-all/local/k48/ikea2,1230.243193232838,1228.6560636766899,1230.509119746277,overwrite-all/local/k48/ikea,0.9313425492645985
overwrite-all/local/k49/ikea2,2151.2602641547223,2150.438722227872,2151.4004300195083,overwrite-all/local/k49/ikea,1.039722715550217
overwrite-all/local/k50/ikea2,3056.233335756394,3055.9057934143284,3056.3108962710016,overwrite-all/local/k50/ikea,1.2413729939322653
overwrite-all/local/k51/ikea2,3194.6128664742964,3194.149627829291,3195.1149931642467,overwrite-all/local/k51/ikea,1.1682384773569259
overwrite-all/local/k52/ikea2,3344.96624810062,3344.174118211606,3346.992081900478,overwrite-all/local/k52/ikea,1.3467882125364203
overwrite-all/local/k53/ikea2,3319.4257378608704,3319.246271025035,3320.4104252619895,overwrite-all/local/k53/ikea,1.204501337213981
overwrite-all/local/k54/ikea2,3314.4410276677427,3313.5503557311517,3314.727984189914,overwrite-all/local/k54/ikea,1.203597864974167
overwrite-all/local/k55/ikea2,3321.770805236097,3321.0882982943062,3321.9968266562673,overwrite-all/local/k55/ikea,1.2057975342070946
overwrite-all/local/k56/ikea2,1468.6327065567295,1468.6323221026223,1469.4669718999319,overwrite-all/local/k56/prior,0.6944458224865596
overwrite-all/local/k57/ikea2,2414.632932512576,2413.270237615726,2417.190265232251,overwrite-all/local/k57/ikea,1.0367422537438953
overwrite-all/local/k58/ikea2,3193.0573833206486,3192.2311400152334,3193.728156082476,overwrite-all/local/k58/ikea,1.2022360320628984
overwrite-all/local/k59/ikea2,3385.3446605860586,3382.7310517394703,3386.5575914117826,overwrite-all/local/k59/ikea,1.15785143248778
overwrite-all/local/k60/ikea2,3262.74519677739,3262.602417105614,3263.3497056087717,overwrite-all/local/k60/ikea,1.225872339375255
overwrite-all/local/k61/ikea2,3546.956141839113,3545.30929759069,3549.64879538516,overwrite-all/local/k61/ikea,1.2100743657561681
overwrite-all/local/k62/ikea2,3535.0350788852843,3533.329724739818,3543.2876804297925,overwrite-all/local/k62/ikea,1.2086560066791912
overwrite-all/local/k63/ikea2,3531.521834061199,3531.434497816592,3534.5429123278614,overwrite-all/local/k63/ikea,1.2074795597099055
overwrite-all/local/k64/ikea2,1298.9825622886515,1297.6692109591265,1299.344069006242,overwrite-all/local/k64/ikea,0.9874297215544083
overwrite/local/k3/all/ikea2-raw,1414.6133859064253,1413.7967175546805,1414.907559060506,overwrite/local/k3/all/prior,1.000250727001707
overwrite/local/k3/all/ikea2-coverage,1415.1170958608234,1414.8161655656843,1415.2271470944804,overwrite/local/k3/all/control-coverage,1.0007826589955728
overwrite/local/k3/all/ikea2-sum-coverage,3262.3579766535795,3261.838832684884,3267.210428015498,overwrite/local/k3/all/ikea-materialized-sum-coverage,0.7435277464737292
overwrite/local/k3/prefilter75/ikea2-raw,4227.697219983815,4227.379331184638,4228.66579371466,,
overwrite/local/k3/prefilter75/ikea2-coverage,3853.4839095255097,3853.06693637374,3853.5204119161745,,
overwrite/local/k3/prefilter75/ikea2-sum-coverage,4233.726493139723,4233.46337772416,4234.393765133279,overwrite/local/k3/prefilter75/ikea-materialized-sum-coverage,0.5546939103318735
overwrite/local/k7/all/ikea2-raw,1478.898189885922,1478.5894844344305,1478.9803493450424,overwrite/local/k7/all/prior,1.040583204721749
overwrite/local/k7/all/ikea2-coverage,1478.797788031491,1478.785530625837,1478.8784473952906,overwrite/local/k7/all/control-coverage,1.0420669784785102
overwrite/local/k7/all/ikea2-sum-coverage,3224.5539524176706,3224.0171910976715,3225.8207981581163,overwrite/local/k7/all/ikea-materialized-sum-coverage,0.7236889535999158
overwrite/local/k7/prefilter75/ikea2-raw,4009.513616817838,4009.4274247493745,4010.1763019589575,,
overwrite/local/k7/prefilter75/ikea2-coverage,3685.383980326522,3685.326629193799,3685.7197435448325,,
overwrite/local/k7/prefilter75/ikea2-sum-coverage,4317.16344174542,4316.706978180426,4320.11506792936,overwrite/local/k7/prefilter75/ikea-materialized-sum-coverage,0.5633332784138155
overwrite/local/k12/all/ikea2-raw,2050.9175620237297,2050.8207657746084,2051.278179331792,overwrite/local/k12/all/ikea,1.2764259928294757
overwrite/local/k12/all/ikea2-coverage,2154.123037869775,2147.5186758535046,2169.9998963892695,overwrite/local/k12/all/control-coverage,1.3428147669283508
overwrite/local/k12/all/ikea2-sum-coverage,3455.4119004449926,3454.8983847040654,3455.5846382065997,overwrite/local/k12/all/ikea-materialized-sum-coverage,0.7194387331315912
overwrite/local/k12/prefilter75/ikea2-raw,3325.215614854744,3322.8619843217725,3326.086230105376,,
overwrite/local/k12/prefilter75/ikea2-coverage,3381.605739692817,3380.5291026677082,3383.634680678935,,
overwrite/local/k12/prefilter75/ikea2-sum-coverage,3817.1804682515494,3814.972123531237,3828.2116243051432,overwrite/local/k12/prefilter75/ikea-materialized-sum-coverage,0.4879077613705427
overwrite/local/k31/all/ikea2-raw,2478.5468759217815,2476.7425806830797,2478.5926013333205,overwrite/local/k31/all/ikea,1.2682978164111949
overwrite/local/k31/all/ikea2-coverage,2658.758465440728,2657.3980976536495,2659.7016486999473,overwrite/local/k31/all/control-coverage,1.3602756195397
overwrite/local/k31/all/ikea2-sum-coverage,5142.512078479265,5139.806989576854,5143.1022685471835,overwrite/local/k31/all/ikea-materialized-sum-coverage,0.9706298513394495
overwrite/local/k31/prefilter75/ikea2-raw,5180.249106812969,5180.010964642209,5193.788222249457,,
overwrite/local/k31/prefilter75/ikea2-coverage,5029.643949428348,5020.129078867867,5034.33786875358,,
overwrite/local/k31/prefilter75/ikea2-sum-coverage,6048.869289523016,6048.325695345258,6050.718115002078,overwrite/local/k31/prefilter75/ikea-materialized-sum-coverage,0.6603843693829086
overwrite/local/k56/all/ikea2-raw,1469.2796983029702,1469.104895593335,1469.7255744115603,overwrite/local/k56/all/prior,0.6948486062857844
overwrite/local/k56/all/ikea2-coverage,1483.685236276208,1482.6549589699925,1485.5210809281336,overwrite/local/k56/all/control-coverage,0.7018573897847437
overwrite/local/k56/all/ikea2-sum-coverage,3684.941295014184,3683.869184263296,3686.761149566236,overwrite/local/k56/all/ikea-materialized-sum-coverage,0.6280800589208967
overwrite/local/k56/prefilter75/ikea2-raw,2958.9202311325116,2958.3395814249748,2961.956451271904,,
overwrite/local/k56/prefilter75/ikea2-coverage,2891.71375515807,2890.22984869327,2893.358115543172,,
overwrite/local/k56/prefilter75/ikea2-sum-coverage,6288.717319277147,6288.527861445661,6288.917771084374,overwrite/local/k56/prefilter75/ikea-materialized-sum-coverage,0.7665239453551336
overwrite/local/k64/all/ikea2-raw,1299.3223918496274,1299.1648964171313,1300.4370916296934,overwrite/local/k64/all/ikea,0.987597527398494
overwrite/local/k64/all/ikea2-coverage,1304.448640623528,1303.2626271998756,1305.0637777983952,overwrite/local/k64/all/control-coverage,0.9894370621925641
overwrite/local/k64/all/ikea2-sum-coverage,2722.3499219361274,2721.9749544627443,2726.589903720944,overwrite/local/k64/all/ikea-materialized-sum-coverage,0.5286496469727942
overwrite/local/k64/prefilter75/ikea2-raw,1825.1470511482148,1823.752131175906,1826.6153009742723,,
overwrite/local/k64/prefilter75/ikea2-coverage,1826.3608005220972,1825.560582989022,1827.0627365673054,,
overwrite/local/k64/prefilter75/ikea2-sum-coverage,3527.8939998302085,3527.3892896546818,3532.6082491723837,overwrite/local/k64/prefilter75/ikea-materialized-sum-coverage,0.485821846491123
overwrite/striped/k3/all/ikea2-raw,172.60719216926304,172.4447416868165,172.6851956868604,overwrite/striped/k3/all/prior,1.3723446834155688
overwrite/striped/k3/all/ikea2-coverage,175.2771139073792,175.2052575201289,175.31458843046119,overwrite/striped/k3/all/control-coverage,1.4080295282331792
overwrite/striped/k3/all/ikea2-sum-coverage,733.8252403426314,732.7037056459427,735.4015556720731,overwrite/striped/k3/all/ikea-materialized-sum-coverage,0.47575777172670924
overwrite/striped/k3/prefilter75/ikea2-raw,409.6550282188625,409.5528847559494,409.84947997387593,,
overwrite/striped/k3/prefilter75/ikea2-coverage,416.1518222045521,415.8884204246119,416.1696216377435,,
overwrite/striped/k3/prefilter75/ikea2-sum-coverage,871.0584196005383,870.4052652324614,871.0600170113987,overwrite/striped/k3/prefilter75/ikea-materialized-sum-coverage,0.16829650086774475
overwrite/striped/k7/all/ikea2-raw,190.47222916675832,190.34785474348294,191.06739182808943,overwrite/striped/k7/all/prior,0.9882057084943559
overwrite/striped/k7/all/ikea2-coverage,193.71827856445705,193.48434237993084,194.11204051306927,overwrite/striped/k7/all/control-coverage,0.9852926758384835
overwrite/striped/k7/all/ikea2-sum-coverage,939.7636130830527,939.1290547218642,939.795534190078,overwrite/striped/k7/all/ikea-materialized-sum-coverage,0.5754760452426102
overwrite/striped/k7/prefilter75/ikea2-raw,516.3756860321614,515.8319159455681,516.8303584672512,,
overwrite/striped/k7/prefilter75/ikea2-coverage,539.7429615053752,539.6094841223701,539.9450939537418,,
overwrite/striped/k7/prefilter75/ikea2-sum-coverage,1013.7575296108522,1013.6733381677674,1013.7717428087954,overwrite/striped/k7/prefilter75/ikea-materialized-sum-coverage,0.19299588043418953
overwrite/striped/k12/all/ikea2-raw,393.1174381880233,392.1296323982439,393.8373918406266,overwrite/striped/k12/all/ikea,1.270834942236542
overwrite/striped/k12/all/ikea2-coverage,492.9230787392501,492.7616692244586,492.9856569471892,overwrite/striped/k12/all/control-coverage,1.5692921946938474
overwrite/striped/k12/all/ikea2-sum-coverage,1807.653627678668,1807.5597727861573,1807.7774765470579,overwrite/striped/k12/all/ikea-materialized-sum-coverage,0.807673775947136
overwrite/striped/k12/prefilter75/ikea2-raw,1175.7590243356292,1175.3038169649813,1175.7614326920661,,
overwrite/striped/k12/prefilter75/ikea2-coverage,1367.5772018019381,1367.5630345367956,1369.0288568257304,,
overwrite/striped/k12/prefilter75/ikea2-sum-coverage,2118.738963725562,2118.356944654817,2119.001210837042,overwrite/striped/k12/prefilter75/ikea-materialized-sum-coverage,0.36576982156267696
pipeline-mutation/k7/depth3/inline,8343.373036387859,8343.31855239616,8344.381387950994,,
pipeline-mutation/k7/depth3/cps,9857.617136149302,9857.450000000248,9858.447887324193,pipeline-mutation/k7/depth3/inline,1.1814906385172266
pipeline-mutation/k7/depth3/scratch-calls,11122.341217113562,11121.541323413521,11174.958277970438,pipeline-mutation/k7/depth3/inline,1.3330749049102588
pipeline-mutation/k7/depth3/fused,6588.035018844052,6587.280935929571,6589.606469849108,pipeline-mutation/k7/depth3/inline,0.7896129047702565
pipeline-mutation/k12/depth3/inline,11271.614063339332,11266.93746645181,11280.941760602213,,
pipeline-mutation/k12/depth3/cps,13200.524363407476,13199.997799436105,13203.528450173262,pipeline-mutation/k12/depth3/inline,1.1711299099870605
pipeline-mutation/k12/depth3/scratch-calls,14701.861743087673,14700.00175008832,14729.25061253163,pipeline-mutation/k12/depth3/inline,1.3043262180972948
pipeline-mutation/k12/depth3/fused,7079.633648329407,7079.078130274182,7079.980593992516,pipeline-mutation/k12/depth3/inline,0.6280940430133919
pipeline-mutation/k31/depth3/inline,14794.347427766952,14794.335095138573,14795.986257928187,,
pipeline-mutation/k31/depth3/cps,17200.62648626515,17196.165231652005,17214.3058630575,pipeline-mutation/k31/depth3/inline,1.1626485433201295
