case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite-all/local/k1/ikea2,0,142.45814052750322,142.45326589932924,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,1,143.0131672549644,143.03009125946718,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,2,142.92458723179385,142.91970582855956,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,0,149.49633688358068,149.4911980183115,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,1,151.97475111450728,152.06100727554036,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,2,149.88015108770844,149.87515708122274,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,0,131.5569922412714,131.6023244901158,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,1,131.36690964835438,131.36272681759417,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,2,131.2870354148416,131.28258040289288,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,0,107.06936003407314,107.07521824848718,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,1,106.92280010915593,106.91928314028047,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,2,106.96148421699635,106.95790858937234,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,0,96.11193158408692,96.1086469100579,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,1,95.7133752017356,95.71024986736123,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,2,95.63773892418395,95.6407254053493,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,0,91.26418514174814,91.26107362544298,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,1,91.22842663893132,91.22532817785756,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,2,91.27509285591512,91.27197263608063,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,0,1344.9571552083023,1345.0445419334103,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,1,1344.466521502449,1344.4230362796757,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,2,1344.6227224694967,1344.5778923434764,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,0,1319.960768867178,1319.9219788873963,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,1,1319.2049787301087,1319.1623444143681,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,2,1319.794328028985,1319.7497085236325,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,0,1397.9530984366158,1397.905263508824,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,1,1398.7584919497338,1398.7899263319928,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,2,1395.671889062966,1395.625054168858,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,0,110.09707418852994,110.1247424739298,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,1,110.21250367894373,110.20898503192035,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,2,110.09569458459474,110.09192366724494,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,0,108.11615507224022,108.11098514064281,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,1,107.79483521003658,107.79131060725729,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,2,107.72339966065087,107.71995218266471,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,0,86.02747572179538,86.02450747585256,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,1,86.13475631724617,86.13184948333277,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,2,86.01603671617859,86.01316058824034,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,0,1414.7602183509066,1414.7125720257993,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,1,1414.4805741820257,1414.432321325324,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,2,1413.9302490143893,1413.8824679032386,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,0,1415.8598070956457,1415.8131997830953,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,1,1415.787535410764,1415.739781465879,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,2,1417.312525293402,1422.4694455698814,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,0,1413.999191674253,1413.9515004554867,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,1,1414.6561247516174,1414.6081640884277,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,2,1414.2732141052904,1414.3242059895954,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,0,172.46593608957718,172.4716332753542,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,1,172.61389028189893,172.60775738051038,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,2,172.65309234702585,172.65825105432793,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,0,129.77430917441006,129.7773616415958,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,1,130.02415067497506,130.0622864123364,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,2,129.9968454746473,129.99246006595413,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,0,125.97320505637232,125.96894447148387,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,1,125.72136015124848,125.72417657157442,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,2,125.82597818173113,125.8217984939918,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,0,1382.3760042144152,1382.3297445017006,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,1,1382.3457131568562,1382.2985973925174,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,2,1381.9007638614546,1381.9222310018106,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,0,1381.409002665272,1381.361686025946,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,1,1381.3997565068646,1381.35290052963,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,2,1381.4447369286954,1381.4513507293664,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,0,1366.262791303218,1366.2162478840246,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,1,1366.6042182007636,1366.5583908347182,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,2,1366.4131623486514,1366.3677581039801,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,0,130.60981099784132,131.05741064566246,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,1,130.58087469305693,130.5764627824373,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,2,130.44830344519673,130.44389153458948,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,0,116.06268345957508,116.05872087083551,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,1,115.56690423789816,115.56293888786811,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,2,115.68159840060524,115.68385445289142,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,0,88.598029846976,88.59442210940557,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,1,88.43624786882418,88.4611252604857,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,2,88.34099854764376,88.33832116025654,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,0,1454.1117618519525,1454.0631411133525,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,1,1454.3704948710822,1454.323572221261,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,2,1454.05936373718,1454.0119212630093,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,0,1483.7038437080473,1483.6522645378514,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,1,1484.2301632162746,1484.1828234299287,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,2,1483.956369674286,1483.906097645975,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,0,1450.364691255697,1450.3148570240073,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,1,1450.3276004973188,1450.2783188297628,8192.0,8192.0,0.0
