case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite-all/local/k1/ikea2,0,33.552848397268946,33.55297882088907,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,1,33.5604097704143,33.56054019411995,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,2,33.52230685092413,33.52244447601761,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,0,36.4204271661431,36.42056853707949,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,1,36.479481246216395,36.479641698321814,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,2,36.47354105919026,36.473691103039876,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,0,34.008121286515426,34.01303049474329,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,1,33.990437448280446,33.992505420226756,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,2,33.98610555567251,33.98621324563421,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,0,39.27937689912593,39.27952976672089,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,1,39.301547435945515,39.301719060243286,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,2,39.30236335671683,39.302525602615,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,0,38.85695462267804,38.85710601148841,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,1,38.87752290920241,38.877674298074524,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,2,38.85231017088211,38.85246155951414,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,0,42.63615081621049,42.63631629229397,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,1,42.66424104604891,42.66644806301644,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,2,42.652749126938986,42.65504751036674,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,0,42.94814889838277,42.9483269088876,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,1,42.92892686440127,42.92909464451825,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,2,42.95741872912981,42.957585485900104,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,0,60.88386972564444,60.88412160034436,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,1,61.01014013801004,61.01037753690831,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,2,60.79759531802111,60.79783127043902,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,0,59.17823571996082,59.17846574159938,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,1,59.14869981330127,59.14894394573819,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,2,59.19168422404379,59.19365140340507,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,0,38.55137073433751,38.5515305551942,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,1,38.59412724816148,38.594286149874904,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,2,38.52313490208265,38.523295640977004,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,0,38.5257610221345,38.52832350905421,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,1,38.518152405208426,38.51831193054082,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,2,38.51543864377943,38.515597251407996,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,0,40.907479932173835,40.910341347643545,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,1,40.939574842102076,40.93974401856687,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,2,40.896415404001196,40.8965738852134,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,0,57.466790431014005,57.46702794976385,8192.0,8192.0,0.0
