case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite-all/local/k1/ikea2,142.81568678150168,142.7139479261999,143.52629036263863,overwrite-all/local/k1/prior,1.0819630142277576
overwrite-all/striped/k1/ikea2,157.32353625319834,157.20932911135932,157.62674925527685,overwrite-all/striped/k1/prior,1.7237726853603774
overwrite-all/local/k2/ikea2,1344.4391742678781,1344.279404704754,1344.9326292206756,overwrite-all/local/k2/prior,0.9607162036634984
overwrite-all/striped/k2/ikea2,154.63735430108147,153.4624549106183,156.17275254795348,overwrite-all/striped/k2/prior,1.7956167660845923
overwrite-all/local/k3/ikea2,1415.1438393097872,1415.0720207603122,1415.1671609598263,overwrite-all/local/k3/prior,1.000862792514791
overwrite-all/striped/k3/ikea2,172.5064580411837,172.4677877006089,172.52377789258725,overwrite-all/striped/k3/prior,1.3746978307404607
overwrite-all/local/k4/ikea2,1380.913365115897,1380.590991287182,1381.7878349498667,overwrite-all/local/k4/prior,1.010473738581271
overwrite-all/striped/k4/ikea2,148.53023372192982,148.46519192545736,148.6758870297019,overwrite-all/striped/k4/prior,1.6790716106556989
overwrite-all/local/k5/ikea2,1454.2224338551157,1454.0322413076524,1454.6178141016744,overwrite-all/local/k5/prior,1.0026216780710375
overwrite-all/striped/k5/ikea2,168.601975878057,168.55763312468355,168.67732681939015,overwrite-all/striped/k5/prior,1.1342156512474166
overwrite-all/local/k6/ikea2,1415.155178222482,1415.1348628798746,1415.3158142982231,overwrite-all/local/k6/prior,1.000074439024957
overwrite-all/striped/k6/ikea2,152.20007382798144,152.18098350451547,152.22410773094725,overwrite-all/striped/k6/prior,1.1010074749977616
overwrite-all/local/k7/ikea2,1478.859395902267,1478.8165880447946,1479.0593888615078,overwrite-all/local/k7/prior,1.0412042356229045
overwrite-all/striped/k7/ikea2,190.42664501071448,190.40318287905734,190.632594938149,overwrite-all/striped/k7/prior,0.99384525067923
overwrite-all/local/k8/ikea2,141.0691005885701,140.90025945531244,141.41841627939095,overwrite-all/local/k8/ikea,1.2703437645216271
overwrite-all/local/k9/ikea2,1818.7198908665655,1818.703304317706,1818.7451387986723,overwrite-all/local/k9/ikea,1.8419708442474692
overwrite-all/local/k10/ikea2,1818.6530798281178,1818.5088770239151,1818.8257585623119,overwrite-all/local/k10/ikea,1.137095749431508
overwrite-all/striped/k10/ikea2,459.8697513584761,459.8074098468572,460.0010648224359,overwrite-all/striped/k10/ikea,1.4911828974413563
overwrite-all/local/k11/ikea2,1847.0717050853348,1846.9596163998062,1847.1252419496816,overwrite-all/local/k11/ikea,1.0239748796599337
overwrite-all/local/k12/ikea2,2050.787985348003,2050.514627594628,2051.3602930402944,overwrite-all/local/k12/ikea,1.2696392656837339
overwrite-all/striped/k12/ikea2,407.4385065105025,407.39865814758286,407.44876431293306,overwrite-all/striped/k12/ikea,1.2970572067757429
overwrite-all/local/k13/ikea2,1926.4226127655727,1926.3545175056986,1926.5844078373225,overwrite-all/local/k13/ikea,1.0725837805757807
overwrite-all/local/k14/ikea2,1929.6591452206183,1929.575275735242,1929.9100643382915,overwrite-all/local/k14/ikea,1.073005534305882
overwrite-all/striped/k14/ikea2,440.38130221233234,439.92951597329727,440.4332626673857,overwrite-all/striped/k14/ikea,1.248285481786225
overwrite-all/local/k15/ikea2,1929.5416647515474,1929.3142896539248,1929.8842671324066,overwrite-all/local/k15/ikea,1.061855959271768
overwrite-all/striped/k15/ikea2,463.94673477234227,463.7776130059862,463.9889383204273,overwrite-all/striped/k15/ikea,1.0888534276547934
overwrite-all/local/k16/ikea2,268.96484416988005,266.8651811853098,271.0603592723524,overwrite-all/local/k16/ikea,1.017991825226476
overwrite-all/local/k17/ikea2,1952.1787556341078,1950.9325310161903,1952.7944333441828,overwrite-all/local/k17/ikea,1.5978141067923022
overwrite-all/local/k18/ikea2,1951.6813513639522,1951.6008643524183,1951.7370230958109,overwrite-all/local/k18/ikea,1.1618832035315954
overwrite-all/local/k19/ikea2,2072.359709744307,2072.2410405764854,2072.5642215421135,overwrite-all/local/k19/ikea,1.0981877971228415
overwrite-all/local/k20/ikea2,2240.2450274622665,2240.0581240334573,2243.1119820828844,overwrite-all/local/k20/ikea,1.328173505779771
overwrite-all/striped/k20/ikea2,695.967418379884,694.2442126938653,696.2892656680625,overwrite-all/striped/k20/ikea,1.1471780757459749
overwrite-all/local/k21/ikea2,2156.4074264554138,2155.7239251182373,2156.451244599891,overwrite-all/local/k21/ikea,1.1398722933186005
overwrite-all/local/k22/ikea2,2158.366455793876,2157.370416088065,2159.468703389432,overwrite-all/local/k22/ikea,1.1409391407218712
overwrite-all/local/k23/ikea2,2170.617730679767,2170.574877229299,2170.8511760144193,overwrite-all/local/k23/ikea,1.1459731610360349
overwrite-all/local/k24/ikea2,771.1181192873293,770.170569367994,774.6638856443452,overwrite-all/local/k24/ikea,0.9550973933923688
overwrite-all/local/k25/ikea2,2270.971063184128,2269.3977457462356,2272.217622195676,overwrite-all/local/k25/ikea,1.534079550854272
overwrite-all/local/k26/ikea2,2278.361909400846,2277.861503490827,2278.774746982733,overwrite-all/local/k26/ikea,1.3020307286069006
overwrite-all/local/k27/ikea2,2406.748623853179,2406.1272362385234,2411.5533830274976,overwrite-all/local/k27/ikea,1.2308681413992748
overwrite-all/local/k28/ikea2,2638.5798303487,2638.535218347435,2642.314483191985,overwrite-all/local/k28/ikea,1.5075343541131254
overwrite-all/local/k29/ikea2,2469.461981770089,2469.112496324651,2469.810585122057,overwrite-all/local/k29/ikea,1.2640623082180191
overwrite-all/local/k30/ikea2,2468.5809658255866,2468.1058173048837,2468.9979412975335,overwrite-all/local/k30/ikea,1.2619042419509947
overwrite-all/local/k31/ikea2,2470.539009597901,2470.303892127491,2473.733910380966,overwrite-all/local/k31/ikea,1.259606099163607
overwrite-all/local/k32/ikea2,603.335673610604,603.0548259208367,604.219433431849,overwrite-all/local/k32/ikea,0.9750902636188398
overwrite-all/local/k33/ikea2,2639.3854959431374,2639.0653500220005,2642.809359079134,overwrite-all/local/k33/ikea,1.4129002048777193
overwrite-all/local/k34/ikea2,2636.550443145448,2636.0375259287694,2639.5329059023857,overwrite-all/local/k34/ikea,1.1787627939386018
overwrite-all/local/k35/ikea2,2803.7870012011736,2803.561590818109,2804.0061390631745,overwrite-all/local/k35/ikea,1.113728515516729
overwrite-all/local/k36/ikea2,3011.201165971034,3011.189722182296,3012.3290629048256,overwrite-all/local/k36/ikea,1.480200856412323
overwrite-all/local/k37/ikea2,2911.3324299910396,2911.0491974150186,2918.2094364533814,overwrite-all/local/k37/ikea,1.1519474106886556
overwrite-all/local/k38/ikea2,2913.6661800487423,2913.089190128612,2919.480917622366,overwrite-all/local/k38/ikea,1.292949019740938
overwrite-all/local/k39/ikea2,2911.974635163238,2911.3439888810112,2918.689715079958,overwrite-all/local/k39/ikea,1.2902234507908514
overwrite-all/local/k40/ikea2,1384.4593088438658,1383.8828727823861,1385.1628305743798,overwrite-all/local/k40/ikea,1.026620065052792
overwrite-all/local/k41/ikea2,3226.806441646633,3226.0718313120547,3231.9857109753502,overwrite-all/local/k41/ikea,1.4745668229807922
overwrite-all/local/k42/ikea2,3223.95475182759,3222.376452481506,3226.5542901114736,overwrite-all/local/k42/ikea,1.277887150170667
overwrite-all/local/k43/ikea2,3241.766389017433,3240.2296776183784,3242.052830479581,overwrite-all/local/k43/ikea,1.1861826632178296
overwrite-all/local/k44/ikea2,3361.520137997328,3360.6769094993188,3368.1611842103507,overwrite-all/local/k44/ikea,1.3319227474097495
overwrite-all/local/k45/ikea2,3486.546239415476,3485.4340860038474,3487.6114062760876,overwrite-all/local/k45/ikea,1.2629561774827658
overwrite-all/local/k46/ikea2,3491.2778285048435,3489.8050136964066,3493.060679007104,overwrite-all/local/k46/ikea,1.2679880730859343
overwrite-all/local/k47/ikea2,3487.0674418606477,3485.7778239202676,3487.7856312292365,overwrite-all/local/k47/ikea,1.2881499631876077
overwrite-all/local/k48/ikea2,1231.0686016602083,1230.4055886823814,1232.0463872325297,overwrite-all/local/k48/ikea,0.9323547095185941
overwrite-all/local/k49/ikea2,3098.1261201215457,3097.926460786376,3098.350884988529,overwrite-all/local/k49/ikea,1.4973447302909988
overwrite-all/local/k50/ikea2,3056.789588642213,3055.4107025846756,3057.509428467286,overwrite-all/local/k50/ikea,1.2417517354692347
overwrite-all/local/k51/ikea2,3196.362564141726,3196.3137014627414,3197.448341885512,overwrite-all/local/k51/ikea,1.169757124997713
overwrite-all/local/k52/ikea2,3341.4742325433494,3341.0846985843664,3342.2031970734647,overwrite-all/local/k52/ikea,1.3480886183592873
overwrite-all/local/k53/ikea2,3324.9004596609943,3323.955222697708,3325.08456173714,overwrite-all/local/k53/ikea,1.206761597993163
overwrite-all/local/k54/ikea2,3325.677838522952,3323.888043736461,3326.282703430868,overwrite-all/local/k54/ikea,1.207699873814681
overwrite-all/local/k55/ikea2,3330.044037133983,3329.5184479887466,3330.5080536380447,overwrite-all/local/k55/ikea,1.2083661266537673
overwrite-all/local/k56/ikea2,1468.3507944822766,1468.008346429148,1468.4612187882756,overwrite-all/local/k56/prior,0.6946486982781152
overwrite-all/local/k57/ikea2,3094.1347517730887,3093.147532505893,3094.874408983274,overwrite-all/local/k57/ikea,1.3319508367472017
overwrite-all/local/k58/ikea2,3190.5311238095433,3190.3951999998712,3190.9920761904687,overwrite-all/local/k58/ikea,1.2025910734337515
overwrite-all/local/k59/ikea2,3380.8201803833463,3378.4644870349002,3385.925028184741,overwrite-all/local/k59/ikea,1.1582708906851964
overwrite-all/local/k60/ikea2,3260.1410833461255,3258.5042681981186,3260.244296135192,overwrite-all/local/k60/ikea,1.2256782458908106
overwrite-all/local/k61/ikea2,3538.5821071218566,3537.6822500630096,3540.8923736651705,overwrite-all/local/k61/ikea,1.2097654109814433
overwrite-all/local/k62/ikea2,3533.5528455285266,3532.905456374256,3537.11264772453,overwrite-all/local/k62/ikea,1.2085536265439556
overwrite-all/local/k63/ikea2,3535.0237373737978,3534.085353535225,3537.189141414237,overwrite-all/local/k63/ikea,1.2094059908828572
overwrite-all/local/k64/ikea2,1299.1419268814545,1298.2715433035912,1299.6865019070378,overwrite-all/local/k64/ikea,0.9872901454534929
overwrite/local/k3/all/ikea2-raw,1415.2433407511494,1414.872209859057,1415.261750623782,overwrite/local/k3/all/prior,0.9996404547491492
overwrite/local/k3/all/ikea2-coverage,1414.941128896351,1414.8690817186168,1415.1484077506357,overwrite/local/k3/all/prior,0.9994269909671534
overwrite/local/k3/all/ikea2-sum-coverage,3263.0589747586137,3262.679339358042,3263.2599719540253,overwrite/local/k3/all/ikea-materialized-sum-coverage,0.7431219099172458
overwrite/local/k3/prefilter75/ikea2-raw,4227.779602942854,4226.687191373608,4227.802680640892,,
overwrite/local/k3/prefilter75/ikea2-coverage,3853.0560352746043,3852.7723681792795,3853.1624104356774,,
overwrite/local/k3/prefilter75/ikea2-sum-coverage,4234.427388406343,4234.141385578648,4234.524540496616,overwrite/local/k3/prefilter75/ikea-materialized-sum-coverage,0.5544853806438187
overwrite/local/k7/all/ikea2-raw,1480.7483067587787,1480.6881966981434,1481.766579652969,overwrite/local/k7/all/prior,1.0419565717114185
overwrite/local/k7/all/ikea2-coverage,1478.790079966147,1478.759255997507,1478.7946947546131,overwrite/local/k7/all/prior,1.0405786283660365
overwrite/local/k7/all/ikea2-sum-coverage,3224.3595263722787,3224.2162847913637,3224.631708442214,overwrite/local/k7/all/ikea-materialized-sum-coverage,0.7285091009814182
overwrite/local/k7/prefilter75/ikea2-raw,4009.703448934632,4009.483328556416,4010.2633037164883,,
overwrite/local/k7/prefilter75/ikea2-coverage,3685.080165071648,3684.5363069628675,3685.4363859864056,,
overwrite/local/k7/prefilter75/ikea2-sum-coverage,4316.811439152571,4316.532661249022,4319.881287933561,overwrite/local/k7/prefilter75/ikea-materialized-sum-coverage,0.561094947797085
overwrite/local/k12/all/ikea2-raw,2050.6637855259137,2050.3529153238737,2050.7242406486284,overwrite/local/k12/all/ikea,1.2714012647244364
overwrite/local/k12/all/ikea2-coverage,2149.118351405563,2145.8708052829925,2155.887198725488,overwrite/local/k12/all/ikea,1.332442601905499
overwrite/local/k12/all/ikea2-sum-coverage,3455.2628891449776,3454.1072310985874,3456.5146598584897,overwrite/local/k12/all/ikea-materialized-sum-coverage,0.7207395916561377
overwrite/local/k12/prefilter75/ikea2-raw,3326.7624375147875,3326.4535428072722,3328.8945489170624,,
overwrite/local/k12/prefilter75/ikea2-coverage,3383.3392106113556,3381.7061630538633,3384.8910546750103,,
overwrite/local/k12/prefilter75/ikea2-sum-coverage,3815.6449262162414,3815.5458189106116,3821.4426124979923,overwrite/local/k12/prefilter75/ikea-materialized-sum-coverage,0.4876814697014733
overwrite/local/k31/all/ikea2-raw,2470.5210761802464,2470.08889673836,2470.6620157777197,overwrite/local/k31/all/ikea,1.2588045438280457
overwrite/local/k31/all/ikea2-coverage,2664.871109134871,2663.340553932198,2665.7362469824807,overwrite/local/k31/all/ikea,1.3578317113900693
overwrite/local/k31/all/ikea2-sum-coverage,5143.939739813498,5140.037064310054,5144.358615611452,overwrite/local/k31/all/ikea-materialized-sum-coverage,0.9706865013593083
overwrite/local/k31/prefilter75/ikea2-raw,5187.504790344555,5184.867363444118,5188.554186885739,,
overwrite/local/k31/prefilter75/ikea2-coverage,5033.699589471053,5031.223496740003,5036.561579328586,,
overwrite/local/k31/prefilter75/ikea2-sum-coverage,6050.030709342583,6049.432237601113,6051.923154555807,overwrite/local/k31/prefilter75/ikea-materialized-sum-coverage,0.6621772296947875
overwrite/local/k56/all/ikea2-raw,1468.8100132858333,1468.034263338185,1469.8379833578256,overwrite/local/k56/all/prior,0.6948099312701395
overwrite/local/k56/all/ikea2-coverage,1482.8778967387461,1481.957702331539,1482.8833204197535,overwrite/local/k56/all/prior,0.7014646415775456
overwrite/local/k56/all/ikea2-sum-coverage,3690.5383676317,3688.1868678060855,3690.8339727938755,overwrite/local/k56/all/ikea-materialized-sum-coverage,0.6291388166696411
overwrite/local/k56/prefilter75/ikea2-raw,2962.1608757061786,2961.910593220419,2963.681991525545,,
overwrite/local/k56/prefilter75/ikea2-coverage,2883.422322775232,2882.790278348898,2884.347319347341,,
overwrite/local/k56/prefilter75/ikea2-sum-coverage,6408.456030534474,6405.956946564887,6410.952824427535,overwrite/local/k56/prefilter75/ikea-materialized-sum-coverage,0.7732730744150538
overwrite/local/k64/all/ikea2-raw,1299.9053611179177,1298.697780113753,1300.1558867176882,overwrite/local/k64/all/ikea,0.9885759236144749
overwrite/local/k64/all/ikea2-coverage,1300.7587674339027,1300.738452458572,1303.4956356971875,overwrite/local/k64/all/ikea,0.9892249377367937
overwrite/local/k64/all/ikea2-sum-coverage,2728.879127320015,2722.877955063406,2729.594008466371,overwrite/local/k64/all/ikea-materialized-sum-coverage,0.5314864384751806
overwrite/local/k64/prefilter75/ikea2-raw,1819.8132639791431,1819.4924143910275,1820.9996098829768,,
overwrite/local/k64/prefilter75/ikea2-coverage,1821.7266776486704,1821.00307785679,1821.8687359112478,,
overwrite/local/k64/prefilter75/ikea2-sum-coverage,3529.751529372149,3526.61191653394,3534.5726975614607,overwrite/local/k64/prefilter75/ikea-materialized-sum-coverage,0.4866229194468974
overwrite/striped/k3/all/ikea2-raw,172.5894904628633,172.48584116968107,172.60286668558604,overwrite/striped/k3/all/prior,1.3719726904312095
overwrite/striped/k3/all/ikea2-coverage,224.46471031817165,224.21040640495113,224.49256341553172,overwrite/striped/k3/all/prior,1.7843464958160287
overwrite/striped/k3/all/ikea2-sum-coverage,772.8786997497467,772.7420482992387,772.9762921514208,overwrite/striped/k3/all/ikea-materialized-sum-coverage,0.5015095796570375
overwrite/striped/k3/prefilter75/ikea2-raw,409.7640717978705,409.4893766462194,409.7674275680396,,
overwrite/striped/k3/prefilter75/ikea2-coverage,437.0207561543266,436.95077587736256,437.25852838969604,,
overwrite/striped/k3/prefilter75/ikea2-sum-coverage,907.9832165412137,907.8267367419616,908.0149018081913,overwrite/striped/k3/prefilter75/ikea-materialized-sum-coverage,0.17562286581289502
overwrite/striped/k7/all/ikea2-raw,190.57846855048896,190.51463172628928,190.75040209496345,overwrite/striped/k7/all/prior,0.9934101350001079
overwrite/striped/k7/all/ikea2-coverage,226.14834684897357,226.05713238149522,226.23337143599852,overwrite/striped/k7/all/prior,1.1788218337675043
overwrite/striped/k7/all/ikea2-sum-coverage,823.3168113159795,823.1812589385626,823.3183198480567,overwrite/striped/k7/all/ikea-materialized-sum-coverage,0.5038848603648133
overwrite/striped/k7/prefilter75/ikea2-raw,516.5596758349078,516.5188605107684,516.57385805503,,
overwrite/striped/k7/prefilter75/ikea2-coverage,502.44023417861223,502.412195005073,502.6594593299536,,
overwrite/striped/k7/prefilter75/ikea2-sum-coverage,973.9179795355437,973.882410264737,974.3889881435312,overwrite/striped/k7/prefilter75/ikea-materialized-sum-coverage,0.1853606368116916
overwrite/striped/k12/all/ikea2-raw,407.19386963518764,407.0512964722806,407.45194228424293,overwrite/striped/k12/all/ikea,1.3165405280479336
overwrite/striped/k12/all/ikea2-coverage,523.770023097645,523.5856919907526,524.3289968163402,overwrite/striped/k12/all/ikea,1.6934549221049058
overwrite/striped/k12/all/ikea2-sum-coverage,1588.4069912610353,1588.1312752996932,1588.6925434117275,overwrite/striped/k12/all/ikea-materialized-sum-coverage,0.7092882995909395
overwrite/striped/k12/prefilter75/ikea2-raw,1233.7702020202898,1233.5294221282456,1234.2429527836296,,
overwrite/striped/k12/prefilter75/ikea2-coverage,1210.6797057550973,1210.488763882979,1211.2723496320486,,
overwrite/striped/k12/prefilter75/ikea2-sum-coverage,2024.4884046091513,2024.0053999325419,2024.9806663129857,overwrite/striped/k12/prefilter75/ikea-materialized-sum-coverage,0.3499220220721446
pipeline-mutation/k7/depth3/inline,8347.098569156686,8345.61883942737,8347.521462639505,,
pipeline-mutation/k7/depth3/cps,9872.836979534639,9872.537520583262,9872.852505292896,pipeline-mutation/k7/depth3/inline,1.1827866770395763
pipeline-mutation/k7/depth3/scratch-calls,11123.475470696865,11122.967913021197,11126.966321930506,pipeline-mutation/k7/depth3/inline,1.3326158039871667
pipeline-mutation/k7/depth3/fused,6580.140975380375,6578.312686215895,6585.429355496089,pipeline-mutation/k7/depth3/inline,0.7883147564226226
pipeline-mutation/k12/depth3/inline,11269.367686526848,11267.90901771351,11269.417337626564,,
pipeline-mutation/k12/depth3/cps,13196.701037410205,13196.613329142927,13206.872995912228,pipeline-mutation/k12/depth3/inline,1.171024089771034
pipeline-mutation/k12/depth3/scratch-calls,14702.307422970014,14700.285714285952,14703.964635854209,pipeline-mutation/k12/depth3/inline,1.304625763568566
pipeline-mutation/k12/depth3/fused,7080.77357853904,7080.389573140614,7086.827737471948,pipeline-mutation/k12/depth3/inline,0.6283203969823875
pipeline-mutation/k31/depth3/inline,14790.121521663652,14789.295174357467,14790.679464599918,,
pipeline-mutation/k31/depth3/cps,17168.660261652196,17167.577269010144,17169.719133279807,pipeline-mutation/k31/depth3/inline,1.1608194183194918
pipeline-mutation/k31/depth3/scratch-calls,18955.566080289966,18948.621109609532,18960.44564727229,pipeline-mutation/k31/depth3/inline,1.2816369393939753
pipeline-mutation/k31/depth3/fused,9841.044100398945,9838.236922355563,9844.460239268423,pipeline-mutation/k31/depth3/inline,0.665379529572113
pipeline-mutation/k64/depth3/inline,14451.58726333785,14451.125989672726,14452.358691910738,,
pipeline-mutation/k64/depth3/cps,17574.78535564925,17573.707531381475,17575.929288703155,pipeline-mutation/k64/depth3/inline,1.2161145371370121
pipeline-mutation/k64/depth3/scratch-calls,19450.556739232663,19450.41315423761,19453.18851320264,pipeline-mutation/k64/depth3/inline,1.345911447981681
pipeline-mutation/k64/depth3/fused,9241.728473905723,9240.681347720702,9242.323276810932,pipeline-mutation/k64/depth3/inline,0.6394957388072529
pipeline-mutation/k7/depth7/inline,21855.923517170453,21848.750260146353,21856.315296564208,,
pipeline-mutation/k7/depth7/cps,28879.649243468928,28875.96011004164,28902.211141678334,pipeline-mutation/k7/depth7/inline,1.3213648565699132
pipeline-mutation/k7/depth7/scratch-calls,32848.308535632794,32843.31793265311,32858.94831636732,pipeline-mutation/k7/depth7/inline,1.5029476338451908
pipeline-mutation/k7/depth7/fused,6581.250666666913,6580.024000000179,6582.2403137257,pipeline-mutation/k7/depth7/inline,0.30111977018479913
pipeline-mutation/k31/depth7/inline,36194.37068965534,36194.30172413852,36194.628448275915,,
pipeline-mutation/k31/depth7/cps,45609.85869565138,45607.8391304368,45621.27173913171,pipeline-mutation/k31/depth7/inline,1.2601368065417717
pipeline-mutation/k31/depth7/scratch-calls,46551.508324083705,46541.84350721828,46573.2441731407,pipeline-mutation/k31/depth7/inline,1.2861532729283927
pipeline-mutation/k31/depth7/fused,9689.72500577254,9686.849457400302,9691.581159086045,pipeline-mutation/k31/depth7/inline,0.26771359250464727
decode/local/k1/ikea2,246.81806973043345,246.56678662022938,247.32940829452264,decode/local/k1/prior,0.9836570851584878
point/local/k1/ikea2,554.4219336257194,554.3894202821544,554.5455794535933,point/local/k1/prior,0.9992466794932624
decode/striped/k1/ikea2,144.57122099390668,136.02608175006498,153.665157644162,decode/striped/k1/prior,1.1116901804776054
point/striped/k1/ikea2,555.4135358239398,555.3463064874853,555.5572547359476,point/striped/k1/prior,1.0004064012447245
decode/local/k2/ikea2,409.2932871500118,409.09036979217404,409.49160893741237,decode/local/k2/prior,1.0094440671987954
point/local/k2/ikea2,555.3430213312199,555.3390622723919,556.2997365041164,point/local/k2/prior,0.9990144424388391
decode/striped/k2/ikea2,157.91838624438958,157.8493220811261,158.0854042293565,decode/striped/k2/prior,1.0719806293862224
point/striped/k2/ikea2,554.7937325776849,554.7547593568784,554.7951329713085,point/striped/k2/prior,0.9974974903100889
decode/local/k3/ikea2,1406.7807370184928,1406.7383249580146,1406.8260636517193,decode/local/k3/prior,0.9976316047622479
point/local/k3/ikea2,574.2293359924254,574.2200336033648,574.2997937355434,point/local/k3/prior,1.0106539779425316
decode/striped/k3/ikea2,158.03752752735812,157.84462346364487,158.04580549231423,decode/striped/k3/prior,1.0321222305253714
point/striped/k3/ikea2,651.871419029866,646.7923894795447,703.7360687402473,point/striped/k3/prior,0.8700482932414216
decode/local/k4/ikea2,1399.6471196160091,1399.6073809839831,1400.75356714234,decode/local/k4/prior,0.9851049622621066
point/local/k4/ikea2,555.951955529072,555.9140096618339,555.9658659254475,point/local/k4/prior,0.9926489768458757
decode/striped/k4/ikea2,161.5401724728479,161.53290721792945,161.62782115466624,decode/striped/k4/prior,1.2053032874941745
point/striped/k4/ikea2,554.2897816479174,554.2430371396334,554.3527409459836,point/striped/k4/prior,0.9970378578363684
decode/local/k5/ikea2,1379.902746747114,1379.7655079511524,1380.0542449729444,decode/local/k5/prior,1.0174646376321235
point/local/k5/ikea2,576.9775682437054,576.7841218352714,577.0974654314963,point/local/k5/prior,0.9164446991432454
decode/striped/k5/ikea2,240.5923929014694,225.85843144075324,242.92043253229824,decode/striped/k5/prior,1.4744475171531053
point/striped/k5/ikea2,1087.426913622645,1069.9159663864114,1128.8067798548884,point/striped/k5/prior,0.8509656380191718
decode/local/k6/ikea2,1379.5810500033865,1379.5012484393687,1379.660555884002,decode/local/k6/prior,1.0173103175137614
point/local/k6/ikea2,566.8381994642364,566.8128525083877,567.3898423724064,point/local/k6/prior,0.8970927305815932
decode/striped/k6/ikea2,196.64918807853655,195.87306994094547,203.23629009735777,decode/striped/k6/prior,1.0616032384141951
point/striped/k6/ikea2,946.9000434926428,938.5025967712915,1027.0458976131767,point/striped/k6/prior,0.8974933926383215
decode/local/k7/ikea2,1377.8752379078276,1377.3684124171632,1378.1058279188276,decode/local/k7/prior,1.0163661648515547
point/local/k7/ikea2,577.073627624508,577.0053482536355,577.1804144210982,point/local/k7/prior,0.9059923019823604
decode/striped/k7/ikea2,281.3104714078029,280.74209373570613,282.76268584413344,decode/striped/k7/prior,1.6106676440441683
point/striped/k7/ikea2,713.9744967857032,707.6742543997426,770.2830224470576,point/striped/k7/prior,1.0253673709147262
decode/local/k8/ikea2,161.36016307469146,161.27685703606622,161.4619614431638,decode/local/k8/ikea,1.4956673208635685
decode/local/k9/ikea2,816.1175906162122,815.5610080874503,819.802279358471,decode/local/k9/ikea,0.6253799225204726
decode/local/k10/ikea2,1113.5766145259997,1111.9269941778448,1121.8247699283747,decode/local/k10/ikea,0.8033191212670514
