case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
ordinary/k7/local/read/bound,0,947.6801121461519,947.6858551154825,8192.0,,
ordinary/k7/local/read/bound,1,946.2314823188929,946.236976575602,8192.0,,
ordinary/k7/local/read/bound,2,955.6485936510805,958.4001537482387,8192.0,,
ordinary/k7/local/read/concrete,0,950.1854313680855,950.1907352599932,8192.0,,
ordinary/k7/local/read/concrete,1,949.6202139767815,949.6252902342595,8192.0,,
ordinary/k7/local/read/concrete,2,958.1515365353974,958.1570908263441,8192.0,,
ordinary/k12/striped/read/bound,0,169.87534340101126,169.87629029356148,8192.0,,
ordinary/k12/striped/read/bound,1,170.49834192174524,170.49929287826023,8192.0,,
ordinary/k12/striped/read/bound,2,171.26573142383398,171.26672708348238,8192.0,,
ordinary/k12/striped/read/concrete,0,169.66185366324527,169.6627586152444,8192.0,,
ordinary/k12/striped/read/concrete,1,170.53261848836837,170.5335274621925,8192.0,,
ordinary/k12/striped/read/concrete,2,168.92663052221764,168.92761189223611,8192.0,,
ordinary/k28/local/read/bound,0,1336.5040704488592,1336.511514459008,8192.0,,
ordinary/k28/local/read/bound,1,1341.6476923564248,1341.6554848101136,8192.0,,
ordinary/k28/local/read/bound,2,1340.293832557257,1340.301625011913,8192.0,,
ordinary/k28/local/read/concrete,0,1332.6449775302233,1332.7267865061758,8192.0,,
ordinary/k28/local/read/concrete,1,1332.5826318121428,1332.5900689918908,8192.0,,
ordinary/k28/local/read/concrete,2,1338.8881258307485,1338.895246535106,8192.0,,
ordinary/k64/local/read/bound,0,644.2100700284392,644.2134950004496,8192.0,,
ordinary/k64/local/read/bound,1,647.5195865569867,647.5233479090855,8192.0,,
ordinary/k64/local/read/bound,2,646.4916363413956,646.4952447935174,8192.0,,
ordinary/k64/local/read/concrete,0,654.7558152115125,654.8639588263535,8192.0,,
ordinary/k64/local/read/concrete,1,650.3528075300227,650.4205653705488,8192.0,,
ordinary/k64/local/read/concrete,2,648.3526684286167,648.3564396223674,8192.0,,
ordinary/k7/local/point/bound,0,9193.404730617644,9193.455978975224,8192.0,,
ordinary/k7/local/point/bound,1,9192.476127901873,9192.527376257362,8192.0,,
ordinary/k7/local/point/bound,2,9198.860271572488,9198.913710028028,8192.0,,
ordinary/k7/local/point/concrete,0,5092.397207510818,5092.426937888556,8192.0,,
ordinary/k7/local/point/concrete,1,5090.10664419837,5090.135050554277,8192.0,,
ordinary/k7/local/point/concrete,2,5066.055127587879,5066.083413575004,8192.0,,
ordinary/k12/striped/point/bound,0,11031.750600801086,11031.812016031916,8192.0,,
ordinary/k12/striped/point/bound,1,11071.721228304417,11071.7829105553,8192.0,,
ordinary/k12/striped/point/bound,2,11090.164485981293,11090.645393848507,8192.0,,
ordinary/k12/striped/point/concrete,0,7350.617385233027,7351.513527662621,8192.0,,
ordinary/k12/striped/point/concrete,1,7393.731192180104,7393.774131603497,8192.0,,
ordinary/k12/striped/point/concrete,2,7393.743410717373,7393.786350140535,8192.0,,
ordinary/k28/local/point/bound,0,11083.432489451412,11083.494198309198,8192.0,,
ordinary/k28/local/point/bound,1,11075.020042194095,11075.082014774349,8192.0,,
