case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
ordinary/k7/local/read/bound,1379.9594665615557,1378.762711864407,1380.6109906713962,ordinary/k7/local/read/concrete,1.0007831940785077
ordinary/k7/local/read/concrete,1378.8795362737706,1378.8728037045555,1379.352129790798,,
ordinary/k12/striped/read/bound,543.0163607394073,542.1120509864376,543.1762244646819,ordinary/k12/striped/read/concrete,0.999886032097064
ordinary/k12/striped/read/concrete,543.078254229172,542.8279080001549,543.0894888753704,,
ordinary/k28/local/read/bound,1714.5210472489277,1714.1529147064873,1714.5547964818988,ordinary/k28/local/read/concrete,0.9974397025519902
ordinary/k28/local/read/concrete,1718.9219988559264,1718.4685789000587,1719.023167443004,,
ordinary/k64/local/read/bound,1151.806617868792,1151.0217397264046,1152.8374592208806,ordinary/k64/local/read/concrete,1.0134553952732548
ordinary/k64/local/read/concrete,1136.5143678160932,1135.6969746258926,1136.531283886357,,
ordinary/k7/local/point/bound,12319.89472140768,12319.746920821117,12322.796480938416,ordinary/k7/local/point/concrete,1.6575551640946995
ordinary/k7/local/point/concrete,7432.569961034383,7431.808537017382,7434.413744243738,,
ordinary/k12/striped/point/bound,11747.174083403293,11746.565631122292,11748.232017912082,ordinary/k12/striped/point/concrete,1.2010486737425041
ordinary/k12/striped/point/concrete,9780.764377182768,9777.749941792808,9782.975785797447,,
ordinary/k28/local/point/bound,14349.369699042381,14344.579001368056,14357.592681258562,ordinary/k28/local/point/concrete,1.2449767405895806
ordinary/k28/local/point/concrete,11525.813480055045,11524.044841815667,11529.853920220035,,
ordinary/k64/local/point/bound,6889.887887231564,6886.060809703306,6890.670545812209,ordinary/k64/local/point/concrete,1.2279813732537423
ordinary/k64/local/point/concrete,5610.74299439547,5608.916733386729,5620.972511342414,,
ordinary/k7/local/maintained-write/bound,3772.981386565973,3772.5687438179784,3773.558672781247,ordinary/k7/local/maintained-write/concrete,0.999260093839545
ordinary/k7/local/maintained-write/concrete,3775.7751058272675,3775.0798883184793,3776.3476537872943,,
ordinary/k12/striped/maintained-write/bound,1970.016607243383,1969.3794802026555,1970.109729780441,ordinary/k12/striped/maintained-write/concrete,1.0035029574118781
ordinary/k12/striped/maintained-write/concrete,1963.1398120880763,1961.9421306034628,1963.4648716870029,,
ordinary/k28/local/maintained-write/bound,4993.184717924303,4990.457272078043,4993.207450606976,ordinary/k28/local/maintained-write/concrete,1.0011522436109526
ordinary/k28/local/maintained-write/concrete,4987.437974383298,4986.75913187853,4987.980550284647,,
ordinary/k64/local/maintained-write/bound,3524.227438352691,3518.8432336242686,3524.797305313117,ordinary/k64/local/maintained-write/concrete,1.002043232758165
ordinary/k64/local/maintained-write/concrete,3517.0413043478284,3511.8665551839485,3517.435367892983,,
overwrite-all/local/k1/ikea2,142.61144878889672,141.01852691846358,143.18452662950585,overwrite-all/local/k1/prior,1.0857097045138577
overwrite-all/striped/k1/ikea2,106.92641485351997,106.84146503468237,106.9909223279476,overwrite-all/striped/k1/prior,1.1707759642514182
overwrite-all/local/k2/ikea2,1331.246709277315,1329.373148968464,1334.1673205923298,overwrite-all/local/k2/prior,0.9501833675975239
overwrite-all/striped/k2/ikea2,110.06166402830995,106.07715813598149,110.19947810426926,overwrite-all/striped/k2/prior,1.279618399834319
overwrite-all/local/k3/ikea2,1415.1360771227407,1414.9337310816786,1415.9340344490724,overwrite-all/local/k3/prior,0.9997751275768963
overwrite-all/striped/k3/ikea2,172.51020190501256,172.49989334558518,172.51549360483847,overwrite-all/striped/k3/prior,1.3774748849995309
overwrite-all/local/k4/ikea2,1382.5284783038194,1382.3693948772006,1382.6151972081273,overwrite-all/local/k4/prior,1.0125282367861106
overwrite-all/striped/k4/ikea2,130.32754404723093,130.21652487874601,130.34078378504216,overwrite-all/striped/k4/prior,1.476144941708882
overwrite-all/local/k5/ikea2,1454.2902030069943,1453.9548603893893,1454.5616642416949,overwrite-all/local/k5/prior,1.002769778239471
overwrite-all/striped/k5/ikea2,168.61818795750062,168.52659294365353,168.9830927486944,overwrite-all/striped/k5/prior,1.1330780065249002
overwrite-all/local/k6/ikea2,1415.4233569261858,1415.2120323559097,1415.6186046511805,overwrite-all/local/k6/prior,0.999067218444364
overwrite-all/striped/k6/ikea2,152.07027079842686,152.0327903854476,152.18550578834325,overwrite-all/striped/k6/prior,1.086546750640345
overwrite-all/local/k7/ikea2,1479.0382556009886,1479.009863322527,1479.204276454841,overwrite-all/local/k7/prior,1.0405673700282732
overwrite-all/striped/k7/ikea2,191.98645899525383,191.29733065743787,192.00631334488108,overwrite-all/striped/k7/prior,0.9952487401602269
overwrite-all/local/k8/ikea2,143.49369500801495,142.99415745552736,148.26612196747914,overwrite-all/local/k8/ikea,1.285749740919758
overwrite-all/local/k9/ikea2,989.317610735084,988.3888136800791,989.9302458140321,overwrite-all/local/k9/ikea,1.0015059213058342
overwrite-all/local/k10/ikea2,1819.4037945074372,1818.9024083860438,1819.4226370961162,overwrite-all/local/k10/ikea,1.1307876099228698
overwrite-all/striped/k10/ikea2,435.22589334741286,435.13520653963957,435.3131922212184,overwrite-all/striped/k10/ikea,1.4095148241064241
overwrite-all/local/k11/ikea2,1847.1424298407567,1846.9557930851868,1847.59496788951,overwrite-all/local/k11/ikea,1.0227035739146557
overwrite-all/local/k12/ikea2,2050.5329458310475,2050.228300688707,2050.7000928052316,overwrite-all/local/k12/ikea,1.266221650454448
overwrite-all/striped/k12/ikea2,391.20900868882495,390.9126067396839,391.74435787838377,overwrite-all/striped/k12/ikea,1.2643612667408364
overwrite-all/local/k13/ikea2,1926.1592879754621,1925.8004771299093,1926.2617791439764,overwrite-all/local/k13/ikea,1.070671862903183
overwrite-all/local/k14/ikea2,1926.4323791174024,1926.0968437471297,1926.4484815120643,overwrite-all/local/k14/ikea,1.0709243650166325
overwrite-all/striped/k14/ikea2,438.3761954478954,438.1682919189838,438.56542075589647,overwrite-all/striped/k14/ikea,1.2448236876493186
overwrite-all/local/k15/ikea2,1926.3973363949724,1926.2496440872965,1930.4217680826698,overwrite-all/local/k15/ikea,1.0493418390692306
overwrite-all/striped/k15/ikea2,463.361842832815,463.34704620352056,463.45746798488807,overwrite-all/striped/k15/ikea,1.08751926991984
