case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
ordinary/k7/local/read/bound,0,1378.762711864407,1378.724839049629,8192.0,,
ordinary/k7/local/read/bound,1,1379.9594665615557,1379.9227762438509,8192.0,,
ordinary/k7/local/read/bound,2,1380.6109906713962,1384.1343778726182,8192.0,,
ordinary/k7/local/read/concrete,0,1379.352129790798,1379.433150512972,8192.0,,
ordinary/k7/local/read/concrete,1,1378.8795362737706,1378.8426877736615,8192.0,,
ordinary/k7/local/read/concrete,2,1378.8728037045555,1378.835199843804,8192.0,,
ordinary/k12/striped/read/bound,0,542.1120509864376,542.0973742496617,8192.0,,
ordinary/k12/striped/read/bound,1,543.0163607394073,543.3526691455468,8192.0,,
ordinary/k12/striped/read/bound,2,543.1762244646819,543.1620011146912,8192.0,,
ordinary/k12/striped/read/concrete,0,543.0894888753704,543.0740088792505,8192.0,,
ordinary/k12/striped/read/concrete,1,542.8279080001549,543.008671905428,8192.0,,
ordinary/k12/striped/read/concrete,2,543.078254229172,543.0639520578004,8192.0,,
ordinary/k28/local/read/bound,0,1714.5210472489277,1714.4728983445507,8192.0,,
ordinary/k28/local/read/bound,1,1714.1529147064873,1714.107015746279,8192.0,,
ordinary/k28/local/read/bound,2,1714.5547964818988,1714.5835140099023,8192.0,,
ordinary/k28/local/read/concrete,0,1719.023167443004,1718.9741358204667,8192.0,,
ordinary/k28/local/read/concrete,1,1718.9219988559264,1718.8755413912315,8192.0,,
ordinary/k28/local/read/concrete,2,1718.4685789000587,1718.502860175987,8192.0,,
ordinary/k64/local/read/bound,0,1152.8374592208806,1152.8048907523992,8192.0,,
ordinary/k64/local/read/bound,1,1151.806617868792,1151.773665597206,8192.0,,
ordinary/k64/local/read/bound,2,1151.0217397264046,1150.99144666536,8192.0,,
ordinary/k64/local/read/concrete,0,1135.6969746258926,1135.6650672312887,8192.0,,
ordinary/k64/local/read/concrete,1,1136.531283886357,1136.4999728919804,8192.0,,
ordinary/k64/local/read/concrete,2,1136.5143678160932,1138.925829538844,8192.0,,
ordinary/k7/local/point/bound,0,12322.796480938416,12322.45249268431,8192.0,,
ordinary/k7/local/point/bound,1,12319.89472140768,12319.547214077631,8192.0,,
ordinary/k7/local/point/bound,2,12319.746920821117,12319.400879747382,8192.0,,
ordinary/k7/local/point/concrete,0,7431.808537017382,7431.598122574714,8192.0,,
ordinary/k7/local/point/concrete,1,7434.413744243738,7434.207934817441,8192.0,,
ordinary/k7/local/point/concrete,2,7432.569961034383,7432.883988667736,8192.0,,
ordinary/k12/striped/point/bound,0,11748.232017912082,11747.904562003998,8192.0,,
ordinary/k12/striped/point/bound,1,11747.174083403293,11746.8474671049,8192.0,,
ordinary/k12/striped/point/bound,2,11746.565631122292,11749.242093472545,8192.0,,
ordinary/k12/striped/point/concrete,0,9782.975785797447,9782.700116416347,8192.0,,
ordinary/k12/striped/point/concrete,1,9780.764377182768,9781.256810236977,8192.0,,
ordinary/k12/striped/point/concrete,2,9777.749941792808,9777.48405122364,8192.0,,
ordinary/k28/local/point/bound,0,14344.579001368056,14344.156292727734,8192.0,,
ordinary/k28/local/point/bound,1,14349.369699042381,14348.977428145661,8192.0,,
ordinary/k28/local/point/bound,2,14357.592681258562,14357.186388520167,8192.0,,
ordinary/k28/local/point/concrete,0,11529.853920220035,11529.534800562056,8192.0,,
