case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
ordinary/k7/local/read/bound,53.4002310445613,53.19482864195038,53.632916906022956,ordinary/k7/local/read/concrete,1.0382013448768208
ordinary/k7/local/read/concrete,51.43533218105883,51.30485862083815,51.48784883470601,,
ordinary/k12/striped/read/bound,95.38845212070194,95.1748656881249,95.42825912800255,ordinary/k12/striped/read/concrete,1.0039859571588416
ordinary/k12/striped/read/concrete,95.00974733813975,94.82825687741416,95.42370389803077,,
ordinary/k28/local/read/bound,420.08788681697774,419.9538069289611,420.37744338349245,ordinary/k28/local/read/concrete,0.9266076628027726
ordinary/k28/local/read/concrete,453.361118929569,452.25009201723446,454.77190551453776,,
ordinary/k64/local/read/bound,631.6131710852114,631.5570082734469,632.6340660667914,ordinary/k64/local/read/concrete,0.9970760797210239
ordinary/k64/local/read/concrete,633.4653733363388,632.5738777351692,633.9917287014073,,
ordinary/k7/local/point/bound,12723.3424325144,12714.780103124023,12742.335456475646,ordinary/k7/local/point/concrete,2.534177325619892
ordinary/k7/local/point/concrete,5020.6993424985,5016.516437537344,5029.662881051991,,
ordinary/k12/striped/point/bound,10918.43417294208,10910.950402492892,10919.394962347413,ordinary/k12/striped/point/concrete,1.5003259369506075
ordinary/k12/striped/point/concrete,7277.374805059793,7276.515335297178,7278.104314676835,,
ordinary/k28/local/point/bound,10908.178980228966,10904.960978147774,10923.491155046802,ordinary/k28/local/point/concrete,1.4976844214601042
ordinary/k28/local/point/concrete,7283.362785862791,7281.668399168391,7286.626819126798,,
ordinary/k64/local/point/bound,10915.033889468219,10911.960375391038,10918.081334723698,ordinary/k64/local/point/concrete,2.855487653381934
ordinary/k64/local/point/concrete,3822.4763033175286,3821.4737513670907,3828.472475391886,,
ordinary/k7/local/maintained-write/bound,382.9844586080284,382.7527987289269,383.58374271782594,ordinary/k7/local/maintained-write/concrete,1.0204274478626596
ordinary/k7/local/maintained-write/concrete,375.31767634260524,375.2869652418364,376.06808373475445,,
ordinary/k12/striped/maintained-write/bound,776.0563380281629,775.7512657645138,776.7253981404764,ordinary/k12/striped/maintained-write/concrete,1.013155885824256
ordinary/k12/striped/maintained-write/concrete,765.9792030885751,765.1236523892738,766.2070221445175,,
