case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
ordinary/k7/local/read/bound,0,53.19482864195038,53.1948551552552,8192.0,,
ordinary/k7/local/read/bound,1,53.632916906022956,53.632942156834694,8192.0,,
ordinary/k7/local/read/bound,2,53.4002310445613,53.40025755789726,8192.0,,
ordinary/k7/local/read/concrete,0,51.48784883470601,51.487873438369675,8192.0,,
ordinary/k7/local/read/concrete,1,51.30485862083815,51.304895526521996,8192.0,,
ordinary/k7/local/read/concrete,2,51.43533218105883,51.59428578458748,8192.0,,
ordinary/k12/striped/read/bound,0,95.1748656881249,95.17491094896849,8192.0,,
ordinary/k12/striped/read/bound,1,95.38845212070194,95.38849964471427,8192.0,,
ordinary/k12/striped/read/bound,2,95.42825912800255,95.43679081747058,8192.0,,
ordinary/k12/striped/read/concrete,0,94.82825687741416,94.82830210861722,8192.0,,
ordinary/k12/striped/read/concrete,1,95.00974733813975,95.01603448431209,8192.0,,
ordinary/k12/striped/read/concrete,2,95.42370389803077,95.42377400647177,8192.0,,
ordinary/k28/local/read/bound,0,420.37744338349245,420.37765335163607,8192.0,,
ordinary/k28/local/read/bound,1,420.08788681697774,420.0881867717207,8192.0,,
ordinary/k28/local/read/bound,2,419.9538069289611,419.95401689750315,8192.0,,
ordinary/k28/local/read/concrete,0,452.25009201723446,452.25042760999474,8192.0,,
ordinary/k28/local/read/concrete,1,453.361118929569,453.3614436970479,8192.0,,
ordinary/k28/local/read/concrete,2,454.77190551453776,454.7720137699013,8192.0,,
ordinary/k64/local/read/bound,0,632.6340660667914,632.6345189921335,8192.0,,
ordinary/k64/local/read/bound,1,631.6131710852114,631.6136391082005,8192.0,,
ordinary/k64/local/read/bound,2,631.5570082734469,631.5574611991392,8192.0,,
ordinary/k64/local/read/concrete,0,632.5738777351692,632.5741935482357,8192.0,,
ordinary/k64/local/read/concrete,1,633.4653733363388,633.4658244993097,8192.0,,
ordinary/k64/local/read/concrete,2,633.9917287014073,634.0234754481897,8192.0,,
ordinary/k7/local/point/bound,0,12742.335456475646,12742.341522579356,8192.0,,
ordinary/k7/local/point/bound,1,12723.3424325144,12723.348801957234,8192.0,,
ordinary/k7/local/point/bound,2,12714.780103124023,12714.789202327402,8192.0,,
ordinary/k7/local/point/concrete,0,5016.516437537344,5016.5188284565265,8192.0,,
ordinary/k7/local/point/concrete,1,5029.662881051991,5048.931380755006,8192.0,,
ordinary/k7/local/point/concrete,2,5020.6993424985,5020.833233714208,8192.0,,
ordinary/k12/striped/point/bound,0,10910.950402492892,10911.184367712634,8192.0,,
ordinary/k12/striped/point/bound,1,10918.43417294208,10918.441963146002,8192.0,,
ordinary/k12/striped/point/bound,2,10919.394962347413,10919.867826534932,8192.0,,
ordinary/k12/striped/point/concrete,0,7277.374805059793,7277.380003458388,8192.0,,
ordinary/k12/striped/point/concrete,1,7278.104314676835,7278.106047476226,8192.0,,
ordinary/k12/striped/point/concrete,2,7276.515335297178,7276.5172413752,8192.0,,
ordinary/k28/local/point/bound,0,10923.491155046802,10923.496357958324,8192.0,,
ordinary/k28/local/point/bound,1,10908.178980228966,10908.181841832971,8192.0,,
ordinary/k28/local/point/bound,2,10904.960978147774,10904.96618105843,8192.0,,
ordinary/k28/local/point/concrete,0,7286.626819126798,7286.853950101679,8192.0,,
ordinary/k28/local/point/concrete,1,7281.668399168391,7281.65627164926,8192.0,,
ordinary/k28/local/point/concrete,2,7283.362785862791,7283.36625087639,8192.0,,
ordinary/k64/local/point/bound,0,10918.081334723698,10918.089155352965,8192.0,,
ordinary/k64/local/point/bound,1,10915.033889468219,10915.041710110221,8192.0,,
ordinary/k64/local/point/bound,2,10911.960375391038,10911.968196025111,8192.0,,
ordinary/k64/local/point/concrete,0,3828.472475391886,3828.473386804849,8192.0,,
ordinary/k64/local/point/concrete,1,3822.4763033175286,3822.4781261413505,8192.0,,
ordinary/k64/local/point/concrete,2,3821.4737513670907,3821.475665333585,8192.0,,
ordinary/k7/local/maintained-write/bound,0,382.7527987289269,382.75298135375533,8192.0,,
ordinary/k7/local/maintained-write/bound,1,383.58374271782594,384.5822543242186,8192.0,,
ordinary/k7/local/maintained-write/bound,2,382.9844586080284,382.9846412339232,8192.0,,
ordinary/k7/local/maintained-write/concrete,0,376.06808373475445,376.0682717619613,8192.0,,
ordinary/k7/local/maintained-write/concrete,1,375.31767634260524,375.3296742648943,8192.0,,
ordinary/k7/local/maintained-write/concrete,2,375.2869652418364,375.28724280611357,8192.0,,
ordinary/k12/striped/maintained-write/bound,0,776.7253981404764,776.7257847740433,8192.0,,
ordinary/k12/striped/maintained-write/bound,1,776.0563380281629,776.0568903609598,8192.0,,
ordinary/k12/striped/maintained-write/bound,2,775.7512657645138,775.7518180981037,8192.0,,
ordinary/k12/striped/maintained-write/concrete,0,765.1236523892738,765.1241987188638,8192.0,,
ordinary/k12/striped/maintained-write/concrete,1,766.2070221445175,766.2074045753955,8192.0,,
ordinary/k12/striped/maintained-write/concrete,2,765.9792030885751,765.9795673080833,8192.0,,
ordinary/k28/local/maintained-write/bound,0,1812.3274637275479,1812.3283247934676,8192.0,,
ordinary/k28/local/maintained-write/bound,1,1805.7549403711128,1805.7562750274594,8192.0,,
ordinary/k28/local/maintained-write/bound,2,1804.1408705385916,1804.1417316053523,8192.0,,
ordinary/k28/local/maintained-write/concrete,0,1810.3600605143747,1810.360925009182,8192.0,,
ordinary/k28/local/maintained-write/concrete,1,1809.9614869245563,1809.9623946422873,8192.0,,
ordinary/k28/local/maintained-write/concrete,2,1811.576399394857,1811.577263886497,8192.0,,
ordinary/k64/local/maintained-write/bound,0,1497.1693876096074,1497.1697797119175,8192.0,,
ordinary/k64/local/maintained-write/bound,1,1500.9164468524866,1500.917516219019,8192.0,,
ordinary/k64/local/maintained-write/bound,2,1503.4141298923396,1503.4619305627107,8192.0,,
ordinary/k64/local/maintained-write/concrete,0,1514.0069346624693,1514.0076931382894,8192.0,,
ordinary/k64/local/maintained-write/concrete,1,1513.6360024560277,1513.636724815575,8192.0,,
ordinary/k64/local/maintained-write/concrete,2,1513.4770831076005,1516.3354642977606,8192.0,,
overwrite-all/local/k1/ikea2,0,29.704259417702463,29.704281283659377,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,1,29.62322136318015,29.624159483269604,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,2,29.627248931213202,29.62726374356328,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,0,34.97966317551186,34.98033829134491,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,1,34.98132179357454,34.98262285029141,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,2,34.98467236875661,34.984689038263305,8192.0,8192.0,0.0
