case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite-all/local/k1/ikea2,0,28.720051542760455,28.720173970488304,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,1,33.22004914892206,33.220196882969454,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,2,35.04532220038889,35.045485665354875,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,0,34.002501627107364,34.002654244156275,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,1,33.96929733186693,33.96944187394162,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,2,34.00094315702435,34.003833997942834,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,0,27.42132240246117,27.421445486036102,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,1,27.422422298560274,27.42255192912035,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,2,27.46449921665137,27.46462360963333,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,0,38.37643596351105,38.37659982514799,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,1,38.441926610123694,38.44209962605984,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,2,38.44706216214975,38.449844148369884,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,0,37.726505925725874,37.727725255206586,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,1,37.73633054505558,37.736482176088394,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,2,37.79724318489925,37.79740378826809,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,0,42.5639828497487,42.564163357325945,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,1,42.530821167661166,42.53100268942134,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,2,42.59982070929354,42.60000223090105,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,0,42.94343463244153,42.94361754304519,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,1,42.96172569536701,42.961908606075376,8192.0,8192.0,0.0
