case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite-all/local/k1/ikea2,1373.6102055511915,1373.5574757790002,1373.977120974077,overwrite-all/local/k1/prior,10.44809801329497
overwrite-all/striped/k1/ikea2,157.08350657830576,157.07612896931144,157.43211173737834,overwrite-all/striped/k1/prior,1.7205523098938431
overwrite-all/local/k2/ikea2,1343.897258519085,1343.1206123494735,1344.404624647709,overwrite-all/local/k2/prior,0.9438499565699455
overwrite-all/striped/k2/ikea2,151.6899375509098,151.62510272422833,151.97811204633902,overwrite-all/striped/k2/prior,1.7639754300271837
overwrite-all/local/k3/ikea2,1415.2666891322694,1415.1381634372385,1415.664060657115,overwrite-all/local/k3/prior,0.9998574430955821
overwrite-all/striped/k3/ikea2,172.51935365888792,172.3914621166356,172.54879817867297,overwrite-all/striped/k3/prior,1.365563382805071
overwrite-all/local/k4/ikea2,1380.6973602025043,1380.5112594102402,1381.5371971465163,overwrite-all/local/k4/prior,1.0105317693958542
overwrite-all/striped/k4/ikea2,148.8338350178122,148.82328901983806,148.958032027537,overwrite-all/striped/k4/prior,1.6832064798330788
overwrite-all/local/k5/ikea2,1454.0082773429344,1453.6997298607725,1454.343319249154,overwrite-all/local/k5/prior,0.9844212379873037
overwrite-all/striped/k5/ikea2,168.63326065045243,168.4566131383335,168.69051147064332,overwrite-all/striped/k5/prior,1.127935949778175
overwrite-all/local/k6/ikea2,1416.8363593412485,1416.667082883387,1417.342366360711,overwrite-all/local/k6/prior,1.0002080416748247
overwrite-all/striped/k6/ikea2,152.00246401667323,151.96328940798637,152.12857390964558,overwrite-all/striped/k6/prior,1.087486121290248
overwrite-all/local/k7/ikea2,1478.6282272551118,1478.1213764925608,1478.664506357674,overwrite-all/local/k7/prior,1.0420162886218458
overwrite-all/striped/k7/ikea2,191.26295496748054,191.04173946451326,191.73929071267156,overwrite-all/striped/k7/prior,0.9922915885592264
overwrite-all/local/k8/ikea2,142.39407058663124,142.0528939153555,144.62850758234705,overwrite-all/local/k8/ikea,1.2759798642967841
overwrite-all/local/k9/ikea2,1818.5394144144295,1818.5347799722576,1818.8484927234988,overwrite-all/local/k9/ikea,1.8410449785766867
overwrite-all/local/k10/ikea2,1818.8686820563914,1818.818311750172,1819.582398544768,overwrite-all/local/k10/ikea,1.140116244771029
overwrite-all/striped/k10/ikea2,459.24207059029123,459.21352689673705,459.3428733475876,overwrite-all/striped/k10/ikea,1.4933911105385136
overwrite-all/local/k11/ikea2,1846.966697461592,1846.8853108090289,1847.0856979455514,overwrite-all/local/k11/ikea,1.0272619970491703
overwrite-all/local/k12/ikea2,2050.3292171026683,2050.030066380339,2050.7046563842237,overwrite-all/local/k12/ikea,1.2789623724227317
overwrite-all/striped/k12/ikea2,405.82734000617967,405.6989971402077,405.90931751429906,overwrite-all/striped/k12/ikea,1.3117626672368952
overwrite-all/local/k13/ikea2,1926.1421757475118,1926.1382315171763,1926.1517152815984,overwrite-all/local/k13/ikea,1.0732836058760589
overwrite-all/local/k14/ikea2,1932.2621403912187,1932.207088607665,1932.413716915991,overwrite-all/local/k14/ikea,1.0752182356422197
overwrite-all/striped/k14/ikea2,438.45530232510083,438.1468271815335,438.66685144702865,overwrite-all/striped/k14/ikea,1.231533286398219
overwrite-all/local/k15/ikea2,1926.2659540303664,1926.2229664632991,1926.5722805890678,overwrite-all/local/k15/ikea,1.0612554024526948
overwrite-all/striped/k15/ikea2,463.4214077696604,463.34716193196357,463.4275399747264,overwrite-all/striped/k15/ikea,1.0879240473843814
overwrite-all/local/k16/ikea2,265.1068098983302,264.9693842317267,266.1444721529477,overwrite-all/local/k16/ikea,1.0776751349485685
overwrite-all/local/k17/ikea2,1951.250615963898,1950.6494816604927,1951.4425642694428,overwrite-all/local/k17/ikea,1.595463318591335
overwrite-all/local/k18/ikea2,1952.2491983082978,1951.2957196635377,1952.3747269600458,overwrite-all/local/k18/ikea,1.1630568981808882
overwrite-all/local/k19/ikea2,2079.735562159453,2079.599207528515,2080.2682020801976,overwrite-all/local/k19/ikea,1.100821076233499
overwrite-all/local/k20/ikea2,2238.476837784533,2238.1040567193754,2239.873234180847,overwrite-all/local/k20/ikea,1.3293367356977173
overwrite-all/striped/k20/ikea2,695.4298027926561,695.042535239209,696.0899344848167,overwrite-all/striped/k20/ikea,1.0981039707592428
overwrite-all/local/k21/ikea2,2165.9640721649153,2164.390103092816,2166.663402061908,overwrite-all/local/k21/ikea,1.1453917970440288
overwrite-all/local/k22/ikea2,2165.938812361324,2165.492699788472,2167.8354743847804,overwrite-all/local/k22/ikea,1.1444521117238564
overwrite-all/local/k23/ikea2,2171.9103744311433,2170.7249689698615,2173.4179768307954,overwrite-all/local/k23/ikea,1.1482406178615032
overwrite-all/local/k24/ikea2,773.9180042509627,771.9592311639124,778.9473944590835,overwrite-all/local/k24/ikea,0.9571213178600876
overwrite-all/local/k25/ikea2,2268.3034850214817,2263.7918229761153,2269.347740988391,overwrite-all/local/k25/ikea,1.5333923900519713
overwrite-all/local/k26/ikea2,2278.6462825177564,2278.4990495845727,2279.8530929234503,overwrite-all/local/k26/ikea,1.2998530389409408
overwrite-all/local/k27/ikea2,2419.5866542012236,2412.474465349943,2440.3390206847735,overwrite-all/local/k27/ikea,1.2400608989951647
overwrite-all/local/k28/ikea2,2637.6802815130277,2635.66815382677,2637.9583385698315,overwrite-all/local/k28/ikea,1.5055991890585232
overwrite-all/local/k29/ikea2,2465.8581073147325,2465.3874603733816,2467.5862392860977,overwrite-all/local/k29/ikea,1.2648489927554012
overwrite-all/local/k30/ikea2,2470.5167931297533,2470.4806776071787,2470.691135815588,overwrite-all/local/k30/ikea,1.2666260066954471
overwrite-all/local/k31/ikea2,2479.436135049058,2479.184334789379,2479.5917837326792,overwrite-all/local/k31/ikea,1.268021822840545
overwrite-all/local/k32/ikea2,598.5176438575853,598.3349611892343,599.6358376535878,overwrite-all/local/k32/ikea,0.9824308435270467
overwrite-all/local/k33/ikea2,2638.9691804516747,2638.1958613749266,2642.13371910185,overwrite-all/local/k33/ikea,1.412096070674642
