case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite-all/local/k1/ikea2,32.6525946388008,28.002392592458847,33.450227991726905,overwrite-all/local/k1/prior,1.189715550907425
overwrite-all/striped/k1/ikea2,38.415286028738436,38.36987493232611,38.44796120245366,overwrite-all/striped/k1/prior,0.9043479770758773
overwrite-all/local/k2/ikea2,55.65565917093262,55.56558579499002,55.75299460513882,overwrite-all/local/k2/prior,0.933711077242293
overwrite-all/striped/k2/ikea2,38.63550022560633,38.61127626980503,38.721423589317396,overwrite-all/striped/k2/prior,0.9401444223254275
overwrite-all/local/k3/ikea2,51.61977591332732,51.619062496540586,51.65314659853966,overwrite-all/local/k3/prior,0.8983283562960711
overwrite-all/striped/k3/ikea2,41.835175155215,41.81888768130012,41.8576303122664,overwrite-all/striped/k3/prior,1.049406482259904
overwrite-all/local/k4/ikea2,44.6222105115531,44.559100393959994,44.667386306166904,overwrite-all/local/k4/prior,0.776764106940241
overwrite-all/striped/k4/ikea2,38.8181425317716,38.76021025142602,38.864074752765646,overwrite-all/striped/k4/prior,1.0082113263340275
overwrite-all/local/k5/ikea2,46.428155551111566,46.4084238623068,46.44437398289532,overwrite-all/local/k5/prior,0.8084775472306039
overwrite-all/striped/k5/ikea2,43.15693900017467,43.137874625760084,43.16914102287115,overwrite-all/striped/k5/prior,1.0414699472396027
overwrite-all/local/k6/ikea2,53.867297384474185,53.85186356036857,53.91835365689098,overwrite-all/local/k6/prior,0.922664988371942
overwrite-all/striped/k6/ikea2,47.20469219596246,47.1982931313317,47.25867231259093,overwrite-all/striped/k6/prior,1.0472230834628529
overwrite-all/local/k7/ikea2,62.048696336604344,62.012359761681694,62.10044932482984,overwrite-all/local/k7/prior,1.0573937275182768
overwrite-all/striped/k7/ikea2,53.999879214017476,53.96487697819115,54.001678154185214,overwrite-all/striped/k7/prior,1.0164745249484748
overwrite-all/local/k8/ikea2,63.66573812769381,63.64186358227585,63.67730307299332,overwrite-all/local/k8/ikea,1.3035602723309467
overwrite-all/local/k9/ikea2,400.91047171433485,400.74301217019126,401.40358418830186,overwrite-all/local/k9/ikea,0.8725637501092668
overwrite-all/local/k10/ikea2,328.19467000117044,327.87925442538386,328.36262748623096,overwrite-all/local/k10/ikea,0.9266121568898804
overwrite-all/striped/k10/ikea2,175.68763015065318,174.86451912050336,175.80582660931574,overwrite-all/striped/k10/ikea,2.1867499035800826
overwrite-all/local/k11/ikea2,457.2467881195919,457.1013939069815,457.431587220148,overwrite-all/local/k11/ikea,0.9883138730243713
overwrite-all/local/k12/ikea2,345.4678747940671,345.21935749588255,345.8060131795704,overwrite-all/local/k12/ikea,0.9846698865308547
overwrite-all/striped/k12/ikea2,180.1214070679784,180.0782897364419,180.1668005136274,overwrite-all/striped/k12/ikea,2.2817646455823515
overwrite-all/local/k13/ikea2,459.6771687999141,459.45935893228705,459.8235422820223,overwrite-all/local/k13/ikea,0.9920493061299894
overwrite-all/local/k14/ikea2,467.44273492863323,467.0191013360969,467.8610286019484,overwrite-all/local/k14/ikea,1.0005348360480086
overwrite-all/striped/k14/ikea2,171.9978543672188,171.91084158760938,172.059316100023,overwrite-all/striped/k14/ikea,1.9946245101173115
overwrite-all/local/k15/ikea2,461.10465691936923,461.02291604783176,461.76056415503206,overwrite-all/local/k15/ikea,0.9912476094778818
overwrite-all/striped/k15/ikea2,173.17022188873176,172.91918500622182,173.18213676129338,overwrite-all/striped/k15/ikea,1.7996838619930844
overwrite-all/local/k16/ikea2,83.32412283296668,83.114332485257,83.33964459696688,overwrite-all/local/k16/ikea,0.880297143006498
overwrite-all/local/k17/ikea2,517.3446424842414,516.8786006461112,517.9669324030613,overwrite-all/local/k17/ikea,1.1127364788971164
overwrite-all/local/k18/ikea2,411.61406253093486,411.4454586856146,411.71474961882546,overwrite-all/local/k18/ikea,1.1289946858646207
overwrite-all/local/k19/ikea2,454.0786259376934,453.9888989774371,454.65659251571645,overwrite-all/local/k19/ikea,1.0501277947464764
overwrite-all/local/k20/ikea2,410.1876361363061,410.12248605670544,410.25376297874817,overwrite-all/local/k20/ikea,1.1551369719628517
overwrite-all/striped/k20/ikea2,304.3415467364402,303.962494548634,304.34743422008256,overwrite-all/striped/k20/ikea,1.228930991108846
overwrite-all/local/k21/ikea2,456.3627995624983,455.9948236466244,456.97898053994743,overwrite-all/local/k21/ikea,1.0657401867447591
overwrite-all/local/k22/ikea2,450.1858325469707,449.7598009779645,450.659046066735,overwrite-all/local/k22/ikea,1.0769725011023694
overwrite-all/local/k23/ikea2,453.5031276962976,453.46149698016694,454.09717428817856,overwrite-all/local/k23/ikea,1.0464782242266264
overwrite-all/local/k24/ikea2,351.524279147514,351.4412035102388,351.59314667780785,overwrite-all/local/k24/ikea,0.9411602580550137
overwrite-all/local/k25/ikea2,490.93575386341104,490.8920346947724,491.0167629111913,overwrite-all/local/k25/ikea,0.8247601733459278
overwrite-all/local/k26/ikea2,483.5835816259747,483.4823472569086,483.7505032958582,overwrite-all/local/k26/ikea,0.8710167119161447
overwrite-all/local/k27/ikea2,586.1120413004206,586.0715780661504,586.975163945863,overwrite-all/local/k27/ikea,0.9819979317703559
overwrite-all/local/k28/ikea2,469.42966498659604,469.23551075357295,470.10358601198305,overwrite-all/local/k28/ikea,0.8583896824801731
overwrite-all/local/k29/ikea2,590.5513893774123,589.849314104806,590.936616250442,overwrite-all/local/k29/ikea,1.0040183202813948
overwrite-all/local/k30/ikea2,607.7269380152776,607.6658629203433,607.9645966589115,overwrite-all/local/k30/ikea,1.0082447213599943
overwrite-all/local/k31/ikea2,631.516302627414,630.8191260043311,631.6177512473671,overwrite-all/local/k31/ikea,1.004350355172347
overwrite-all/local/k32/ikea2,317.27202729632654,317.1412071985051,317.31060148560283,overwrite-all/local/k32/ikea,1.3137560099786136
overwrite-all/local/k33/ikea2,679.6557742654957,679.1659394292105,680.1302563108264,overwrite-all/local/k33/ikea,1.1708000066161266
overwrite-all/local/k34/ikea2,650.6282130690695,650.4476618148082,651.2502322700623,overwrite-all/local/k34/ikea,1.3259705416619287
overwrite-all/local/k35/ikea2,699.389287557629,699.0865952947689,699.8744609646741,overwrite-all/local/k35/ikea,1.2888204014550895
overwrite-all/local/k36/ikea2,635.7176706461344,635.5741365169034,635.9676782405243,overwrite-all/local/k36/ikea,1.3095363121980685
overwrite-all/local/k37/ikea2,708.5649664112212,708.1853627249097,708.6383890895639,overwrite-all/local/k37/ikea,1.3167910819315403
overwrite-all/local/k38/ikea2,699.7893017285836,699.6496141087642,700.0408394592395,overwrite-all/local/k38/ikea,1.3208178338647991
overwrite-all/local/k39/ikea2,710.9176378913335,710.5476690608604,711.6679089307388,overwrite-all/local/k39/ikea,1.31072622944992
overwrite-all/local/k40/ikea2,520.4941618274293,520.4435518969276,521.7703527773374,overwrite-all/local/k40/ikea,0.9856934292214324
overwrite-all/local/k41/ikea2,547.7674836792982,547.5722867232066,547.7888537065178,overwrite-all/local/k41/ikea,0.9165511898622822
overwrite-all/local/k42/ikea2,547.2965169211816,546.9363733319308,547.6988008219913,overwrite-all/local/k42/ikea,0.9758884276217101
overwrite-all/local/k43/ikea2,641.0090329274523,640.8480576154357,642.0017394488708,overwrite-all/local/k43/ikea,1.003193678486966
overwrite-all/local/k44/ikea2,567.5127437495125,567.3197669714432,568.6393181756871,overwrite-all/local/k44/ikea,0.9888351188887685
overwrite-all/local/k45/ikea2,658.2688419766275,658.0177566724451,658.509881360976,overwrite-all/local/k45/ikea,1.0018006882738144
overwrite-all/local/k46/ikea2,630.0888676112315,630.0279768405549,630.3487380500094,overwrite-all/local/k46/ikea,1.0046837495067784
overwrite-all/local/k47/ikea2,656.0877844722704,655.769050666476,656.8613617207451,overwrite-all/local/k47/ikea,0.9998583138516818
overwrite-all/local/k48/ikea2,558.3636024960783,558.0597134075687,558.694900145058,overwrite-all/local/k48/ikea,0.9937902438795144
overwrite-all/local/k49/ikea2,578.5175354146708,578.2837298858616,579.0078393618711,overwrite-all/local/k49/ikea,0.9490777106806444
overwrite-all/local/k50/ikea2,573.6947851299449,573.6455086233893,573.9675755142064,overwrite-all/local/k50/ikea,0.9977313654428501
overwrite-all/local/k51/ikea2,643.0057342614621,642.8372328355111,643.008647388903,overwrite-all/local/k51/ikea,0.9868239668254024
overwrite-all/local/k52/ikea2,595.2716559968068,594.4766585462761,595.6789983570533,overwrite-all/local/k52/ikea,1.0442123070601912
overwrite-all/local/k53/ikea2,644.3288554540336,644.0981039379495,644.4592001227836,overwrite-all/local/k53/ikea,0.9882927095317788
overwrite-all/local/k54/ikea2,642.8684000735624,642.3480713803935,643.133930214013,overwrite-all/local/k54/ikea,1.00842402465019
overwrite-all/local/k55/ikea2,651.2957118990352,650.4085452632718,651.5509560051769,overwrite-all/local/k55/ikea,0.9905953529568416
overwrite-all/local/k56/ikea2,597.0597980548324,596.9336894271415,597.5779431297375,overwrite-all/local/k56/prior,0.9806483757396423
overwrite-all/local/k57/ikea2,623.1499806841011,623.1177379572592,623.251909304285,overwrite-all/local/k57/ikea,0.9978745247825099
overwrite-all/local/k58/ikea2,615.2540528602322,614.7094161820079,615.3806964588119,overwrite-all/local/k58/ikea,1.0417485971208167
overwrite-all/local/k59/ikea2,658.0397874241928,657.5757575757661,658.064399818155,overwrite-all/local/k59/ikea,0.9885917027970123
overwrite-all/local/k60/ikea2,632.7538191158994,632.0511318401984,633.4099409670619,overwrite-all/local/k60/ikea,1.0688728552023152
overwrite-all/local/k61/ikea2,665.0543066430835,664.6800012629824,665.3577292245783,overwrite-all/local/k61/ikea,1.0014753295845231
overwrite-all/local/k62/ikea2,674.6426050689803,674.6243182547614,674.9886108437837,overwrite-all/local/k62/ikea,0.989961234796225
overwrite-all/local/k63/ikea2,697.7964331885352,697.5834521165459,697.929028408496,overwrite-all/local/k63/ikea,0.9889882369937915
overwrite-all/local/k64/ikea2,636.6295577261411,636.1702966692837,637.3772978220062,overwrite-all/local/k64/ikea,1.3363365250604622
overwrite/local/k3/all/ikea2-raw,51.692299185315136,51.58299848858975,51.71329917302732,overwrite/local/k3/all/prior,0.8993741160901318
overwrite/local/k3/all/ikea2-coverage,71.26483442538526,71.24916736902024,71.4207233354177,overwrite/local/k3/all/prior,1.2399090092678324
overwrite/local/k3/all/ikea2-sum-coverage,934.3804588201541,934.346505238243,934.9357785869446,overwrite/local/k3/all/ikea-materialized-sum-coverage,1.9699162563248593
overwrite/local/k3/prefilter75/ikea2-raw,1460.6713252676916,1460.6699346405271,1461.4726741761503,,
overwrite/local/k3/prefilter75/ikea2-coverage,1455.3749393582432,1454.8925774481775,1455.768244507513,,
overwrite/local/k3/prefilter75/ikea2-sum-coverage,1248.6966599310363,1247.7035540234774,1248.9617259003421,overwrite/local/k3/prefilter75/ikea-materialized-sum-coverage,0.4382670314646047
overwrite/local/k7/all/ikea2-raw,62.03305219598253,61.99702394558713,62.05657452892846,overwrite/local/k7/all/prior,1.0582463755877147
overwrite/local/k7/all/ikea2-coverage,76.45274150770793,76.391796865753,76.71270280748944,overwrite/local/k7/all/prior,1.3042375594976139
overwrite/local/k7/all/ikea2-sum-coverage,930.6738437001136,930.5699317738923,931.0178539783882,overwrite/local/k7/all/ikea-materialized-sum-coverage,1.9717194924407744
overwrite/local/k7/prefilter75/ikea2-raw,1301.6424477148637,1301.630673896245,1302.1459333849366,,
overwrite/local/k7/prefilter75/ikea2-coverage,1308.9658074369395,1308.6344793192927,1308.9748464919742,,
overwrite/local/k7/prefilter75/ikea2-sum-coverage,1243.3093737982992,1243.072736415581,1243.4214807584244,overwrite/local/k7/prefilter75/ikea-materialized-sum-coverage,0.43637134348253076
overwrite/local/k12/all/ikea2-raw,345.53197458535436,345.2369007343816,346.94768545260973,overwrite/local/k12/all/ikea,0.9844585582956579
overwrite/local/k12/all/ikea2-coverage,464.57005945512043,464.1911438459443,464.7719407223478,overwrite/local/k12/all/ikea,1.323611140495306
overwrite/local/k12/all/ikea2-sum-coverage,754.2335085484851,753.408622019728,754.4353348522833,overwrite/local/k12/all/ikea-materialized-sum-coverage,0.6649951433128762
overwrite/local/k12/prefilter75/ikea2-raw,657.6006136217604,657.580890064669,657.7795344614314,,
overwrite/local/k12/prefilter75/ikea2-coverage,760.4085744364572,758.7100228700167,763.3548117762331,,
overwrite/local/k12/prefilter75/ikea2-sum-coverage,926.9776934448105,926.2233303179005,927.0597709772389,overwrite/local/k12/prefilter75/ikea-materialized-sum-coverage,0.2611674712270616
overwrite/local/k31/all/ikea2-raw,630.794672186503,630.6553270635632,631.2601058962522,overwrite/local/k31/all/ikea,1.003715089544359
overwrite/local/k31/all/ikea2-coverage,645.3525665618258,645.1960408194494,645.5259725312427,overwrite/local/k31/all/ikea,1.0268794866148914
overwrite/local/k31/all/ikea2-sum-coverage,4857.36628849298,4854.509145635928,4861.133364204883,overwrite/local/k31/all/ikea-materialized-sum-coverage,2.9683057431307716
overwrite/local/k31/prefilter75/ikea2-raw,5357.666964627378,5357.133188609285,5365.830672966435,,
overwrite/local/k31/prefilter75/ikea2-coverage,5359.166453918845,5358.666070972578,5360.949706408154,,
overwrite/local/k31/prefilter75/ikea2-sum-coverage,5450.137252363222,5447.330053088368,5458.734947559119,overwrite/local/k31/prefilter75/ikea-materialized-sum-coverage,1.3620531071442594
overwrite/local/k56/all/ikea2-raw,596.8413957514459,596.6631664088536,597.3722524159023,overwrite/local/k56/all/prior,0.9823096660226837
overwrite/local/k56/all/ikea2-coverage,591.2640867830487,590.8386027035126,591.6046848214135,overwrite/local/k56/all/prior,0.9731302683651976
overwrite/local/k56/all/ikea2-sum-coverage,2979.0619017229733,2978.5074097711276,2980.4311139475035,overwrite/local/k56/all/ikea-materialized-sum-coverage,1.5153040775484647
overwrite/local/k56/prefilter75/ikea2-raw,2973.580474000823,2970.6515741066464,2974.432260346623,,
overwrite/local/k56/prefilter75/ikea2-coverage,2912.0467795670675,2911.682398667501,2915.69614103281,,
overwrite/local/k56/prefilter75/ikea2-sum-coverage,3396.0367581571554,3392.7042344749807,3398.230912476684,overwrite/local/k56/prefilter75/ikea-materialized-sum-coverage,0.8580027785545309
overwrite/local/k64/all/ikea2-raw,635.8718818115956,635.5957859046072,636.144496246107,overwrite/local/k64/all/ikea,1.336214498280807
overwrite/local/k64/all/ikea2-coverage,636.558422863035,635.2200991013748,637.2512236146187,overwrite/local/k64/all/ikea,1.3376571884403166
overwrite/local/k64/all/ikea2-sum-coverage,684.1037112021936,683.8380655379209,684.1409375153248,overwrite/local/k64/all/ikea-materialized-sum-coverage,0.3989833022822384
overwrite/local/k64/prefilter75/ikea2-raw,711.693078694287,711.4160910198991,712.98117296496,,
overwrite/local/k64/prefilter75/ikea2-coverage,725.8660009329491,725.4513570947325,726.0491352948212,,
overwrite/local/k64/prefilter75/ikea2-sum-coverage,1163.8523430346497,1163.6278889104672,1164.0482201814327,overwrite/local/k64/prefilter75/ikea-materialized-sum-coverage,0.3113390475479042
overwrite/striped/k3/all/ikea2-raw,41.057700568587535,41.01414836452015,41.79499320503393,overwrite/striped/k3/all/prior,1.0475489762268986
overwrite/striped/k3/all/ikea2-coverage,62.95564529436382,58.27090452517731,62.97748662668558,overwrite/striped/k3/all/prior,1.6062546334187793
overwrite/striped/k3/all/ikea2-sum-coverage,213.5079925349051,212.98873133721324,213.56702369360337,overwrite/striped/k3/all/ikea-materialized-sum-coverage,0.469995325653743
overwrite/striped/k3/prefilter75/ikea2-raw,72.33007818892187,72.26775443269243,72.59057012973136,,
overwrite/striped/k3/prefilter75/ikea2-coverage,98.9599608076058,91.66944501094333,99.34410385096321,,
overwrite/striped/k3/prefilter75/ikea2-sum-coverage,343.6839477475096,342.91391107909504,343.75048290990753,overwrite/striped/k3/prefilter75/ikea-materialized-sum-coverage,0.12143042421335454
overwrite/striped/k7/all/ikea2-raw,53.95847550244536,53.95616659055893,54.045111007348346,overwrite/striped/k7/all/prior,1.016534752330524
overwrite/striped/k7/all/ikea2-coverage,82.44706133415914,80.96051061683546,84.91728666905804,overwrite/striped/k7/all/prior,1.553237045585188
overwrite/striped/k7/all/ikea2-sum-coverage,239.07524823544696,238.75423695017807,239.28118537761867,overwrite/striped/k7/all/ikea-materialized-sum-coverage,0.5322242577081446
overwrite/striped/k7/prefilter75/ikea2-raw,92.50019244260653,92.47461407008618,92.54048442754178,,
overwrite/striped/k7/prefilter75/ikea2-coverage,110.47814714040422,110.37606635382969,110.8118090881666,,
overwrite/striped/k7/prefilter75/ikea2-sum-coverage,346.8833203467755,346.87237852085394,347.03874401098085,overwrite/striped/k7/prefilter75/ikea-materialized-sum-coverage,0.12260140106101934
overwrite/striped/k12/all/ikea2-raw,180.29524034436568,180.24577599347344,180.68756306490417,overwrite/striped/k12/all/ikea,2.2851165689113198
overwrite/striped/k12/all/ikea2-coverage,220.97028008732354,220.64967036197964,221.66267741666476,overwrite/striped/k12/all/ikea,2.8006443614377856
overwrite/striped/k12/all/ikea2-sum-coverage,676.3472722675025,666.212940135227,676.6649282509325,overwrite/striped/k12/all/ikea-materialized-sum-coverage,1.3866962253912718
overwrite/striped/k12/prefilter75/ikea2-raw,360.70263563237074,360.5526270751148,361.17405442411797,,
overwrite/striped/k12/prefilter75/ikea2-coverage,379.94640032540053,378.50255344149525,380.72065801958695,,
overwrite/striped/k12/prefilter75/ikea2-sum-coverage,801.2663414262034,801.1417082745262,801.544383885312,overwrite/striped/k12/prefilter75/ikea-materialized-sum-coverage,0.27572728155381915
pipeline-mutation/k7/depth3/inline,1860.6681681680477,1857.2646175587859,1862.095036212638,,
pipeline-mutation/k7/depth3/cps,3428.5791190862096,3422.699021207238,3430.1052202280603,pipeline-mutation/k7/depth3/inline,1.84266016785888
pipeline-mutation/k7/depth3/scratch-calls,3457.8560314471915,3456.4065187127076,3458.362951437411,pipeline-mutation/k7/depth3/inline,1.8583947909699998
pipeline-mutation/k7/depth3/fused,1671.930403658792,1668.604891628644,1707.1246768741623,pipeline-mutation/k7/depth3/inline,0.8985645222839059
pipeline-mutation/k12/depth3/inline,1816.8690188286214,1813.0588184489286,1849.990499222628,,
pipeline-mutation/k12/depth3/cps,3185.017421602871,3181.3982729888185,3195.871080139222,pipeline-mutation/k12/depth3/inline,1.7530253356713228
pipeline-mutation/k12/depth3/scratch-calls,3574.345611950658,3573.288915294757,3576.77813613994,pipeline-mutation/k12/depth3/inline,1.9673105627917655
pipeline-mutation/k12/depth3/fused,1652.0800439888294,1651.1319272612568,1652.6165508031913,pipeline-mutation/k12/depth3/inline,0.9093005752577391
pipeline-mutation/k31/depth3/inline,6766.709635835926,6765.009668062974,6773.134063809169,,
pipeline-mutation/k31/depth3/cps,7031.099949773383,7027.262682068836,7033.738489871105,pipeline-mutation/k31/depth3/inline,1.039072212074428
pipeline-mutation/k31/depth3/scratch-calls,6814.941653160892,6814.7811993515315,6818.572123176916,pipeline-mutation/k31/depth3/inline,1.0071278390710803
pipeline-mutation/k31/depth3/fused,6472.012636769929,6470.576359994361,6477.702265372092,pipeline-mutation/k31/depth3/inline,0.9564489959041087
pipeline-mutation/k64/depth3/inline,3477.714048901998,3476.217985909763,3478.671363448498,,
pipeline-mutation/k64/depth3/cps,4361.173300165989,4354.3822553899,4361.367122719721,pipeline-mutation/k64/depth3/inline,1.254034471736663
pipeline-mutation/k64/depth3/scratch-calls,5401.101967339692,5400.185161373358,5401.518580429325,pipeline-mutation/k64/depth3/inline,1.553060973786777
pipeline-mutation/k64/depth3/fused,1959.336235547618,1958.4964658520491,1961.5283433974128,pipeline-mutation/k64/depth3/inline,0.5633977400086214
pipeline-mutation/k7/depth7/inline,2556.142039225207,2555.880740650491,2556.869289803856,,
pipeline-mutation/k7/depth7/cps,9138.784254022918,9130.87429317112,9140.926489778676,pipeline-mutation/k7/depth7/inline,3.575225521032852
pipeline-mutation/k7/depth7/scratch-calls,6544.758491741788,6542.612963539471,6547.362106575714,pipeline-mutation/k7/depth7/inline,2.5604048567369797
pipeline-mutation/k7/depth7/fused,1702.706069765461,1700.1621599543946,1703.2284944042424,pipeline-mutation/k7/depth7/inline,0.6661234171014881
pipeline-mutation/k31/depth7/inline,9372.695399731569,9368.903528360854,9381.476105403535,,
pipeline-mutation/k31/depth7/cps,12701.43245693431,12700.423088547444,12702.396494410328,pipeline-mutation/k31/depth7/inline,1.3551525911423596
pipeline-mutation/k31/depth7/scratch-calls,11639.81712385613,11638.71432529826,11643.311166528882,pipeline-mutation/k31/depth7/inline,1.2418857785765118
pipeline-mutation/k31/depth7/fused,6254.950790336925,6250.970772442718,6258.99791231728,pipeline-mutation/k31/depth7/inline,0.6673588037989654
decode/local/k1/ikea2,43.11172039158763,43.06682159863799,43.11470748548615,decode/local/k1/prior,1.1064943385181956
point/local/k1/ikea2,348.6229385618581,348.4222988409961,348.6942217421794,point/local/k1/prior,0.9972412016275441
decode/striped/k1/ikea2,32.3855033569445,32.38197540602519,32.42844653074285,decode/striped/k1/prior,1.076094058106288
point/striped/k1/ikea2,348.9337419949737,348.80084390293234,348.9786781623587,point/striped/k1/prior,0.9995671230994269
decode/local/k2/ikea2,43.16603529197812,43.141639015157324,50.22127022802036,decode/local/k2/prior,1.2557817199636252
point/local/k2/ikea2,348.8505536286048,348.81620197439065,349.00780416225933,point/local/k2/prior,0.9952591792219744
decode/striped/k2/ikea2,32.594696808180515,32.57187204175384,53.19821185322039,decode/striped/k2/prior,1.0507354216499813
point/striped/k2/ikea2,348.61980963465834,348.4697618354869,348.6268755974936,point/striped/k2/prior,0.994271108401077
decode/local/k3/ikea2,53.40549158817215,53.38447474418712,53.40844132066207,decode/local/k3/prior,1.2001856876526327
point/local/k3/ikea2,351.1769473059937,350.74324719484605,351.3692758854226,point/local/k3/prior,0.9918059751755606
decode/striped/k3/ikea2,53.393664985729174,53.377843347987444,53.41435775470167,decode/striped/k3/prior,1.0124561473536382
point/striped/k3/ikea2,869.5634194996371,868.2412102069837,869.9133488488326,point/striped/k3/prior,2.3247780553310835
decode/local/k4/ikea2,53.272922824600926,53.18216655213218,53.27593738902998,decode/local/k4/prior,1.181998828447533
point/local/k4/ikea2,349.0986032590555,349.02053541739156,349.2620552045122,point/local/k4/prior,1.0011736372561708
decode/striped/k4/ikea2,52.96423137862287,52.9557483528642,52.97940754951543,decode/striped/k4/prior,1.002696215108589
point/striped/k4/ikea2,348.45978611133944,348.4095032182518,349.16987665363405,point/striped/k4/prior,0.996441280974901
decode/local/k5/ikea2,55.29399544262156,54.93225339451873,55.402416143155236,decode/local/k5/prior,1.2136266705840804
point/local/k5/ikea2,350.0001668140451,349.95871353025933,350.0698116669531,point/local/k5/prior,0.9838447735372399
decode/striped/k5/ikea2,53.31691993581075,53.30932694066047,53.32199886232504,decode/striped/k5/prior,1.0154831537559526
point/striped/k5/ikea2,421.8555985022448,421.5242380319541,422.0512743085282,point/striped/k5/prior,1.0000352930506273
decode/local/k6/ikea2,50.25952900204118,50.23223844660304,50.35689119369605,decode/local/k6/prior,1.1950615136202645
point/local/k6/ikea2,350.92194783133067,350.87726051699394,351.3251378695767,point/local/k6/prior,0.9860227761795676
decode/striped/k6/ikea2,53.77259613231843,53.727496625529994,53.78157765111397,decode/striped/k6/prior,1.0179312670004235
point/striped/k6/ikea2,362.41944255023975,362.049564519295,362.7367521514733,point/striped/k6/prior,0.8721130032131353
decode/local/k7/ikea2,53.80460409854633,53.78995539683649,53.85232511098826,decode/local/k7/prior,1.325914088241536
point/local/k7/ikea2,350.4330997664769,350.35168501829753,350.5656489823022,point/local/k7/prior,0.9784434269189588
decode/striped/k7/ikea2,53.452465436998104,53.43973723070389,53.46442918645813,decode/striped/k7/prior,1.0103659724571437
