case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite-all/local/k1/ikea2,0,28.002392592458847,28.002615268139337,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,1,32.6525946388008,32.65286746660992,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,2,33.450227991726905,33.450494132442785,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,0,33.56100345087328,33.561278816154186,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,1,33.59724122252652,33.59750858316327,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,2,33.58983677393379,33.59011213933663,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,0,27.398167672127364,27.400694186306584,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,1,27.44571558629781,27.445934686286716,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,2,27.44792620459074,27.449328442986545,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,0,38.44796120245366,38.44827708977199,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,1,38.36987493232611,38.370199036716706,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,2,38.415286028738436,38.41559187363118,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,0,37.786280563833046,37.78659003672588,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,1,37.56246423118808,37.56277280726787,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,2,37.648291439346,37.648591045248445,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,0,42.48861256412073,42.488950494087916,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,1,42.46803322642336,42.46837115639875,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,2,42.47843418962531,42.47878324934766,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,0,55.75299460513882,55.753465048973084,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,1,55.56558579499002,55.56604166113109,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,2,55.65565917093262,55.67680262694016,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,0,61.5655738784255,61.56606401651812,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,1,61.4391329093274,61.43962158416745,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,2,61.57078250895057,61.5712741102662,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,0,59.52386290112023,59.52435099983472,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,1,59.60693894230226,59.60742704062135,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,2,59.62654800958028,59.62703610829195,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,0,38.61127626980503,38.611583204361125,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,1,38.63550022560633,38.6358172690977,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,2,38.721423589317396,38.72406653680507,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,0,38.81403310144016,38.81435129561321,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,1,38.83651943712934,38.837901361666916,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,2,38.820443233333336,38.82077160256437,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,0,41.124474089276504,41.12482103138727,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,1,41.09528207383524,41.09559969703273,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,2,41.09096239829955,41.09128881747434,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,0,51.619062496540586,51.619474556232475,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,1,51.65314659853966,51.653557427985376,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,2,51.61977591332732,51.62019904344885,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,0,61.54365421445437,61.55057826823937,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,1,61.463269839741656,61.463787648811326,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,2,61.61050262478099,61.6110073061622,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,0,57.462035514678185,57.47764944413682,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,1,57.43361173499933,57.434069962207026,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,2,57.47254054970889,57.47299877700769,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,0,41.81888768130012,41.82225495689367,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,1,41.8576303122664,41.85797462456296,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,2,41.835175155215,41.835518469628596,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,0,41.705388807883416,41.70572132148138,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,1,41.59176834806175,41.59209986911991,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,2,41.61598726323305,41.616318784545996,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,0,39.88645946616335,39.886786675192354,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,1,39.802234178543564,39.80257092675715,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,2,39.86555816305104,39.86913838149499,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,0,44.667386306166904,44.66774223041686,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,1,44.6222105115531,44.622565373270426,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,2,44.559100393959994,44.559455255860854,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,0,57.62169706880847,57.62215709364037,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,1,57.565553551952085,57.56602586248263,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,2,57.57243344995487,57.57289210990939,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,0,57.44628274254958,57.44675427634271,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,1,57.474356083126715,57.474813949004705,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,2,57.441116373154,57.44157287263956,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,0,38.76021025142602,38.760519062460965,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,1,38.8181425317716,38.81845134332297,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,2,38.864074752765646,38.87333353118192,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,0,39.800419291980404,39.800746271766755,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,1,39.7481215264352,39.748438080571255,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,2,39.77069732881448,39.771014830729925,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,0,38.50199012633476,38.50229615854957,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,1,38.55800137073156,38.560030896184855,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,2,38.49712476222946,38.497431710902056,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,0,46.44437398289532,46.44474409001463,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,1,46.4084238623068,46.408792865009424,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,2,46.428155551111566,46.428524553641495,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,0,57.52524312406628,57.525700899403525,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,1,57.53135138787181,57.53316180592871,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,2,57.51928653272636,57.51975809598689,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,0,57.42675729900346,57.42721483141232,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,1,57.42664803759696,57.427119227450476,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,2,57.391943883341554,57.39681147908098,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea2,0,43.16914102287115,43.169484654861286,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea2,1,43.15693900017467,43.15729292081906,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea2,2,43.137874625760084,43.13821825809472,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea,0,43.326247697082465,43.326603181293855,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea,1,43.327236869763105,43.32759235382211,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea,2,43.27773702019953,43.27809147397365,8192.0,8192.0,0.0
overwrite-all/striped/k5/prior,0,41.542118008643605,41.54244886129478,8192.0,8192.0,0.0
overwrite-all/striped/k5/prior,1,41.429450409664504,41.44058482862681,8192.0,8192.0,0.0
overwrite-all/striped/k5/prior,2,41.438487125395554,41.43974634025535,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea2,0,53.85186356036857,53.853435214496116,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea2,1,53.91835365689098,53.9188085755164,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea2,2,53.867297384474185,53.86775230365089,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea,0,62.2791994453535,62.27971014688336,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea,1,62.30014712366545,62.30065782577813,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea,2,62.33481248784506,62.33530834344739,8192.0,8192.0,0.0
overwrite-all/local/k6/prior,0,58.37751320950302,58.37799115493568,8192.0,8192.0,0.0
overwrite-all/local/k6/prior,1,58.382292666728304,58.38277061216219,8192.0,8192.0,0.0
overwrite-all/local/k6/prior,2,58.419152841205616,58.44073681402012,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea2,0,47.25867231259093,47.2590605450194,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea2,1,47.20469219596246,47.20507929998141,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea2,2,47.1982931313317,47.19868136384939,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea,0,46.94010022909232,46.94048521048906,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea,1,46.886135868334456,46.886519734178734,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea,2,46.8936234791841,46.896184442994,8192.0,8192.0,0.0
overwrite-all/striped/k6/prior,0,45.07461503101485,45.074973989191555,8192.0,8192.0,0.0
overwrite-all/striped/k6/prior,1,45.07606157789293,45.07642053587738,8192.0,8192.0,0.0
overwrite-all/striped/k6/prior,2,45.132112590636524,45.132471548378305,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea2,0,62.012359761681694,62.01286871037481,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea2,1,62.048696336604344,62.049190490326446,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea2,2,62.10044932482984,62.10095827376737,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea,0,66.8068472240526,66.8073793340111,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea,1,66.786214060731,66.78676205446747,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea,2,66.79954063811908,66.80007274805924,8192.0,8192.0,0.0
overwrite-all/local/k7/prior,0,58.68078722410603,58.681254212359704,8192.0,8192.0,0.0
overwrite-all/local/k7/prior,1,58.72336141785367,58.72556213292088,8192.0,8192.0,0.0
overwrite-all/local/k7/prior,2,58.6775015309939,58.67796851902405,8192.0,8192.0,0.0
overwrite-all/striped/k7/ikea2,0,54.001678154185214,54.00210861499501,8192.0,8192.0,0.0
overwrite-all/striped/k7/ikea2,1,53.999879214017476,54.00032252400608,8192.0,8192.0,0.0
overwrite-all/striped/k7/ikea2,2,53.96487697819115,53.96530615408124,8192.0,8192.0,0.0
overwrite-all/striped/k7/ikea,0,54.96308568388371,54.96352291382696,8192.0,8192.0,0.0
overwrite-all/striped/k7/ikea,1,54.99491654440957,54.9969604621152,8192.0,8192.0,0.0
overwrite-all/striped/k7/ikea,2,54.98070657398707,54.98115697327153,8192.0,8192.0,0.0
overwrite-all/striped/k7/prior,0,53.11081837641981,53.11125410075272,8192.0,8192.0,0.0
overwrite-all/striped/k7/prior,1,53.17075580438099,53.17117886218083,8192.0,8192.0,0.0
overwrite-all/striped/k7/prior,2,53.12467542337545,53.1249844836062,8192.0,8192.0,0.0
overwrite-all/local/k8/ikea2,0,63.66573812769381,63.666245708943826,8192.0,8192.0,0.0
overwrite-all/local/k8/ikea2,1,63.67730307299332,63.677810653568464,8192.0,8192.0,0.0
overwrite-all/local/k8/ikea2,2,63.64186358227585,63.642371163072355,8192.0,8192.0,0.0
overwrite-all/local/k8/ikea,0,50.20545570871801,50.20586634128669,8192.0,8192.0,0.0
overwrite-all/local/k8/ikea,1,48.839888326644555,48.84547664749711,8192.0,8192.0,0.0
overwrite-all/local/k8/ikea,2,48.817216308963324,48.81760483878145,8192.0,8192.0,0.0
overwrite-all/local/k9/ikea2,0,400.74301217019126,400.74610726065106,8192.0,8192.0,0.0
overwrite-all/local/k9/ikea2,1,401.40358418830186,401.5066009446626,8192.0,8192.0,0.0
overwrite-all/local/k9/ikea2,2,400.91047171433485,400.9355381033325,8192.0,8192.0,0.0
overwrite-all/local/k9/ikea,0,458.86613845783376,458.86990303726117,8192.0,8192.0,0.0
overwrite-all/local/k9/ikea,1,459.462671540195,459.4663266869395,8192.0,8192.0,0.0
overwrite-all/local/k9/ikea,2,459.5664164240852,459.5700715735026,8192.0,8192.0,0.0
overwrite-all/local/k10/ikea2,0,328.19467000117044,328.19736626108255,8192.0,8192.0,0.0
overwrite-all/local/k10/ikea2,1,328.36262748623096,328.36531593173487,8192.0,8192.0,0.0
overwrite-all/local/k10/ikea2,2,327.87925442538386,327.881942872158,8192.0,8192.0,0.0
overwrite-all/local/k10/ikea,0,354.1023289776488,354.105147863894,8192.0,8192.0,0.0
overwrite-all/local/k10/ikea,1,354.1877446360478,354.190563522489,8192.0,8192.0,0.0
overwrite-all/local/k10/ikea,2,354.2079523166624,354.23768647492403,8192.0,8192.0,0.0
overwrite-all/striped/k10/ikea2,0,175.68763015065318,175.68902946512125,8192.0,8192.0,0.0
overwrite-all/striped/k10/ikea2,1,174.86451912050336,174.86591429440904,8192.0,8192.0,0.0
overwrite-all/striped/k10/ikea2,2,175.80582660931574,175.80726732137302,8192.0,8192.0,0.0
overwrite-all/striped/k10/ikea,0,80.34189454542678,80.34253444014197,8192.0,8192.0,0.0
overwrite-all/striped/k10/ikea,1,80.31937408791308,80.3200330839051,8192.0,8192.0,0.0
overwrite-all/striped/k10/ikea,2,80.36349813953068,80.36413803422892,8192.0,8192.0,0.0
overwrite-all/local/k11/ikea2,0,457.431587220148,457.43523298726177,8192.0,8192.0,0.0
overwrite-all/local/k11/ikea2,1,457.2467881195919,457.25054304391386,8192.0,8192.0,0.0
overwrite-all/local/k11/ikea2,2,457.1013939069815,457.10525798875415,8192.0,8192.0,0.0
overwrite-all/local/k11/ikea,0,462.65341466912344,462.6572093575302,8192.0,8192.0,0.0
overwrite-all/local/k11/ikea,1,462.5951705955695,462.598965282918,8192.0,8192.0,0.0
overwrite-all/local/k11/ikea,2,463.0139101849856,463.0175945638625,8192.0,8192.0,0.0
overwrite-all/local/k12/ikea2,0,345.8060131795704,345.8914744641434,8192.0,8192.0,0.0
overwrite-all/local/k12/ikea2,1,345.21935749588255,345.2221911053636,8192.0,8192.0,0.0
overwrite-all/local/k12/ikea2,2,345.4678747940671,345.470708401229,8192.0,8192.0,0.0
overwrite-all/local/k12/ikea,0,350.78330222014665,350.7860940742707,8192.0,8192.0,0.0
overwrite-all/local/k12/ikea,1,350.8463897593174,350.86609940699964,8192.0,8192.0,0.0
overwrite-all/local/k12/ikea,2,350.9680645376366,350.9708647271678,8192.0,8192.0,0.0
overwrite-all/striped/k12/ikea2,0,180.0782897364419,180.07971982284204,8192.0,8192.0,0.0
overwrite-all/striped/k12/ikea2,1,180.1214070679784,180.1228414498912,8192.0,8192.0,0.0
overwrite-all/striped/k12/ikea2,2,180.1668005136274,180.16827783905248,8192.0,8192.0,0.0
overwrite-all/striped/k12/ikea,0,79.0509699256688,79.05672088681946,8192.0,8192.0,0.0
overwrite-all/striped/k12/ikea,1,78.90643894580019,78.90708749495184,8192.0,8192.0,0.0
overwrite-all/striped/k12/ikea,2,78.93952052272589,78.94014851154338,8192.0,8192.0,0.0
overwrite-all/local/k13/ikea2,0,459.8235422820223,459.82720708853014,8192.0,8192.0,0.0
overwrite-all/local/k13/ikea2,1,459.6771687999141,459.68094300824816,8192.0,8192.0,0.0
overwrite-all/local/k13/ikea2,2,459.45935893228705,459.4630237396694,8192.0,8192.0,0.0
overwrite-all/local/k13/ikea,0,463.0631902991209,463.0915911770331,8192.0,8192.0,0.0
overwrite-all/local/k13/ikea,1,463.36121194734454,463.36490825365394,8192.0,8192.0,0.0
overwrite-all/local/k13/ikea,2,463.54238615925533,463.54619280766303,8192.0,8192.0,0.0
