case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite-all/local/k1/ikea2,0,142.61943738349433,142.61566174980715,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,1,142.55758684968646,142.5539535653916,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,2,143.2676868327402,143.2639417066643,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,0,147.50001758099566,147.49610053436592,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,1,149.4769724119016,149.47308701033276,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,2,146.12187497802373,146.11796496660298,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,0,132.00343694622612,131.9998360355776,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,1,132.11008948672836,132.12725214752712,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,2,132.0496528368996,132.0461118373289,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,0,157.54286089731553,157.53858832477155,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,1,157.30758776046545,157.3034015383725,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,2,157.13687629059493,157.13271635183474,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,0,95.72657836261858,95.7365091458173,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,1,95.75190608075104,95.74940342336475,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,2,95.59631240104584,95.62931691412108,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,0,91.20717687865286,91.20472478603088,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,1,91.17059312849287,91.1681779567816,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,2,91.24495083868516,91.24260734222658,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,0,1345.0554700525836,1345.0202000872973,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,1,1345.1058740541248,1345.071309501919,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,2,1344.0147171989208,1343.979864068635,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,0,1320.050223284486,1320.0153468627923,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,1,1319.1991005723671,1319.1639725850362,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,2,1320.566450720172,1320.6112648497824,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,0,1402.7914120616354,1402.7539187013253,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,1,1399.0026235387907,1398.9645988522798,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,2,1399.2727151965987,1399.235487524029,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,0,155.01030515621272,155.01559768059178,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,1,154.06376837934604,154.05961360197915,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,2,153.758892059395,153.75460642348082,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,0,107.79548948074962,107.79269442434025,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,1,107.84004129817684,107.83711045970877,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,2,107.7920436961354,107.78904624921616,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,0,85.96732990551148,85.9650630095791,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,1,85.98346814495757,85.98110645151002,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,2,85.97003163350479,85.96771527714935,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,0,1414.7991840588072,1414.7622981207894,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,1,1415.5016689706288,1415.5510300246792,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,2,1415.2881418793665,1415.2504130319387,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,0,1415.7304825818637,1415.6929147223848,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,1,1416.3339291134107,1416.296732190014,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,2,1415.8978180959768,1415.8605874762313,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,0,1416.2108900876553,1416.1722184686205,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,1,1416.1225219150424,1416.084828048074,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,2,1415.9853000674316,1415.948685093159,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,0,172.51873938416796,172.51412908169658,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,1,172.669583921103,172.66488313902252,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,2,172.68390835324584,172.67933917523868,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,0,129.64510592056078,129.64174708820914,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,1,129.80320879717888,129.80766666021887,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,2,129.60193194657992,129.59836627260663,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,0,126.06714271963878,126.06377385348294,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,1,126.25724907957742,126.25381704674601,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,2,126.1409810621545,126.13764227365074,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,0,1381.8557467671383,1381.9120463229153,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,1,1381.0938764765929,1381.0562995828209,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,2,1380.9337961896595,1380.8969431589035,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,0,1381.8555343385672,1381.8203726818624,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,1,1382.1782774741648,1382.1437413462074,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,2,1382.1706064397217,1382.1344570982908,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,0,1366.5125203252078,1367.4315772273926,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,1,1365.6193170731708,1365.5856585286735,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,2,1365.323739837407,1365.2862113762299,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,0,148.63329744356224,148.62947234828104,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,1,148.51893067371202,148.5149922434218,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,2,148.83590700771452,148.84063879180349,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,0,115.4895841907994,115.48645341264256,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,1,115.60075292361525,115.59772641320374,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,2,115.35309209046078,115.3500847858615,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,0,88.54897267568322,88.55148641899311,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,1,88.4927402977264,88.49042056645398,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,2,88.48012939878848,88.47772953132299,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,0,1454.6799958418508,1454.642884394794,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,1,1454.5051457084414,1454.4688312053315,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,2,1454.8918188433554,1454.853355946828,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,0,1484.2621050399325,1484.2216724255668,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,1,1485.8453028910824,1487.0151268670425,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,2,1484.3574609457887,1484.3191489201197,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,0,1450.8211188279554,1451.0959192990592,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,1,1451.0115061677247,1451.052382437257,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,2,1450.7516671849653,1450.7129677572188,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea2,0,168.75605955956843,168.75159018387677,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea2,1,168.7689175514383,168.7645565971238,8192.0,8192.0,0.0
