case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite-all/local/k1/ikea2,142.22593878195016,141.51136853320307,143.12574096506137,overwrite-all/local/k1/prior,1.0793439915446654
overwrite-all/striped/k1/ikea2,157.1725385883411,157.0497377491383,157.48287501873224,overwrite-all/striped/k1/prior,1.7235510282876292
overwrite-all/local/k2/ikea2,1343.8551406355004,1343.7650955169433,1343.9393619404202,overwrite-all/local/k2/prior,0.96265136288322
overwrite-all/striped/k2/ikea2,155.3972774613326,154.74608884891688,155.99116914456113,overwrite-all/striped/k2/prior,1.8052291936020664
overwrite-all/local/k3/ikea2,1415.3149383464704,1415.0606428138271,1416.3301664308296,overwrite-all/local/k3/prior,0.9997820312244579
overwrite-all/striped/k3/ikea2,172.57548837438853,172.43701696977624,172.59389285361868,overwrite-all/striped/k3/prior,1.3836945697456362
overwrite-all/local/k4/ikea2,1382.3699387714867,1381.3052538020868,1382.4086839160034,overwrite-all/local/k4/prior,1.0127157768627384
overwrite-all/striped/k4/ikea2,148.0595967986033,148.04183355272048,148.06205345515716,overwrite-all/striped/k4/prior,1.6739651786752279
overwrite-all/local/k5/ikea2,1454.3911537529095,1454.001454746968,1454.5821066121673,overwrite-all/local/k5/prior,1.019699268391722
overwrite-all/striped/k5/ikea2,168.68990171230263,168.5019139390192,168.71827540638589,overwrite-all/striped/k5/prior,1.1354314160224113
overwrite-all/local/k6/ikea2,1415.111781154181,1414.7864771081083,1415.1934103695783,overwrite-all/local/k6/prior,0.9998469473117289
overwrite-all/striped/k6/ikea2,152.1854188776542,152.09462371822693,152.238308769463,overwrite-all/striped/k6/prior,1.1053953745155334
overwrite-all/local/k7/ikea2,1479.1260128232375,1478.75558373846,1480.2328964982885,overwrite-all/local/k7/prior,1.0408180145853747
overwrite-all/striped/k7/ikea2,190.39513025324433,190.26187709902734,190.50947626395546,overwrite-all/striped/k7/prior,0.9941988845691478
overwrite-all/local/k8/ikea2,139.8505169729468,139.74807715338954,139.94421416120178,overwrite-all/local/k8/ikea,1.2605054920535825
overwrite-all/local/k9/ikea2,1818.6708970416162,1818.6056655260718,1819.0213540087302,overwrite-all/local/k9/ikea,1.8415584727053336
overwrite-all/local/k10/ikea2,1818.5298168117438,1818.3675891039802,1818.6746351392123,overwrite-all/local/k10/ikea,1.1433175220944216
overwrite-all/striped/k10/ikea2,459.865306884582,459.82920346206885,460.0019111638375,overwrite-all/striped/k10/ikea,1.4950667685802392
overwrite-all/local/k11/ikea2,1847.2312530237095,1847.071689316977,1848.6756828077412,overwrite-all/local/k11/ikea,1.0264852103813102
overwrite-all/local/k12/ikea2,2050.7024123449687,2050.5906826838627,2051.2035843344242,overwrite-all/local/k12/ikea,1.2821800955315659
overwrite-all/striped/k12/ikea2,407.40390790992353,407.1138998573897,407.44699387812693,overwrite-all/striped/k12/ikea,1.3170600285656393
overwrite-all/local/k13/ikea2,1926.7121358110028,1926.5509061711216,1926.7337462721125,overwrite-all/local/k13/ikea,1.074004930421688
overwrite-all/local/k14/ikea2,1929.620001838399,1929.484143763234,1930.3467230444335,overwrite-all/local/k14/ikea,1.074820772431586
overwrite-all/striped/k14/ikea2,440.3040643247187,439.93905085384944,440.33984338144256,overwrite-all/striped/k14/ikea,1.248339459652822
overwrite-all/local/k15/ikea2,1929.7547681419512,1929.6639551449455,1929.9814329702758,overwrite-all/local/k15/ikea,1.0615655201443743
overwrite-all/striped/k15/ikea2,463.89605132176416,463.787766839959,464.2705452936712,overwrite-all/striped/k15/ikea,1.0888659219897607
overwrite-all/local/k16/ikea2,270.96955577062005,269.4188292751713,272.31950417566907,overwrite-all/local/k16/ikea,0.9964924017836168
overwrite-all/local/k17/ikea2,1951.0012077856352,1950.7051145073528,1951.229943791528,overwrite-all/local/k17/ikea,1.5967594124535103
overwrite-all/local/k18/ikea2,1950.1903038738214,1949.416933426091,1950.2390628623689,overwrite-all/local/k18/ikea,1.1614955703333563
overwrite-all/local/k19/ikea2,2073.973484100355,2073.9224274145818,2074.4848903811653,overwrite-all/local/k19/ikea,1.0989907699048675
