case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite-all/local/k1/ikea2,0,27.92269310092476,27.922913312436588,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,1,33.008216352870726,33.01120950030547,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,2,33.4122546736744,33.41251679859653,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,0,33.311988383932054,33.31224312230496,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,1,33.37116728268231,33.37142202112121,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,2,33.30106647794801,33.30132917683356,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,0,27.90132161512312,27.903497885802544,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,1,27.880381394577533,27.8886467125067,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,2,27.910514882679692,27.91072780025688,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,0,38.773321076686024,38.77362625972459,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,1,38.76172411815948,38.762020053374954,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,2,38.8286794448996,38.82986318554106,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,0,39.55231853214746,39.55263036412045,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,1,39.63324411735058,39.63355594925852,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,2,39.54930384212827,39.54960531117867,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,0,42.82995288248625,42.83027885274661,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,1,42.8904668527115,42.8907938447213,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,2,42.80736999255074,42.807707203020406,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,0,57.41418451983608,57.419906002331125,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,1,57.38864460053675,57.39159723126709,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,2,56.988951620095776,56.98938674471161,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,0,67.00569622284283,67.01017136791042,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,1,67.1415230576681,67.14205256563643,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,2,67.32587208369436,67.32640159178634,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,0,59.5504479150207,59.55090202258371,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,1,59.69818228924236,59.698639243868534,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,2,59.68107140874346,59.6815269398714,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,0,38.98693089922095,38.98723764201371,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,1,38.96811734305005,38.97256046540974,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,2,38.970701418452975,38.971017456611584,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,0,40.14462036318909,40.153895895452976,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,1,40.116185331076444,40.116501488287426,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,2,40.14967314518,40.14997975077162,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,0,41.43404852814391,41.43437467668598,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,1,41.42111097425805,41.42142726940474,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,2,41.46482965882494,41.465146939158515,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,0,50.210684824196434,50.211068148133464,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,1,50.11317010026128,50.11356536565153,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,2,50.15361614115871,50.155766814959236,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,0,58.27575892068323,58.2762041375111,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,1,58.35015186065843,58.35059707750235,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,2,58.35881967468566,58.3627292343534,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,0,57.47316798704261,57.47362002386465,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,1,57.49144065956429,57.49190635315948,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,2,57.511693554444555,57.512133300647506,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,0,41.695412632595584,41.695740457952915,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,1,41.6668521031477,41.66718092172249,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,2,41.698869698420616,41.70028034024742,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,0,41.095409300427164,41.095723510641676,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,1,41.04529227914002,41.04561529897617,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,2,41.082654910048554,41.08297792981168,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,0,39.48716339212831,39.48747443498607,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,1,39.46009704162625,39.460407147554996,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,2,39.429170761595756,39.43597341910624,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,0,44.545959004905484,44.54631019738655,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,1,44.577332910346314,44.57767349281369,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,2,44.470033517134354,44.47038364870359,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,0,57.884927021859156,57.88538236140107,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,1,57.828539199097044,57.828994538792905,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,2,57.90766648783236,57.90810807077799,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,0,57.525427436611146,57.52586632385473,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,1,57.52066940572474,57.521109660471275,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,2,57.607612849418416,57.6080531039652,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,0,39.182721452822676,39.18526363022993,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,1,39.11076347898221,39.11107128042988,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,2,39.21258194744482,39.214288931759185,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,0,39.57922636197635,39.579538122886255,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,1,39.58975653449934,39.5900598186175,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,2,39.50003343659444,39.50033483690502,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,0,38.72814832695454,38.73053549606443,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,1,38.69353391328058,38.69383887375198,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,2,38.66781034581245,38.668123598510135,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,0,46.10278229318156,46.10315632234305,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,1,46.11168879031761,46.11204088210954,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,2,46.18637393686905,46.186727125523255,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,0,57.80748604030784,57.819844027065514,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,1,57.72825684729143,57.72869731612395,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,2,57.76099515622148,57.76144943309821,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,0,57.531101014892755,57.53153989490102,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,1,57.491861576386334,57.49230045666419,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,2,57.4814569726569,57.48190952505261,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea2,0,43.37139568725185,43.37172673906501,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea2,1,43.264891913159204,43.26522193348217,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea2,2,43.272564887684794,43.27290522126092,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea,0,43.54826009770769,43.548602894684954,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea,1,43.56954467215671,43.56988746889456,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea,2,43.59059032751638,43.59293796725782,8192.0,8192.0,0.0
overwrite-all/striped/k5/prior,0,41.55100811032395,41.5513350916996,8192.0,8192.0,0.0
overwrite-all/striped/k5/prior,1,41.53729662448533,41.53761372727727,8192.0,8192.0,0.0
overwrite-all/striped/k5/prior,2,41.486056367246285,41.486392239509115,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea2,0,53.99542552300486,53.995837870492295,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea2,1,54.06620750085309,54.066632733805456,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea2,2,54.03488199782209,54.03695661970674,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea,0,62.60277021052866,62.603263077079475,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea,1,62.56432659449901,62.56481946145575,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea,2,62.563803856907825,62.56426685287594,8192.0,8192.0,0.0
overwrite-all/local/k6/prior,0,58.50336905262669,58.50381473115669,8192.0,8192.0,0.0
overwrite-all/local/k6/prior,1,58.54533249025792,58.5457795617159,8192.0,8192.0,0.0
overwrite-all/local/k6/prior,2,58.54718484246655,58.56129475267108,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea2,0,45.16013485039976,45.16047885653149,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea2,1,45.1879563456223,45.18830142683339,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea2,2,45.15322247735952,45.153567558515235,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea,0,44.949830591938586,44.95017315499062,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea,1,44.98711642321534,44.98746005652648,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea,2,44.99868862637563,44.99904296471762,8192.0,8192.0,0.0
overwrite-all/striped/k6/prior,0,43.36274683999376,43.36306707599958,8192.0,8192.0,0.0
overwrite-all/striped/k6/prior,1,43.40072063435721,43.401052233515344,8192.0,8192.0,0.0
overwrite-all/striped/k6/prior,2,43.3672817953053,43.36762269167305,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea2,0,60.7194100286466,60.727998383441445,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea2,1,60.746426329348424,60.746889589489186,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea2,2,60.689694984233924,60.690172676450125,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea,0,65.61955310410507,65.62310610790821,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea,1,65.52852107385284,65.5290219379931,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea,2,65.62365392802504,65.62611129174329,8192.0,8192.0,0.0
overwrite-all/local/k7/prior,0,58.70163062853224,58.70209239170306,8192.0,8192.0,0.0
overwrite-all/local/k7/prior,1,58.714641410497954,58.715090542244454,8192.0,8192.0,0.0
overwrite-all/local/k7/prior,2,58.68314465126271,58.683607818146996,8192.0,8192.0,0.0
overwrite-all/striped/k7/ikea2,0,50.527417973156844,50.52782767209261,8192.0,8192.0,0.0
overwrite-all/striped/k7/ikea2,1,50.54827536076928,50.54867304481627,8192.0,8192.0,0.0
overwrite-all/striped/k7/ikea2,2,50.55582054476727,50.560903932393686,8192.0,8192.0,0.0
overwrite-all/striped/k7/ikea,0,51.60487434070709,51.60673167773327,8192.0,8192.0,0.0
overwrite-all/striped/k7/ikea,1,51.63331250492005,51.64230398345954,8192.0,8192.0,0.0
overwrite-all/striped/k7/ikea,2,51.65895851373613,51.6593767220221,8192.0,8192.0,0.0
overwrite-all/striped/k7/prior,0,50.37548237638246,50.375878480196555,8192.0,8192.0,0.0
overwrite-all/striped/k7/prior,1,50.403533725836105,50.40391902667078,8192.0,8192.0,0.0
overwrite-all/striped/k7/prior,2,50.41535682348834,50.4157421242857,8192.0,8192.0,0.0
overwrite-all/local/k8/ikea2,0,62.464840157948885,62.46531797095297,8192.0,8192.0,0.0
overwrite-all/local/k8/ikea2,1,62.552198842428766,62.552691681478706,8192.0,8192.0,0.0
overwrite-all/local/k8/ikea2,2,62.46281170552317,62.463289518796834,8192.0,8192.0,0.0
overwrite-all/local/k8/ikea,0,50.00535880624472,50.0057400368558,8192.0,8192.0,0.0
overwrite-all/local/k8/ikea,1,50.18906875456327,50.18945118390074,8192.0,8192.0,0.0
overwrite-all/local/k8/ikea,2,50.234049159553976,50.23678251029601,8192.0,8192.0,0.0
overwrite-all/local/k9/ikea2,0,401.456846048723,401.45991379713917,8192.0,8192.0,0.0
overwrite-all/local/k9/ikea2,1,400.9214713724554,400.924539122077,8192.0,8192.0,0.0
overwrite-all/local/k9/ikea2,2,401.5513632844943,401.55452660040595,8192.0,8192.0,0.0
overwrite-all/local/k9/ikea,0,460.64512582592437,460.64864389257923,8192.0,8192.0,0.0
overwrite-all/local/k9/ikea,1,461.2079068591344,461.2114249285331,8192.0,8192.0,0.0
overwrite-all/local/k9/ikea,2,461.05871876339756,461.0761002205603,8192.0,8192.0,0.0
overwrite-all/local/k10/ikea2,0,327.733963758325,327.7364637204918,8192.0,8192.0,0.0
overwrite-all/local/k10/ikea2,1,327.574028353595,327.57661371748674,8192.0,8192.0,0.0
overwrite-all/local/k10/ikea2,2,327.69568795515244,327.6981879178502,8192.0,8192.0,0.0
overwrite-all/local/k10/ikea,0,354.8479831045458,354.8506948259576,8192.0,8192.0,0.0
overwrite-all/local/k10/ikea,1,354.95374868004234,354.9564604008464,8192.0,8192.0,0.0
overwrite-all/local/k10/ikea,2,355.5625765575492,355.57754593306663,8192.0,8192.0,0.0
overwrite-all/striped/k10/ikea2,0,176.35996484472938,176.36130827797047,8192.0,8192.0,0.0
overwrite-all/striped/k10/ikea2,1,175.58466560642907,175.58600485473434,8192.0,8192.0,0.0
overwrite-all/striped/k10/ikea2,2,174.86846070143193,174.86979576505414,8192.0,8192.0,0.0
overwrite-all/striped/k10/ikea,0,80.0619277534905,80.06254056042225,8192.0,8192.0,0.0
overwrite-all/striped/k10/ikea,1,79.86308904160286,79.86371897670463,8192.0,8192.0,0.0
overwrite-all/striped/k10/ikea,2,79.88059781026242,79.88122584186513,8192.0,8192.0,0.0
overwrite-all/local/k11/ikea2,0,458.3445451567097,458.3480834322563,8192.0,8192.0,0.0
overwrite-all/local/k11/ikea2,1,457.7943649666886,457.7980233682161,8192.0,8192.0,0.0
overwrite-all/local/k11/ikea2,2,458.13683520803795,458.14038440566696,8192.0,8192.0,0.0
overwrite-all/local/k11/ikea,0,463.9456482065209,463.9492318410806,8192.0,8192.0,0.0
overwrite-all/local/k11/ikea,1,464.17570870800535,464.202077182598,8192.0,8192.0,0.0
overwrite-all/local/k11/ikea,2,463.40124542367164,463.4048290589288,8192.0,8192.0,0.0
overwrite-all/local/k12/ikea2,0,346.9134977223182,346.926165247028,8192.0,8192.0,0.0
overwrite-all/local/k12/ikea2,1,345.4450551264215,345.44772892396185,8192.0,8192.0,0.0
overwrite-all/local/k12/ikea2,2,345.1829570211958,345.18570509043565,8192.0,8192.0,0.0
overwrite-all/local/k12/ikea,0,352.2722934735285,352.27502260282193,8192.0,8192.0,0.0
overwrite-all/local/k12/ikea,1,351.87045842681846,351.8923584365052,8192.0,8192.0,0.0
overwrite-all/local/k12/ikea,2,352.33976827512873,352.3424974065487,8192.0,8192.0,0.0
overwrite-all/striped/k12/ikea2,0,182.27416084703984,182.275573153621,8192.0,8192.0,0.0
overwrite-all/striped/k12/ikea2,1,181.9474240560057,181.94887535310312,8192.0,8192.0,0.0
overwrite-all/striped/k12/ikea2,2,181.8113920321644,181.81279567468877,8192.0,8192.0,0.0
overwrite-all/striped/k12/ikea,0,75.3998369697915,75.40043845786424,8192.0,8192.0,0.0
