case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite-all/local/k1/ikea2,78.45211906287778,78.40923893851607,78.60013303114835,overwrite-all/local/k1/prior,0.18980900960383168
overwrite-all/striped/k1/ikea2,43.89642106889738,43.86155995372592,43.92842346612761,overwrite-all/striped/k1/prior,0.9376197456561407
overwrite-all/local/k2/ikea2,327.7512915244683,327.5898118287987,327.96114468205025,overwrite-all/local/k2/prior,0.8509743398481511
overwrite-all/striped/k2/ikea2,45.398945135386484,45.37885350373441,45.4126920412537,overwrite-all/striped/k2/prior,0.9974266295118047
overwrite-all/local/k3/ikea2,503.46306845380553,502.50208233604553,503.8387266634748,overwrite-all/local/k3/prior,0.39462957890271766
overwrite-all/striped/k3/ikea2,47.833920954097145,47.76340646242455,47.837541168555255,overwrite-all/striped/k3/prior,1.0148052218531032
overwrite-all/local/k4/ikea2,418.20819221420834,418.01235207395274,418.88674941228237,overwrite-all/local/k4/prior,1.1616530317401421
overwrite-all/striped/k4/ikea2,40.41649582873391,40.38420649786711,40.43849545949306,overwrite-all/striped/k4/prior,0.9612421756700277
overwrite-all/local/k5/ikea2,509.04518444859303,508.800938614145,509.38970677402887,overwrite-all/local/k5/prior,0.39835353954299413
overwrite-all/striped/k5/ikea2,65.50765742161751,65.47439208494043,65.64383788099974,overwrite-all/striped/k5/prior,1.2538099083250664
overwrite-all/local/k6/ikea2,513.3713439919748,513.2929332468876,513.7794223782572,overwrite-all/local/k6/prior,0.4024035175543156
overwrite-all/striped/k6/ikea2,50.439353432714356,50.42558443287445,50.47652253594221,overwrite-all/striped/k6/prior,1.0101097870208744
overwrite-all/local/k7/ikea2,523.2903643724628,523.0410837745274,523.8788414824057,overwrite-all/local/k7/prior,0.4069849483093125
overwrite-all/striped/k7/ikea2,70.47040667235825,70.39412981374987,70.48292070031512,overwrite-all/striped/k7/prior,1.20334941050706
overwrite-all/local/k8/ikea2,62.30324946188737,62.28258591256551,62.404904624062794,overwrite-all/local/k8/ikea,1.251039619140266
overwrite-all/local/k9/ikea2,312.2039157409767,312.14439945016215,312.5673291971656,overwrite-all/local/k9/ikea,0.2371068608933695
overwrite-all/local/k10/ikea2,431.8941342421452,431.747721960814,431.91472668678017,overwrite-all/local/k10/ikea,0.32802694716734543
overwrite-all/striped/k10/ikea2,239.3293349615927,239.32260126228635,239.34177518574543,overwrite-all/striped/k10/ikea,1.271179088642445
overwrite-all/local/k11/ikea2,1114.4682197755392,1113.9408542098704,1114.558906441134,overwrite-all/local/k11/ikea,0.6622914075311193
overwrite-all/local/k12/ikea2,973.7473669558697,973.3283997587395,975.1126061337167,overwrite-all/local/k12/ikea,0.7352701759672007
overwrite-all/striped/k12/ikea2,234.76577858901516,234.76287600962462,234.86921088913792,overwrite-all/striped/k12/ikea,1.3091924765964782
overwrite-all/local/k13/ikea2,1116.3144543714088,1115.6855722186926,1118.066741118911,overwrite-all/local/k13/ikea,0.662599030417444
overwrite-all/local/k14/ikea2,1115.1390985436562,1113.1474965451162,1115.4006059317403,overwrite-all/local/k14/ikea,0.6606993642255897
overwrite-all/striped/k14/ikea2,243.0881571867449,243.07780072783996,243.2962120817625,overwrite-all/striped/k14/ikea,1.2416382664975187
overwrite-all/local/k15/ikea2,1121.5597277822283,1120.6043234587944,1121.6769148652054,overwrite-all/local/k15/ikea,0.6556128549461996
overwrite-all/striped/k15/ikea2,267.3508873518197,267.2140143681566,267.4121588515741,overwrite-all/striped/k15/ikea,1.2810486053047274
overwrite-all/local/k16/ikea2,78.98293318936051,78.91775349481428,78.98672185635381,overwrite-all/local/k16/ikea,0.83215830108458
overwrite-all/local/k17/ikea2,513.6686649304729,513.4184315267131,515.2858950420161,overwrite-all/local/k17/ikea,0.34593974805529526
overwrite-all/local/k18/ikea2,590.6665355436865,589.9341669008056,590.7526411913523,overwrite-all/local/k18/ikea,0.3965963163071248
overwrite-all/local/k19/ikea2,1391.4084711630596,1390.9390247928302,1392.598230497495,overwrite-all/local/k19/ikea,0.7364648133131922
overwrite-all/local/k20/ikea2,1207.0739091718249,1206.3804900468667,1207.1896705253787,overwrite-all/local/k20/ikea,0.8017409630220924
overwrite-all/striped/k20/ikea2,453.18649319801426,453.01634636147725,453.19514143812194,overwrite-all/striped/k20/ikea,1.102197573909476
overwrite-all/local/k21/ikea2,1392.260872449811,1391.1173992370318,1394.8758666445808,overwrite-all/local/k21/ikea,0.7368325014244891
overwrite-all/local/k22/ikea2,1380.0073800738112,1378.4954533473722,1380.6501713231376,overwrite-all/local/k22/ikea,0.7310744891493249
overwrite-all/local/k23/ikea2,1379.1556742147052,1378.904841952573,1380.154718349364,overwrite-all/local/k23/ikea,0.7297679725933331
overwrite-all/local/k24/ikea2,359.388080352578,359.09248061221933,359.53233575893347,overwrite-all/local/k24/ikea,0.6157648317827333
overwrite-all/local/k25/ikea2,720.1447996428901,719.7142121347291,720.3767469010794,overwrite-all/local/k25/ikea,0.46185443331930154
overwrite-all/local/k26/ikea2,754.1552508132603,754.1018709897763,756.5476374485369,overwrite-all/local/k26/ikea,0.4830851490312765
overwrite-all/local/k27/ikea2,1577.412459114983,1575.4744163314776,1578.3952028271906,overwrite-all/local/k27/ikea,0.8153803092639785
