case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite-all/local/k1/ikea2,0,78.60013303114835,78.6004637403247,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,1,78.40923893851607,78.40950985989123,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,2,78.45211906287778,78.4524105359932,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,0,90.6449893207298,90.64530240772558,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,1,91.2071714087201,91.20751022896411,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,2,89.82639538175178,89.83708537388816,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,0,413.32136565394137,413.34780084664214,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,1,413.15434960189765,413.1558750957622,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,2,414.01521548712185,414.0165539738169,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,0,43.86155995372592,43.861722831354356,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,1,43.89642106889738,43.89657454958904,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,2,43.92842346612761,43.92857590330744,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,0,45.08217509233548,45.08636762234116,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,1,45.06467938307771,45.06484575387437,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,2,45.084193002360315,45.08434863932294,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,0,46.845852999623865,46.85133508244059,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,1,46.81686928231117,46.817042857868515,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,2,46.81473297238602,46.81489542177605,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,0,327.96114468205025,327.962287486012,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,1,327.5898118287987,327.59086853290614,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,2,327.7512915244683,327.75242649568645,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,0,408.2106531413352,408.21207174266027,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,1,408.6027128393474,408.6042286116175,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,2,408.8872111778317,408.8887269460242,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,0,385.0813356714619,385.08275875300063,8192.0,8192.0,0.0
