case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite-all/local/k1/ikea2,143.1793570854176,142.7596907413213,143.45924709345908,overwrite-all/local/k1/prior,1.083878147864111
overwrite-all/striped/k1/ikea2,157.1116720804799,157.10745980900367,157.49609155220156,overwrite-all/striped/k1/prior,1.7210611933428979
overwrite-all/local/k2/ikea2,1344.4617798699826,1344.1114740448975,1344.7467255900337,overwrite-all/local/k2/prior,0.9675103155413305
overwrite-all/striped/k2/ikea2,154.6102617439304,152.9403964747998,155.30109004843857,overwrite-all/striped/k2/prior,1.7952615171484714
overwrite-all/local/k3/ikea2,1415.3932421506506,1414.4399339711624,1415.599784395628,overwrite-all/local/k3/prior,0.9997497172370684
overwrite-all/striped/k3/ikea2,172.61462847088148,172.49054835181897,172.65325319234663,overwrite-all/striped/k3/prior,1.3805968489260838
overwrite-all/local/k4/ikea2,1380.877046485634,1380.844993096184,1380.9549608784214,overwrite-all/local/k4/prior,1.011513213047904
overwrite-all/striped/k4/ikea2,148.20427880564387,148.14649758197507,148.25748950301247,overwrite-all/striped/k4/prior,1.6750083324063882
overwrite-all/local/k5/ikea2,1454.4220043648395,1454.2814286209093,1454.4269581182702,overwrite-all/local/k5/prior,0.9855667422571749
overwrite-all/striped/k5/ikea2,168.63968660031878,168.58767652790203,168.64747347570443,overwrite-all/striped/k5/prior,1.1352963702802534
overwrite-all/local/k6/ikea2,1415.333715403034,1414.793682365234,1416.3167245389757,overwrite-all/local/k6/prior,0.9994459571117495
overwrite-all/striped/k6/ikea2,152.18425288773236,152.06032151169867,152.26744422127223,overwrite-all/striped/k6/prior,1.1041735498976981
overwrite-all/local/k7/ikea2,1478.8944254674957,1478.8819593618905,1479.0202486178239,overwrite-all/local/k7/prior,1.041800038794569
overwrite-all/striped/k7/ikea2,190.49206457140613,190.40252410548004,190.7039706608998,overwrite-all/striped/k7/prior,0.9965172014339452
overwrite-all/local/k8/ikea2,140.70666495969013,140.44954029533082,140.74191516098904,overwrite-all/local/k8/ikea,1.2677434196405326
overwrite-all/local/k9/ikea2,1818.79348579348,1818.6428880803858,1820.567134442121,overwrite-all/local/k9/ikea,1.8415040246320642
overwrite-all/local/k10/ikea2,1818.9436625817382,1818.9269908630024,1819.337894600103,overwrite-all/local/k10/ikea,1.1387036948251965
overwrite-all/striped/k10/ikea2,460.0397179608151,459.79572993541103,460.16999111774317,overwrite-all/striped/k10/ikea,1.494005082899404
overwrite-all/local/k11/ikea2,1846.986052446329,1846.904963041163,1847.1330957409564,overwrite-all/local/k11/ikea,1.0265397762748054
overwrite-all/local/k12/ikea2,2050.6539194139064,2050.55575091577,2050.9979487179444,overwrite-all/local/k12/ikea,1.2737989896789832
overwrite-all/striped/k12/ikea2,407.37217201137315,407.3100578661166,407.39375084670297,overwrite-all/striped/k12/ikea,1.3167641296390378
overwrite-all/local/k13/ikea2,1926.620297302254,1926.5465222976334,1926.7605065149814,overwrite-all/local/k13/ikea,1.0730493911062062
overwrite-all/local/k14/ikea2,1930.0887826845974,1929.7021276595597,1931.697991820296,overwrite-all/local/k14/ikea,1.0706562327509896
overwrite-all/striped/k14/ikea2,440.1650096904277,440.1442355036499,440.20950185950926,overwrite-all/striped/k14/ikea,1.2488221354657238
overwrite-all/local/k15/ikea2,1929.7405994299588,1929.6175416015387,1929.8843431093355,overwrite-all/local/k15/ikea,1.0554901872539975
overwrite-all/striped/k15/ikea2,463.8985933165977,463.8800026416408,463.9853938273247,overwrite-all/striped/k15/ikea,1.0889624890493996
overwrite-all/local/k16/ikea2,269.13465531958195,268.9232224529565,269.14261781305527,overwrite-all/local/k16/ikea,1.0153650068185336
overwrite-all/local/k17/ikea2,1952.1367501509997,1951.8571627712092,1952.2320988801134,overwrite-all/local/k17/ikea,1.597637433804163
overwrite-all/local/k18/ikea2,1951.4603513990478,1950.870735335102,1952.1937807938577,overwrite-all/local/k18/ikea,1.1620715104144768
overwrite-all/local/k19/ikea2,2073.00680909851,2072.8082103912975,2074.5239551980985,overwrite-all/local/k19/ikea,1.0983421674785918
overwrite-all/local/k20/ikea2,2239.8463959878773,2239.7779971189934,2239.991356773195,overwrite-all/local/k20/ikea,1.3263378250806104
overwrite-all/striped/k20/ikea2,700.2742542282548,699.6416300439388,700.6622386469705,overwrite-all/striped/k20/ikea,1.1574274988994457
overwrite-all/local/k21/ikea2,2161.9921895072566,2160.91732182314,2165.7660449103596,overwrite-all/local/k21/ikea,1.1435466278937816
overwrite-all/local/k22/ikea2,2166.3278764718775,2161.447996281797,2167.3212662672818,overwrite-all/local/k22/ikea,1.1457447769913482
overwrite-all/local/k23/ikea2,2170.168217054303,2170.03669250645,2171.1484754521907,overwrite-all/local/k23/ikea,1.146796598067612
overwrite-all/local/k24/ikea2,774.1991042866208,772.6820217530427,778.1171373731919,overwrite-all/local/k24/ikea,0.9578115737605948
overwrite-all/local/k25/ikea2,2303.905191750111,2303.1534000765973,2307.2215657312404,overwrite-all/local/k25/ikea,1.5554795922371083
overwrite-all/local/k26/ikea2,2288.669887542324,2284.8085489681853,2296.1948356808152,overwrite-all/local/k26/ikea,1.3088793203867508
overwrite-all/local/k27/ikea2,2406.8249455461887,2406.661469677811,2407.8855898200386,overwrite-all/local/k27/ikea,1.2338802801787176
overwrite-all/local/k28/ikea2,2636.985678391976,2636.0506281406783,2638.2600502512714,overwrite-all/local/k28/ikea,1.5075449813508992
overwrite-all/local/k29/ikea2,2469.3198118753344,2468.817989417999,2469.8585537918384,overwrite-all/local/k29/ikea,1.264361271986017
overwrite-all/local/k30/ikea2,2470.3105232217004,2470.206525573217,2470.405820105834,overwrite-all/local/k30/ikea,1.2643624518999241
overwrite-all/local/k31/ikea2,2471.380041212853,2470.842095966986,2472.2005887547148,overwrite-all/local/k31/ikea,1.261867324703172
overwrite-all/local/k32/ikea2,604.7852866434077,603.9829578900528,604.963345824172,overwrite-all/local/k32/ikea,0.9798624754033765
overwrite-all/local/k33/ikea2,2639.132020881845,2638.312032203284,2642.2859299326883,overwrite-all/local/k33/ikea,1.4121436752560346
overwrite-all/local/k34/ikea2,2636.999246562441,2636.758837194662,2637.935204369977,overwrite-all/local/k34/ikea,1.1794154104718344
overwrite-all/local/k35/ikea2,2802.7099465953834,2801.702536715554,2803.9771028037985,overwrite-all/local/k35/ikea,1.1148612483874105
overwrite-all/local/k36/ikea2,3005.8269036994175,3005.013602994162,3010.178062472978,overwrite-all/local/k36/ikea,1.4766782758875567
overwrite-all/local/k37/ikea2,2913.807058987108,2911.104912109964,2917.8295004515453,overwrite-all/local/k37/ikea,1.148525150871539
overwrite-all/local/k38/ikea2,2922.203751481786,2922.058712781695,2928.568300676332,overwrite-all/local/k38/ikea,1.2947496158037488
overwrite-all/local/k39/ikea2,2920.6270194985673,2918.4986768799868,2926.388997214446,overwrite-all/local/k39/ikea,1.288884421781513
overwrite-all/local/k40/ikea2,1396.0873860687495,1396.079668684747,1397.6750382542982,overwrite-all/local/k40/ikea,1.0231681406243434
overwrite-all/local/k41/ikea2,3232.8129351693533,3232.5070400744476,3238.3445768219012,overwrite-all/local/k41/ikea,1.4754044909021273
overwrite-all/local/k42/ikea2,3231.1957025815195,3230.4801360334736,3236.7423094760193,overwrite-all/local/k42/ikea,1.2790664937124983
overwrite-all/local/k43/ikea2,3248.0537318056076,3247.627593682299,3251.221198513234,overwrite-all/local/k43/ikea,1.1791866908384634
overwrite-all/local/k44/ikea2,3366.8673206819667,3366.6978128013066,3373.431006754664,overwrite-all/local/k44/ikea,1.331879352763899
overwrite-all/local/k45/ikea2,3491.8377072396443,3491.570190785489,3493.2441056400876,overwrite-all/local/k45/ikea,1.2603569368189773
overwrite-all/local/k46/ikea2,3494.237698776184,3493.9970860044673,3495.650070768252,overwrite-all/local/k46/ikea,1.2626085913238596
overwrite-all/local/k47/ikea2,3490.7493975902335,3490.525467387025,3490.9011217283196,overwrite-all/local/k47/ikea,1.2846281968221007
overwrite-all/local/k48/ikea2,1248.8744466561398,1247.990819691618,1249.321429632502,overwrite-all/local/k48/ikea,0.9342614998017361
overwrite-all/local/k49/ikea2,3102.4608637478113,3102.456255110216,3102.870214821989,overwrite-all/local/k49/ikea,1.495648327025198
overwrite-all/local/k50/ikea2,3064.414532720501,3064.174947107445,3064.979207704154,overwrite-all/local/k50/ikea,1.2376331863412897
overwrite-all/local/k51/ikea2,3202.7189919539674,3202.07036587202,3203.2545923788666,overwrite-all/local/k51/ikea,1.1656048359647335
overwrite-all/local/k52/ikea2,3350.988905738798,3349.494851943333,3351.7532125470084,overwrite-all/local/k52/ikea,1.3441175767096496
overwrite-all/local/k53/ikea2,3330.987131623021,3330.782190801645,3332.332830248677,overwrite-all/local/k53/ikea,1.202799053849241
overwrite-all/local/k54/ikea2,3332.7941340117372,3331.7684603767425,3333.0748748111464,overwrite-all/local/k54/ikea,1.20369547157903
overwrite-all/local/k55/ikea2,3339.3298566876915,3338.3025477706346,3340.037261146552,overwrite-all/local/k55/ikea,1.2047130422093837
overwrite-all/local/k56/ikea2,1474.028233887744,1473.918040856433,1474.8022221440926,overwrite-all/local/k56/prior,0.6957607476948413
overwrite-all/local/k57/ikea2,3099.4706230139072,3099.3001995416944,3103.499002290979,overwrite-all/local/k57/ikea,1.33249595532514
overwrite-all/local/k58/ikea2,3193.0171497951765,3193.012520868064,3195.191531339996,overwrite-all/local/k58/ikea,1.1974140331842988
overwrite-all/local/k59/ikea2,3392.117937910203,3391.7359974063916,3396.7219745479115,overwrite-all/local/k59/ikea,1.157993345648908
overwrite-all/local/k60/ikea2,3260.1116747307633,3259.3045887311146,3261.1897143748247,overwrite-all/local/k60/ikea,1.2258651564382839
overwrite-all/local/k61/ikea2,3539.246937568435,3537.524119287094,3540.3753484836857,overwrite-all/local/k61/ikea,1.2099014237957277
overwrite-all/local/k62/ikea2,3534.8160571667554,3532.8204287518006,3535.641614123669,overwrite-all/local/k62/ikea,1.208833797703769
overwrite-all/local/k63/ikea2,3532.31139283015,3532.023759550052,3535.0505415161906,overwrite-all/local/k63/ikea,1.210075790864898
overwrite-all/local/k64/ikea2,1298.374093810051,1297.6795030671137,1299.9757729722226,overwrite-all/local/k64/ikea,0.9870592957254479
overwrite/local/k3/all/ikea2-raw,1415.0782491581833,1414.0931649830543,1415.0860942760794,overwrite/local/k3/all/prior,0.9996905257745847
overwrite/local/k3/all/ikea2-coverage,1414.9434165740442,1414.814680012071,1416.0910929126978,overwrite/local/k3/all/prior,0.9995952724859347
overwrite/local/k3/all/ikea2-sum-coverage,3262.256872185023,3262.1339493709584,3262.288709426982,overwrite/local/k3/all/ikea-materialized-sum-coverage,0.7415861862859092
overwrite/local/k3/prefilter75/ikea2-raw,4227.451037678815,4226.323594600164,4227.460507757106,,
overwrite/local/k3/prefilter75/ikea2-coverage,3852.9962312714256,3852.4879124921945,3853.0440297820273,,
overwrite/local/k3/prefilter75/ikea2-sum-coverage,4234.3224341507685,4234.25613079008,4235.302855989593,overwrite/local/k3/prefilter75/ikea-materialized-sum-coverage,0.5543692426671462
overwrite/local/k7/all/ikea2-raw,1478.7676219985096,1478.6082670234568,1479.0916132666437,overwrite/local/k7/all/prior,1.0406058887980452
overwrite/local/k7/all/ikea2-coverage,1478.8343136909248,1478.7157902152544,1478.9447007854253,overwrite/local/k7/all/prior,1.0406528196118043
overwrite/local/k7/all/ikea2-sum-coverage,3224.3867445795995,3223.9770106106325,3224.492618791248,overwrite/local/k7/all/ikea-materialized-sum-coverage,0.7237079636399552
overwrite/local/k7/prefilter75/ikea2-raw,4009.554207660726,4009.4467475403026,4011.586206896373,,
overwrite/local/k7/prefilter75/ikea2-coverage,3684.542317822786,3684.53687445127,3685.9093942054656,,
overwrite/local/k7/prefilter75/ikea2-sum-coverage,4316.840543881415,4316.725793160015,4317.076225793346,overwrite/local/k7/prefilter75/ikea-materialized-sum-coverage,0.5610882326433342
overwrite/local/k12/all/ikea2-raw,2050.4674868189477,2050.235647334541,2050.5871900019383,overwrite/local/k12/all/ikea,1.2732435639360131
overwrite/local/k12/all/ikea2-coverage,2156.378786328345,2143.1930004092596,2176.0454871060106,overwrite/local/k12/all/ikea,1.3390094838129698
overwrite/local/k12/all/ikea2-sum-coverage,4904.692262739503,4904.62985039752,4904.724988312417,overwrite/local/k12/all/ikea-materialized-sum-coverage,1.0238651324768275
overwrite/local/k12/prefilter75/ikea2-raw,6289.961054523673,6289.8239964048735,6290.214200120029,,
overwrite/local/k12/prefilter75/ikea2-coverage,6137.376517034499,6136.769410732564,6137.607398742753,,
overwrite/local/k12/prefilter75/ikea2-sum-coverage,6721.130441741319,6721.022727272874,6721.861555698003,overwrite/local/k12/prefilter75/ikea-materialized-sum-coverage,0.85916861039322
overwrite/local/k31/all/ikea2-raw,2472.2627303231684,2471.180078883976,2472.8003767586156,overwrite/local/k31/all/ikea,1.2614873430690359
overwrite/local/k31/all/ikea2-coverage,2688.8917482876664,2688.0539658151743,2690.8573074708347,overwrite/local/k31/all/ikea,1.3720236388081084
overwrite/local/k31/all/ikea2-sum-coverage,6358.685709955729,6357.936050916904,6363.943173207736,overwrite/local/k31/all/ikea-materialized-sum-coverage,1.201372733406389
overwrite/local/k31/prefilter75/ikea2-raw,8140.546141915333,8140.342962388102,8141.960837534438,,
overwrite/local/k31/prefilter75/ikea2-coverage,8244.094873305672,8243.307012375026,8244.23433510137,,
overwrite/local/k31/prefilter75/ikea2-sum-coverage,8919.907796898642,8919.705544933353,8920.566178033254,overwrite/local/k31/prefilter75/ikea-materialized-sum-coverage,0.975799477893655
overwrite/local/k56/all/ikea2-raw,1468.2091756572393,1467.788450123958,1468.6763032017416,overwrite/local/k56/all/prior,0.6948663492900314
overwrite/local/k56/all/ikea2-coverage,1481.9165694489143,1480.8614911442585,1483.6762823911642,overwrite/local/k56/all/prior,0.7013537128348332
overwrite/local/k56/all/ikea2-sum-coverage,3689.662163347637,3689.468988507651,3691.6807614705563,overwrite/local/k56/all/ikea-materialized-sum-coverage,0.6290815867276242
overwrite/local/k56/prefilter75/ikea2-raw,2963.1490893688624,2959.970633912229,2964.701468304381,,
overwrite/local/k56/prefilter75/ikea2-coverage,2877.3793813018738,2876.3210782631754,2877.562590026802,,
overwrite/local/k56/prefilter75/ikea2-sum-coverage,6280.797929792752,6280.543354335461,6284.843384338229,overwrite/local/k56/prefilter75/ikea-materialized-sum-coverage,0.7578907654373805
overwrite/local/k64/all/ikea2-raw,1298.854370136115,1297.9553219856302,1299.908039562156,overwrite/local/k64/all/ikea,0.9873215089412102
overwrite/local/k64/all/ikea2-coverage,1301.8399082000583,1301.0485671752338,1303.155377744652,overwrite/local/k64/all/ikea,0.98959095963104
overwrite/local/k64/all/ikea2-sum-coverage,2722.3506206540023,2719.2028335607665,2724.334958081492,overwrite/local/k64/all/ikea-materialized-sum-coverage,0.5301123097631684
overwrite/local/k64/prefilter75/ikea2-raw,1818.7877196789975,1818.720807116479,1819.5064439141497,,
overwrite/local/k64/prefilter75/ikea2-coverage,1821.1984580735161,1820.6279452530391,1821.4530058903904,,
overwrite/local/k64/prefilter75/ikea2-sum-coverage,3528.9729091063323,3527.836610684354,3531.5844375052525,overwrite/local/k64/prefilter75/ikea-materialized-sum-coverage,0.48642880689304585
overwrite/striped/k3/all/ikea2-raw,172.5910189840855,172.52073473575618,172.618770651614,overwrite/striped/k3/all/prior,1.3699936179170964
overwrite/striped/k3/all/ikea2-coverage,224.73465188857844,224.55438105215396,225.04906906651584,overwrite/striped/k3/all/prior,1.7838995367456674
overwrite/striped/k3/all/ikea2-sum-coverage,772.0957626807403,772.0726817963488,773.0026299333667,overwrite/striped/k3/all/ikea-materialized-sum-coverage,0.5008007407806879
overwrite/striped/k3/prefilter75/ikea2-raw,409.6138892952753,409.5302609119651,409.71067544499834,,
overwrite/striped/k3/prefilter75/ikea2-coverage,437.1643902642011,436.8798121968338,437.1859501550719,,
overwrite/striped/k3/prefilter75/ikea2-sum-coverage,907.770215895747,907.521697745823,907.8779474753761,overwrite/striped/k3/prefilter75/ikea-materialized-sum-coverage,0.17638687145846876
overwrite/striped/k7/all/ikea2-raw,190.68107532727362,190.43106853288137,190.84503329257694,overwrite/striped/k7/all/prior,0.9965794552535105
overwrite/striped/k7/all/ikea2-coverage,226.69248708440114,226.577712277525,226.73712083176198,overwrite/striped/k7/all/prior,1.1847902310225877
overwrite/striped/k7/all/ikea2-sum-coverage,823.2441596111485,823.2212684227436,823.4337174663629,overwrite/striped/k7/all/ikea-materialized-sum-coverage,0.5038878941347068
overwrite/striped/k7/prefilter75/ikea2-raw,516.3920800375146,516.1834109558183,517.234740395758,,
overwrite/striped/k7/prefilter75/ikea2-coverage,502.49983860368053,502.3256978898976,502.52860302474727,,
overwrite/striped/k7/prefilter75/ikea2-sum-coverage,973.9702697062738,973.7601632615355,974.0282229074995,overwrite/striped/k7/prefilter75/ikea-materialized-sum-coverage,0.18537103558386545
overwrite/striped/k12/all/ikea2-raw,407.21827741082427,406.97483727648626,407.31574658787457,overwrite/striped/k12/all/ikea,1.296925828764129
overwrite/striped/k12/all/ikea2-coverage,523.3214232321433,523.042968555331,524.172185678012,overwrite/striped/k12/all/ikea,1.666695991277061
overwrite/striped/k12/all/ikea2-sum-coverage,1588.0408626558688,1587.9467272040074,1588.8034052213202,overwrite/striped/k12/all/ikea-materialized-sum-coverage,0.7092943415631796
overwrite/striped/k12/prefilter75/ikea2-raw,1233.1219469234834,1233.0976984498925,1233.1913163457507,,
overwrite/striped/k12/prefilter75/ikea2-coverage,1213.1660264002876,1212.9496259496443,1213.7213252072404,,
overwrite/striped/k12/prefilter75/ikea2-sum-coverage,2024.5362102215356,2023.2068466729897,2024.6878495661824,overwrite/striped/k12/prefilter75/ikea-materialized-sum-coverage,0.3497715803237753
pipeline-mutation/k7/depth3/inline,8347.224652088162,8346.178727633805,8348.804970178291,,
pipeline-mutation/k7/depth3/cps,9854.632801501484,9852.02041295209,9859.08259033359,pipeline-mutation/k7/depth3/inline,1.1805879453641188
pipeline-mutation/k7/depth3/scratch-calls,11131.560794702435,11127.348344370981,11134.428609272094,pipeline-mutation/k7/depth3/inline,1.3335642993528078
pipeline-mutation/k7/depth3/fused,6580.486821462067,6579.501725761209,6582.460150612258,pipeline-mutation/k7/depth3/inline,0.7883442815709862
pipeline-mutation/k12/depth3/inline,11477.930563149928,11477.879715691979,11478.785128485015,,
pipeline-mutation/k12/depth3/cps,13801.177726676155,13800.48061760748,13802.226018396776,pipeline-mutation/k12/depth3/inline,1.2024099336325529
pipeline-mutation/k12/depth3/scratch-calls,14845.704489220649,14842.493814067233,14846.055143160844,pipeline-mutation/k12/depth3/inline,1.2934129900456979
pipeline-mutation/k12/depth3/fused,9869.700211615882,9868.984951798577,9870.53985421957,pipeline-mutation/k12/depth3/inline,0.8598849903572954
pipeline-mutation/k31/depth3/inline,15009.685602001327,15006.211146839418,15017.293319043029,,
pipeline-mutation/k31/depth3/cps,17353.483257544223,17352.714758163882,17354.973129392,pipeline-mutation/k31/depth3/inline,1.1561523484029794
pipeline-mutation/k31/depth3/scratch-calls,19172.326782447908,19170.474862889314,19186.45521023737,pipeline-mutation/k31/depth3/inline,1.2773303379446903
pipeline-mutation/k31/depth3/fused,11925.043799772659,11921.660693970583,11925.428043229582,pipeline-mutation/k31/depth3/inline,0.7944899124457759
pipeline-mutation/k64/depth3/inline,14451.902925988888,14450.991738380526,14452.62340791629,,
pipeline-mutation/k64/depth3/cps,17461.69863013648,17442.30469074243,17474.652968035716,pipeline-mutation/k64/depth3/inline,1.2082629339237445
pipeline-mutation/k64/depth3/scratch-calls,19442.54351851658,19440.5564814829,19442.808333333567,pipeline-mutation/k64/depth3/inline,1.3453275750664648
pipeline-mutation/k64/depth3/fused,9241.97380008716,9240.259136943658,9242.699911932796,pipeline-mutation/k64/depth3/inline,0.6394987461109567
pipeline-mutation/k7/depth7/inline,21831.25937500104,21830.53541666332,21832.87239583646,,
pipeline-mutation/k7/depth7/cps,28888.75378266699,28886.355570841923,28889.122420907508,pipeline-mutation/k7/depth7/inline,1.3232747266860603
pipeline-mutation/k7/depth7/scratch-calls,32851.07824726223,32843.66431924509,32866.805164323174,pipeline-mutation/k7/depth7/inline,1.504772477069279
pipeline-mutation/k7/depth7/fused,6579.0363693372055,6577.965355071027,6581.404922401325,pipeline-mutation/k7/depth7/inline,0.30135853623134795
pipeline-mutation/k31/depth7/inline,36372.59445407377,36360.6152512948,36375.40121317389,,
pipeline-mutation/k31/depth7/cps,45489.330802607554,45483.69631236899,45496.04555314671,pipeline-mutation/k31/depth7/inline,1.2506485029558485
pipeline-mutation/k31/depth7/scratch-calls,46678.39488320422,46669.329254728895,46680.40600667517,pipeline-mutation/k31/depth7/inline,1.2833397117751162
pipeline-mutation/k31/depth7/fused,11724.828571429498,11721.026050419947,11726.001120448596,pipeline-mutation/k31/depth7/inline,0.3223533747705013
decode/local/k1/ikea2,246.81472576566676,246.30543765799945,247.0550702486731,decode/local/k1/prior,0.9821189420073871
point/local/k1/ikea2,554.4579308339612,554.4269554531121,555.5684193834293,point/local/k1/prior,0.9992550066666548
decode/striped/k1/ikea2,142.2996735459634,134.52214018897206,143.28496730187206,decode/striped/k1/prior,1.0946105522394696
point/striped/k1/ikea2,555.3583572591701,555.3269604794497,555.4476521877042,point/striped/k1/prior,1.0000706298545525
decode/local/k2/ikea2,410.5515818971323,410.5010728877775,410.57307884500455,decode/local/k2/prior,1.0133191618959023
point/local/k2/ikea2,555.0745752836649,555.0116391467108,555.1515869757511,point/local/k2/prior,1.0006398649608552
decode/striped/k2/ikea2,157.23986056276271,156.5138817412925,157.8195467538955,decode/striped/k2/prior,1.066574659440102
point/striped/k2/ikea2,554.6754912699662,554.5152494952488,554.7542528341581,point/striped/k2/prior,0.9979683002977103
decode/local/k3/ikea2,1406.886758939744,1406.7147022352442,1407.066188545138,decode/local/k3/prior,0.9955219625743987
point/local/k3/ikea2,574.5070499582449,574.3369620218764,574.551619917671,point/local/k3/prior,1.0102319508134519
decode/striped/k3/ikea2,158.06713807584381,157.50375630610685,158.15848178067947,decode/striped/k3/prior,1.0325967543571994
point/striped/k3/ikea2,946.5357601102564,946.226369814175,997.9173596920609,point/striped/k3/prior,1.458984959034834
decode/local/k4/ikea2,1399.6491549720363,1399.4425147505335,1399.897129904327,decode/local/k4/prior,0.9860510056183566
point/local/k4/ikea2,555.0605948447421,555.0516325182483,555.0639788500279,point/local/k4/prior,0.9928052713083425
decode/striped/k4/ikea2,161.56289591714554,161.37298669873252,161.62775697044526,decode/striped/k4/prior,1.2197342658129209
point/striped/k4/ikea2,554.5898794734658,554.5836284822932,554.7176217158517,point/striped/k4/prior,0.9980077540833043
decode/local/k5/ikea2,1379.920389179398,1379.8542221347413,1380.0168293724778,decode/local/k5/prior,1.0021505441675682
point/local/k5/ikea2,576.9831187724435,576.8841783097048,577.0795750872023,point/local/k5/prior,0.9160025494628324
