case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite-all/local/k1/ikea2,0,142.7596907413213,142.75605841790423,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,1,143.45924709345908,143.4555909175853,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,2,143.1793570854176,143.1756532047906,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,0,145.06314624774205,145.0591976196341,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,1,148.48889823708032,148.48494253954402,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,2,146.93312429520333,146.92923576223652,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,0,132.12017328174343,132.11669127660258,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,1,132.0991269798793,132.12452106925343,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,2,131.79529519917654,131.79189819802545,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,0,157.49609155220156,157.55345796566385,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,1,157.10745980900367,157.10365263750097,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,2,157.1116720804799,157.107489816669,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,0,95.87729554191195,95.88916039731028,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,1,96.39691240503565,96.39441873625412,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,2,95.73628368161197,95.7337831821787,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,0,91.31480060099102,91.31225008412538,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,1,91.23769588199359,91.23539106899065,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,2,91.28767337744368,91.2911110278404,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,0,1344.7467255900337,1344.7095782553454,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,1,1344.4617798699826,1344.4271303899268,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,2,1344.1114740448975,1344.0762160709216,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,0,1320.0187136342222,1319.9851548901665,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,1,1320.2529013995913,1320.21852493755,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,2,1320.4167950935737,1320.38320489342,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,0,1404.852731197075,1404.8151087415522,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,1,1389.609762576789,1389.573435177619,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,2,1388.0669101776562,1388.030682373252,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,0,154.6102617439304,154.60623378566487,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,1,155.30109004843857,155.29711354098401,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,2,152.9403964747998,152.94823923697498,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,0,107.76764052316072,107.80274600422457,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,1,107.64267095884594,107.63983627369262,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,2,107.79191474419893,107.78927484750356,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,0,86.12130336838489,86.11908970531354,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,1,86.16415428632502,86.16199200779425,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,2,86.04784758819726,86.04570175261158,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,0,1414.4399339711624,1414.4037865498683,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,1,1415.3932421506506,1415.3568926010919,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,2,1415.599784395628,1415.5625252658901,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,0,1419.1268124514197,1419.0905127362414,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,1,1418.8006556933774,1418.765437529252,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,2,1418.7097711832885,1418.6734714673526,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,0,1415.7475793664282,1415.7099625656683,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,1,1415.769744610507,1415.7336796935217,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,2,1415.5245774434081,1415.4876690936355,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,0,172.65325319234663,172.64887065443534,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,1,172.61462847088148,172.61013081589383,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,2,172.49054835181897,172.4860753654084,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,0,129.00891598025004,129.00515848887105,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,1,129.1772258458968,129.1864797846997,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,2,128.86242906695597,128.8590801958663,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,0,125.08317480887946,125.12107206276772,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,1,124.90357750062377,124.90037332356,8192.0,8192.0,0.0
overwrite-all/striped/k3/prior,2,125.02898916881648,125.02565123650753,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,0,1380.844993096184,1380.8076796644364,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,1,1380.877046485634,1380.931159162992,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea2,2,1380.9549608784214,1381.0931685204487,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,0,1381.6705076710361,1381.6951339978255,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,1,1381.7453743333085,1381.7082372910688,8192.0,8192.0,0.0
overwrite-all/local/k4/ikea,2,1381.719496938176,1381.7411601967951,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,0,1365.2763059519648,1365.2409712998076,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,1,1365.034749536769,1365.0008451859267,8192.0,8192.0,0.0
overwrite-all/local/k4/prior,2,1365.1596723336497,1365.1249877980117,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,0,148.14649758197507,148.1425359853197,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,1,148.25748950301247,148.25369784522584,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea2,2,148.20427880564387,148.20051900784867,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,0,114.69368079706544,114.69043800861694,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,1,114.63549910802898,114.63257322171245,8192.0,8192.0,0.0
overwrite-all/striped/k4/ikea,2,114.75839450556347,114.75524733343822,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,0,88.45491378022054,88.45262384597339,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,1,88.47972630245205,88.47736480934854,8192.0,8192.0,0.0
overwrite-all/striped/k4/prior,2,88.5111118594555,88.51633576997818,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,0,1454.4220043648395,1454.389060163322,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,1,1454.2814286209093,1454.7079364034619,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea2,2,1454.4269581182702,1454.3904458139607,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,0,1483.8752517223181,1483.8369899098439,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,1,1484.0821762939522,1484.0442324719293,8192.0,8192.0,0.0
overwrite-all/local/k5/ikea,2,1484.0910439851536,1484.0528175171125,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,0,1475.5962268128164,1475.5573355925958,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,1,1475.7648257448027,1475.7275857219984,8192.0,8192.0,0.0
overwrite-all/local/k5/prior,2,1475.721472737481,1475.6820545269204,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea2,0,168.58767652790203,168.58343825541323,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea2,1,168.64747347570443,168.64312292895386,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea2,2,168.63968660031878,168.63527991656022,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea,0,152.64126075331416,152.6371156405303,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea,1,152.71731138107566,152.71333701524324,8192.0,8192.0,0.0
overwrite-all/striped/k5/ikea,2,152.64505347593442,152.64101008545083,8192.0,8192.0,0.0
overwrite-all/striped/k5/prior,0,148.57533447829832,148.57129529599604,8192.0,8192.0,0.0
overwrite-all/striped/k5/prior,1,148.54049784789095,148.53658234921227,8192.0,8192.0,0.0
overwrite-all/striped/k5/prior,2,148.54243439419193,148.53860017347125,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea2,0,1414.793682365234,1414.7558911735339,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea2,1,1416.3167245389757,1416.4038701552486,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea2,2,1415.333715403034,1415.2991942970161,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea,0,1416.2348914069937,1416.1972885425141,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea,1,1417.2255497099898,1417.6249494165766,8192.0,8192.0,0.0
overwrite-all/local/k6/ikea,2,1416.3271280183455,1416.290132179874,8192.0,8192.0,0.0
overwrite-all/local/k6/prior,0,1416.1183056792167,1416.1682854705252,8192.0,8192.0,0.0
overwrite-all/local/k6/prior,1,1416.3512073384745,1416.4201065856196,8192.0,8192.0,0.0
overwrite-all/local/k6/prior,2,1415.7595103197102,1415.7897612412823,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea2,0,152.18425288773236,152.18018142222573,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea2,1,152.06032151169867,152.05638781465603,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea2,2,152.26744422127223,152.2634488932926,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea,0,175.11867537959358,175.14667406185842,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea,1,175.10383782949742,175.09907963902995,8192.0,8192.0,0.0
overwrite-all/striped/k6/ikea,2,175.0629449075695,175.05834518287793,8192.0,8192.0,0.0
overwrite-all/striped/k6/prior,0,137.82638870658715,137.82252644714814,8192.0,8192.0,0.0
overwrite-all/striped/k6/prior,1,137.69925905021952,137.69564617923743,8192.0,8192.0,0.0
overwrite-all/striped/k6/prior,2,137.88446039954795,137.88047016586114,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea2,0,1478.8819593618905,1478.8436102334533,8192.0,8192.0,0.0
overwrite-all/local/k7/ikea2,1,1479.0202486178239,1478.980666956621,8192.0,8192.0,0.0
