case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite-all/local/k1/ikea2,0,78.70732905552556,78.7131076725444,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,1,78.7640234984537,78.76438113246988,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,2,78.88486623537229,78.88520692984748,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,0,79.02863892510827,79.03726226301526,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,1,79.10653747583294,79.10687656465252,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,2,78.93056742052963,78.93094397762793,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,0,413.78185900402775,413.7836413976383,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,1,413.82469546721285,413.82647786009966,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,2,413.66397502683446,413.6658558913099,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,0,44.3111686655859,44.31136959181171,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,1,44.301711450804106,44.30642533061261,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,2,44.310526963581836,44.31070685023067,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,0,45.46505875211143,45.46911875610228,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,1,45.472017677032824,45.47222435637224,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,2,45.464356475284426,45.464551251580254,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,0,46.86411623183468,46.86431811651976,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,1,46.828490897916815,46.82870282083266,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,2,46.86684780487054,46.86705080444353,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,0,695.7397438216294,695.7846654781971,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,1,694.9442425637563,694.9684463170241,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,2,694.8761530493111,694.8793100637698,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,0,404.7601766996692,404.76201731841365,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,1,404.6056516769029,404.60750198280414,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,2,404.68132059752287,404.68305465641805,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,0,384.9714366878652,384.97319612048057,8192.0,8192.0,0.0
