case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite-all/local/k1/ikea2,142.78674863667,142.59856824819758,142.81254467841754,overwrite-all/local/k1/prior,1.0812986439852272
overwrite-all/striped/k1/ikea2,106.97517990371219,106.8350738444938,107.09453978238514,overwrite-all/striped/k1/prior,1.1714442142513235
overwrite-all/local/k2/ikea2,1344.7926352865832,1344.7314121037464,1344.8845020813287,overwrite-all/local/k2/prior,0.9613170479122025
overwrite-all/striped/k2/ikea2,110.04350759205998,110.02231466979052,110.10672551701072,overwrite-all/striped/k2/prior,1.2772237053297621
overwrite-all/local/k3/ikea2,1415.1570662981583,1414.9889783949575,1415.7240891165866,overwrite-all/local/k3/prior,1.000502496962134
overwrite-all/striped/k3/ikea2,172.61737226157433,172.61340329021996,172.73167534964637,overwrite-all/striped/k3/prior,1.38034963501072
overwrite-all/local/k4/ikea2,1380.9219788171845,1380.8876060785533,1380.998552726792,overwrite-all/local/k4/prior,1.0111008346969554
overwrite-all/striped/k4/ikea2,129.97717833945842,129.85074130791955,130.45251932867686,overwrite-all/striped/k4/prior,1.4703930096786184
overwrite-all/local/k5/ikea2,1454.4972624575573,1454.0806015662927,1454.5694088294456,overwrite-all/local/k5/prior,0.985245488328686
overwrite-all/striped/k5/ikea2,168.62310511678626,168.59494108380017,168.74926857106163,overwrite-all/striped/k5/prior,1.1345712975203517
overwrite-all/local/k6/ikea2,1415.514849148813,1415.2269003876543,1415.5683802460637,overwrite-all/local/k6/prior,0.9995374069416947
overwrite-all/striped/k6/ikea2,152.16980086492146,152.12851782363904,152.22668004375168,overwrite-all/striped/k6/prior,1.0967195396767382
overwrite-all/local/k7/ikea2,1479.1894091533889,1478.88845435648,1480.2100200824532,overwrite-all/local/k7/prior,1.0406927939783195
overwrite-all/striped/k7/ikea2,191.07207170392232,191.0511898437596,191.20333365117088,overwrite-all/striped/k7/prior,0.9927690040311775
overwrite-all/local/k8/ikea2,143.05428886997157,142.93379740690838,149.4397595446967,overwrite-all/local/k8/ikea,1.2840744907848327
overwrite-all/local/k9/ikea2,989.4526206342372,988.4101564346134,989.9235077272073,overwrite-all/local/k9/ikea,1.0016751518274691
overwrite-all/local/k10/ikea2,1818.7892730265696,1818.7096005545397,1819.0661554457847,overwrite-all/local/k10/ikea,1.1374804372481735
overwrite-all/striped/k10/ikea2,436.52436322791334,435.7152752498701,436.53420212379484,overwrite-all/striped/k10/ikea,1.4164222297924776
overwrite-all/local/k11/ikea2,1847.692067402883,1847.2332262747877,1848.7207972194249,overwrite-all/local/k11/ikea,1.0234146399846036
overwrite-all/local/k12/ikea2,2050.6305016853066,2050.263006203902,2050.8983439988574,overwrite-all/local/k12/ikea,1.2768567029341076
overwrite-all/striped/k12/ikea2,394.6362697001553,393.9657242862366,395.0619420422034,overwrite-all/striped/k12/ikea,1.2764004974562662
overwrite-all/local/k13/ikea2,1926.956328271929,1926.7066379192393,1926.9769255470667,overwrite-all/local/k13/ikea,1.073972128244859
overwrite-all/local/k14/ikea2,1930.140500045996,1929.8989337254955,1931.1068112877824,overwrite-all/local/k14/ikea,1.0722853261673622
overwrite-all/striped/k14/ikea2,440.27685599588756,439.96553711992374,440.37021392559694,overwrite-all/striped/k14/ikea,1.2498700808648362
overwrite-all/local/k15/ikea2,1930.070722852763,1929.893708928818,1930.1863425393742,overwrite-all/local/k15/ikea,1.0632435928183068
overwrite-all/striped/k15/ikea2,463.92488709819514,463.803727973096,464.26800894360366,overwrite-all/striped/k15/ikea,1.088555376198187
overwrite-all/local/k16/ikea2,263.73914271130644,252.09936360377856,268.6451602393614,overwrite-all/local/k16/ikea,1.110031105927514
overwrite-all/local/k17/ikea2,1128.1392560877518,1126.1660155204656,1129.2016055659988,overwrite-all/local/k17/ikea,0.9229771698439366
overwrite-all/local/k18/ikea2,1951.4370556253136,1951.2932757098808,1952.171290487524,overwrite-all/local/k18/ikea,1.1613455610189503
overwrite-all/local/k19/ikea2,2073.379369938753,2073.37225952993,2073.6513924551004,overwrite-all/local/k19/ikea,1.0989097791003013
overwrite-all/local/k20/ikea2,2239.493948280411,2239.289522793914,2241.5754732071337,overwrite-all/local/k20/ikea,1.327553562991666
overwrite-all/striped/k20/ikea2,652.3513064280608,652.0148817845779,653.117873675694,overwrite-all/striped/k20/ikea,1.0648404969162657
overwrite-all/local/k21/ikea2,2169.341734235408,2166.4782833239165,2170.1968186747295,overwrite-all/local/k21/ikea,1.1473333357343356
overwrite-all/local/k22/ikea2,2162.7235466762677,2162.5661397455897,2164.2196076411424,overwrite-all/local/k22/ikea,1.1429368122468004
overwrite-all/local/k23/ikea2,2168.98043568041,2167.743960355226,2168.98353293416,overwrite-all/local/k23/ikea,1.1455279114849843
overwrite-all/local/k24/ikea2,770.4566582685179,765.0050388870685,773.5882170372946,overwrite-all/local/k24/ikea,0.9531912049816936
overwrite-all/local/k25/ikea2,1506.0033697795307,1505.898691521778,1506.0409750851322,overwrite-all/local/k25/ikea,1.0180638663023525
overwrite-all/local/k26/ikea2,2299.9395610395777,2297.843906966551,2301.140532867448,overwrite-all/local/k26/ikea,1.3150422612683539
overwrite-all/local/k27/ikea2,2407.386388395151,2407.099019551677,2408.0217304053704,overwrite-all/local/k27/ikea,1.2335108397544752
overwrite-all/local/k28/ikea2,2638.9096794468537,2637.693777498498,2639.3668133250035,overwrite-all/local/k28/ikea,1.508318296145772
overwrite-all/local/k29/ikea2,2464.0850851438295,2463.688197298868,2465.3943628890443,overwrite-all/local/k29/ikea,1.2595445550208164
overwrite-all/local/k30/ikea2,2471.988167422206,2470.8975687289917,2472.118384647146,overwrite-all/local/k30/ikea,1.2637153054092374
overwrite-all/local/k31/ikea2,2471.5322817961764,2471.4653640162837,2471.9593902654724,overwrite-all/local/k31/ikea,1.2637099025503609
overwrite-all/local/k32/ikea2,605.223525512614,603.9665259305211,605.6395521420013,overwrite-all/local/k32/ikea,0.9803705930355692
overwrite-all/local/k33/ikea2,1703.712766389243,1703.344753399646,1704.988106352739,overwrite-all/local/k33/ikea,0.9116334999139436
overwrite-all/local/k34/ikea2,2637.843031293167,2636.4837250218934,2639.316388085943,overwrite-all/local/k34/ikea,1.1796524763066583
overwrite-all/local/k35/ikea2,2804.0639732888235,2803.079532554306,2804.0968948247123,overwrite-all/local/k35/ikea,1.1133309369073743
overwrite-all/local/k36/ikea2,3011.824965883775,3011.145801910564,3011.90885585007,overwrite-all/local/k36/ikea,1.4792077547939793
overwrite-all/local/k37/ikea2,2911.754968728185,2911.053300903392,2917.4905489924263,overwrite-all/local/k37/ikea,1.151858302677637
overwrite-all/local/k38/ikea2,2913.711533110689,2913.193864774494,2920.202768503087,overwrite-all/local/k38/ikea,1.29238586509858
overwrite-all/local/k39/ikea2,2911.9380647852554,2910.6865007645997,2917.236340886808,overwrite-all/local/k39/ikea,1.2883100841114774
overwrite-all/local/k40/ikea2,1384.8712103717137,1383.9622934055517,1385.912776696547,overwrite-all/local/k40/ikea,1.0266481166694228
overwrite-all/local/k41/ikea2,2248.630414993392,2247.1141097724167,2248.734939759019,overwrite-all/local/k41/ikea,1.0273679100878481
overwrite-all/local/k42/ikea2,3223.874653098912,3223.389068763502,3227.1603453593393,overwrite-all/local/k42/ikea,1.278355073869291
overwrite-all/local/k43/ikea2,3240.629074415582,3239.8821494465287,3243.8971402215275,overwrite-all/local/k43/ikea,1.184623790687962
overwrite-all/local/k44/ikea2,3361.796079061386,3361.039289731663,3368.6827896514696,overwrite-all/local/k44/ikea,1.3367116884601649
overwrite-all/local/k45/ikea2,3487.0439105220585,3486.3778790389765,3489.2666114333515,overwrite-all/local/k45/ikea,1.2633486062866728
overwrite-all/local/k46/ikea2,3491.6355861842326,3490.4858850881074,3491.8497177017243,overwrite-all/local/k46/ikea,1.2688413459354126
overwrite-all/local/k47/ikea2,3487.5157912235704,3486.529172207475,3487.758976063743,overwrite-all/local/k47/ikea,1.2873893740186657
overwrite-all/local/k48/ikea2,1230.5066225165979,1229.5884662720166,1230.8001816797318,overwrite-all/local/k48/ikea,0.9323114586162853
overwrite-all/local/k49/ikea2,2150.559345506849,2149.7914443988084,2151.027954452232,overwrite-all/local/k49/ikea,1.0397186193958377
overwrite-all/local/k50/ikea2,3057.5791199183764,3056.6092088007763,3058.4583272621185,overwrite-all/local/k50/ikea,1.242339857028598
overwrite-all/local/k51/ikea2,3196.331144035524,3196.1962731022372,3196.673667328487,overwrite-all/local/k51/ikea,1.1692187244894328
overwrite-all/local/k52/ikea2,3342.3460436236915,3342.1122432733155,3342.575386085111,overwrite-all/local/k52/ikea,1.348458416743892
overwrite-all/local/k53/ikea2,3323.80125257651,3322.5449500557643,3324.2949896940113,overwrite-all/local/k53/ikea,1.2072292986610245
overwrite-all/local/k54/ikea2,3325.865652724986,3325.4405101394364,3333.4762357416166,overwrite-all/local/k54/ikea,1.2074256547162492
overwrite-all/local/k55/ikea2,3330.2007942810724,3330.0400317711055,3330.7451945989615,overwrite-all/local/k55/ikea,1.208816887294872
overwrite-all/local/k56/ikea2,1468.7276603180412,1468.1140660493118,1469.3883627467515,overwrite-all/local/k56/prior,0.6946330427967613
overwrite-all/local/k57/ikea2,2415.2980608780804,2415.1357960757987,2416.918234650975,overwrite-all/local/k57/ikea,1.0394530197952712
overwrite-all/local/k58/ikea2,3189.711109413155,3186.3065403423184,3192.0022921760938,overwrite-all/local/k58/ikea,1.2023737051403376
overwrite-all/local/k59/ikea2,3382.206918796896,3380.7039754858533,3383.093702120854,overwrite-all/local/k59/ikea,1.1594051876817209
overwrite-all/local/k60/ikea2,3259.484162191783,3259.2646120320437,3259.8375749086586,overwrite-all/local/k60/ikea,1.2253180598123867
overwrite-all/local/k61/ikea2,3538.821587943002,3537.990906794632,3540.024332744084,overwrite-all/local/k61/ikea,1.2088237509370787
overwrite-all/local/k62/ikea2,3534.5780087899066,3533.4907031778216,3536.0262001351293,overwrite-all/local/k62/ikea,1.209795140694119
overwrite-all/local/k63/ikea2,3534.3184589331763,3533.990770533476,3537.1808636747087,overwrite-all/local/k63/ikea,1.2094643721671035
overwrite-all/local/k64/ikea2,1300.1963019172433,1299.588162418342,1300.8169851643397,overwrite-all/local/k64/ikea,0.987847855281795
overwrite/local/k3/all/ikea2-raw,1415.4834664778891,1415.3845012977972,1416.0768193615602,overwrite/local/k3/all/prior,1.000896735962921
overwrite/local/k3/all/ikea2-coverage,1415.4791722837217,1414.936236182324,1415.9982138043088,overwrite/local/k3/all/prior,1.0008936995128124
overwrite/local/k3/all/ikea2-sum-coverage,3263.4599579734827,3262.656704801928,3263.506732041503,overwrite/local/k3/all/ikea-materialized-sum-coverage,0.7436507298871464
overwrite/local/k3/prefilter75/ikea2-raw,4227.821259445879,4227.426297229149,4228.958085642272,,
overwrite/local/k3/prefilter75/ikea2-coverage,3853.56998437656,3852.9862145024895,3857.4288208805165,,
overwrite/local/k3/prefilter75/ikea2-sum-coverage,4234.8924427403135,4234.806275855074,4235.194127736651,overwrite/local/k3/prefilter75/ikea-materialized-sum-coverage,0.5549034635085067
overwrite/local/k7/all/ikea2-raw,1478.9322696534166,1478.6622640179592,1479.0224711185735,overwrite/local/k7/all/prior,1.0405126812543335
overwrite/local/k7/all/ikea2-coverage,1479.0411455947778,1478.9804135696613,1479.0983901080922,overwrite/local/k7/all/prior,1.0405892816504398
overwrite/local/k7/all/ikea2-sum-coverage,3224.710200630311,3224.442309170781,3231.7047428700644,overwrite/local/k7/all/ikea-materialized-sum-coverage,0.7290809871391192
overwrite/local/k7/prefilter75/ikea2-raw,4010.223687983637,4010.1133734821974,4010.833954688771,,
overwrite/local/k7/prefilter75/ikea2-coverage,3684.8488229096056,3684.471275474267,3685.737174982543,,
overwrite/local/k7/prefilter75/ikea2-sum-coverage,4317.072839506261,4317.024588477483,4317.751440329166,overwrite/local/k7/prefilter75/ikea-materialized-sum-coverage,0.5609166111967624
