case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite-all/local/k1/ikea2,0,142.78674863667,142.80702668356756,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,1,142.59856824819758,142.59479313545816,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea2,2,142.81254467841754,142.8175895075911,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,0,150.4768024447559,150.4887840689882,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,1,149.3103830504197,149.30618794754676,8192.0,8192.0,0.0
overwrite-all/local/k1/ikea,2,150.10509244574507,150.10116337295,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,0,132.0833808801787,132.0795666243501,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,1,132.05116776103233,132.04804070386294,8192.0,8192.0,0.0
overwrite-all/local/k1/prior,2,131.98069860763928,132.0285218015166,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,0,107.09453978238514,107.10079442683366,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,1,106.8350738444938,106.8407635855743,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea2,2,106.97517990371219,106.97236811322378,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,0,95.94928417768058,95.94659912857276,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,1,96.03729744714106,96.03478651369635,8192.0,8192.0,0.0
overwrite-all/striped/k1/ikea,2,95.9805402631441,95.97786208771221,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,0,91.31905608674727,91.31650520502325,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,1,91.47211986531714,91.46850031217804,8192.0,8192.0,0.0
overwrite-all/striped/k1/prior,2,91.28744648481118,91.28521555186555,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,0,1344.7314121037464,1344.6960294795203,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,1,1344.7926352865832,1344.757188615283,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea2,2,1344.8845020813287,1344.8491834656018,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,0,1319.4114248029443,1319.3775083996718,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,1,1320.621392456739,1320.5866909311198,8192.0,8192.0,0.0
overwrite-all/local/k2/ikea,2,1319.7326885029656,1319.8431366409295,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,0,1398.9064671298784,1398.8682522777644,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,1,1405.6378607696427,1405.7353687818038,8192.0,8192.0,0.0
overwrite-all/local/k2/prior,2,1396.9181253340469,1396.878607689716,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,0,110.10672551701072,110.10381263346116,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,1,110.02231466979052,110.0194044006953,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea2,2,110.04350759205998,110.08575485241411,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,0,107.70094677748779,107.69800752939025,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,1,107.7175597035058,107.71481828815342,8192.0,8192.0,0.0
overwrite-all/striped/k2/ikea,2,107.6902457510628,107.68730907087946,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,0,86.1583660973848,86.15612559288365,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,1,86.03043096300625,86.03383595407243,8192.0,8192.0,0.0
overwrite-all/striped/k2/prior,2,86.17581076882851,86.17358466484859,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,0,1415.1570662981583,1415.1208668905958,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,1,1414.9889783949575,1414.9515319072839,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea2,2,1415.7240891165866,1415.6876200666668,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,0,1415.635661529124,1415.5993389913128,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,1,1415.952244443696,1415.9978752692298,8192.0,8192.0,0.0
overwrite-all/local/k3/ikea,2,1415.7474284172554,1415.7117129187882,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,0,1414.6647361864011,1414.6274621888863,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,1,1414.4185662816885,1414.3811913026923,8192.0,8192.0,0.0
overwrite-all/local/k3/prior,2,1414.4463113236168,1414.4862789918818,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,0,172.61737226157433,172.6126472925137,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,1,172.61340329021996,172.60883034666736,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea2,2,172.73167534964637,172.74098969709829,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,0,128.96905570035398,128.96564924196446,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,1,128.8716100821309,128.86808976923754,8192.0,8192.0,0.0
overwrite-all/striped/k3/ikea,2,129.05637118389035,129.0821642533061,8192.0,8192.0,0.0
