case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
overwrite/local/k3/all/ikea2-raw,337.1709091498291,337.0002916538394,338.3180809177374,overwrite/local/k3/all/prior,5.8739678413547916
overwrite/local/k3/all/ikea2-coverage,1232.6916678912564,1232.6628361498902,1235.834063188832,overwrite/local/k3/all/prior,21.475136255843594
overwrite/local/k3/all/ikea2-sum-coverage,1541.9312898731384,1539.5480677568398,1542.9124440859423,overwrite/local/k3/all/prior,26.86250374663475
overwrite/local/k3/prefilter75/ikea2-raw,696.5979468779589,696.5717180777714,698.0643843125533,,
overwrite/local/k3/prefilter75/ikea2-coverage,1539.8163511880791,1538.50818291656,1542.2152088748967,,
overwrite/local/k3/prefilter75/ikea2-sum-coverage,1562.846611619431,1562.842483076692,1563.13858513724,,
overwrite/local/k7/all/ikea2-raw,348.3429791310522,346.93732708999164,348.54465723558684,overwrite/local/k7/all/prior,6.00702771795669
overwrite/local/k7/all/ikea2-coverage,1238.7291163119737,1238.1021340564753,1238.9625655839136,overwrite/local/k7/all/prior,21.361361022082118
overwrite/local/k7/all/ikea2-sum-coverage,1555.001446855875,1554.6898163605963,1557.6606937488373,overwrite/local/k7/all/prior,26.815343934954946
overwrite/local/k7/prefilter75/ikea2-raw,702.1668869739838,702.0045846231077,703.4550824060905,,
overwrite/local/k7/prefilter75/ikea2-coverage,1594.0072089846783,1590.9661177720373,1594.2515556230126,,
overwrite/local/k7/prefilter75/ikea2-sum-coverage,1590.3368173899798,1590.0243505263834,1591.444141483003,,
overwrite/local/k12/all/ikea2-raw,1015.294540889006,1012.1525702006378,1016.2513943549703,overwrite/local/k12/all/ikea,2.900384862990508
overwrite/local/k12/all/ikea2-coverage,1258.1579515471371,1257.2653514032233,1260.080474934034,overwrite/local/k12/all/ikea,3.5941710813526306
overwrite/local/k12/all/ikea2-sum-coverage,5005.491537544703,4997.119666269335,5006.21132300359,overwrite/local/k12/all/ikea,14.29915290848477
overwrite/local/k12/prefilter75/ikea2-raw,4602.9986859395585,4601.225689881709,4605.941086289988,,
overwrite/local/k12/prefilter75/ikea2-coverage,4770.0492957746865,4770.041344843239,4772.201726487982,,
overwrite/local/k12/prefilter75/ikea2-sum-coverage,5051.846320346306,5048.7186147185985,5053.2316017315525,,
