case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
overwrite/local/k3/all/ikea2-raw,0,337.0002916538394,337.0033945268486,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea2-raw,1,337.1709091498291,337.2481407049664,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea2-raw,2,338.3180809177374,338.32111897671183,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea2-coverage,0,1232.6916678912564,1232.7027185909642,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-coverage,1,1232.6628361498902,1232.856135191136,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-coverage,2,1235.834063188832,1235.8451432719194,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-sum-coverage,0,1539.5480677568398,1539.561853782474,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-sum-coverage,1,1541.9312898731384,1541.9450759052631,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea2-sum-coverage,2,1542.9124440859423,1542.9262667773226,8192.0,8192.0,1.0
overwrite/local/k3/all/ikea,0,57.69727049190451,57.720453668417356,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea,1,57.676223583246546,57.67673980231814,8192.0,8192.0,0.0
overwrite/local/k3/all/ikea,2,57.635818461145575,57.636348409557975,8192.0,8192.0,0.0
overwrite/local/k3/all/prior,0,57.400877610535716,57.401227779743024,8192.0,8192.0,0.0
overwrite/local/k3/all/prior,1,57.40180774639023,57.4023357357888,8192.0,8192.0,0.0
overwrite/local/k3/all/prior,2,57.398114559908905,57.39865622750067,8192.0,8192.0,0.0
overwrite/local/k3/prefilter75/ikea2-raw,0,696.5979468779589,696.7442401277535,8192.0,6144.0,0.0
overwrite/local/k3/prefilter75/ikea2-raw,1,696.5717180777714,696.5782960428855,8192.0,6144.0,0.0
overwrite/local/k3/prefilter75/ikea2-raw,2,698.0643843125533,699.327436423995,8192.0,6144.0,0.0
overwrite/local/k3/prefilter75/ikea2-coverage,0,1542.2152088748967,1542.2293779594308,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-coverage,1,1539.8163511880791,1539.8304836554678,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-coverage,2,1538.50818291656,1538.5223153826314,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-sum-coverage,0,1563.13858513724,1563.1525701070586,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-sum-coverage,1,1562.846611619431,1563.005281556952,8192.0,6144.0,1.0
overwrite/local/k3/prefilter75/ikea2-sum-coverage,2,1562.842483076692,1562.85691438997,8192.0,6144.0,1.0
overwrite/local/k7/all/ikea2-raw,0,346.93732708999164,346.9404322428474,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea2-raw,1,348.3429791310522,348.34610906142433,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea2-raw,2,348.54465723558684,348.54786149095514,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea2-coverage,0,1238.1021340564753,1238.1135707152637,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-coverage,1,1238.7291163119737,1238.7405234861892,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-coverage,2,1238.9625655839136,1238.9739727690724,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-sum-coverage,0,1557.6606937488373,1558.2993878640139,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-sum-coverage,1,1554.6898163605963,1554.703728430806,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea2-sum-coverage,2,1555.001446855875,1555.01572992186,8192.0,8192.0,1.0
overwrite/local/k7/all/ikea,0,59.599906049822096,59.600468327170546,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea,1,59.525372241992955,59.52592028504415,8192.0,8192.0,0.0
overwrite/local/k7/all/ikea,2,59.55236156583608,59.55289537356371,8192.0,8192.0,0.0
overwrite/local/k7/all/prior,0,57.98924118324897,57.98977387970814,8192.0,8192.0,0.0
