case,median_cpu_ns,min_cpu_ns,max_cpu_ns,control,ratio
decode/local/k1/ikea2,247.75015672498014,246.76990407248383,247.90530262706557,decode/local/k1/prior,0.9848383311941127
point/local/k1/ikea2,554.1240678413523,554.0213423084539,554.162014122616,point/local/k1/prior,0.998675195952862
decode/striped/k1/ikea2,149.23603267942937,144.68190418554815,153.26450140539058,decode/striped/k1/prior,1.1477221098362291
point/striped/k1/ikea2,554.9862123718167,554.8662917631494,555.122024478994,point/striped/k1/prior,0.9998488480314308
decode/local/k2/ikea2,409.0296538592993,408.8452765708153,409.2050090318793,decode/local/k2/prior,1.0098158451189758
point/local/k2/ikea2,555.2150546166228,555.1442910418127,555.2195905736753,point/local/k2/prior,0.9993275043671802
decode/striped/k2/ikea2,158.13363285395025,158.00979838800652,158.24662663024273,decode/striped/k2/prior,1.1595195688477473
point/striped/k2/ikea2,554.2889749418524,554.1954297948826,554.2933627616866,point/striped/k2/prior,0.9955371663512806
decode/local/k3/ikea2,1406.779378748774,1406.7310592098588,1406.9795932044435,decode/local/k3/prior,0.9968967519157486
point/local/k3/ikea2,574.4980979780012,574.3977748387731,575.4957664671489,point/local/k3/prior,1.002769676824967
decode/striped/k3/ikea2,149.64934318731855,149.5416388356236,150.59654679565716,decode/striped/k3/prior,0.9970551602923416
point/striped/k3/ikea2,1007.0252643240779,1006.8542905999312,1009.3280267816307,point/striped/k3/prior,1.3466494786569094
decode/local/k4/ikea2,1399.7840594686459,1399.7169572319187,1399.8016600553376,decode/local/k4/prior,0.986187033951604
point/local/k4/ikea2,555.1616756971063,555.152808246339,555.1755649530851,point/local/k4/prior,0.9935170646634827
decode/striped/k4/ikea2,161.27877387793,161.24581456748217,162.39406351918151,decode/striped/k4/prior,1.2613979842554228
point/striped/k4/ikea2,554.514326874779,554.4982553990136,554.6067642938333,point/striped/k4/prior,0.9975900668501311
decode/local/k5/ikea2,1380.1477769380035,1380.0668068745658,1380.3776083598957,decode/local/k5/prior,1.0182024870442599
point/local/k5/ikea2,576.3796390407438,576.3059363239361,576.4757162871201,point/local/k5/prior,0.9163861274988686
decode/striped/k5/ikea2,195.54882751874035,195.4760236283451,195.63687413580507,decode/striped/k5/prior,1.1986610247925331
point/striped/k5/ikea2,1134.6915496992167,1131.8441420796205,1146.2852764250895,point/striped/k5/prior,0.8320437662721023
decode/local/k6/ikea2,1379.6606984460677,1379.5979171457616,1379.8637274548967,decode/local/k6/prior,1.017819335513989
point/local/k6/ikea2,566.2319026351507,566.2077233413823,566.5227153131103,point/local/k6/prior,0.8984285885438328
decode/striped/k6/ikea2,191.82215072900007,191.76576539576186,191.8652702671853,decode/striped/k6/prior,1.035004108573412
point/striped/k6/ikea2,923.2126516713752,894.7336338784916,951.6462759579873,point/striped/k6/prior,0.8364788563113992
decode/local/k7/ikea2,1378.600892739895,1378.4264145989173,1378.605651831445,decode/local/k7/prior,1.0167026726308646
point/local/k7/ikea2,577.1117547737063,577.1075953711199,577.145400634188,point/local/k7/prior,0.9061543843665906
decode/striped/k7/ikea2,230.7866057603736,230.6660256445656,230.8268248466787,decode/striped/k7/prior,1.3177352141862606
point/striped/k7/ikea2,722.0683788057612,716.3171727685811,788.6764617571151,point/striped/k7/prior,0.9917322044440102
decode/local/k8/ikea2,160.606877064363,160.29842488114886,161.4165301563647,decode/local/k8/ikea,1.477129479041623
decode/local/k9/ikea2,960.6954192706512,959.7622873886982,960.82961335073,decode/local/k9/ikea,0.7379229115033474
decode/local/k10/ikea2,1249.2900708797235,1248.9011555185139,1252.3458216689442,decode/local/k10/ikea,0.9005871735849509
decode/striped/k10/ikea2,568.1436095124436,568.1403654033925,568.9658757737012,decode/striped/k10/ikea,1.22013984080801
decode/local/k11/ikea2,2198.6227867993844,2198.1983761132187,2198.6535358827055,decode/local/k11/ikea,1.2516239171175831
decode/local/k12/ikea2,2095.984629971536,2095.8344727781387,2096.5345077099687,decode/local/k12/ikea,1.3910713650809388
decode/striped/k12/ikea2,555.5653162436325,553.1417345867092,556.0347555543848,decode/striped/k12/ikea,1.2017422332579712
decode/local/k13/ikea2,2199.5149800963163,2199.1223549130723,2199.64335847471,decode/local/k13/ikea,1.2490238676216974
decode/local/k14/ikea2,2219.1993130779297,2218.8470277410233,2220.4087186261554,decode/local/k14/ikea,1.2604594002498961
decode/striped/k14/ikea2,628.4641893012881,628.1938106082375,629.3885110169377,decode/striped/k14/ikea,1.2152399334036852
decode/local/k15/ikea2,2230.2302708443967,2230.080881571957,2230.2988316515375,decode/local/k15/ikea,1.2644610521128825
decode/striped/k15/ikea2,674.4687168951068,673.7657057558147,674.9274341112524,decode/striped/k15/ikea,1.2276903053304518
decode/local/k16/ikea2,270.23660450977246,269.2635153966251,278.8332587969096,decode/local/k16/ikea,1.141154869483899
decode/local/k17/ikea2,1493.831044053776,1492.3849903921262,1494.7468507579722,decode/local/k17/ikea,0.9069771176712453
decode/local/k18/ikea2,1752.0683546419239,1751.665998161636,1752.5715300409338,decode/local/k18/ikea,1.169039971102837
decode/local/k19/ikea2,3012.0781014023314,3011.4960805465294,3014.6903991370777,decode/local/k19/ikea,1.5549026390290424
decode/local/k20/ikea2,2799.366006534731,2799.187970927566,2799.5654464226272,decode/local/k20/ikea,1.7785879810478367
decode/striped/k20/ikea2,1060.0604221166814,1059.6735580220204,1067.4767226271415,decode/striped/k20/ikea,1.2268027705045381
decode/local/k21/ikea2,3040.4741235393076,3037.4309356172985,3041.175146984161,decode/local/k21/ikea,1.5621655324879744
decode/local/k22/ikea2,2972.6814610319793,2972.5251645782737,2973.077723508183,decode/local/k22/ikea,1.51721596226004
decode/local/k23/ikea2,3007.9468963042923,3007.760172228327,3008.1343379978266,decode/local/k23/ikea,1.5595216282275066
decode/local/k24/ikea2,694.1084310949119,691.5814286677523,696.0488807983243,decode/local/k24/ikea,0.9675928830711682
decode/local/k25/ikea2,1537.3761181991536,1535.9178031969043,1537.418939727263,decode/local/k25/ikea,0.8524429694051393
decode/local/k26/ikea2,1847.4464175552773,1846.7448224200284,1849.9469022649826,decode/local/k26/ikea,1.0958384934573766
decode/local/k27/ikea2,3060.9765830174174,3060.84060402694,3061.1129267581764,decode/local/k27/ikea,1.507520536794651
decode/local/k28/ikea2,2856.3750765254354,2856.163866403599,2856.3753486157916,decode/local/k28/ikea,1.6996215666968344
decode/local/k29/ikea2,3016.7259339081343,3016.6198275861934,3023.4701867815456,decode/local/k29/ikea,1.4813484092127318
decode/local/k30/ikea2,3026.5630591628596,3026.5381673882152,3026.7775613276795,decode/local/k30/ikea,1.4943179540668023
decode/local/k31/ikea2,3041.411231884089,3040.6386231883566,3042.0722463769566,decode/local/k31/ikea,1.4947013259794906
decode/local/k32/ikea2,563.1170098070805,562.3527700201446,564.1400532571146,decode/local/k32/ikea,0.9955168652037754
decode/local/k33/ikea2,2499.6578712252526,2498.5159926141564,2500.015188516276,decode/local/k33/ikea,0.9864365099283735
decode/local/k34/ikea2,2829.101853724393,2828.7499157399943,2829.4436130772933,decode/local/k34/ikea,1.0793200166468913
decode/local/k35/ikea2,4502.345448697399,4501.579607590798,4502.540259461586,decode/local/k35/ikea,1.7095054911550243
decode/local/k36/ikea2,4169.6630909811765,4169.4574890740705,4169.8101907032415,decode/local/k36/ikea,1.751153997612581
decode/local/k37/ikea2,4502.784366287666,4502.374008149461,4503.066373579205,decode/local/k37/ikea,1.708637910198891
decode/local/k38/ikea2,4490.913266945057,4490.802655530537,4491.154941642396,decode/local/k38/ikea,1.7517922701830189
decode/local/k39/ikea2,4492.45869006858,4491.195954623454,4493.466502568701,decode/local/k39/ikea,1.7422599708759814
decode/local/k40/ikea2,1489.4572956887296,1485.6337454391455,1489.8807963441373,decode/local/k40/ikea,0.9954330857817644
decode/local/k41/ikea2,2664.3891388379875,2662.3535897599545,2664.955769596552,decode/local/k41/ikea,0.9078340054321198
decode/local/k42/ikea2,2985.5426824934984,2982.4949889827917,2985.817115644125,decode/local/k42/ikea,1.021136339228694
decode/local/k43/ikea2,4522.016485292394,4521.988794311207,4522.137916172781,decode/local/k43/ikea,1.3816685178517434
decode/local/k44/ikea2,4498.80664879354,4498.423592493581,4498.940160857882,decode/local/k44/ikea,1.5040832629365297
decode/local/k45/ikea2,4575.077099236444,4575.009923664179,4575.573282442926,decode/local/k45/ikea,1.4059577765348417
decode/local/k46/ikea2,4518.9334193826435,4518.720770140555,4522.530493707634,decode/local/k46/ikea,1.3707292412697145
decode/local/k47/ikea2,4523.151962899049,4521.9297886109025,4523.437230370855,decode/local/k47/ikea,1.357381140955731
decode/local/k48/ikea2,1340.2537308652836,1338.7935054121442,1340.4482802792886,decode/local/k48/ikea,0.9711211284300312
decode/local/k49/ikea2,2686.4340430972748,2685.352068546682,2686.5729906004503,decode/local/k49/ikea,0.910603749370872
decode/local/k50/ikea2,3008.7928438260415,3007.8384483004475,3009.3569482290477,decode/local/k50/ikea,1.0303308525836012
decode/local/k51/ikea2,4574.551307189382,4574.397930283532,4574.658169934421,decode/local/k51/ikea,1.4271387857004372
decode/local/k52/ikea2,4494.792612419854,4494.311777301856,4496.281156316992,decode/local/k52/ikea,1.5043897469974108
decode/local/k53/ikea2,4528.075312904739,4527.353150625977,4530.910660336762,decode/local/k53/ikea,1.3874998690421811
decode/local/k54/ikea2,4520.419215855319,4519.519711331603,4520.533498492003,decode/local/k54/ikea,1.371868198612364
decode/local/k55/ikea2,4525.396546141367,4525.148084187544,4525.910415542293,decode/local/k55/ikea,1.3548467637360095
decode/local/k56/ikea2,1504.9853844219892,1504.6958379717712,1505.076345746368,decode/local/k56/prior,0.9903762366498633
point/local/k56/ikea2,554.9125356727887,554.8794657013132,555.0251691153209,point/local/k56/prior,0.9960872968326666
decode/local/k57/ikea2,2638.8666876177194,2636.3478315525035,2640.8001885606177,decode/local/k57/ikea,0.8932969313648693
decode/local/k58/ikea2,2994.3310512053185,2991.1369990016233,2995.4147767793925,decode/local/k58/ikea,1.0181364290618113
decode/local/k59/ikea2,4525.545738605554,4525.459971985754,4526.010774701001,decode/local/k59/ikea,1.3520751693471253
decode/local/k60/ikea2,4499.864119351798,4499.687453043153,4499.976279918251,decode/local/k60/ikea,1.5037364610191413
decode/local/k61/ikea2,4575.458578591749,4575.166666666601,4576.091563112929,decode/local/k61/ikea,1.3623766990145074
decode/local/k62/ikea2,4525.533713916442,4522.848664368619,4531.710685049794,decode/local/k62/ikea,1.3630565331845756
decode/local/k63/ikea2,4517.592313489093,4517.5888685539385,4518.608784583897,decode/local/k63/ikea,1.34270075188976
decode/local/k64/ikea2,1144.808097871974,1144.5357347211257,1145.9077681806787,decode/local/k64/ikea,0.9323826458187496
get16/local/k1/ikea2-range,1944.1561618497733,1942.992508670574,1945.1960231214018,get16/local/k1/prior,1.0089111363524834
get16/local/k1/ikea2-region,1884.5072424773073,1883.9034485851143,1885.1281223373019,get16/local/k1/prior,0.9779565966878232
get16/striped/k1/ikea2-range,1775.0844372963472,1774.97452067561,1775.1767469420606,get16/striped/k1/prior,1.0180269841577196
get16/striped/k1/ikea2-region,1727.6778426854544,1727.275629422375,1728.42167187765,get16/striped/k1/prior,0.990838873256121
