case,repetition,cpu_ns,real_ns,logical_values,selected_values,write_records
decode/local/k1/ikea,0,196.9630556734078,197.34246924046838,,,
decode/local/k1/ikea,1,195.8743364917739,195.88215716770827,,,
decode/local/k1/ikea,2,196.81850751897426,196.81325602208335,,,
decode/local/k1/ikea2,0,247.75015672498014,247.74354470503621,,,
decode/local/k1/ikea2,1,247.90530262706557,247.9161432645105,,,
decode/local/k1/ikea2,2,246.76990407248383,246.76323882518076,,,
decode/local/k1/prior,0,251.5375491229752,251.530264545364,,,
decode/local/k1/prior,1,251.56429119141214,251.55728218168963,,,
decode/local/k1/prior,2,251.6587570689159,251.6515863129104,,,
point/local/k1/prior,0,554.8365397320367,554.8211067363559,,,
point/local/k1/prior,1,554.9161755767543,554.9014825187049,,,
point/local/k1/prior,2,554.8591474855326,554.8440976715747,,,
point/local/k1/ikea,0,554.4631899001911,554.4470751532484,,,
point/local/k1/ikea,1,554.4595544979834,554.444576641332,,,
point/local/k1/ikea,2,554.4285147729537,554.4133782798651,,,
point/local/k1/ikea2,0,554.1240678413523,554.1086517517633,,,
point/local/k1/ikea2,1,554.162014122616,554.1902857518679,,,
point/local/k1/ikea2,2,554.0213423084539,554.0060978024744,,,
decode/striped/k1/ikea,0,148.40341420220628,148.39924787365106,,,
decode/striped/k1/ikea,1,148.4119020824588,148.4636442851647,,,
decode/striped/k1/ikea,2,148.33829812003646,148.33448104332987,,,
decode/striped/k1/ikea2,0,153.26450140539058,154.02184826157202,,,
decode/striped/k1/ikea2,1,149.23603267942937,149.23205529681084,,,
decode/striped/k1/ikea2,2,144.68190418554815,144.67807262826403,,,
decode/striped/k1/prior,0,129.98669896047784,129.98316359424865,,,
decode/striped/k1/prior,1,130.11410859156007,130.11047398724966,,,
decode/striped/k1/prior,2,130.028019326668,130.032221450374,,,
point/striped/k1/prior,0,555.2910719246493,555.3898244545093,,,
point/striped/k1/prior,1,555.0660246319129,555.0505205505983,,,
point/striped/k1/prior,2,555.0701123119866,555.0555871578549,,,
point/striped/k1/ikea,0,554.0989308699749,554.0836802393742,,,
point/striped/k1/ikea,1,554.107005510844,554.0912262612591,,,
point/striped/k1/ikea,2,554.1094503693724,554.0944640471929,,,
point/striped/k1/ikea2,0,555.122024478994,555.1069798218138,,,
point/striped/k1/ikea2,1,554.9862123718167,554.9711280183055,,,
point/striped/k1/ikea2,2,554.8662917631494,554.8509824677412,,,
decode/local/k2/ikea,0,404.29992253316505,404.3165391694052,,,
decode/local/k2/ikea,1,404.201762370484,404.1908782800871,,,
decode/local/k2/ikea,2,404.3167812530272,404.3061295635165,,,
decode/local/k2/ikea2,0,409.0296538592993,409.01839574242075,,,
decode/local/k2/ikea2,1,408.8452765708153,408.83443831435227,,,
decode/local/k2/ikea2,2,409.2050090318793,409.29701703880795,,,
decode/local/k2/prior,0,405.05370938312785,405.09288986375236,,,
decode/local/k2/prior,1,405.6810629294628,407.5759928567277,,,
decode/local/k2/prior,2,404.3302243875952,404.319169998656,,,
point/local/k2/prior,0,555.5886855813203,555.5726486681993,,,
point/local/k2/prior,1,555.5213649223939,555.5059493905052,,,
point/local/k2/prior,2,555.6225971072722,555.6070229247393,,,
point/local/k2/ikea,0,556.3614577537555,556.3462893777667,,,
point/local/k2/ikea,1,556.3416527567994,556.3620936336503,,,
point/local/k2/ikea,2,556.4863153432425,556.4711867097021,,,
point/local/k2/ikea2,0,555.2150546166228,555.1999391679261,,,
point/local/k2/ikea2,1,555.1442910418127,555.1288449841331,,,
point/local/k2/ikea2,2,555.2195905736753,555.204752836088,,,
decode/striped/k2/ikea,0,135.31796877283833,135.31426269933306,,,
decode/striped/k2/ikea,1,133.33136065845292,133.32774877956751,,,
decode/striped/k2/ikea,2,132.3878839651425,132.38445397945534,,,
decode/striped/k2/ikea2,0,158.24662663024273,158.24238216719797,,,
decode/striped/k2/ikea2,1,158.13363285395025,158.12936205115898,,,
decode/striped/k2/ikea2,2,158.00979838800652,158.00552005959273,,,
decode/striped/k2/prior,0,136.37858049355117,136.38442613116274,,,
decode/striped/k2/prior,1,136.37462065025807,136.37096915538754,,,
decode/striped/k2/prior,2,136.39436793435672,136.39064827825214,,,
point/striped/k2/prior,0,556.7737636288996,556.9061775501928,,,
point/striped/k2/prior,1,556.7783474424704,556.7633241925711,,,
point/striped/k2/prior,2,556.6388723288655,556.6241272871334,,,
point/striped/k2/ikea,0,554.5501194104701,556.7433532568994,,,
point/striped/k2/ikea,1,554.2590613413577,554.2685482068212,,,
point/striped/k2/ikea,2,554.240391085776,554.2257187723956,,,
point/striped/k2/ikea2,0,554.2889749418524,554.2733928944874,,,
point/striped/k2/ikea2,1,554.2933627616866,554.3001559524116,,,
point/striped/k2/ikea2,2,554.1954297948826,554.1805482134592,,,
decode/local/k3/ikea,0,1406.417744854866,1406.3790641541896,,,
decode/local/k3/ikea,1,1406.1199302808839,1406.082221626692,,,
decode/local/k3/ikea,2,1406.3236910907074,1406.2846416852547,,,
decode/local/k3/ikea2,0,1406.9795932044435,1406.9406896099529,,,
decode/local/k3/ikea2,1,1406.779378748774,1406.7401735746894,,,
decode/local/k3/ikea2,2,1406.7310592098588,1406.6935964890815,,,
decode/local/k3/prior,0,1411.393927152764,1411.3551807705383,,,
decode/local/k3/prior,1,1409.780111761935,1409.7411970633507,,,
decode/local/k3/prior,2,1411.1585538275142,1411.2096209537594,,,
point/local/k3/prior,0,573.0229535887962,573.0072062007929,,,
point/local/k3/prior,1,572.911318775627,572.8957212334645,,,
point/local/k3/prior,2,572.7612281872807,572.7460938032074,,,
point/local/k3/ikea,0,575.5843874331157,575.5683084101229,,,
point/local/k3/ikea,1,576.1549869666657,576.3643572508097,,,
point/local/k3/ikea,2,576.7945945945931,576.7791329396738,,,
point/local/k3/ikea2,0,574.3977748387731,574.3820950877567,,,
point/local/k3/ikea2,1,574.4980979780012,576.5376927587789,,,
point/local/k3/ikea2,2,575.4957664671489,575.4778506467508,,,
decode/striped/k3/ikea,0,152.1684269646528,152.16434594227877,,,
