input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values
current,composition/avx2/local/k12/h0/u16/all/authored,1,5,"[2020.93137,2086.9252600000004,2041.7138300000004,2026.33705,1984.80008]",2026.33705,"[2016.5264799970826,2083.8503400000263,2037.2079900016615,2021.8986400004724,1980.42002999955]",2021.8986400004724,"[0.24669572387695313,0.25475161865234375,0.24923264526367192,0.2473555969238281,0.242285166015625]",0.2473555969238281,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/all/authored-u64-carrier,1,5,"[1430.989511100152,1426.1506097122492,1460.37223780319,1473.5921965050688,1475.3900206490596]",1460.37223780319,"[1427.8315868953403,1423.0201045798551,1457.4543871533526,1470.3537563809173,1472.1341110118171]",1457.4543871533526,"[0.17468133680421777,0.1740906505996398,0.17826809543495975,0.17988185992493516,0.18010132088001216]",0.17826809543495975,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/all/authored-u64-carrier-unroll4-acc1,1,5,"[1388.779390370281,1401.1557555103816,1386.389129698275,1380.5217127027754,1354.3619564350884]",1386.389129698275,"[1386.1179301690615,1398.0746293202963,1383.3296315119474,1377.7422675253795,1351.3826477738844]",1383.3296315119474,"[0.16952873417605968,0.17103952093632585,0.16923695430887145,0.16852071688266299,0.16532738726014262]",0.16923695430887145,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/all/authored-u64-carrier-unroll4-acc2,1,5,"[1374.5081900697303,1324.7909553578606,1344.7972369159259,1383.6057095054937,1361.020031858618]",1361.020031858618,"[1371.482322472238,1322.2329786811565,1341.833834255417,1380.5527971452873,1358.016515388829]",1358.016515388829,"[0.1677866442956214,0.16171764591770757,0.1641598189594636,0.16889718133611983,0.16614014060774146]",0.16614014060774146,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/all/authored-u64-carrier-unroll4-acc4,1,5,"[1344.7908391320539,1352.9237200532111,1350.2465758013739,1362.2383251816148,1346.115700106245]",1350.2465758013739,"[1342.095934992037,1349.9482134820043,1347.270997445123,1360.0234453512555,1343.157565781968]",1347.270997445123,"[0.16415903797998704,0.16515182129555803,0.16482502146012865,0.1662888580543963,0.16432076417312558]",0.16482502146012865,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/all/direct,1,5,"[2010.9940400000003,2013.9317499999997,2023.5127899999993,2035.074720000001,2060.5758499999993]",2023.5127899999993,"[2006.580980000763,2010.209919999397,2019.0730100011933,2030.5899200002386,2056.0283699978754]",2019.0730100011933,"[0.24548267089843753,0.24584127807617184,0.2470108386230468,0.2484222070312501,0.25153513793945304]",0.2470108386230468,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/all/materialized,1,5,"[746.5558820311225,737.163764414518,749.0520136959606,740.7245462478884,745.2390361587268]",745.2390361587268,"[745.0804010581636,735.5470698598982,747.4174359304693,739.0959891551963,743.8050487174775]",743.8050487174775,"[0.09113230981825227,0.08998581108575661,0.09143701339062017,0.09042047683690044,0.09097156203109456]",0.09097156203109456,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/prefilter75/authored,1,5,"[2037.7198236945842,2049.0493726229024,2034.116553513663,2047.6700813990717,2011.5911065297]",2037.7198236945842,"[2033.2228912678784,2045.4723207639702,2029.6783350498538,2043.1511818847086,2007.9555184307271]",2033.2228912678784,"[0.2487450956658428,0.2501280972440067,0.2483052433488358,0.24995972673328512,0.24555555499630125]",0.2487450956658428,8192.0,6144.0,4435.0
current,composition/avx2/local/k12/h0/u16/prefilter75/authored-u64-carrier,1,5,"[1445.637863505075,1485.5770260256784,1438.550148451711,1427.7613581945798,1440.7454040457435]",1440.7454040457435,"[1442.461016932719,1482.3327133161645,1435.3856216053864,1424.9262530186668,1437.5658404786395]",1437.5658404786395,"[0.17646946575989686,0.1813448518097752,0.17560426616842173,0.17428727517023682,0.17587224170480267]",0.17587224170480267,8192.0,6144.0,4435.0
current,composition/avx2/local/k12/h0/u16/prefilter75/authored-u64-carrier-unroll4-acc1,1,5,"[1430.0932549108652,1391.8457903868712,1391.7331760064565,1409.0055718505478,1390.1271507652982]",1391.8457903868712,"[1426.937253422934,1389.0342056896413,1388.6757275935065,1405.8961126123422,1387.075826740731]",1389.0342056896413,"[0.17457193053111147,0.16990305058433489,0.16988930371172564,0.17199775047003757,0.16969325570865457]",0.16990305058433489,8192.0,6144.0,4435.0
