input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values
current,composition/avx2/local/k12/h0/u16/all/authored,1,5,"[2546.3069127693802,2549.0941442957783,2546.574108271884,2554.3516788413976,2547.513158732615]",2547.513158732615,"[2547.4961747320594,2549.725263129275,2547.450926524668,2584.6737835115864,2550.2679232571795]",2549.725263129275,"[0.3108284805626685,0.3111687187861058,0.31086109720115773,0.31181050767106905,0.3109757273843524]",0.3109757273843524,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/all/authored-u64-carrier,1,5,"[1859.6855161305327,1859.654779257611,1859.9651231671185,1859.5526713390989,1859.5282109648913]",1859.654779257611,"[1860.3385382350302,1860.2042424585125,1860.7569870145128,1859.7947125663054,1859.7822926877056]",1860.2042424585125,"[0.22701239210577795,0.22700864004609506,0.22704652382411114,0.2269961757005736,0.2269931898150502]",0.22700864004609506,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/all/direct,1,5,"[2551.8105227650235,2551.380358477816,2552.2630691246327,2551.6690553032827,2555.0230658425185]",2551.8105227650235,"[2552.7304396167065,2551.671644513925,2552.967890162768,2552.281075072145,2555.7623124225247]",2552.7304396167065,"[0.31150030795471473,0.31144779766574904,0.311555550430253,0.3114830389774515,0.31189246409210436]",0.31150030795471473,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/all/materialized,1,5,"[1606.7615370493393,1606.376391215579,1606.2123138352672,1605.5218693347508,1607.0459875622396]",1606.376391215579,"[1607.2911168722917,1606.763791679323,1606.4494630201568,1605.6791197189723,1607.7651800257174]",1606.763791679323,"[0.1961378829405932,0.19609086806830797,0.1960708390912191,0.1959865563152772,0.1961726059035937]",0.19609086806830797,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/prefilter75/authored,1,5,"[2429.063975225312,2432.185584538395,2428.9444651671097,2429.0920722767646,2429.086485830063]",2429.086485830063,"[2429.623955796394,2432.6764978879933,2429.690767617697,2429.4541503647774,2429.8975528937112]",2429.690767617697,"[0.2965165985382461,0.296897654362597,0.29650200990809444,0.29652002835409724,0.2965193464148026]",0.2965193464148026,8192.0,6144.0,4435.0
current,composition/avx2/local/k12/h0/u16/prefilter75/authored-u64-carrier,1,5,"[1717.593890060412,1717.3186169329838,1717.415448838917,1717.2432724880523,1717.3592617412778]",1717.3592617412778,"[1718.117796781769,1717.813246604361,1717.8950895472635,1717.4554112111753,1717.5552003343096]",1717.813246604361,"[0.20966722290776513,0.20963362023107712,0.20964544053209438,0.20962442291113917,0.20963858175552705]",0.20963858175552705,8192.0,6144.0,4435.0
current,composition/avx2/local/k12/h0/u16/prefilter75/direct,1,5,"[2429.050876431832,2428.7650902464484,2429.2444203401797,2429.27354217282,2431.932454009024]",2429.2444203401797,"[2429.4493491846392,2428.9957046158092,2430.28253210761,2429.8466157561315,2432.6248177713046]",2429.8466157561315,"[0.2965149995644326,0.29648011355547466,0.2965386255298071,0.2965421804410181,0.2968667546397734]",0.2965386255298071,8192.0,6144.0,4435.0
current,composition/avx2/local/k12/h0/u16/prefilter75/materialized,1,5,"[1737.7995656760029,1737.775938450077,1736.9798101383499,1737.7535025129075,1737.2927281751959]",1737.7535025129075,"[1738.5646212091415,1738.1875969465705,1737.2501271933675,1738.0509896375675,1737.6744555439411]",1738.0509896375675,"[0.21213373604443395,0.2121308518615817,0.21203366822977907,0.21212811309972016,0.21207186623232369]",0.21212811309972016,8192.0,6144.0,4435.0
current,composition/avx2/local/k31/h0/u32/all/authored,1,5,"[2181.518971857712,2181.059112724769,2183.8776451522867,2181.50230622992,2180.758102970046]",2181.50230622992,"[2182.5369152615763,2181.525430860085,2184.4868482556553,2182.138739989784,2181.5365802342344]",2182.138739989784,"[0.2662987026193496,0.2662425674712853,0.26658662660550375,0.2662966682409571,0.2662058231164607]",0.2662966682409571,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/all/authored-u64-carrier,1,5,"[1628.0390723087676,1626.1503836316865,1626.4211694955004,1626.067705184829,1625.2408625900648]",1626.1503836316865,"[1628.5226691462087,1626.6111195089443,1627.3437107667555,1626.4363229482624,1625.5345384793654]",1626.6111195089443,"[0.19873523831894135,0.19850468550191488,0.19853774041693117,0.19849459291806995,0.19839365998413874]",0.19850468550191488,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/all/direct,1,5,"[2158.270082792562,2157.5220021450373,2158.6223485929595,2159.09039282106,2162.691838797539]",2158.6223485929595,"[2158.6267235611267,2157.7562750288193,2159.126056124637,2159.531840034101,2164.5853581396204]",2159.126056124637,"[0.2634607034658889,0.26336938502747037,0.2635037046622265,0.26356083896741456,0.26400046860321513]",0.2635037046622265,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/all/materialized,1,5,"[2137.689522283274,2137.839987789995,2137.7576999388993,2137.495390720407,2137.963881257668]",2137.7576999388993,"[2138.775595238572,2138.5532738082793,2138.114972525126,2137.850496032758,2138.9530906601613]",2138.5532738082793,"[0.260948428013095,0.2609667953845209,0.2609567504808227,0.2609247303125497,0.26098191909883645]",0.2609567504808227,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/prefilter75/authored,1,5,"[2310.976671182618,2314.499636519829,2318.8012424412855,2317.6543551531686,2317.130448071885]",2317.130448071885,"[2311.5217179407805,2315.02598882894,2319.2342794813057,2317.993358225662,2317.9604715307637]",2317.9604715307637,"[0.2821016444314719,0.28253169391111194,0.28305679229019604,0.2829167914005333,0.28285283789939997]",0.28285283789939997,8192.0,6144.0,4401.0
current,composition/avx2/local/k31/h0/u32/prefilter75/authored-u64-carrier,1,5,"[1742.9266382343033,1745.5623634155986,1743.7443389471814,1743.2430594900925,1743.3536842760673]",1743.3536842760673,"[1743.3843974727479,1745.9145970188754,1744.4488248305488,1743.6934408363643,1743.60401581385]",1743.6934408363643,"[0.21275959939383585,0.21308134319038066,0.21285941637538836,0.21279822503541168,0.21281172903760587]",0.21281172903760587,8192.0,6144.0,4401.0
current,composition/avx2/local/k31/h0/u32/prefilter75/direct,1,5,"[2286.1962621394505,2287.7046731410596,2286.7725971770606,2287.4282883632654,2289.0071348777296]",2287.4282883632654,"[2286.732266774218,2288.0578944333806,2287.3158263802557,2288.472785537484,2289.33149049595]",2288.0578944333806,"[0.2790766921556946,0.27926082435803945,0.2791470455538404,0.2792270859818439,0.2794198162692541]",0.2792270859818439,8192.0,6144.0,4401.0
current,composition/avx2/local/k31/h0/u32/prefilter75/materialized,1,5,"[2225.236556143812,2225.141432153807,2225.300927437002,2225.18044819486,2225.9804879990666]",2225.236556143812,"[2225.635242608491,2226.4321697233736,2226.077116585531,2225.5682760824375,2226.497353023659]",2226.077116585531,"[0.27163532179489897,0.2716237099797127,0.27164317961877466,0.27162847268003665,0.2717261337889485]",0.27163532179489897,8192.0,6144.0,4401.0
current,composition/avx2/local/k5/h0/u8/all/authored,1,5,"[1474.2693336985842,1474.6393817430883,1477.1952387474714,1474.4015087660152,1474.1469835215773]",1474.4015087660152,"[1474.7396061595612,1475.9052280021087,1477.7101472939796,1474.7400855531148,1475.380120531903]",1475.380120531903,"[0.17996451827375293,0.18000969015418555,0.18032168441741595,0.17998065292553894,0.1799495829494113]",0.17998065292553894,8192.0,8192.0,5824.0
current,composition/avx2/local/k5/h0/u8/all/authored-u64-carrier,1,5,"[932.9669882885285,931.4405010646805,931.5483064945431,931.5890936917751,931.4811718126139]",931.5483064945431,"[933.2539260041414,931.6610959541536,932.2029178862944,931.9456614318918,931.658693772757]",931.9456614318918,"[0.1138875718125645,0.11370123304012211,0.11371439288263466,0.11371937178854677,0.11370619773103198]",0.11371439288263466,8192.0,8192.0,5824.0
current,composition/avx2/local/k5/h0/u8/all/dense32-authored,1,5,"[318.2627359804453,318.5036693857829,319.0008879288298,318.3123531250886,318.34450160588915]",318.34450160588915,"[318.30110451029935,318.84378591916715,319.09775175552346,318.3922780889878,318.5898928460061]",318.5898928460061,"[0.038850431638237946,0.038879842454319205,0.03894053807724973,0.038856488418589914,0.03886041279368764]",0.03886041279368764,8192.0,8192.0,5824.0
