case,logical_values,active_values,selected_values,median_ns_per_value,min_ns_per_value,max_ns_per_value,repetitions,time_ratio_to_authored,time_ratio_to_materialized
composition/neon/local/k12/h0/u16/all/authored,8192.0,8192.0,5945.0,0.2040697285587791,0.20404355288361783,0.20421750958331283,5,1.0,0.4791864817299229
composition/neon/local/k12/h0/u16/all/authored-u64-carrier,8192.0,8192.0,5945.0,0.1801851500427391,0.1801067615172967,0.1802172820037251,5,0.8829587382473515,0.4231018912934402
composition/neon/local/k12/h0/u16/all/direct,8192.0,8192.0,5945.0,0.20407838322666952,0.20400003433728767,0.2041518989692582,5,1.0000424103464611,0.4792068041946325
composition/neon/local/k12/h0/u16/all/materialized,8192.0,8192.0,5945.0,0.42586703995083913,0.425855468750001,0.4259254572502962,5,2.08687022302857,1.0
composition/neon/local/k12/h0/u16/prefilter75/authored,8192.0,6144.0,4435.0,0.20907154962769794,0.2090403214355408,0.2090971085870271,5,1.0,0.32787136833818364
composition/neon/local/k12/h0/u16/prefilter75/authored-u64-carrier,8192.0,6144.0,4435.0,0.1840533889509363,0.18402465987296351,0.18411084973654127,5,0.8803368477379514,0.2886372468663654
composition/neon/local/k12/h0/u16/prefilter75/direct,8192.0,6144.0,4435.0,0.2090741372169579,0.20903712310920747,0.20908388751867124,5,1.0000123765728266,0.32787542626205163
composition/neon/local/k12/h0/u16/prefilter75/materialized,8192.0,6144.0,4435.0,0.637663333298596,0.6376558742939131,0.6377341881490933,5,3.049976596213634,1.0
composition/neon/local/k31/h0/u32/all/authored,8192.0,8192.0,5844.0,0.33933509238571724,0.3393146032975108,0.33935755111237614,5,1.0,0.7272907636549943
composition/neon/local/k31/h0/u32/all/authored-u64-carrier,8192.0,8192.0,5844.0,0.2963139806627226,0.29624568914981003,0.29635432137304357,5,0.8732193849432667,0.6350843933137329
composition/neon/local/k31/h0/u32/all/direct,8192.0,8192.0,5844.0,0.3393725408602659,0.3392560413321471,0.33946051177045766,5,1.000110358390243,0.72737102629291
composition/neon/local/k31/h0/u32/all/materialized,8192.0,8192.0,5844.0,0.4665741809787206,0.4659302045318311,0.46719172018639143,5,1.3749659008104371,1.0
composition/neon/local/k31/h0/u32/prefilter75/authored,8192.0,6144.0,4401.0,0.37483907891097695,0.3747502517014088,0.37494929265509486,5,1.0,0.5252118180254701
composition/neon/local/k31/h0/u32/prefilter75/authored-u64-carrier,8192.0,6144.0,4401.0,0.33347840621758457,0.3334434590096347,0.3335719102296632,5,0.8896575223331625,0.46725864472463563
composition/neon/local/k31/h0/u32/prefilter75/direct,8192.0,6144.0,4401.0,0.37483281654208794,0.37473240734406643,0.3749865969258885,5,0.9999832931803504,0.5252030434063486
composition/neon/local/k31/h0/u32/prefilter75/materialized,8192.0,6144.0,4401.0,0.713691249980211,0.7123661702826155,0.7178372390748134,5,1.9039937139257308,1.0
composition/neon/local/k5/h0/u8/all/authored,8192.0,8192.0,5824.0,0.255228614562093,0.25518704187253516,0.25524592071220475,5,1.0,0.5732830210338709
composition/neon/local/k5/h0/u8/all/authored-u64-carrier,8192.0,8192.0,5824.0,0.21662233351343135,0.2166088527770107,0.21666907963078133,5,0.848738429603984,0.4865673309909153
composition/neon/local/k5/h0/u8/all/direct,8192.0,8192.0,5824.0,0.254948703568861,0.2549403585931145,0.25498061463226906,5,0.9989032930586085,0.5726542975653212
composition/neon/local/k5/h0/u8/all/materialized,8192.0,8192.0,5824.0,0.44520525673655614,0.445186051859738,0.4452935193417488,5,1.7443391192653475,1.0
composition/neon/local/k5/h0/u8/prefilter75/authored,8192.0,6144.0,4386.0,0.25494649938214153,0.25493420952139334,0.25497286752977244,5,1.0,0.40734772203942793
composition/neon/local/k5/h0/u8/prefilter75/authored-u64-carrier,8192.0,6144.0,4386.0,0.2166265037574539,0.21659698656540824,0.21665462520588852,5,0.8496939721959098,0.34612090400463685
composition/neon/local/k5/h0/u8/prefilter75/direct,8192.0,6144.0,4386.0,0.25494770108472964,0.25490673808819087,0.2549972305947272,5,1.0000047135481014,0.40734964209250973
composition/neon/local/k5/h0/u8/prefilter75/materialized,8192.0,6144.0,4386.0,0.6258694613676146,0.6256991835925378,0.6260774056214194,5,2.454905099243953,1.0
composition/neon/local/k56/h0/u64/all/authored,8192.0,8192.0,5843.0,0.2749582754549311,0.2748726590677057,0.2749757338550811,5,1.0,0.6664077112345698
composition/neon/local/k56/h0/u64/all/authored-u64-carrier,8192.0,8192.0,5843.0,0.27094891391740933,0.270782076756402,0.2710628239740504,5,0.9854182910811172,0.6566903479680484
composition/neon/local/k56/h0/u64/all/direct,8192.0,8192.0,5843.0,0.27490928037756257,0.27484756540039645,0.2749618626847242,5,0.9998218090461635,0.6662889634088609
composition/neon/local/k56/h0/u64/all/materialized,8192.0,8192.0,5843.0,0.4125976797980781,0.41239136916647345,0.4128035636206963,5,1.5005828761306284,1.0
composition/neon/local/k56/h0/u64/prefilter75/authored,8192.0,6144.0,4391.0,0.30567513770009447,0.30502901277251393,0.305974858190341,5,1.0,0.46617665506900846
composition/neon/local/k56/h0/u64/prefilter75/authored-u64-carrier,8192.0,6144.0,4391.0,0.28193905697616106,0.2819177686981837,0.282083942918035,5,0.9223486708715529,0.4299774181942464
composition/neon/local/k56/h0/u64/prefilter75/direct,8192.0,6144.0,4391.0,0.30564407384828574,0.3051589253520452,0.3058307540655271,5,0.9998983762564321,0.4661292804521564
composition/neon/local/k56/h0/u64/prefilter75/materialized,8192.0,6144.0,4391.0,0.6557066605037207,0.6555230167854379,0.6559179164227836,5,2.14510956120694,1.0
composition/neon/local/k60/h8/u64/all/authored,8192.0,8192.0,5902.0,0.711104491272357,0.7108878151966235,0.7111891016072359,5,1.0,1.0062238603760123
composition/neon/local/k60/h8/u64/all/authored-u64-carrier,8192.0,8192.0,5902.0,0.7040612852633327,0.7032684613794556,0.7050758919910951,5,0.9900953993464138,0.9962576148708779
composition/neon/local/k60/h8/u64/all/direct,8192.0,8192.0,5902.0,0.7110015862789236,0.7107933427094445,0.7113192790306541,5,0.9998552885058436,1.0060782482177215
composition/neon/local/k60/h8/u64/all/materialized,8192.0,8192.0,5902.0,0.7067060514810559,0.6966001852322298,0.7091862857598518,5,0.9938146364630167,1.0
composition/neon/local/k60/h8/u64/prefilter75/authored,8192.0,6144.0,4395.0,0.7351689731542451,0.735000882530941,0.7359390917075527,5,1.0,0.7602306197364416
composition/neon/local/k60/h8/u64/prefilter75/authored-u64-carrier,8192.0,6144.0,4395.0,0.7336288104410036,0.7333515154676652,0.7354290566190611,5,0.9979050221520728,0.7586379534287777
composition/neon/local/k60/h8/u64/prefilter75/direct,8192.0,6144.0,4395.0,0.7352480878717047,0.7350980872409927,0.7357558740917854,5,1.0001076143313288,0.7603124314462401
composition/neon/local/k60/h8/u64/prefilter75/materialized,8192.0,6144.0,4395.0,0.9670341526221545,0.9659552630255964,0.9671463668616045,5,1.3153903224085899,1.0
composition/neon/local/k64/h0/u64/all/authored,8192.0,8192.0,5896.0,0.28934357141435646,0.28721376033428464,0.2894975780567953,5,1.0,0.7898082475588213
composition/neon/local/k64/h0/u64/all/authored-u64-carrier,8192.0,8192.0,5896.0,0.26915512266364366,0.2690298442740505,0.26917129087240443,5,0.9302267244023135,0.7347007390325737
composition/neon/local/k64/h0/u64/all/direct,8192.0,8192.0,5896.0,0.28807274574056685,0.28732671820623135,0.2898957460191717,5,0.9956079007818366,0.7863393313722191
composition/neon/local/k64/h0/u64/all/materialized,8192.0,8192.0,5896.0,0.36634660667152313,0.36607212519596466,0.3670840240457609,5,1.2661301057450969,1.0
composition/neon/local/k64/h0/u64/prefilter75/authored,8192.0,6144.0,4453.0,0.24634252795458217,0.2462847170266372,0.24637287730635915,5,1.0,0.40356658170833315
composition/neon/local/k64/h0/u64/prefilter75/authored-u64-carrier,8192.0,6144.0,4453.0,0.26951871088389157,0.26949734152636257,0.26955010440924215,5,1.094081128101366,0.44153458097946524
composition/neon/local/k64/h0/u64/prefilter75/direct,8192.0,6144.0,4453.0,0.24635471950715235,0.24627883251713656,0.2464533652050052,5,1.0000494902470614,0.4035865543181676
composition/neon/local/k64/h0/u64/prefilter75/materialized,8192.0,6144.0,4453.0,0.610413594980517,0.6103477933771976,0.6104911704603073,5,2.4779058656614015,1.0
composition/neon/local/k7/h0/u8/all/authored,8192.0,8192.0,5902.0,0.25504758637621155,0.25503561221385873,0.2551240960167953,5,1.0,0.566049524824156
composition/neon/local/k7/h0/u8/all/authored-u64-carrier,8192.0,8192.0,5902.0,0.2166180940347896,0.2165894218567289,0.21669225513093296,5,0.8493242265592901,0.48075957486552995
composition/neon/local/k7/h0/u8/all/direct,8192.0,8192.0,5902.0,0.2552533980485638,0.25507306574637173,0.2552956983980522,5,1.0008069540091575,0.5665063007575946
composition/neon/local/k7/h0/u8/all/materialized,8192.0,8192.0,5902.0,0.4505746850603618,0.450366904162413,0.45070264698040685,5,1.7666298727318095,1.0
composition/neon/local/k7/h0/u8/prefilter75/authored,8192.0,6144.0,4423.0,0.2550877517979734,0.25507951327026107,0.25511460171000006,5,1.0,0.40587999370312833
composition/neon/local/k7/h0/u8/prefilter75/authored-u64-carrier,8192.0,6144.0,4423.0,0.2166149152555762,0.2166070746640557,0.21664919337789248,5,0.8491780327702004,0.34466437459360383
composition/neon/local/k7/h0/u8/prefilter75/direct,8192.0,6144.0,4423.0,0.25504605105911005,0.2550361558799878,0.2550926763265864,5,0.9998365239468794,0.4058136420437171
composition/neon/local/k7/h0/u8/prefilter75/materialized,8192.0,6144.0,4423.0,0.6284807227639594,0.6283645876716141,0.6285452943689701,5,2.4637824369619636,1.0
composition/neon/striped/k12/h0/u16/all/authored,8192.0,8192.0,5945.0,0.1313468459730345,0.1313434514427312,0.13136147740739162,5,1.0,0.41082945763339357
composition/neon/striped/k12/h0/u16/all/authored-u64-carrier,8192.0,8192.0,5945.0,0.1252242037859636,0.125222140953335,0.12524152361855667,5,0.9533856931111396,0.3916789272162865
composition/neon/striped/k12/h0/u16/all/direct,8192.0,8192.0,5945.0,0.13134813898240605,0.13134650735625286,0.13135495493881785,5,1.000009844236167,0.41083350193559887
composition/neon/striped/k12/h0/u16/all/materialized,8192.0,8192.0,5945.0,0.31971136327386424,0.31970043179161317,0.3197884524385353,5,2.4341000418045895,1.0
composition/neon/striped/k12/h0/u16/prefilter75/authored,8192.0,6144.0,4435.0,0.15140032087053595,0.1513877872369903,0.15145368736157946,5,1.0,0.28654430700855316
composition/neon/striped/k12/h0/u16/prefilter75/authored-u64-carrier,8192.0,6144.0,4435.0,0.14832038567162084,0.14831314903419932,0.14834016192894592,5,0.9796570100961094,0.2807151390640608
composition/neon/striped/k12/h0/u16/prefilter75/direct,8192.0,6144.0,4435.0,0.15139090265219854,0.15137764628223732,0.15142437800076125,5,0.9999377926130985,0.2865264818359826
composition/neon/striped/k12/h0/u16/prefilter75/materialized,8192.0,6144.0,4435.0,0.5283661799151248,0.5283259923831681,0.5284528085116388,5,3.489861691686482,1.0
