input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values
current,composition/avx2/local/k12/h0/u16/all/authored,1,5,"[2039.876733151812,2045.595097366424,1995.2169068543913,2051.4530951379465,2044.3166493259287]",2044.3166493259287,"[2035.4078837663922,2041.0808668878499,1990.9365697789574,2046.934496267837,2039.8328352473961]",2039.8328352473961,"[0.2490083902773208,0.24970643278398733,0.2435567513249989,0.25042152040258137,0.24955037223216903]",0.24955037223216903,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/all/authored-u64-carrier,1,5,"[1435.269873301298,1424.8798303872713,1475.4217584551216,1461.8982170225877,1458.1065290691802]",1458.1065290691802,"[1432.173878613823,1421.745350975335,1472.1657300503828,1458.6892050675767,1454.9480841923394]",1454.9480841923394,"[0.17520384195572486,0.1739355261703212,0.1801051951239162,0.1784543721951401,0.17799151966176513]",0.17799151966176513,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/all/direct,1,5,"[2065.2414342925013,2043.2704612874527,2007.7300281815528,1995.6375927024587,2017.2179026995027]",2017.2179026995027,"[2060.7805621489065,2038.7612874548965,2003.2992064674481,1991.2335360441575,2012.8335657058715]",2012.8335657058715,"[0.2521046672720339,0.24942266373137853,0.245084231955756,0.24360810457793686,0.24624241976312292]",0.24624241976312292,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/all/materialized,1,5,"[735.2395541272442,745.2613747743354,746.6676135243912,742.678295235672,753.2990905435956]",745.2613747743354,"[733.6219882962346,743.6209818770266,745.069558567371,741.0449709244913,751.6490827920253]",743.6209818770266,"[0.08975092213467337,0.09097428891288274,0.09114594891655164,0.09065897158638574,0.0919554553886225]",0.09097428891288274,8192.0,8192.0,5945.0
current,composition/avx2/local/k12/h0/u16/prefilter75/authored,1,5,"[2040.5510716809142,2046.2244498847217,2052.946512308443,2044.6093200197108,2017.3404540815018]",2044.6093200197108,"[2036.047827732811,2041.7939931650324,2048.43119187499,2040.1048341642445,2012.903074079451]",2040.1048341642445,"[0.2490907069922991,0.24978325804256854,0.2506038223032767,0.2495860986352186,0.2462573796486208]",0.2495860986352186,8192.0,6144.0,4435.0
current,composition/avx2/local/k12/h0/u16/prefilter75/authored-u64-carrier,1,5,"[1471.7692157155334,1456.6274790525954,1452.9136097478397,1446.8314372969105,1435.1572225340587]",1452.9136097478397,"[1468.5877421119114,1453.4272493635788,1449.714780843455,1443.6562775199716,1432.044438837885]",1449.714780843455,"[0.17965932809027504,0.17781097156403752,0.17735761837742184,0.17661516568565805,0.1751900906413646]",0.17735761837742184,8192.0,6144.0,4435.0
current,composition/avx2/local/k12/h0/u16/prefilter75/direct,1,5,"[1998.9600057113066,1991.367170415389,1954.3194959005818,2000.0732401986515,2048.0143083663384]",1998.9600057113066,"[1994.6469125024303,1986.9912601721235,1950.0374392222182,1995.6594097807845,2043.5708016142069]",1994.6469125024303,"[0.24401367257218098,0.24308681279484728,0.2385643915894265,0.24414956545393696,0.25000174662675034]",0.24401367257218098,8192.0,6144.0,4435.0
current,composition/avx2/local/k12/h0/u16/prefilter75/materialized,1,5,"[869.3358832214212,871.8771457623121,867.1825625430823,891.8643396576867,854.5534925596686]",869.3358832214212,"[867.4173977911446,869.9609206046672,865.3080862928232,889.9007054685112,852.6676645862968]",867.4173977911446,"[0.10612010293230241,0.1064303156448135,0.10585724640418485,0.10887015864961995,0.10431561188472517]",0.10612010293230241,8192.0,6144.0,4435.0
current,composition/avx2/local/k31/h0/u32/all/authored,1,5,"[1604.1380701654298,1609.1938133119497,1575.5077891604192,1646.0022320150758,1597.5310879643175]",1604.1380701654298,"[1600.6254106322954,1605.7058719149938,1572.0573398964482,1642.3698792429523,1594.0197848111102]",1600.6254106322954,"[0.19581763551824097,0.19643479166405636,0.1923227281689965,0.2009280068377778,0.19501111913626923]",0.19581763551824097,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/all/authored-u64-carrier,1,5,"[1319.2673607354195,1319.0137465128041,1335.908408330716,1328.453103315243,1336.1894638295455]",1328.453103315243,"[1316.3675286856524,1316.1062367406269,1332.9757577754692,1325.5743426660079,1333.2407615626132]",1325.5743426660079,"[0.1610433789960229,0.16101242022861378,0.1630747568763081,0.16216468546328647,0.16310906540888007]",0.16216468546328647,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/all/direct,1,5,"[1626.6488475761275,1623.4972191059528,1629.1880798475547,1607.3496922318893,1628.420677742742]",1626.6488475761275,"[1623.0704275511428,1619.9144837972083,1625.5928498062724,1603.860343916354,1624.8447566651928]",1623.0704275511428,"[0.19856553315138276,0.19818081287914463,0.19887549802826593,0.19620967922752558,0.19878182101351832]",0.19856553315138276,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/all/materialized,1,5,"[880.3043949522778,886.3824843772626,897.1010905633849,899.9036477256278,902.8000623698039]",897.1010905633849,"[878.3690052325295,884.4763418590842,895.127755171347,897.9337880877681,900.8078222646327]",895.127755171347,"[0.10745903258694797,0.1082009868624588,0.1095094104691632,0.1098515194977573,0.11020508573850146]",0.1095094104691632,8192.0,8192.0,5844.0
current,composition/avx2/local/k31/h0/u32/prefilter75/authored,1,5,"[1711.930377973656,1678.662726584521,1690.981545394363,1670.8780899244437,1755.2608680102194]",1690.981545394363,"[1708.1525544977742,1675.0610265657488,1687.2559086332249,1667.2000321896196,1751.4591298446244]",1687.2559086332249,"[0.20897587621748728,0.20491488361627455,0.20641864567802282,0.20396461058647994,0.21426524267702873]",0.20641864567802282,8192.0,6144.0,4401.0
current,composition/avx2/local/k31/h0/u32/prefilter75/authored-u64-carrier,1,5,"[1449.4982838693961,1396.4665227222015,1388.6349123093137,1380.5867078809572,1394.59179007191]",1394.59179007191,"[1446.2996353851527,1393.3937628582537,1385.6497616787542,1377.5505672923787,1391.5369655540392]",1391.5369655540392,"[0.1769407084801509,0.1704671048244875,0.16951109769400802,0.16852865086437469,0.17023825562401246]",0.17023825562401246,8192.0,6144.0,4401.0
current,composition/avx2/local/k31/h0/u32/prefilter75/direct,1,5,"[1690.3417104298746,1717.4736239573738,1713.6913133809617,1654.1896749105172,1708.5432150363715]",1708.5432150363715,"[1686.637997977121,1713.683632861464,1709.9885821944704,1650.547321812706,1704.7791608371458]",1704.7791608371458,"[0.2063405408239593,0.2096525419869841,0.20919083415294942,0.20192745055060024,0.20856240417924454]",0.20856240417924454,8192.0,6144.0,4401.0
current,composition/avx2/local/k31/h0/u32/prefilter75/materialized,1,5,"[962.2774681891896,955.8689598057313,957.2693865233066,958.9611953706777,991.7084845209746]",958.9611953706777,"[960.1914263447112,953.7595818457212,955.1569169660864,956.8449955439341,989.556129502105]",956.8449955439341,"[0.11746551125356317,0.11668322263253554,0.11685417315958334,0.11706069279427217,0.12105816461437678]",0.11706069279427217,8192.0,6144.0,4401.0
current,composition/avx2/local/k5/h0/u8/all/authored,1,5,"[965.1226209973455,950.3759424239001,959.8262833907492,970.3008767718985,950.864619218388]",959.8262833907492,"[963.0108855265878,948.283306037914,957.7207672107562,968.4424768456707,948.7746442089066]",957.7207672107562,"[0.11781281994596503,0.1160126882841675,0.11716629435922232,0.11844493124656963,0.11607234121318213]",0.11716629435922232,8192.0,8192.0,5824.0
current,composition/avx2/local/k5/h0/u8/all/authored-u64-carrier,1,5,"[678.4395825577651,680.2428734519633,683.014511205419,686.1084555630019,677.7538976993512]",680.2428734519633,"[676.9451269448484,678.7815923354743,681.7107140203566,684.6098801283551,676.2581019029074]",678.7815923354743,"[0.08281733185519595,0.08303746013817911,0.08337579482488025,0.08375347357946801,0.08273363009025285]",0.08303746013817911,8192.0,8192.0,5824.0
current,composition/avx2/local/k5/h0/u8/all/dense32-authored,1,5,"[243.3883166983562,244.5431985737818,234.57772762112057,233.95750818339258,241.12402085124236]",241.12402085124236,"[242.9342864040663,244.00594201115433,234.06078789264959,233.45542602310437,240.65532269886455]",240.65532269886455,"[0.029710487878217312,0.029851464669651103,0.02863497651625007,0.028559266135668046,0.029434084576567675]",0.029434084576567675,8192.0,8192.0,5824.0
current,composition/avx2/local/k5/h0/u8/all/direct,1,5,"[984.208720022532,965.5479309157793,971.7694260251532,991.1378937449356,997.6117611469067]",984.208720022532,"[982.0365449555783,963.6651077389918,969.6373252288666,988.9504226489646,995.4255453054981]",982.0365449555783,"[0.12014266601837548,0.11786473766061759,0.1186241975128361,0.12098851242003608,0.12177877943687827]",0.12014266601837548,8192.0,8192.0,5824.0
current,composition/avx2/local/k5/h0/u8/all/materialized,1,5,"[348.05516545621543,355.2330980189423,347.2124643013095,354.12328909790807,360.663543920055]",354.12328909790807,"[347.4277481089006,354.44907697879074,346.446157089322,353.46265377417456,359.8727319725216]",353.46265377417456,"[0.04248720281447942,0.04336341528551542,0.04238433402115595,0.04322794056370948,0.044026311513678584]",0.04322794056370948,8192.0,8192.0,5824.0
current,composition/avx2/local/k5/h0/u8/prefilter75/authored,1,5,"[935.4052223947804,946.3201420308108,963.7642915135215,975.1708041787222,962.3604402416141]",962.3604402416141,"[933.3403214554091,944.2315546921348,961.992851295759,973.0358176378741,960.2395489786868]",960.2395489786868,"[0.11418520781186284,0.11551759546274545,0.11764700824139666,0.11903940480697293,0.1174756396779314]",0.1174756396779314,8192.0,6144.0,4386.0
current,composition/avx2/local/k5/h0/u8/prefilter75/authored-u64-carrier,1,5,"[707.248364675005,698.7845662812274,696.2827706302537,689.6985846915798,699.3203066419362]",698.7845662812274,"[705.950659062892,697.2520003747893,694.7463273020928,688.1844636724621,698.1206810643732]",697.2520003747893,"[0.08633402889099183,0.0853008503761264,0.0849954553992009,0.08419172176410886,0.08536624836937697]",0.0853008503761264,8192.0,6144.0,4386.0
current,composition/avx2/local/k5/h0/u8/prefilter75/dense32-authored,1,5,"[257.35906397716036,261.8489418261796,258.8292666261062,255.7713923339735,253.9936322366263]",257.35906397716036,"[256.8021266436558,261.2758917959496,258.3569036364095,255.20936490838662,253.43315112083573]",256.8021266436558,"[0.03141590136439946,0.031963982156516066,0.0315953694611946,0.03122209379076825,0.031005082060135043]",0.03141590136439946,8192.0,6144.0,4386.0
current,composition/avx2/local/k5/h0/u8/prefilter75/direct,1,5,"[957.4377636235938,963.6362494952319,957.7516686970422,961.0237638747019,937.4978808311081]",957.7516686970422,"[955.6925864715844,961.543756002866,955.637885107783,959.2946001072443,935.4320525556718]",955.6925864715844,"[0.11687472700483321,0.11763137811221093,0.11691304549524441,0.11731247117611106,0.11444065928114112]",0.11691304549524441,8192.0,6144.0,4386.0
current,composition/avx2/local/k5/h0/u8/prefilter75/materialized,1,5,"[485.49211650297354,470.78282684007337,476.67892084300723,471.02939063259913,467.66993017647184]",471.02939063259913,"[484.4206049530593,469.75371841007205,475.7982562299166,469.9899826690662,466.637935661447]",469.9899826690662,"[0.05926417437780439,0.05746860679200113,0.05818834482946866,0.05749870491120594,0.05708861452349509]",0.05749870491120594,8192.0,6144.0,4386.0
current,composition/avx2/local/k56/h0/u64/all/authored,1,5,"[1399.6886292623449,1379.3278741314398,1374.3434617881037,1374.8325559631078,1379.6494387336802]",1379.3278741314398,"[1396.6704352781123,1376.296240950512,1371.31895827422,1371.8083342124687,1376.6507167404789]",1376.296240950512,"[0.17086042837675108,0.1683749846351855,0.16776653586280563,0.16782623974159028,0.16841423812666995]",0.1683749846351855,8192.0,8192.0,5843.0
current,composition/avx2/local/k56/h0/u64/all/authored-u64-carrier,1,5,"[977.8295502042683,964.810279504364,958.1687947469757,966.8427063248989,951.2136967923695]",964.810279504364,"[975.697058665242,962.741101163097,956.0699974394569,964.7088934424532,949.1143770153772]",962.741101163097,"[0.11936395876516948,0.11777469232231005,0.11696396420251168,0.11802279129942615,0.11611495322172478]",0.11777469232231005,8192.0,8192.0,5843.0
current,composition/avx2/local/k56/h0/u64/all/direct,1,5,"[1398.1753236286565,1347.652969324524,1381.5474185261653,1375.523739485209,1383.697657784696]",1381.5474185261653,"[1395.0899209206577,1344.6790107270474,1378.573767188083,1372.492867578352,1380.6528232504932]",1378.573767188083,"[0.17067569868513877,0.16450841910699757,0.16864592511305726,0.16791061273012806,0.1689084054912959]",0.16864592511305726,8192.0,8192.0,5843.0
current,composition/avx2/local/k56/h0/u64/all/materialized,1,5,"[1045.5753428643138,1060.0655179060316,1084.0494939319017,1040.9602746551293,1032.0683910199023]",1045.5753428643138,"[1043.3556151187968,1057.7564181363762,1081.6572520669529,1038.7173110564772,1029.801987904384]",1043.3556151187968,"[0.1276337088457414,0.12940252904126362,0.13233026048973412,0.12707034602723746,0.12598491101317164]",0.1276337088457414,8192.0,8192.0,5843.0
current,composition/avx2/local/k56/h0/u64/prefilter75/authored,1,5,"[1667.2929836508274,1688.577343754736,1689.3063257422514,1699.256488751995,1631.2159502473814]",1688.577343754736,"[1663.6358766086958,1684.8506637895848,1685.5897939614256,1695.5820562725228,1627.6305072290654]",1684.8506637895848,"[0.20352697554331392,0.20612516403256054,0.20621415109158342,0.2074287705996088,0.19912304080168228]",0.20612516403256054,8192.0,6144.0,4391.0
current,composition/avx2/local/k56/h0/u64/prefilter75/authored-u64-carrier,1,5,"[1175.118655416081,1168.5634427204766,1183.2855182337503,1188.6620948927334,1136.716436345164]",1175.118655416081,"[1172.5348268529735,1166.0633241995254,1180.7103688345198,1186.0387297736427,1134.3098007579902]",1172.5348268529735,"[0.14344710149122084,0.14264690462896443,0.14444403298751837,0.14510035338046062,0.13875933060854054]",0.14344710149122084,8192.0,6144.0,4391.0
current,composition/avx2/local/k56/h0/u64/prefilter75/direct,1,5,"[1635.2306312327405,1642.297840781872,1656.0069882923015,1700.979773818538,1696.4021492516306]",1656.0069882923015,"[1631.621682466902,1638.7858721582259,1652.3586424431235,1697.2407325969732,1692.723634148174]",1652.3586424431235,"[0.19961311416415287,0.20047581064231837,0.20214929056302508,0.20763913254620828,0.20708034048481821]",0.20214929056302508,8192.0,6144.0,4391.0
