input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values,counter:encoded_bytes,counter:native_fragment_values
gnr,composition/avx2/local/k12/h0/u16/all/authored,1,5,"[2572.378659589318,2569.979153656834,2568.00329684458,2569.8232652536453,2571.49493075708]",2569.979153656834,"[2574.899101863733,2571.1349043091136,2568.361229476994,2571.7443430177414,2572.5947728031324]",2571.7443430177414,"[0.31401106684439917,0.31371815840537526,0.3134769649468481,0.3136991290592828,0.31390318978968257]",0.31371815840537526,8192.0,8192.0,5945.0,12288.0,8.0
gnr,composition/avx2/local/k12/h0/u16/all/authored-u64-carrier,1,5,"[1871.5714753419277,1865.9125324887923,1868.3986115843868,1869.4122618880601,1870.0639887216296]",1869.4122618880601,"[1871.9373943498688,1867.9041004365847,1868.9667729021073,1869.6104685733465,1872.7726152066548]",1869.6104685733465,"[0.2284633148610752,0.22777252593857328,0.22807600239067222,0.22819973900000734,0.22827929549824577]",0.22819973900000734,8192.0,8192.0,5945.0,12288.0,8.0
gnr,composition/avx2/local/k12/h0/u16/all/direct,1,5,"[2575.7104556412064,2576.075683553471,2571.6221230258757,2575.6431589657086,2570.983583717539]",2575.6431589657086,"[2576.0464257237336,2578.7022887478815,2572.5337170821035,2576.4023043276534,2571.2236684098784]",2576.0464257237336,"[0.3144177802296395,0.3144623637150234,0.3139187161896821,0.3144095653034312,0.3138407694967699]",0.3144095653034312,8192.0,8192.0,5945.0,12288.0,8.0
gnr,composition/avx2/local/k12/h0/u16/all/materialized,1,5,"[1612.6285954399739,1613.3336556781621,1611.7142700904292,1612.4559394912715,1614.179701485664]",1612.6285954399739,"[1612.8312697495428,1613.7944188289628,1611.9213305928122,1613.943376677125,1614.5863452423075]",1613.7944188289628,"[0.19685407659179371,0.19694014351540062,0.19674246461064812,0.19683300042618063,0.19704342059151173]",0.19685407659179371,8192.0,8192.0,5945.0,12288.0,
gnr,composition/avx2/local/k12/h0/u16/prefilter75/authored,1,5,"[2436.8894217403413,2441.187248053933,2440.1731390742275,2438.9791145398913,2438.1908708646047]",2438.9791145398913,"[2437.597711635653,2441.9417570200194,2440.5029104117925,2441.207829441808,2483.932374199896]",2441.207829441808,"[0.29747185323978775,0.29799649024095864,0.2978726976408969,0.2977269426928578,0.29763072154108944]",0.2977269426928578,8192.0,6144.0,4435.0,12288.0,8.0
gnr,composition/avx2/local/k12/h0/u16/prefilter75/authored-u64-carrier,1,5,"[1734.1266075703513,1735.5409601811234,1735.8922842809195,1734.788756441107,1734.1476026401497]",1734.788756441107,"[1734.932684633518,1735.9812627971935,1736.4440636646748,1735.5293429915598,1735.2137117478867]",1735.5293429915598,"[0.21168537690067765,0.21185802736585982,0.21190091360851065,0.2117662056202523,0.2116879397754089]",0.2117662056202523,8192.0,6144.0,4435.0,12288.0,8.0
gnr,composition/avx2/local/k12/h0/u16/prefilter75/direct,1,5,"[2435.6599799747446,2433.5702668582135,2435.61891080058,2432.3131165382447,2437.569996952684]",2435.61891080058,"[2436.2250576828337,2436.111488399213,2437.892142266517,2434.532697748058,2438.1051673851703]",2436.2250576828337,"[0.2973217748992608,0.2970666829660905,0.2973167615723365,0.29691322223367245,0.2975549312686382]",0.2973167615723365,8192.0,6144.0,4435.0,12288.0,8.0
gnr,composition/avx2/local/k12/h0/u16/prefilter75/materialized,1,5,"[1750.6887154914436,1747.4088986624547,1748.8335967613914,1747.4570591432482,1745.1184864027432]",1747.4570591432482,"[1751.4474820236344,1747.7555554174687,1750.0941344043035,1749.119598423523,1745.6191329991177]",1749.119598423523,"[0.21370711859026412,0.21330675032500668,0.21348066366716206,0.21331262928994732,0.21302715898470986]",0.21331262928994732,8192.0,6144.0,4435.0,12288.0,
gnr,composition/avx2/local/k31/h0/u32/all/authored,1,5,"[2198.1166897397925,2198.734669477394,2198.33114400781,2198.815868546076,2196.4640452443164]",2198.33114400781,"[2199.7826117738496,2200.551371803303,2199.50185633877,2199.7888965799016,2197.198754050236]",2199.7826117738496,"[0.26832479122800196,0.2684002282076897,0.2683509697275159,0.26841014020337844,0.2681230523979878]",0.2683509697275159,8192.0,8192.0,5844.0,31744.0,8.0
gnr,composition/avx2/local/k31/h0/u32/all/authored-u64-carrier,1,5,"[1620.4061210195046,1623.709810187034,1622.608136660719,1622.5912045800471,1623.1222583054055]",1622.608136660719,"[1620.5868282888646,1624.1345015017396,1623.227752403994,1622.8792236141162,1623.347868873415]",1623.227752403994,"[0.19780348156976374,0.19820676393884692,0.19807228230721668,0.19807021540283778,0.19813504129704657]",0.19807228230721668,8192.0,8192.0,5844.0,31744.0,8.0
gnr,composition/avx2/local/k31/h0/u32/all/direct,1,5,"[2197.097049927333,2201.4839454766893,2197.414840711781,2198.2166476804045,2196.759044663556]",2197.414840711781,"[2197.4082334913555,2202.793895588202,2198.0750913302263,2198.6411674581273,2197.6530855956794]",2198.0750913302263,"[0.2682003234774577,0.2687358331880724,0.2682391162978248,0.2683369931250494,0.2681590630692817]",0.2682391162978248,8192.0,8192.0,5844.0,31744.0,8.0
