input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values,counter:encoded_bytes,counter:native_fragment_values
zen,composition/avx2/local/k12/h0/u16/all/authored,1,5,"[1923.221441970083,1924.6357008870596,1922.0592976356527,1920.786700289273,1925.4742436631232]",1923.221441970083,"[1919.0891938135126,1920.3870149860359,1917.8349972865828,1917.526415962548,1921.2328617464814]",1919.0891938135126,"[0.2347682424279887,0.2349408814559399,0.23462637910591463,0.2344710327501554,0.23504324263465856]",0.2347682424279887,8192.0,8192.0,5945.0,12288.0,8.0
zen,composition/avx2/local/k12/h0/u16/all/authored-u64-carrier,1,5,"[1376.253454866217,1378.0165980593945,1371.123341174166,1369.3998284818188,1375.7375575811002]",1375.7375575811002,"[1373.23465157327,1375.5385033815771,1368.1048858179813,1366.3815005388587,1373.3300107812797]",1373.23465157327,"[0.16799968931472373,0.16821491675529718,0.16737345473317455,0.167163065000222,0.16793671357191162]",0.16793671357191162,8192.0,8192.0,5945.0,12288.0,8.0
zen,composition/avx2/local/k12/h0/u16/all/direct,1,5,"[1923.5632877916744,1922.318269554407,1925.950137724015,1925.0264732348323,1933.7760628103947]",1925.0264732348323,"[1919.3168339273295,1919.3226039109413,1921.6984221847401,1920.7768664864066,1930.6735769088725]",1920.7768664864066,"[0.23480997165425715,0.2346579918889657,0.23510133517138856,0.23498858315854887,0.2360566482922845]",0.23498858315854887,8192.0,8192.0,5945.0,12288.0,8.0
zen,composition/avx2/local/k12/h0/u16/all/materialized,1,5,"[715.2833032116691,714.3799502352567,716.5898069312259,714.9034860919821,715.5149755016159]",715.2833032116691,"[713.7194538168266,712.8271340729724,715.0151393362285,713.750682217319,713.9354619876942]",713.750682217319,"[0.08731485634908072,0.08720458376895225,0.08747434166640941,0.08726849195458766,0.08734313665791209]",0.08731485634908072,8192.0,8192.0,5945.0,12288.0,
zen,composition/avx2/local/k12/h0/u16/prefilter75/authored,1,5,"[1906.4926138876588,1909.4860885244725,1914.9416391657894,1908.1068485693872,1910.4249855407709]",1909.4860885244725,"[1902.2839247445493,1905.290783519835,1911.0136903344528,1903.9014595314864,1906.249188581983]",1905.290783519835,"[0.23272614915620835,0.23309156354058502,0.23375752431223012,0.23292319928825528,0.23320617499276988]",0.23309156354058502,8192.0,6144.0,4435.0,12288.0,8.0
zen,composition/avx2/local/k12/h0/u16/prefilter75/authored-u64-carrier,1,5,"[1379.2119188311974,1375.2876273811473,1376.9400655032591,1377.2333602975227,1378.383840227287]",1377.2333602975227,"[1376.2343517252423,1372.2996823487038,1373.9107419427519,1374.197713305348,1375.3800372896567]",1374.197713305348,"[0.16836082993544887,0.1678817904518002,0.16808350408975334,0.1681193066769437,0.16825974612149497]",0.1681193066769437,8192.0,6144.0,4435.0,12288.0,8.0
zen,composition/avx2/local/k12/h0/u16/prefilter75/direct,1,5,"[1912.4123478521817,1906.02244009606,1912.403860324209,1908.6103105725658,1912.4806642650462]",1912.403860324209,"[1908.4300665900498,1901.8147822171666,1908.1821884725011,1904.5173025495105,1908.317490857181]",1908.1821884725011,"[0.23344877293117453,0.2326687548945386,0.23344773685598255,0.23298465705231514,0.23345711233704175]",0.23344773685598255,8192.0,6144.0,4435.0,12288.0,8.0
zen,composition/avx2/local/k12/h0/u16/prefilter75/materialized,1,5,"[812.2800189596458,810.2375042630268,810.3753836727399,810.6580327053892,811.4139908323154]",810.6580327053892,"[810.4931040063435,808.4556471426162,808.6360817114784,808.8684529968663,809.6257492818296]",808.8684529968663,"[0.09915527575190988,0.09890594534460775,0.09892277632723875,0.09895727938298209,0.09904955942777288]",0.09895727938298209,8192.0,6144.0,4435.0,12288.0,
zen,composition/avx2/local/k31/h0/u32/all/authored,1,5,"[1530.2179873809096,1526.7083212904818,1529.1374575319123,1527.0818822836552,1528.5757172539]",1528.5757172539,"[1526.8488763341868,1523.374286290773,1525.8262503203632,1523.7266336918117,1525.201289175864]",1525.201289175864,"[0.1867941879127087,0.1863657618762795,0.186662287296376,0.186411362583454,0.1865937154850952]",0.1865937154850952,8192.0,8192.0,5844.0,31744.0,8.0
zen,composition/avx2/local/k31/h0/u32/all/authored-u64-carrier,1,5,"[1256.8895752170392,1258.5569769158121,1262.0799202050366,1259.2889168191118,1262.0081539362905]",1259.2889168191118,"[1254.1691214950356,1255.7886954151209,1259.2938458578963,1256.5613334345362,1259.2221914095708]",1256.5613334345362,"[0.15342890322473623,0.1536324434711685,0.1540624902594039,0.15372179160389549,0.15405372972855108]",0.15372179160389549,8192.0,8192.0,5844.0,31744.0,8.0
zen,composition/avx2/local/k31/h0/u32/all/direct,1,5,"[1530.452530280946,1526.9983351619182,1525.384386548108,1530.755869236524,1526.2050480073785]",1526.9983351619182,"[1527.1224392883462,1523.6274419902413,1522.0249834882004,1527.4307891330866,1522.8794602652047]",1523.6274419902413,"[0.18682281863781078,0.1864011639601951,0.18620414874854832,0.1868598473189116,0.1863043271493382]",0.1864011639601951,8192.0,8192.0,5844.0,31744.0,8.0
zen,composition/avx2/local/k31/h0/u32/all/materialized,1,5,"[829.6334495454129,827.6346600056747,829.9983160100423,827.6713526375605,826.9952824604592]",827.6713526375605,"[827.8020113174563,825.8165131640092,828.1960235344442,825.8442176105265,825.1732467563946]",825.8442176105265,"[0.10127361444646153,0.10102962158272397,0.10131815380981962,0.10103410066376473,0.10095157256597403]",0.10103410066376473,8192.0,8192.0,5844.0,31744.0,
zen,composition/avx2/local/k31/h0/u32/prefilter75/authored,1,5,"[1621.2184280179079,1617.4631155848595,1619.988961027681,1620.1115017288184,1616.3011566016617]",1619.988961027681,"[1617.6535117951778,1613.9608655112395,1616.471530918803,1616.5350079058132,1612.7429239956086]",1616.471530918803,"[0.1979026401389048,0.19744422797666747,0.1977525587191993,0.19776751730088118,0.19730238728047628]",0.1977525587191993,8192.0,6144.0,4401.0,31744.0,8.0
zen,composition/avx2/local/k31/h0/u32/prefilter75/authored-u64-carrier,1,5,"[1344.7060891219626,1346.6779924813902,1341.063505974192,1340.6305389938404,1337.9644805210216]",1341.063505974192,"[1341.7716687019467,1343.705116970023,1338.1551804229746,1337.679012522773,1335.0108900224113]",1338.1551804229746,"[0.16414869251977082,0.16438940337907595,0.16370404125661522,0.16365118884202154,0.16332574225110125]",0.16370404125661522,8192.0,6144.0,4401.0,31744.0,8.0
zen,composition/avx2/local/k31/h0/u32/prefilter75/direct,1,5,"[1617.7684722814702,1612.7144883578935,1615.4114702863644,1618.4240580779838,1618.1238943155938]",1617.7684722814702,"[1614.2070671543984,1609.1597951813828,1611.8619609968232,1614.9048505954797,1614.5671771748255]",1614.2070671543984,"[0.19748150296404668,0.1968645615671257,0.19719378299394097,0.19756153052709763,0.1975248894428215]",0.19748150296404668,8192.0,6144.0,4401.0,31744.0,8.0
