input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values,counter:encoded_bytes
gnr,composition/avx2/local/k10/h0/u16/all/authored,1,3,"[2728.4406254264704,2730.113660733429,2730.2744234106003]",2730.113660733429,"[2728.758251611751,2730.7237244876505,2730.5993995248286]",2730.5993995248286,"[0.33306159978350464,0.3332658277262486,0.33328545207648924]",0.3332658277262486,8192.0,8192.0,5955.0,10240.0
gnr,composition/avx2/local/k10/h0/u16/all/authored-u64-carrier,1,3,"[2060.0671282006047,2055.8881735602754,2055.707190522382]",2055.8881735602754,"[2060.6572449108685,2056.777170241858,2055.9021665699183]",2056.777170241858,"[0.2514730381104254,0.25096291181155705,0.2509408191555642]",0.25096291181155705,8192.0,8192.0,5955.0,10240.0
gnr,composition/avx2/local/k10/h0/u16/all/materialized,1,3,"[1720.025850123244,1715.95427176965,1717.1052031343932]",1717.1052031343932,"[1740.693918840834,1716.103437277459,1717.35936331474]",1717.35936331474,"[0.20996409303262253,0.2094670741906311,0.20960756874199132]",0.20960756874199132,8192.0,8192.0,5955.0,10240.0
gnr,composition/avx2/local/k10/h0/u16/prefilter75/authored,1,3,"[2630.797705845966,2631.5191460648807,2631.0521807583555]",2631.0521807583555,"[2631.8111446506487,2632.519633369344,2632.105954682743]",2632.105954682743,"[0.32114229807690015,0.3212303645098731,0.3211733619089789]",0.3211733619089789,8192.0,6144.0,4486.0,10240.0
gnr,composition/avx2/local/k10/h0/u16/prefilter75/authored-u64-carrier,1,3,"[1910.3310108805294,1908.9315944479224,1907.6898911946737]",1908.9315944479224,"[1910.6532137065558,1912.0188704970606,1908.9248043428927]",1910.6532137065558,"[0.23319470347662713,0.23302387627538118,0.23287230117122482]",0.23302387627538118,8192.0,6144.0,4486.0,10240.0
gnr,composition/avx2/local/k10/h0/u16/prefilter75/materialized,1,3,"[1853.8229993506786,1852.351748539025,1851.533837774811]",1852.351748539025,"[1854.2706359343679,1853.327233216901,1851.7337900749114]",1853.327233216901,"[0.22629675285042464,0.22611715680408018,0.2260173141814955]",0.22611715680408018,8192.0,6144.0,4486.0,10240.0
gnr,composition/avx2/local/k11/h0/u16/all/authored,1,3,"[2867.751711977704,2868.842211014055,2867.824865707139]",2867.824865707139,"[2868.019600607241,2869.5842046932667,2872.2391848107086]",2869.5842046932667,"[0.3500673476535283,0.35020046521167664,0.35007627755214094]",0.35007627755214094,8192.0,8192.0,5943.0,11264.0
gnr,composition/avx2/local/k11/h0/u16/all/authored-u64-carrier,1,3,"[2111.6577490635073,2111.7095560914177,2115.497793348197]",2111.7095560914177,"[2112.1428181472743,2112.0078711450215,2116.498870132322]",2112.1428181472743,"[0.2577707213212289,0.2577770454213156,0.2582394767270748]",0.2577770454213156,8192.0,8192.0,5943.0,11264.0
gnr,composition/avx2/local/k11/h0/u16/all/materialized,1,3,"[1731.4374899097127,1737.5818089241604,1736.5382064751668]",1736.5382064751668,"[1732.099636125529,1737.8141897306982,1739.3003489591044]",1737.8141897306982,"[0.21135711546749422,0.21210715440968755,0.2119797615326131]",0.2119797615326131,8192.0,8192.0,5943.0,11264.0
gnr,composition/avx2/local/k11/h0/u16/prefilter75/authored,1,3,"[2733.6286763991166,2733.7730692222412,2726.581770114494]",2733.6286763991166,"[2734.2162004590564,2734.0699998089544,2731.251890439923]",2734.0699998089544,"[0.3336949067870016,0.3337125328640431,0.3328346887346795]",0.3336949067870016,8192.0,6144.0,4441.0,11264.0
gnr,composition/avx2/local/k11/h0/u16/prefilter75/authored-u64-carrier,1,3,"[1991.0956771678104,1994.8048891545031,1995.174976521815]",1994.8048891545031,"[1991.9684538548215,1995.5120236746375,1995.446583565048]",1995.446583565048,"[0.24305367152927373,0.24350645619561806,0.2435516328761981]",0.24350645619561806,8192.0,6144.0,4441.0,11264.0
gnr,composition/avx2/local/k11/h0/u16/prefilter75/materialized,1,3,"[1885.3160851847326,1877.344583891799,1877.1377956487013]",1877.344583891799,"[1888.5257977566012,1877.6568782755307,1877.2695260175099]",1877.6568782755307,"[0.23014112367977696,0.22916804002585436,0.2291427973203981]",0.22916804002585436,8192.0,6144.0,4441.0,11264.0
gnr,composition/avx2/local/k12/h0/u16/all/authored,1,3,"[2547.9746996955882,2548.702302181784,2547.357284774186]",2547.9746996955882,"[2548.3219773661226,2549.1973350900125,2547.7153715716527]",2548.3219773661226,"[0.3110320678339341,0.3111208864967998,0.3109566998015364]",0.3110320678339341,8192.0,8192.0,5945.0,12288.0
gnr,composition/avx2/local/k12/h0/u16/all/authored-u64-carrier,1,3,"[1856.4399151024581,1857.2700404589812,1855.4118856536818]",1856.4399151024581,"[1856.735438080659,1857.646030377311,1855.544405381985]",1856.735438080659,"[0.2266162005740305,0.2267175342357155,0.22649070869795918]",0.2266162005740305,8192.0,8192.0,5945.0,12288.0
gnr,composition/avx2/local/k12/h0/u16/all/materialized,1,3,"[1601.4257282886936,1601.8926804689665,1600.685633473734]",1601.4257282886936,"[1601.8972379972963,1602.506298087798,1600.879488826497]",1601.8972379972963,"[0.19548653909774089,0.19554354009630942,0.1953961954923992]",0.19548653909774089,8192.0,8192.0,5945.0,12288.0
gnr,composition/avx2/local/k12/h0/u16/prefilter75/authored,1,3,"[2411.2185628225147,2414.472304213494,2418.1955707454927]",2414.472304213494,"[2411.538035307836,2417.770510763114,2419.318177894925]",2417.770510763114,"[0.29433820346954526,0.2947353886979363,0.2951898890070182]",0.2947353886979363,8192.0,6144.0,4435.0,12288.0
gnr,composition/avx2/local/k12/h0/u16/prefilter75/authored-u64-carrier,1,3,"[1718.1045758860146,1717.5887721884137,1717.0995761931495]",1717.5887721884137,"[1718.487218232925,1718.159953314814,1717.3145384222228]",1718.159953314814,"[0.20972956248608576,0.209666598167531,0.20960688185951531]",0.209666598167531,8192.0,6144.0,4435.0,12288.0
gnr,composition/avx2/local/k12/h0/u16/prefilter75/materialized,1,3,"[1735.3219330392722,1736.3007143301197,1735.7529535996007]",1735.7529535996007,"[1735.6407478809076,1736.683185285841,1737.017665687602]",1736.683185285841,"[0.21183129065420805,0.21195077079225091,0.21188390546870128]",0.21188390546870128,8192.0,6144.0,4435.0,12288.0
gnr,composition/avx2/local/k13/h0/u16/all/authored,1,3,"[2897.9229032458634,2898.3625535969486,2881.2805683866036]",2897.9229032458634,"[2898.719058765985,2899.588106131972,2882.165958949043]",2898.719058765985,"[0.3537503544001298,0.3538040226558775,0.3517188193831303]",0.3537503544001298,8192.0,8192.0,5885.0,13312.0
gnr,composition/avx2/local/k13/h0/u16/all/authored-u64-carrier,1,3,"[2112.9935060994117,2118.853538265455,2114.8811525156525]",2114.8811525156525,"[2113.5388723680344,2122.0725405061057,2116.2480427238297]",2116.2480427238297,"[0.25793377760002584,0.25864911355779485,0.2581642031879459]",0.2581642031879459,8192.0,8192.0,5885.0,13312.0
gnr,composition/avx2/local/k13/h0/u16/all/materialized,1,3,"[1739.136772355703,1735.326034183787,1733.8629675501647]",1735.326034183787,"[1739.3126207522027,1736.252254145066,1734.156205102424]",1736.252254145066,"[0.212296969281702,0.21183179128220053,0.21165319428102597]",0.21183179128220053,8192.0,8192.0,5885.0,13312.0
gnr,composition/avx2/local/k13/h0/u16/prefilter75/authored,1,3,"[2726.3428155056886,2722.850034003704,2718.9482172350145]",2722.850034003704,"[2726.58078305657,2723.464937320189,2723.1521033766926]",2723.464937320189,"[0.3328055194709092,0.33237915454146777,0.3319028585491961]",0.33237915454146777,8192.0,6144.0,4398.0,13312.0
