corpus,operation,cells,rounds,repetition,cells_per_call,ns_per_cell
uniform,bec_encode,1028,972,0,1,25.109466822
uniform,bec_encode,1028,972,1,1,25.131176843
uniform,bec_encode,1028,972,2,1,25.111758619
uniform,bec_encode,1028,972,3,1,25.117092801
uniform,bec_encode,1028,972,4,1,25.079653448
uniform,calico_encode,1028,972,0,1,32.648980801
uniform,calico_encode,1028,972,1,1,32.661266433
uniform,calico_encode,1028,972,2,1,32.653667475
uniform,calico_encode,1028,972,3,1,32.630260124
uniform,calico_encode,1028,972,4,1,32.650458960
uniform,bec_decode,1028,972,0,1,83.522242438
uniform,bec_decode,1028,972,1,1,83.553749139
uniform,bec_decode,1028,972,2,1,83.611946766
uniform,bec_decode,1028,972,3,1,83.603828401
uniform,bec_decode,1028,972,4,1,83.632346760
uniform,calico_decode,1028,972,0,1,84.923440978
uniform,calico_decode,1028,972,1,1,84.923707186
uniform,calico_decode,1028,972,2,1,84.947264655
uniform,calico_decode,1028,972,3,1,84.911271437
uniform,calico_decode,1028,972,4,1,84.933872156
run,bec_encode,1028,972,0,1,25.081770108
run,bec_encode,1028,972,1,1,25.169615979
run,bec_encode,1028,972,2,1,25.145347953
run,bec_encode,1028,972,3,1,25.094055740
run,bec_encode,1028,972,4,1,24.601385486
run,calico_encode,1028,972,0,1,31.651741966
run,calico_encode,1028,972,1,1,31.658283094
run,calico_encode,1028,972,2,1,31.654925462
run,calico_encode,1028,972,3,1,31.663852460
run,calico_encode,1028,972,4,1,31.680540544
run,bec_decode,1028,972,0,1,83.594758290
run,bec_decode,1028,972,1,1,83.557477062
run,bec_decode,1028,972,2,1,83.539836232
run,bec_decode,1028,972,3,1,83.534410978
run,bec_decode,1028,972,4,1,83.563634890
run,calico_decode,1028,972,0,1,84.923044667
run,calico_decode,1028,972,1,1,84.915376655
run,calico_decode,1028,972,2,1,84.898073089
run,calico_decode,1028,972,3,1,84.891205705
run,calico_decode,1028,972,4,1,84.931732478
msmarco-keyset--3/partial,bec_encode,1024,976,0,1,25.186023149
msmarco-keyset--3/partial,bec_encode,1024,976,1,1,25.179916632
msmarco-keyset--3/partial,bec_encode,1024,976,2,1,25.136570665
msmarco-keyset--3/partial,bec_encode,1024,976,3,1,27.528840612
msmarco-keyset--3/partial,bec_encode,1024,976,4,1,27.297430320
msmarco-keyset--3/partial,calico_encode,1024,976,0,1,32.230472752
msmarco-keyset--3/partial,calico_encode,1024,976,1,1,31.756100514
msmarco-keyset--3/partial,calico_encode,1024,976,2,1,31.760680152
msmarco-keyset--3/partial,calico_encode,1024,976,3,1,31.767725210
msmarco-keyset--3/partial,calico_encode,1024,976,4,1,31.758560931
msmarco-keyset--3/partial,bec_decode,1024,976,0,1,83.554500392
msmarco-keyset--3/partial,bec_decode,1024,976,1,1,83.532965988
msmarco-keyset--3/partial,bec_decode,1024,976,2,1,83.551440630
msmarco-keyset--3/partial,bec_decode,1024,976,3,1,83.550638168
msmarco-keyset--3/partial,bec_decode,1024,976,4,1,83.538322074
msmarco-keyset--3/partial,calico_decode,1024,976,0,1,85.001519875
msmarco-keyset--3/partial,calico_decode,1024,976,1,1,85.034673972
msmarco-keyset--3/partial,calico_decode,1024,976,2,1,84.995466389
msmarco-keyset--3/partial,calico_decode,1024,976,3,1,84.961403769
msmarco-keyset--3/partial,calico_decode,1024,976,4,1,84.898071289
msmarco-keyset--3/all,bec_encode,1024,976,0,1,25.132526335
msmarco-keyset--3/all,bec_encode,1024,976,1,1,25.168539079
msmarco-keyset--3/all,bec_encode,1024,976,2,1,25.130151968
msmarco-keyset--3/all,bec_encode,1024,976,3,1,25.134950732
msmarco-keyset--3/all,bec_encode,1024,976,4,1,25.110375576
msmarco-keyset--3/all,calico_encode,1024,976,0,1,31.764199179
msmarco-keyset--3/all,calico_encode,1024,976,1,1,31.741731237
msmarco-keyset--3/all,calico_encode,1024,976,2,1,31.758473881
msmarco-keyset--3/all,calico_encode,1024,976,3,1,31.750315182
msmarco-keyset--3/all,calico_encode,1024,976,4,1,31.736858430
msmarco-keyset--3/all,bec_decode,1024,976,0,1,83.571744325
msmarco-keyset--3/all,bec_decode,1024,976,1,1,83.557459096
msmarco-keyset--3/all,bec_decode,1024,976,2,1,83.608701612
msmarco-keyset--3/all,bec_decode,1024,976,3,1,83.638638856
msmarco-keyset--3/all,bec_decode,1024,976,4,1,83.554359311
msmarco-keyset--3/all,calico_decode,1024,976,0,1,84.900861896
msmarco-keyset--3/all,calico_decode,1024,976,1,1,85.002103211
msmarco-keyset--3/all,calico_decode,1024,976,2,1,84.975056633
msmarco-keyset--3/all,calico_decode,1024,976,3,1,84.941725434
msmarco-keyset--3/all,calico_decode,1024,976,4,1,84.903204246
msmarco-keyset--a/partial,bec_encode,1023,977,0,1,25.088439785
msmarco-keyset--a/partial,bec_encode,1023,977,1,1,25.084383639
msmarco-keyset--a/partial,bec_encode,1023,977,2,1,24.849849570
msmarco-keyset--a/partial,bec_encode,1023,977,3,1,24.894392133
msmarco-keyset--a/partial,bec_encode,1023,977,4,1,24.879675348
msmarco-keyset--a/partial,calico_encode,1023,977,0,1,33.079624121
msmarco-keyset--a/partial,calico_encode,1023,977,1,1,33.105269688
msmarco-keyset--a/partial,calico_encode,1023,977,2,1,33.116021375
msmarco-keyset--a/partial,calico_encode,1023,977,3,1,33.077759135
msmarco-keyset--a/partial,calico_encode,1023,977,4,1,33.117951396
msmarco-keyset--a/partial,bec_decode,1023,977,0,1,83.556157207
msmarco-keyset--a/partial,bec_decode,1023,977,1,1,83.538611926
msmarco-keyset--a/partial,bec_decode,1023,977,2,1,83.552189108
msmarco-keyset--a/partial,bec_decode,1023,977,3,1,83.570274675
msmarco-keyset--a/partial,bec_decode,1023,977,4,1,83.580236945
msmarco-keyset--a/partial,calico_decode,1023,977,0,1,84.981766354
msmarco-keyset--a/partial,calico_decode,1023,977,1,1,84.949556315
msmarco-keyset--a/partial,calico_decode,1023,977,2,1,84.976820738
msmarco-keyset--a/partial,calico_decode,1023,977,3,1,85.000605320
msmarco-keyset--a/partial,calico_decode,1023,977,4,1,85.052167597
msmarco-keyset--a/all,bec_encode,1024,976,0,1,25.121772141
msmarco-keyset--a/all,bec_encode,1024,976,1,1,25.123955398
msmarco-keyset--a/all,bec_encode,1024,976,2,1,25.133121678
msmarco-keyset--a/all,bec_encode,1024,976,3,1,25.117463659
