dataset,first,count,layout,execution,repetition,windows,passes,calls,logical_blocks,metadata_bytes,body_bytes,query_bytes,body_suffix_bytes,checksum,elapsed_ns,ns_per_call,ns_per_block,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,0,256,direct32,inline,0,8,256,2048,524288,8192,60591,65536,512,33621248,13352134,6519.6,25.4672,51579277,61708838,13402630,13402630,available,0,0,unestablished
structural,0,256,direct32,inline,1,8,256,2048,524288,8192,60591,65536,512,33621248,13366592,6526.66,25.4948,51579810,61708837,13374819,13374819,available,0,0,unestablished
structural,0,256,direct32,inline,2,8,256,2048,524288,8192,60591,65536,512,33621248,13476733,6580.44,25.7048,51618500,61708839,13470071,13470071,available,0,0,unestablished
structural,0,256,direct32,inline,3,8,256,2048,524288,8192,60591,65536,512,33621248,13390549,6538.35,25.5404,51577574,61708837,13399334,13399334,available,0,0,unestablished
structural,0,256,direct32,inline,4,8,256,2048,524288,8192,60591,65536,512,33621248,13379611,6533.01,25.5196,51541672,61708837,13387002,13387002,available,0,0,unestablished
structural,0,256,direct32,split,0,8,256,2048,524288,8192,60591,65536,512,33621248,13852227,6763.78,26.421,53432087,70871590,13855927,13855927,available,0,0,unestablished
structural,0,256,direct32,split,1,8,256,2048,524288,8192,60591,65536,512,33621248,13865594,6770.31,26.4465,53449896,70871590,13872395,13872395,available,0,0,unestablished
structural,0,256,direct32,split,2,8,256,2048,524288,8192,60591,65536,512,33621248,13901061,6787.63,26.5142,53455385,70871590,13908890,13908890,available,0,0,unestablished
structural,0,256,direct32,split,3,8,256,2048,524288,8192,60591,65536,512,33621248,13935480,6804.43,26.5798,53428164,70871590,13942122,13942122,available,0,0,unestablished
structural,0,256,direct32,split,4,8,256,2048,524288,8192,60591,65536,512,33621248,13925331,6799.48,26.5605,53415981,70871591,13911373,13911373,available,0,0,unestablished
structural,0,256,local16,inline,0,8,256,2048,524288,4096,60591,65536,512,33621248,14689818,7172.76,28.0186,56040237,66275879,14663727,14663727,available,0,0,unestablished
structural,0,256,local16,inline,1,8,256,2048,524288,4096,60591,65536,512,33621248,14530354,7094.9,27.7145,56041892,66275879,14536298,14536298,available,0,0,unestablished
structural,0,256,local16,inline,2,8,256,2048,524288,4096,60591,65536,512,33621248,14542688,7100.92,27.738,56000553,66275879,14536752,14536752,available,0,0,unestablished
structural,0,256,local16,inline,3,8,256,2048,524288,4096,60591,65536,512,33621248,14506845,7083.42,27.6696,56003505,66275879,14513004,14513004,available,0,0,unestablished
structural,0,256,local16,inline,4,8,256,2048,524288,4096,60591,65536,512,33621248,14513191,7086.52,27.6817,55994122,66275878,14520168,14520168,available,0,0,unestablished
structural,0,256,local16,split,0,8,256,2048,524288,4096,60591,65536,512,33621248,14567811,7113.19,27.7859,56215106,75004455,14574731,14574731,available,0,0,unestablished
structural,0,256,local16,split,1,8,256,2048,524288,4096,60591,65536,512,33621248,14602935,7130.34,27.8529,56214505,75004455,14598427,14598427,available,0,0,unestablished
structural,0,256,local16,split,2,8,256,2048,524288,4096,60591,65536,512,33621248,14566859,7112.72,27.7841,56254430,75004454,14573700,14573700,available,0,0,unestablished
structural,0,256,local16,split,3,8,256,2048,524288,4096,60591,65536,512,33621248,14574530,7116.47,27.7987,56218269,75004455,14582107,14582107,available,0,0,unestablished
structural,0,256,local16,split,4,8,256,2048,524288,4096,60591,65536,512,33621248,14588751,7123.41,27.8258,56216796,75004455,14583733,14583733,available,0,0,unestablished
structural,0,256,scan128,inline,0,8,256,2048,524288,4096,60591,65536,512,33621248,14274125,6969.79,27.2257,55043035,67109415,14280505,14280505,available,0,0,unestablished
structural,0,256,scan128,inline,1,8,256,2048,524288,4096,60591,65536,512,33621248,14303083,6983.93,27.281,55003490,67109414,14309783,14309783,available,0,0,unestablished
structural,0,256,scan128,inline,2,8,256,2048,524288,4096,60591,65536,512,33621248,14243403,6954.79,27.1671,54998719,67109414,14250046,14250046,available,0,0,unestablished
