dataset,mask,operation,configuration,policy,repetition,pairs,passes,calls,selected_slices,bec_decodes,plain_loads,metadata_frames,left_bytes,right_bytes,output_bytes,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,none,intersection,plain,complete,0,8,8192,65536,0,0,0,0,65536,65536,65536,0,9242953,141.036,35585231,4473122,34264042,34264042,available,0,0,unestablished
structural,none,intersection,plain,complete,1,8,8192,65536,0,0,0,0,65536,65536,65536,0,9225598,140.771,35643330,4473121,9230234,9230234,available,0,0,unestablished
structural,none,intersection,plain,complete,2,8,8192,65536,0,0,0,0,65536,65536,65536,0,9218986,140.671,35621645,4473121,9224816,9224816,available,0,0,unestablished
structural,none,intersection,plain,complete,3,8,8192,65536,0,0,0,0,65536,65536,65536,0,9211104,140.55,35595654,4473121,9215560,9215560,available,0,0,unestablished
structural,none,intersection,plain,complete,4,8,8192,65536,0,0,0,0,65536,65536,65536,0,9220135,140.688,35640599,4473121,9225811,9225811,available,0,0,unestablished
structural,none,intersection,plain,selected,0,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5836896,1.39162,22596596,123732254,5851082,5851082,available,0,0,unestablished
structural,none,intersection,plain,selected,1,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5844768,1.3935,22557716,123732254,5850248,5850248,available,0,0,unestablished
structural,none,intersection,plain,selected,2,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5848502,1.39439,22560085,123732254,5854117,5854117,available,0,0,unestablished
structural,none,intersection,plain,selected,3,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5844218,1.39337,22557865,123732254,5849821,5849821,available,0,0,unestablished
structural,none,intersection,plain,selected,4,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5872210,1.40004,22619978,123732255,5877840,5877840,available,0,0,unestablished
structural,none,intersection,local-point,complete,0,8,8192,65536,0,0,0,0,65241,65174,65536,0,9316106,142.152,36096033,6635809,9330442,9330442,available,0,0,unestablished
structural,none,intersection,local-point,complete,1,8,8192,65536,0,0,0,0,65241,65174,65536,0,9349088,142.656,36118696,6635810,9355178,9355178,available,0,0,unestablished
structural,none,intersection,local-point,complete,2,8,8192,65536,0,0,0,0,65241,65174,65536,0,9369069,142.961,36100723,6635810,9363280,9363280,available,0,0,unestablished
structural,none,intersection,local-point,complete,3,8,8192,65536,0,0,0,0,65241,65174,65536,0,9342312,142.552,36039137,6635810,9335428,9335428,available,0,0,unestablished
structural,none,intersection,local-point,complete,4,8,8192,65536,0,0,0,0,65241,65174,65536,0,9573937,146.087,36097312,6635811,9414126,9414126,available,0,0,unestablished
structural,none,intersection,local-frame,complete,0,8,8192,65536,0,0,0,0,65241,65174,65536,0,9281439,141.624,35950043,6635809,9295567,9295567,available,0,0,unestablished
structural,none,intersection,local-frame,complete,1,8,8192,65536,0,0,0,0,65241,65174,65536,0,9350812,142.682,36013086,6635811,9344997,9344997,available,0,0,unestablished
structural,none,intersection,local-frame,complete,2,8,8192,65536,0,0,0,0,65241,65174,65536,0,9380947,143.142,35982497,6635810,9332934,9332934,available,0,0,unestablished
structural,none,intersection,local-frame,complete,3,8,8192,65536,0,0,0,0,65241,65174,65536,0,9300265,141.911,35925757,6635810,9305985,9305985,available,0,0,unestablished
structural,none,intersection,local-frame,complete,4,8,8192,65536,0,0,0,0,65241,65174,65536,0,9331373,142.385,35973527,6635809,9325171,9325171,available,0,0,unestablished
structural,none,intersection,local-frame,selected,0,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,6494847,3.09698,25177832,131072286,6508813,6508813,available,0,0,unestablished
structural,none,intersection,local-frame,selected,1,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,6535339,3.11629,25217825,131072287,6540943,6540943,available,0,0,unestablished
structural,none,intersection,local-frame,selected,2,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,6523882,3.11083,25200102,131072286,6529394,6529394,available,0,0,unestablished
structural,none,intersection,local-frame,selected,3,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,6529785,3.11364,25232692,131072286,6535349,6535349,available,0,0,unestablished
structural,none,intersection,local-frame,selected,4,8,262144,2097152,0,0,0,0,65241,65174,65536,1649965372706586624,6554936,3.12564,25183174,131072288,6549005,6549005,available,0,0,unestablished
structural,none,intersection,local-inline,complete,0,8,8192,65536,0,0,0,0,65241,65174,65536,0,9243545,141.045,35789281,5521698,9257694,9257694,available,0,0,unestablished
structural,none,intersection,local-inline,complete,1,8,8192,65536,0,0,0,0,65241,65174,65536,0,9279977,141.601,35865360,5521697,9285604,9285604,available,0,0,unestablished
structural,none,intersection,local-inline,complete,2,8,8192,65536,0,0,0,0,65241,65174,65536,0,9240119,140.993,35718317,5521697,9246146,9246146,available,0,0,unestablished
structural,none,intersection,local-inline,complete,3,8,8192,65536,0,0,0,0,65241,65174,65536,0,9288609,141.733,35774240,5521699,9282921,9282921,available,0,0,unestablished
structural,none,intersection,local-inline,complete,4,8,8192,65536,0,0,0,0,65241,65174,65536,0,9267177,141.406,35815471,5521697,9272794,9272794,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,0,8,8192,65536,0,0,0,0,65241,65174,65536,0,9316970,142.166,36103517,6635809,9331052,9331052,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,1,8,8192,65536,0,0,0,0,65241,65174,65536,0,9378618,143.106,36114891,6635811,9372775,9372775,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,2,8,8192,65536,0,0,0,0,65241,65174,65536,0,9324274,142.277,36046334,6635809,9329801,9329801,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,3,8,8192,65536,0,0,0,0,65241,65174,65536,0,9314907,142.134,35986141,6635810,9320525,9320525,available,0,0,unestablished
structural,none,intersection,mixed-frame,complete,4,8,8192,65536,0,0,0,0,65241,65174,65536,0,9377096,143.083,36105392,6635809,9364269,9364269,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,0,8,8192,65536,0,0,0,0,65241,65174,65536,0,9292194,141.788,36005941,6635809,9306172,9306172,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,1,8,8192,65536,0,0,0,0,65241,65174,65536,0,9311627,142.084,35998065,6635809,9317210,9317210,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,2,8,8192,65536,0,0,0,0,65241,65174,65536,0,9336816,142.469,36086190,6635809,9342475,9342475,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,3,8,8192,65536,0,0,0,0,65241,65174,65536,0,9339153,142.504,36100727,6635809,9344804,9344804,available,0,0,unestablished
structural,none,intersection,mixed-point-frame,complete,4,8,8192,65536,0,0,0,0,65241,65174,65536,0,9360921,142.836,36055419,6635811,9355127,9355127,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,0,8,8192,65536,0,0,0,0,65241,65174,65536,0,9332668,142.405,35978951,6635810,9320650,9320650,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,1,8,8192,65536,0,0,0,0,65241,65174,65536,0,9320837,142.225,36032925,6635809,9326791,9326791,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,2,8,8192,65536,0,0,0,0,65241,65174,65536,0,9379291,143.117,36127178,6635811,9373276,9373276,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,3,8,8192,65536,0,0,0,0,65241,65174,65536,0,9362575,142.862,36183071,6635809,9368241,9368241,available,0,0,unestablished
structural,none,intersection,mixed-frame-point,complete,4,8,8192,65536,0,0,0,0,65241,65174,65536,0,9342415,142.554,36091493,6635810,9348186,9348186,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,0,8,8192,65536,0,0,0,0,65241,65536,65536,0,9219676,140.681,35723422,6111521,9233908,9233908,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,1,8,8192,65536,0,0,0,0,65241,65536,65536,0,9245803,141.08,35739902,6111521,9251436,9251436,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,2,8,8192,65536,0,0,0,0,65241,65536,65536,0,9250527,141.152,35723866,6111522,9256110,9256110,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,3,8,8192,65536,0,0,0,0,65241,65536,65536,0,9267668,141.413,35827428,6111521,9273274,9273274,available,0,0,unestablished
structural,none,intersection,bec-plain-frame,complete,4,8,8192,65536,0,0,0,0,65241,65536,65536,0,9286766,141.705,35789538,6111522,9280948,9280948,available,0,0,unestablished
structural,none,union,plain,complete,0,8,8192,65536,0,0,0,0,65536,65536,65536,0,9148324,139.592,35445933,4473121,9162313,9162313,available,0,0,unestablished
structural,none,union,plain,complete,1,8,8192,65536,0,0,0,0,65536,65536,65536,0,9187656,140.193,35497392,4473121,9193310,9193310,available,0,0,unestablished
