dataset,model,scan,stage,repetitions,median_ns,min_ns,max_ns,cycles_per_call
census-income,cheap,full,encode,5,2827.87,2818.94,2830.67,10914.82666015625
census-income,cheap,full,predict,5,644.884,642.51,648.464,2489.123291015625
census-income,cheap,full,predict-then-encode,5,3083.54,3080.71,3087.51,11897.31103515625
census-income,cheap,sample32,predict,5,117.791,117.462,118.019,454.39414978027344
census-income,cheap,sample32,predict-then-encode,5,2559.69,2548.76,2576.68,9874.45654296875
census-income,quadrants,full,predict,5,1555.57,1547.77,1579.03,5979.73876953125
census-income,quadrants,full,predict-then-encode,5,4014.62,3980.23,4031.17,15484.4140625
census-income,quadrants,sample32,predict,5,251.5,250.986,252.317,971.8584289550781
census-income,quadrants,sample32,predict-then-encode,5,2694.74,2686.65,2706.96,10397.4892578125
census-income_srt,cheap,full,encode,5,1003.23,999.944,1008.98,3873.79345703125
census-income_srt,cheap,full,predict,5,472.215,471.588,473.836,1822.6331787109375
census-income_srt,cheap,full,predict-then-encode,5,1465.66,1460.26,1477.76,5655.77001953125
census-income_srt,cheap,sample32,predict,5,80.6994,80.4723,81.3896,311.1098327636719
census-income_srt,cheap,sample32,predict-then-encode,5,1077.81,1076.91,1085.27,4164.735595703125
census-income_srt,quadrants,full,predict,5,1214.04,1213.6,1215.52,4692.69873046875
census-income_srt,quadrants,full,predict-then-encode,5,2221.19,2214.94,2230.6,8582.70166015625
census-income_srt,quadrants,sample32,predict,5,200.624,200.146,201.562,774.6124267578125
census-income_srt,quadrants,sample32,predict-then-encode,5,1198.52,1196.63,1202.42,4632.54541015625
census1881,cheap,full,encode,5,2476.85,2475.21,2504.95,9554.7197265625
census1881,cheap,full,predict,5,603.848,602.462,605.83,2334.0241088867188
census1881,cheap,full,predict-then-encode,5,3080.75,3063.73,3087.92,11866.9990234375
census1881,cheap,sample32,predict,5,106.289,106.111,107.671,410.62693786621094
census1881,cheap,sample32,predict-then-encode,5,2579.93,2567.96,2590.26,9952.35205078125
census1881,quadrants,full,predict,5,1466.35,1460.91,1466.89,5659.360107421875
census1881,quadrants,full,predict-then-encode,5,3977.37,3949.66,4062.92,15317.3232421875
census1881,quadrants,sample32,predict,5,235.596,235.082,236.511,908.5323486328125
census1881,quadrants,sample32,predict-then-encode,5,2708.54,2698.05,2709.32,10449.9921875
census1881_srt,cheap,full,encode,5,205.854,205.136,206.165,795.1214599609375
census1881_srt,cheap,full,predict,5,368.337,367.237,368.488,1421.5601196289062
census1881_srt,cheap,full,predict-then-encode,5,560.884,559.917,563.273,2168.5643920898438
census1881_srt,cheap,sample32,predict,5,61.8204,61.2607,61.9321,238.12481689453125
census1881_srt,cheap,sample32,predict-then-encode,5,260.626,259.827,261.412,1006.3207702636719
census1881_srt,quadrants,full,predict,5,1030.45,1027.77,1034.85,3983.0213623046875
census1881_srt,quadrants,full,predict-then-encode,5,1227.77,1227.37,1306.38,4733.7646484375
census1881_srt,quadrants,sample32,predict,5,166.793,166.331,168.532,645.5733337402344
census1881_srt,quadrants,sample32,predict-then-encode,5,369.866,367.281,370.751,1427.9951171875
dimension_003,cheap,full,encode,5,211.484,210.694,211.596,816.5835876464844
dimension_003,cheap,full,predict,5,364.978,364.817,365.127,1408.7200927734375
dimension_003,cheap,full,predict-then-encode,5,565.057,564.287,567.016,2183.6199951171875
dimension_003,cheap,sample32,predict,5,61.6137,61.3725,62.3057,238.05508422851562
dimension_003,cheap,sample32,predict-then-encode,5,265.274,264.286,265.951,1023.5144958496094
dimension_003,quadrants,full,predict,5,1028.15,1026.02,1032.38,3970.3062744140625
dimension_003,quadrants,full,predict-then-encode,5,1229.13,1224.89,1236.31,4741.593994140625
dimension_003,quadrants,sample32,predict,5,166.909,165.768,167.86,643.6044006347656
dimension_003,quadrants,sample32,predict-then-encode,5,375.857,374.395,380.952,1445.0506591796875
dimension_008,cheap,full,encode,5,189.052,188.545,189.649,729.7913818359375
dimension_008,cheap,full,predict,5,360.737,360.085,362.585,1392.6460571289062
dimension_008,cheap,full,predict-then-encode,5,538.631,537.674,539.121,2081.0736694335938
dimension_008,cheap,sample32,predict,5,61.5241,61.1641,61.6572,237.7118377685547
dimension_008,cheap,sample32,predict-then-encode,5,241.033,240.835,241.838,931.0177307128906
dimension_008,quadrants,full,predict,5,1024.2,1019.86,1026.77,3953.755615234375
dimension_008,quadrants,full,predict-then-encode,5,1199.64,1196.61,1202.85,4635.586181640625
dimension_008,quadrants,sample32,predict,5,165.521,164.649,166.35,638.861083984375
dimension_008,quadrants,sample32,predict-then-encode,5,349.732,348.884,351.594,1350.1505737304688
dimension_033,cheap,full,encode,5,246.457,245.481,247.075,951.1590881347656
dimension_033,cheap,full,predict,5,370.593,368.859,372.147,1429.62060546875
dimension_033,cheap,full,predict-then-encode,5,603.292,602.052,605.137,2331.6723022460938
dimension_033,cheap,sample32,predict,5,62.2674,61.8731,62.4924,240.60942840576172
dimension_033,cheap,sample32,predict-then-encode,5,301.283,300.938,303.26,1164.1716918945312
dimension_033,quadrants,full,predict,5,1039.01,1035.69,1043.14,4012.8076171875
dimension_033,quadrants,full,predict-then-encode,5,1275.19,1268.2,1280.56,4915.25537109375
dimension_033,quadrants,sample32,predict,5,168.537,167.777,168.715,650.6361083984375
dimension_033,quadrants,sample32,predict-then-encode,5,410.606,410.429,411.95,1586.8248291015625
msmarco,cheap,full,encode,5,5192.84,5187.16,5228.54,20037.8544921875
msmarco,cheap,full,predict,5,873.145,869.057,885.949,3372.3787841796875
msmarco,cheap,full,predict-then-encode,5,3777.5,3774.79,3788.68,14587.642578125
msmarco,cheap,sample32,predict,5,161.968,160.92,162.616,623.4710388183594
msmarco,cheap,sample32,predict-then-encode,5,3065.2,3058.3,3079.64,11835.90576171875
msmarco,quadrants,full,predict,5,1941.05,1935.89,1948.17,7498.181884765625
msmarco,quadrants,full,predict-then-encode,5,4924.25,4877.52,4931.87,18921.6337890625
msmarco,quadrants,sample32,predict,5,310.283,310.041,310.952,1196.6192626953125
msmarco,quadrants,sample32,predict-then-encode,5,3214.63,3200.6,3231.15,12410.82763671875
random_dense,cheap,full,encode,5,6193.87,6168.08,6308.06,23907.0869140625
random_dense,cheap,full,predict,5,938.979,936.227,942.795,3625.940673828125
random_dense,cheap,full,predict-then-encode,5,940.132,938.209,942.696,3626.4429931640625
random_dense,cheap,sample32,predict,5,178.095,177.15,178.407,685.9723815917969
random_dense,cheap,sample32,predict-then-encode,5,177.768,177.168,178.118,686.2446594238281
random_dense,quadrants,full,predict,5,2058.51,2050.86,2064.25,7956.448486328125
random_dense,quadrants,full,predict-then-encode,5,2061.6,2056.81,2068.48,7967.671630859375
random_dense,quadrants,sample32,predict,5,330.924,329.538,331.341,1277.060302734375
random_dense,quadrants,sample32,predict-then-encode,5,330.398,328.991,331.061,1275.605712890625
structural,cheap,full,encode,5,6104.85,6079.92,6155.81,23576.2392578125
structural,cheap,full,predict,5,950.465,947.91,954.943,3668.792724609375
structural,cheap,full,predict-then-encode,5,948.865,946.538,952.658,3665.172607421875
structural,cheap,sample32,predict,5,177.47,177.311,178.134,684.871826171875
structural,cheap,sample32,predict-then-encode,5,178.224,177.225,179.176,687.5013427734375
structural,quadrants,full,predict,5,2077.58,2060.89,2089.13,7983.705810546875
structural,quadrants,full,predict-then-encode,5,2066.36,2060.74,2072.99,7981.7705078125
structural,quadrants,sample32,predict,5,330.529,330.312,332.734,1276.0040283203125
structural,quadrants,sample32,predict-then-encode,5,331.104,330.494,331.558,1278.4359130859375
terminal_mix,cheap,full,encode,5,1392.47,1387.93,1400.19,5363.761962890625
terminal_mix,cheap,full,predict,5,483.866,483.794,485.746,1869.0039672851562
terminal_mix,cheap,full,predict-then-encode,5,1858.56,1851.06,1872.01,7176.566650390625
terminal_mix,cheap,sample32,predict,5,76.9955,76.7188,77.4199,297.02716064453125
