dataset,model,scan,stage,repetitions,median_ns,min_ns,max_ns,cycles_per_call
census-income,cheap,full,encode,5,3274.13,3260.39,3277.92,9101.01416015625
census-income,cheap,full,predict,5,609.143,608.85,612.77,1695.201171875
census-income,cheap,full,predict-then-encode,5,3472.53,3459.55,3536.53,9657.2861328125
census-income,cheap,sample32,predict,5,104.142,103.774,104.411,289.6182556152344
census-income,cheap,sample32,predict-then-encode,5,2982.78,2978.45,2984.41,8284.9365234375
census-income,quadrants,full,predict,5,1462.09,1455.09,1464.04,4061.2783203125
census-income,quadrants,full,predict-then-encode,5,4337.11,4333.48,4346.71,12063.63818359375
census-income,quadrants,sample32,predict,5,217.316,216.473,217.471,604.4866333007812
census-income,quadrants,sample32,predict-then-encode,5,3092.86,3080.22,3096.21,8598.7666015625
census-income_srt,cheap,full,encode,5,1310.01,1304.2,1321.8,3640.420166015625
census-income_srt,cheap,full,predict,5,414.378,414.051,416.849,1151.7696533203125
census-income_srt,cheap,full,predict-then-encode,5,1706.0,1699.13,1716.1,4742.989501953125
census-income_srt,cheap,sample32,predict,5,73.72,73.4723,73.9461,205.2111587524414
census-income_srt,cheap,sample32,predict-then-encode,5,1384.16,1383.02,1394.95,3846.00732421875
census-income_srt,quadrants,full,predict,5,1325.05,1310.35,1332.56,3672.48681640625
census-income_srt,quadrants,full,predict-then-encode,5,2610.01,2595.73,2629.65,7249.048828125
census-income_srt,quadrants,sample32,predict,5,192.815,191.926,197.507,536.0893859863281
census-income_srt,quadrants,sample32,predict-then-encode,5,1499.59,1492.61,1508.65,4165.28173828125
census1881,cheap,full,encode,5,2820.85,2808.09,2825.15,7838.4345703125
census1881,cheap,full,predict,5,565.13,563.159,568.283,1572.5366821289062
census1881,cheap,full,predict-then-encode,5,3375.82,3360.1,3389.46,9384.474609375
census1881,cheap,sample32,predict,5,96.4352,95.9362,96.867,267.54869079589844
census1881,cheap,sample32,predict-then-encode,5,2923.11,2906.62,2924.56,8117.79052734375
census1881,quadrants,full,predict,5,1442.85,1434.92,1466.6,4005.722900390625
census1881,quadrants,full,predict-then-encode,5,4234.33,4230.1,4257.52,11774.4140625
census1881,quadrants,sample32,predict,5,209.999,209.712,210.651,583.5267639160156
census1881,quadrants,sample32,predict-then-encode,5,3035.06,3031.3,3038.81,8429.03857421875
census1881_srt,cheap,full,encode,5,285.813,285.206,287.392,796.2167053222656
census1881_srt,cheap,full,predict,5,329.397,327.548,332.418,914.8570556640625
census1881_srt,cheap,full,predict-then-encode,5,607.088,605.434,608.956,1687.7689819335938
census1881_srt,cheap,sample32,predict,5,56.7226,56.4851,57.0684,157.64320373535156
census1881_srt,cheap,sample32,predict-then-encode,5,345.299,345.238,346.356,961.2479858398438
census1881_srt,quadrants,full,predict,5,1282.43,1275.93,1283.19,3561.57080078125
census1881_srt,quadrants,full,predict-then-encode,5,1583.24,1575.08,1592.99,4399.52685546875
census1881_srt,quadrants,sample32,predict,5,182.762,181.954,185.042,507.9765625
census1881_srt,quadrants,sample32,predict-then-encode,5,474.004,471.715,476.026,1317.863037109375
dimension_003,cheap,full,encode,5,280.308,278.366,281.588,776.8562927246094
dimension_003,cheap,full,predict,5,330.569,328.787,333.271,917.8130493164062
dimension_003,cheap,full,predict-then-encode,5,599.648,599.544,600.306,1669.0823974609375
dimension_003,cheap,sample32,predict,5,56.3092,56.0755,56.3913,156.67039489746094
dimension_003,cheap,sample32,predict-then-encode,5,341.261,338.789,342.522,949.3401489257812
dimension_003,quadrants,full,predict,5,1280.69,1272.3,1295.13,3553.2099609375
dimension_003,quadrants,full,predict-then-encode,5,1577.69,1567.56,1583.16,4375.67724609375
dimension_003,quadrants,sample32,predict,5,182.003,181.138,183.209,505.8246765136719
dimension_003,quadrants,sample32,predict-then-encode,5,468.962,466.08,471.155,1297.608154296875
dimension_008,cheap,full,encode,5,274.778,273.25,275.826,764.146728515625
dimension_008,cheap,full,predict,5,331.544,329.727,331.815,920.4869384765625
dimension_008,cheap,full,predict-then-encode,5,596.158,595.149,598.25,1659.7781982421875
dimension_008,cheap,sample32,predict,5,55.6053,55.524,55.7874,154.75252532958984
dimension_008,cheap,sample32,predict-then-encode,5,335.9,334.076,336.801,932.69384765625
dimension_008,quadrants,full,predict,5,1280.3,1272.77,1289.5,3554.618896484375
dimension_008,quadrants,full,predict-then-encode,5,1569.65,1563.23,1587.77,4363.77197265625
dimension_008,quadrants,sample32,predict,5,181.156,180.425,181.3,503.56219482421875
dimension_008,quadrants,sample32,predict-then-encode,5,459.838,458.599,460.732,1279.9345703125
dimension_033,cheap,full,encode,5,308.491,308.237,309.546,856.2575073242188
dimension_033,cheap,full,predict,5,331.405,329.39,331.986,920.3373413085938
dimension_033,cheap,full,predict-then-encode,5,639.548,634.738,653.949,1776.850830078125
dimension_033,cheap,sample32,predict,5,56.8705,56.7209,57.1412,158.2148895263672
dimension_033,cheap,sample32,predict-then-encode,5,372.327,368.997,377.379,1028.4822387695312
dimension_033,quadrants,full,predict,5,1280.63,1279.57,1284.49,3553.87744140625
dimension_033,quadrants,full,predict-then-encode,5,1598.2,1592.43,1599.0,4442.108154296875
dimension_033,quadrants,sample32,predict,5,182.495,182.306,182.68,507.0046081542969
dimension_033,quadrants,sample32,predict-then-encode,5,493.643,493.15,495.992,1372.88525390625
msmarco,cheap,full,encode,5,5637.74,5634.61,5653.51,15665.216796875
msmarco,cheap,full,predict,5,834.58,832.385,838.968,2314.08544921875
msmarco,cheap,full,predict-then-encode,5,4088.3,4072.4,4095.75,11373.53564453125
msmarco,cheap,sample32,predict,5,140.794,140.528,140.916,392.16383361816406
msmarco,cheap,sample32,predict-then-encode,5,3400.24,3388.06,3401.72,9455.73779296875
msmarco,quadrants,full,predict,5,1620.36,1613.86,1625.09,4505.581298828125
msmarco,quadrants,full,predict-then-encode,5,4900.06,4863.96,4911.08,13589.4326171875
msmarco,quadrants,sample32,predict,5,244.06,243.773,247.863,678.2886962890625
msmarco,quadrants,sample32,predict-then-encode,5,3501.72,3490.45,3510.16,9738.69384765625
