dataset,mask,operation,configuration,policy,repetition,pairs,passes,calls,selected_slices,bec_decodes,plain_loads,metadata_frames,left_bytes,right_bytes,output_bytes,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,none,intersection,plain,complete,0,8,16384,131072,0,0,0,0,65536,65536,65536,0,6846332,52.2334,28989429,8945952,38927425,38927425,available,0,0,unestablished
structural,none,intersection,plain,complete,1,8,16384,131072,0,0,0,0,65536,65536,65536,0,6547620,49.9544,28975216,8945953,6509692,6509692,available,0,0,unestablished
structural,none,intersection,plain,complete,2,8,16384,131072,0,0,0,0,65536,65536,65536,0,6475309,49.4027,28973724,8945952,6480683,6480683,available,0,0,unestablished
structural,none,intersection,plain,complete,3,8,16384,131072,0,0,0,0,65536,65536,65536,0,6539260,49.8906,28973512,8945951,6491292,6491292,available,0,0,unestablished
structural,none,intersection,plain,complete,4,8,16384,131072,0,0,0,0,65536,65536,65536,0,6558369,50.0364,28975012,8945953,6499383,6499383,available,0,0,unestablished
structural,none,intersection,plain,selected,0,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5636653,1.34388,25172583,123732256,5641372,5641372,available,0,0,unestablished
structural,none,intersection,plain,selected,1,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5652403,1.34764,25173824,123732257,5649362,5649362,available,0,0,unestablished
structural,none,intersection,plain,selected,2,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5620202,1.33996,25171413,123732254,5625651,5625651,available,0,0,unestablished
structural,none,intersection,plain,selected,3,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5632983,1.34301,25171647,123732255,5638123,5638123,available,0,0,unestablished
structural,none,intersection,plain,selected,4,8,524288,4194304,0,0,0,0,65536,65536,65536,1649965372706586624,5657603,1.34888,25172711,123732256,5654552,5654552,available,0,0,unestablished
structural,none,intersection,local-point,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,6805952,51.9253,30547249,13795617,6818963,6818963,available,0,0,unestablished
