dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income,all,intersection,bec-plain-frame,complete,5,3078.89,3066.4,3090.84,13789.28759765625,17.004992875211258
census-income,all,intersection,local-frame,complete,5,3545.74,3539.35,3577.74,15885.14453125,19.583448397750995
census-income,all,intersection,local-frame,selected,5,3543.7,3536.72,3556.99,15882.50537109375,18.915874879897512
census-income,all,intersection,local-inline,complete,5,3352.41,3347.06,3368.82,15024.4619140625,18.515669012139757
census-income,all,intersection,local-point,complete,5,4283.11,4281.32,4301.77,19191.58984375,23.656010781075675
census-income,all,intersection,mixed-frame,complete,5,3553.57,3542.63,3565.11,15874.279296875,19.62669420848568
census-income,all,intersection,mixed-frame-point,complete,5,3920.94,3917.49,3926.74,17566.34033203125,21.655712534105096
census-income,all,intersection,mixed-point-frame,complete,5,4023.05,4012.17,4039.4,18013.50927734375,22.21967546311127
census-income,all,intersection,plain,complete,5,181.058,180.717,181.23,809.4765625,1.0
census-income,all,intersection,plain,selected,5,187.34,186.731,187.952,836.5956115722656,1.0
census-income,all,union,bec-plain-frame,complete,5,3107.4,3102.76,3115.71,13907.05908203125,17.293982112744253
census-income,all,union,local-frame,complete,5,9521.95,9513.51,9548.31,42735.0751953125,52.99363872640958
census-income,all,union,local-frame,selected,5,9520.24,9510.68,9548.99,42726.748046875,50.72943032072767
census-income,all,union,local-inline,complete,5,9407.18,9385.83,9422.07,42216.169921875,52.35489562057201
census-income,all,union,local-point,complete,5,10260.7,10228.8,10304.6,45980.4375,57.10509180158169
census-income,all,union,mixed-frame,complete,5,9522.85,9510.45,9535.04,42713.4013671875,52.99864760325243
census-income,all,union,mixed-frame-point,complete,5,9823.1,9793.92,9872.08,43972.5859375,54.66966457221409
census-income,all,union,mixed-point-frame,complete,5,9966.71,9938.74,9983.92,44631.78515625,55.468914353771396
census-income,all,union,plain,complete,5,179.681,179.407,179.928,802.70166015625,1.0
census-income,all,union,plain,selected,5,187.667,187.104,188.22,839.1795654296875,1.0
census-income,cluster32,intersection,bec-plain-frame,complete,5,411.465,410.972,413.621,1845.8074951171875,6.208346598547591
census-income,cluster32,intersection,local-frame,complete,5,468.653,468.194,470.638,2100.7960815429688,7.071221752637829
census-income,cluster32,intersection,local-frame,selected,5,419.135,417.977,419.261,1880.05419921875,19.405476230160932
census-income,cluster32,intersection,local-inline,complete,5,439.05,438.592,439.306,1968.8641967773438,6.62455998467019
census-income,cluster32,intersection,local-point,complete,5,565.361,564.254,570.044,2536.1775512695312,8.530390291522886
census-income,cluster32,intersection,mixed-frame,complete,5,466.466,464.953,467.813,2089.6148681640625,7.038223431976233
census-income,cluster32,intersection,mixed-frame-point,complete,5,506.814,506.262,509.024,2275.0735473632812,7.6470100081326455
census-income,cluster32,intersection,mixed-point-frame,complete,5,522.69,522.536,522.935,2344.4183959960938,7.886553372935342
census-income,cluster32,intersection,plain,complete,5,66.2761,66.0191,66.54,296.4764633178711,1.0
census-income,cluster32,intersection,plain,selected,5,21.5988,21.5815,21.7477,96.70124053955078,1.0
census-income,cluster32,union,bec-plain-frame,complete,5,413.375,412.493,415.045,1852.8233032226562,6.316324269812287
census-income,cluster32,union,local-frame,complete,5,1222.81,1218.43,1225.28,5474.2872314453125,18.68440152493296
census-income,cluster32,union,local-frame,selected,5,1160.38,1159.11,1165.67,5206.0469970703125,53.574462584028964
census-income,cluster32,union,local-inline,complete,5,1201.59,1198.98,1202.62,5388.07568359375,18.360162272425146
