dataset,first,count,layout,execution,repetitions,median_ns,min_ns,max_ns,cycles_per_call,ratio_to_direct_inline,split_over_inline
census-income,0,256,direct32,inline,5,6768.04,6754.09,6815.63,30164.59521484375,1.0,1.0
census-income,0,256,direct32,split,5,7694.56,7674.24,7741.47,34248.9716796875,0.8795876567341082,1.1368963540404609
census-income,0,256,local16,inline,5,7390.09,7387.55,7401.3,32984.5068359375,0.9158264649009688,1.0
census-income,0,256,local16,split,5,7774.8,7769.4,7792.82,34708.126953125,0.8705098523434687,1.0520575527496958
census-income,0,256,scan128,inline,5,7348.02,7335.08,7374.1,32849.546875,0.9210698936584276,1.0
census-income,0,256,scan128,split,5,7742.79,7737.25,7762.85,34592.134765625,0.8741086869203478,1.0537246768517232
census-income,3,37,direct32,inline,5,1021.01,1020.28,1022.81,4560.936462402344,1.0,1.0
census-income,3,37,direct32,split,5,1137.28,1135.43,1140.42,5079.24267578125,0.8977648424310636,1.1138774350887846
census-income,3,37,local16,inline,5,1097.38,1095.16,1099.6,4894.547119140625,0.9304069693269422,1.0
census-income,3,37,local16,split,5,1153.02,1151.56,1155.17,5148.3104248046875,0.8855093580336855,1.0507025825147167
census-income,3,37,scan128,inline,5,1087.31,1086.28,1088.95,4857.109802246094,0.9390238294506627,1.0
census-income,3,37,scan128,split,5,1152.18,1146.82,1152.74,5135.2769775390625,0.8861549410682358,1.0596609982433713
census-income,15,18,direct32,inline,5,490.901,490.172,491.419,2192.266357421875,1.0,1.0
census-income,15,18,direct32,split,5,538.721,538.349,539.809,2408.419158935547,0.9112342010057154,1.097412716616996
census-income,15,18,local16,inline,5,531.819,530.971,532.138,2374.3880615234375,0.9230602893089567,1.0
census-income,15,18,local16,split,5,555.028,554.954,555.679,2479.90869140625,0.8844616848159012,1.0436407875611817
census-income,15,18,scan128,inline,5,527.46,525.862,529.022,2354.3790283203125,0.9306885830205134,1.0
census-income,15,18,scan128,split,5,551.806,551.023,552.392,2462.7391662597656,0.8896260642327194,1.0461570545633792
census-income,255,1,direct32,inline,5,43.3949,43.0622,43.5087,193.25432586669922,1.0,1.0
census-income,255,1,direct32,split,5,43.1038,43.0794,43.306,192.4153938293457,1.0067534648917265,0.9932918384418445
census-income,255,1,local16,inline,5,58.8023,58.6886,58.8202,262.2188491821289,0.7379796368509395,1.0
census-income,255,1,local16,split,5,58.9623,58.8792,59.0131,263.13866424560547,0.7359770565259497,1.0027209820024046
census-income,255,1,scan128,inline,5,57.9386,57.9036,58.0799,258.70927810668945,0.7489808176241746,1.0
census-income,255,1,scan128,split,5,58.6701,58.4847,59.0608,261.5610237121582,0.7396425095576793,1.0126254345117072
census-income_srt,0,256,direct32,inline,5,6750.12,6740.02,6766.44,30158.783203125,1.0,1.0
census-income_srt,0,256,direct32,split,5,7669.15,7658.52,7687.82,34244.44775390625,0.8801653377492943,1.1361501721450877
census-income_srt,0,256,local16,inline,5,7365.9,7364.9,7383.09,32937.29541015625,0.9164012544291941,1.0
census-income_srt,0,256,local16,split,5,7766.9,7759.72,7785.2,34708.56201171875,0.8690880531486179,1.0544400548473372
census-income_srt,0,256,scan128,inline,5,7324.82,7306.2,7343.98,32729.8310546875,0.9215407341067767,1.0
census-income_srt,0,256,scan128,split,5,7748.52,7730.19,7773.86,34585.29931640625,0.8711495872760217,1.0578444248459349
census-income_srt,3,37,direct32,inline,5,1021.99,1018.64,1024.01,4560.866638183594,1.0,1.0
census-income_srt,3,37,direct32,split,5,1137.71,1136.3,1140.01,5078.297302246094,0.8982869096694236,1.1132300707443321
census-income_srt,3,37,local16,inline,5,1093.93,1092.92,1095.92,4881.354187011719,0.9342371084073021,1.0
census-income_srt,3,37,local16,split,5,1152.78,1152.25,1155.08,5147.395568847656,0.8865438331685144,1.0537968608594699
census-income_srt,3,37,scan128,inline,5,1085.4,1084.48,1089.52,4844.300354003906,0.941579141330385,1.0
census-income_srt,3,37,scan128,split,5,1151.58,1149.44,1157.6,5134.019287109375,0.8874676531374286,1.060972913211719
census-income_srt,15,18,direct32,inline,5,490.228,489.482,490.87,2192.2142944335938,1.0,1.0
census-income_srt,15,18,direct32,split,5,539.17,538.441,540.839,2408.105987548828,0.9092271454272308,1.0998351787331608
