suite,operation,call,provider,layout,width,repetition,cpu,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_unique_payload_lines,payload_lines,required_line_visits,required_line_coverage,coverage_kind,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns,capacity_mode,requested_payload_bytes
bulk,decode,opaque,selected,local,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,39567518,9.43363142,0.03685012273,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,109799158,390107436,8996,39507928,39507928,not_applicable,0
bulk,decode,opaque,selected,local,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,39415633,9.397419214,0.03670866881,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,109834728,390107436,7041,39416539,39416539,not_applicable,0
bulk,decode,opaque,selected,local,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,39387551,9.390723944,0.03668251541,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,109774068,390107436,7654,39405451,39405451,not_applicable,0
bulk,decode,opaque,selected,local,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,39500778,9.417719364,0.03678796627,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,109868956,390107436,6795,39476774,39476774,not_applicable,0
bulk,decode,opaque,selected,local,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,39428589,9.400508165,0.03672073502,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,109828583,390107436,3862,39426103,39426103,not_applicable,0
bulk,encode,opaque,selected,local,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,24604464,5.866161346,0.02291469276,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,68069166,226529580,456821,24547278,24547278,not_applicable,0
bulk,encode,opaque,selected,local,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,24498329,5.840856791,0.02281584684,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,68129862,226529580,464547,24496174,24496174,not_applicable,0
bulk,encode,opaque,selected,local,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,24411341,5.820117235,0.02273483295,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,68092205,226529580,457455,24441462,24441462,not_applicable,0
bulk,encode,opaque,selected,local,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,24457613,5.83114934,0.02277792711,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,68126249,226529580,459601,24466586,24466586,not_applicable,0
bulk,encode,opaque,selected,local,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,24363985,5.808826685,0.02269072924,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,68016123,226529580,451649,24393223,24393223,not_applicable,0
bulk,decode,opaque,prior,local,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,74849088,17.84541321,0.06970864534,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,208709361,775983404,13154,74841756,74841756,not_applicable,0
bulk,decode,opaque,prior,local,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,74836248,17.84235191,0.06969668716,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,208729653,775983404,16454,74863517,74863517,not_applicable,0
bulk,decode,opaque,prior,local,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,74942374,17.86765432,0.0697955247,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,208715732,775983404,14723,74893923,74893923,not_applicable,0
bulk,decode,opaque,prior,local,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,74891845,17.85560727,0.0697484659,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,208673573,775983404,15717,74866792,74866792,not_applicable,0
bulk,decode,opaque,prior,local,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,74829449,17.84073091,0.0696903551,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,208669247,775983404,17456,74826699,74826699,not_applicable,0
bulk,encode,opaque,prior,local,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,23618916,5.631188393,0.02199682966,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,65806178,226529580,566727,23629599,23629599,not_applicable,0
bulk,encode,opaque,prior,local,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,23707409,5.652286768,0.02207924519,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,65806655,226529580,553806,23672395,23672395,not_applicable,0
bulk,encode,opaque,prior,local,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,23581098,5.622171879,0.0219616089,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,65846248,226529580,609677,23610458,23610458,not_applicable,0
bulk,encode,opaque,prior,local,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,23683954,5.64669466,0.02205740102,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,65858969,226529580,602428,23678868,23678868,not_applicable,0
bulk,encode,opaque,prior,local,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,23612734,5.629714489,0.02199107222,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,65827791,226529580,598580,23630301,23630301,not_applicable,0
bulk,decode,opaque,selected,scan,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,23329039,5.56207633,0.02172686066,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,64788624,192975148,1694,23319642,23319642,not_applicable,0
bulk,decode,opaque,selected,scan,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,23188582,5.528588772,0.02159604989,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,64752438,192975148,6442,23220285,23220285,not_applicable,0
bulk,decode,opaque,selected,scan,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,23296168,5.554239273,0.02169624716,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,64779501,192975148,5361,23294384,23294384,not_applicable,0
bulk,decode,opaque,selected,scan,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,23197599,5.530738592,0.02160444763,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,64774379,192975148,6865,23230882,23230882,not_applicable,0
bulk,decode,opaque,selected,scan,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,23309814,5.557492733,0.02170895599,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,64767403,192975148,1223,23308116,23308116,not_applicable,0
bulk,encode,opaque,selected,scan,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,17296713,4.123857737,0.01610881928,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,48180776,130060588,2851353,17314285,17314285,not_applicable,0
bulk,encode,opaque,selected,scan,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,17323710,4.130294323,0.0161339622,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,48363212,130060588,2850606,17353432,17353432,not_applicable,0
bulk,encode,opaque,selected,scan,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,17269169,4.117290735,0.01608316693,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,48204683,130060588,2868325,17302015,17302015,not_applicable,0
bulk,encode,opaque,selected,scan,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,17316829,4.128653765,0.01612755377,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,48355935,130060588,2871578,17346547,17346547,not_applicable,0
bulk,encode,opaque,selected,scan,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,17369220,4.141144753,0.01617634669,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,48228502,130060588,2810232,17362609,17362609,not_applicable,0
bulk,decode,opaque,prior,scan,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,32120145,7.658039331,0.02991421614,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,89305680,230723884,16478476,32089947,32089947,not_applicable,0
bulk,decode,opaque,prior,scan,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,32160058,7.667555332,0.02995138802,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,89334685,230723884,16481327,32139842,32139842,not_applicable,0
bulk,decode,opaque,prior,scan,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,32044638,7.64003706,0.02984389476,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,89308498,230723884,16482705,32051612,32051612,not_applicable,0
bulk,decode,opaque,prior,scan,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,32075992,7.647512436,0.02987309545,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,89320754,230723884,16492188,32079659,32079659,not_applicable,0
bulk,decode,opaque,prior,scan,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,32037144,7.638250351,0.02983691543,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,89292552,230723884,16491074,32045630,32045630,not_applicable,0
bulk,encode,opaque,prior,scan,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,17284272,4.120891571,0.0160972327,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,48143520,167809324,2642763,17302837,17302837,not_applicable,0
bulk,encode,opaque,prior,scan,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,17523415,4.177907705,0.01631995197,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,48145155,167809324,2601362,17453851,17453851,not_applicable,0
bulk,encode,opaque,prior,scan,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,17311540,4.127392769,0.016122628,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,48148519,167809324,2645922,17315965,17315965,not_applicable,0
bulk,encode,opaque,prior,scan,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,17261491,4.115460157,0.01607601624,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,48202924,167809324,2618714,17290509,17290509,not_applicable,0
bulk,encode,opaque,prior,scan,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,17302437,4.125222445,0.01611415017,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,48169902,167809324,2599420,17312378,17312378,not_applicable,0
bulk,decode,opaque,plain,u8,1,0,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,24643726,5.875522137,0.02295125835,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,68785737,100700460,1128358,24677085,24677085,not_applicable,0
bulk,decode,opaque,plain,u8,1,1,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,24727794,5.89556551,0.02302955277,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,68730767,100700460,1114365,24717231,24717231,not_applicable,0
bulk,decode,opaque,plain,u8,1,2,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,24632493,5.872843981,0.0229407968,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,68645922,100700460,1096285,24649702,24649702,not_applicable,0
bulk,decode,opaque,plain,u8,1,3,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,24736583,5.897660971,0.02303773817,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,68772956,100700460,1102730,24729632,24729632,not_applicable,0
bulk,decode,opaque,plain,u8,1,4,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,24673967,5.882732153,0.02297942247,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,68775713,100700460,1113741,24691087,24691087,not_applicable,0
bulk,encode,opaque,plain,u8,1,0,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,25036321,5.969124079,0.02331689093,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,69617168,100700460,1128543,25031170,25031170,not_applicable,0
bulk,encode,opaque,plain,u8,1,1,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,24943053,5.946887255,0.02323002834,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,69645937,100700460,1116562,24973298,24973298,not_applicable,0
bulk,encode,opaque,plain,u8,1,2,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,25033722,5.968504429,0.02331447043,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,69621549,100700460,1115540,25029065,25029065,not_applicable,0
bulk,encode,opaque,plain,u8,1,3,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,24988545,5.957733393,0.02327239607,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,69758427,100700460,1123924,25018372,25018372,not_applicable,0
bulk,encode,opaque,plain,u8,1,4,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,25100412,5.984404564,0.02337658033,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,69752859,100700460,1127376,25094408,25094408,not_applicable,0
bulk,decode,opaque,selected,local,2,0,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,60418116,14.40480137,0.05626875535,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,167988232,624988460,71491,60343199,60343199,not_applicable,0
bulk,decode,opaque,selected,local,2,1,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,60279801,14.3718245,0.05613993946,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,167970968,624988460,78420,60272960,60272960,not_applicable,0
bulk,decode,opaque,selected,local,2,2,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,60259014,14.3668685,0.05612058006,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,167963056,624988460,85462,60252419,60252419,not_applicable,0
bulk,decode,opaque,selected,local,2,3,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,60331047,14.3840425,0.05618766602,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,167929946,624988460,71235,60281929,60281929,not_applicable,0
bulk,decode,opaque,selected,local,2,4,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,60316689,14.38061929,0.05617429409,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,167996437,624988460,85784,60296802,60296802,not_applicable,0
bulk,encode,opaque,selected,local,2,0,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,115652772,27.57376957,0.1077100374,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,322257713,599822636,107382,115614928,115614928,not_applicable,0
bulk,encode,opaque,selected,local,2,1,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,115683735,27.58115172,0.1077388739,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,322239878,599822636,88260,115608231,115608231,not_applicable,0
bulk,encode,opaque,selected,local,2,2,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,115915841,27.63649011,0.1079550395,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,322228789,599822636,96344,115751409,115751409,not_applicable,0
bulk,encode,opaque,selected,local,2,3,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,115885179,27.62917972,0.1079264833,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,322244746,599822636,92596,115742041,115742041,not_applicable,0
bulk,encode,opaque,selected,local,2,4,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,115516121,27.54118943,0.1075827712,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,322237624,599822636,97956,115508809,115508809,not_applicable,0
bulk,decode,opaque,prior,local,2,0,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,120660160,28.7676239,0.1123735309,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,336136166,1430294828,49894,120581032,120581032,not_applicable,0
bulk,decode,opaque,prior,local,2,1,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,120534189,28.73759007,0.1122562112,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,336131581,1430294828,49346,120544097,120544097,not_applicable,0
bulk,decode,opaque,prior,local,2,2,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,120680818,28.77254915,0.1123927701,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,336068876,1430294828,51490,120587361,120587361,not_applicable,0
bulk,decode,opaque,prior,local,2,3,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,120581964,28.74898052,0.1123007052,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,336101467,1430294828,49152,120546985,120546985,not_applicable,0
bulk,decode,opaque,prior,local,2,4,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,120528538,28.73624277,0.1122509483,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,336126895,1430294828,49865,120502939,120502939,not_applicable,0
bulk,encode,opaque,prior,local,2,0,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,123981752,29.55955315,0.1154670045,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,345268922,608211244,130965,123890531,123890531,not_applicable,0
bulk,encode,opaque,prior,local,2,1,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,124097591,29.58717132,0.115574888,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,345087336,608211244,88751,123942411,123942411,not_applicable,0
bulk,encode,opaque,prior,local,2,2,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,123745604,29.50325108,0.1152470745,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,345137272,608211244,90465,123735573,123735573,not_applicable,0
bulk,encode,opaque,prior,local,2,3,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,123752226,29.50482988,0.1152532417,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,345128182,608211244,69182,123731592,123731592,not_applicable,0
bulk,encode,opaque,prior,local,2,4,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,123883016,29.53601265,0.1153750494,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,345112781,608211244,168360,123833380,123833380,not_applicable,0
bulk,decode,opaque,selected,scan,2,0,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,20757972,4.949086189,0.01933236793,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,57956730,180392236,18023,20787882,20787882,not_applicable,0
