case,tiles,values,bytes,phase,rep,sweeps,nanos,ns_per_value,checksum
local-inline,4096,262144,393216,32,0,1024,37593879,0.140048,136907902976
local-inline,4096,262144,393216,32,1,1024,37607069,0.140097,136907902976
local-inline,4096,262144,393216,32,2,1024,37629107,0.140179,136907902976
local-inline,4096,262144,393216,32,3,1024,37597751,0.140063,136907902976
local-inline,4096,262144,393216,32,4,1024,37556329,0.139908,136907902976
local-cps,4096,262144,393216,32,0,512,23235208,0.173116,68453951488
local-cps,4096,262144,393216,32,1,512,23244835,0.173188,68453951488
local-cps,4096,262144,393216,32,2,512,23235815,0.17312,68453951488
local-cps,4096,262144,393216,32,3,512,23229671,0.173075,68453951488
local-cps,4096,262144,393216,32,4,512,23229936,0.173077,68453951488
scan-inline,4096,262144,393216,32,0,1024,31612650,0.117766,136907902976
scan-inline,4096,262144,393216,32,1,1024,31606413,0.117743,136907902976
scan-inline,4096,262144,393216,32,2,1024,31630357,0.117832,136907902976
scan-inline,4096,262144,393216,32,3,1024,31616264,0.11778,136907902976
scan-inline,4096,262144,393216,32,4,1024,31611241,0.117761,136907902976
scan-cps,4096,262144,393216,32,0,512,21764473,0.162158,68453951488
scan-cps,4096,262144,393216,32,1,512,21785105,0.162312,68453951488
scan-cps,4096,262144,393216,32,2,512,21766146,0.16217,68453951488
scan-cps,4096,262144,393216,32,3,512,21810278,0.162499,68453951488
scan-cps,4096,262144,393216,32,4,512,21763912,0.162154,68453951488
scan-middle-inline,4096,262144,393216,32,0,1024,31646175,0.117891,136907902976
scan-middle-inline,4096,262144,393216,32,1,1024,31619449,0.117792,136907902976
scan-middle-inline,4096,262144,393216,32,2,1024,31614228,0.117772,136907902976
scan-middle-inline,4096,262144,393216,32,3,1024,31690405,0.118056,136907902976
scan-middle-inline,4096,262144,393216,32,4,1024,31604517,0.117736,136907902976
scan-middle-cps,4096,262144,393216,32,0,512,24841903,0.185087,68453951488
scan-middle-cps,4096,262144,393216,32,1,512,24768125,0.184537,68453951488
scan-middle-cps,4096,262144,393216,32,2,512,24777201,0.184605,68453951488
scan-middle-cps,4096,262144,393216,32,3,512,24771358,0.184561,68453951488
scan-middle-cps,4096,262144,393216,32,4,512,24832147,0.185014,68453951488
