width,operation,native_bytes,repetition,tiles,rounds,ns_per512values
1,decode,32,0,512,8192,8.72960234
1,decode,32,1,512,8192,8.72137165
1,decode,32,2,512,8192,8.72973537
1,decode,32,3,512,8192,8.71322560
1,decode,32,4,512,8192,8.74170876
1,decode,64,0,512,8192,9.04162669
1,decode,64,1,512,8192,9.03721070
1,decode,64,2,512,8192,9.03794885
1,decode,64,3,512,8192,9.04495072
1,decode,64,4,512,8192,9.03781486
1,encode,32,0,512,8192,5.34836125
1,encode,32,1,512,8192,5.34124684
1,encode,32,2,512,8192,5.34274817
1,encode,32,3,512,8192,5.34090400
1,encode,32,4,512,8192,5.34233332
1,encode,64,0,512,8192,5.21178174
1,encode,64,1,512,8192,5.05971527
1,encode,64,2,512,8192,5.20685720
1,encode,64,3,512,8192,5.13678336
1,encode,64,4,512,8192,5.14257431
2,decode,32,0,512,8192,9.05383158
2,decode,32,1,512,8192,9.05811334
2,decode,32,2,512,8192,9.06381488
2,decode,32,3,512,8192,9.05273557
2,decode,32,4,512,8192,9.06647849
2,decode,64,0,512,8192,9.28383517
2,decode,64,1,512,8192,9.27551031
2,decode,64,2,512,8192,9.28338766
2,decode,64,3,512,8192,9.27452254
2,decode,64,4,512,8192,9.26852179
2,encode,32,0,512,8192,5.60260057
2,encode,32,1,512,8192,5.60199833
2,encode,32,2,512,8192,5.59805083
2,encode,32,3,512,8192,5.60051656
2,encode,32,4,512,8192,5.60391212
2,encode,64,0,512,8192,5.67149019
2,encode,64,1,512,8192,5.66862869
2,encode,64,2,512,8192,5.62901831
2,encode,64,3,512,8192,5.51844645
2,encode,64,4,512,8192,5.51481056
4,decode,32,0,512,8192,9.57009768
4,decode,32,1,512,8192,9.56034088
4,decode,32,2,512,8192,9.57404590
4,decode,32,3,512,8192,9.56308150
4,decode,32,4,512,8192,9.55967617
4,decode,64,0,512,8192,9.93278217
4,decode,64,1,512,8192,9.92784595
4,decode,64,2,512,8192,9.92890215
4,decode,64,3,512,8192,9.92995310
4,decode,64,4,512,8192,9.92976952
4,encode,32,0,512,8192,6.70980763
4,encode,32,1,512,8192,6.71647930
4,encode,32,2,512,8192,6.70800614
4,encode,32,3,512,8192,6.70294094
4,encode,32,4,512,8192,6.70543742
4,encode,64,0,512,8192,6.89423299
4,encode,64,1,512,8192,6.88031030
4,encode,64,2,512,8192,6.88675666
4,encode,64,3,512,8192,6.88034749
4,encode,64,4,512,8192,6.88968778
