suite,operation,call,provider,layout,width,repetition,cpu,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_unique_payload_lines,payload_lines,required_line_visits,required_line_coverage,coverage_kind,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns,capacity_mode,requested_payload_bytes
bulk,decode,opaque,selected,scan,5,0,0,262144,16777216,256,16384,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,31129907,1.855487049,0.007247996284,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,138177516,721568110,535,51536780,51536780,not_applicable,0
bulk,decode,opaque,selected,scan,5,1,0,262144,16777216,256,16384,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,31314517,1.866490662,0.007290979149,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,138559553,721568112,1120,31227606,31227606,not_applicable,0
bulk,decode,opaque,selected,scan,5,2,0,262144,16777216,256,16384,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,31281517,1.864523709,0.007283295738,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,138313221,721568110,930,31179496,31179496,not_applicable,0
bulk,decode,opaque,selected,scan,5,3,0,262144,16777216,256,16384,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,31149277,1.856641591,0.007252506213,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,138030565,721568114,592,31081256,31081256,not_applicable,0
bulk,decode,opaque,selected,scan,5,4,0,262144,16777216,256,16384,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,31343077,1.868192971,0.007297628792,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,138773675,721568113,518,31308547,31308547,not_applicable,0
bulk,encode,opaque,selected,scan,5,0,0,262144,16777216,256,16384,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,34315301,2.045351326,0.007989653619,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,152316486,570573172,809,34250458,34250458,not_applicable,0
bulk,encode,opaque,selected,scan,5,1,0,262144,16777216,256,16384,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,34270141,2.042659581,0.007979138987,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,152277190,570573169,652,34261270,34261270,not_applicable,0
bulk,encode,opaque,selected,scan,5,2,0,262144,16777216,256,16384,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,34290991,2.043902338,0.007983993506,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,152267474,570573171,822,34238959,34238959,not_applicable,0
bulk,encode,opaque,selected,scan,5,3,0,262144,16777216,256,16384,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,34273301,2.042847931,0.007979874732,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,152337858,570573171,587,34266380,34266380,not_applicable,0
bulk,encode,opaque,selected,scan,5,4,0,262144,16777216,256,16384,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,34162111,2.036220491,0.007953986293,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,152268747,570573170,304,34183370,34183370,not_applicable,0
bulk,decode,opaque,prior,scan,5,0,0,262144,16777216,256,16384,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,31033297,1.849728644,0.007225502515,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,138044995,788676975,141,31028586,31028586,not_applicable,0
bulk,decode,opaque,prior,scan,5,1,0,262144,16777216,256,16384,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,31049056,1.850667953,0.007229171693,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,137953672,788676974,256,31036005,31036005,not_applicable,0
bulk,decode,opaque,prior,scan,5,2,0,262144,16777216,256,16384,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,31105626,1.854039788,0.007242342923,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,137942672,788676974,441,31111216,31111216,not_applicable,0
bulk,decode,opaque,prior,scan,5,3,0,262144,16777216,256,16384,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,31250927,1.862700403,0.007276173448,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,138107955,788676974,528,31187406,31187406,not_applicable,0
bulk,decode,opaque,prior,scan,5,4,0,262144,16777216,256,16384,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,31167897,1.857751429,0.00725684152,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,138166826,788676976,219,31152926,31152926,not_applicable,0
bulk,encode,opaque,prior,scan,5,0,0,262144,16777216,256,16384,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,31234697,1.861733019,0.007272394607,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,138755788,721568110,45,31242936,31242936,not_applicable,0
bulk,encode,opaque,prior,scan,5,1,0,262144,16777216,256,16384,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,31216726,1.860661864,0.007268210407,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,138339502,721568111,505,31199386,31199386,not_applicable,0
bulk,encode,opaque,prior,scan,5,2,0,262144,16777216,256,16384,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,31239846,1.862039924,0.007273593452,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,139141147,721568110,368,31258786,31258786,not_applicable,0
bulk,encode,opaque,prior,scan,5,3,0,262144,16777216,256,16384,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,31265607,1.863575399,0.007279591402,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,138974934,721568113,436,31266926,31266926,not_applicable,0
bulk,encode,opaque,prior,scan,5,4,0,262144,16777216,256,16384,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,31342017,1.86812979,0.007297381992,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,139262746,721568112,482,31343696,31343696,not_applicable,0
bulk,decode,opaque,plain,u8,5,0,0,262144,16777216,256,16384,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,41510302,2.474206805,0.009664870333,4064332,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,184247641,285360509,1570,41416308,41416308,not_applicable,0
bulk,decode,opaque,plain,u8,5,1,0,262144,16777216,256,16384,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,39126379,2.332113922,0.009109820006,4064332,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,174071972,285360503,780,39111444,39111444,not_applicable,0
bulk,decode,opaque,plain,u8,5,2,0,262144,16777216,256,16384,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,39136438,2.332713485,0.00911216205,4064332,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,174183389,285360505,881,39123315,39123315,not_applicable,0
bulk,decode,opaque,plain,u8,5,3,0,262144,16777216,256,16384,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,40909331,2.438386142,0.009524945868,4064332,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,182029789,285360507,1211,40884306,40884306,not_applicable,0
bulk,decode,opaque,plain,u8,5,4,0,262144,16777216,256,16384,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,39274759,2.340958059,0.009144367417,4064332,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,174440114,285360504,798,39259495,39259495,not_applicable,0
bulk,encode,opaque,plain,u8,5,0,0,262144,16777216,256,16384,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,31640667,1.885930717,0.007366916863,4064332,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,140272965,285360496,1426,31563287,31563287,not_applicable,0
bulk,encode,opaque,plain,u8,5,1,0,262144,16777216,256,16384,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,31556997,1.880943596,0.007347435923,4064332,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,140408458,285360495,1120,31538136,31538136,not_applicable,0
bulk,encode,opaque,plain,u8,5,2,0,262144,16777216,256,16384,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,31501727,1.877649248,0.007334567374,4064332,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,140156645,285360495,941,31501586,31501586,not_applicable,0
bulk,encode,opaque,plain,u8,5,3,0,262144,16777216,256,16384,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,31448746,1.874491334,0.007322231773,4064332,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,140284031,285360494,465,31458336,31458336,not_applicable,0
bulk,encode,opaque,plain,u8,5,4,0,262144,16777216,256,16384,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,31505167,1.877854288,0.007335368311,4064332,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,140398208,285360495,917,31505347,31505347,not_applicable,0
