suite,operation,call,provider,layout,width,repetition,cpu,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_unique_payload_lines,payload_lines,required_line_visits,required_line_coverage,coverage_kind,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns,capacity_mode,requested_payload_bytes
bulk,decode,opaque,selected,scan,5,0,0,262144,8388608,256,8192,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,15869443,1.891785026,0.007389785256,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,69765084,360784220,1848,51974330,51974330,not_applicable,0
bulk,decode,opaque,selected,scan,5,1,0,262144,8388608,256,8192,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,15618463,1.861865878,0.007272913586,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,69078242,360784218,1495,15623578,15623578,not_applicable,0
bulk,decode,opaque,selected,scan,5,2,0,262144,8388608,256,8192,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,15691084,1.870522976,0.007306730375,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,69191955,360784218,857,15687108,15687108,not_applicable,0
bulk,decode,opaque,selected,scan,5,3,0,262144,8388608,256,8192,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,16080874,1.916989565,0.007488240488,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,70466087,360784220,1880,16006669,16006669,not_applicable,0
bulk,decode,opaque,selected,scan,5,4,0,262144,8388608,256,8192,124196584364,124196584364,163840,163840,262144,425984,32,0,7168,64,4096,15784533,1.881662965,0.007350245956,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,69705602,360784219,855,15792258,15792258,not_applicable,0
bulk,encode,opaque,selected,scan,5,0,0,262144,8388608,256,8192,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,17216865,2.052410245,0.008017227519,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,76141813,285286749,525,17225780,17225780,not_applicable,0
bulk,encode,opaque,selected,scan,5,1,0,262144,8388608,256,8192,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,17313896,2.063977242,0.0080624111,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,76125208,285286750,1127,17293590,17293590,not_applicable,0
bulk,encode,opaque,selected,scan,5,2,0,262144,8388608,256,8192,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,17239986,2.055166483,0.008027994074,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,76125335,285286749,934,17248630,17248630,not_applicable,0
bulk,encode,opaque,selected,scan,5,3,0,262144,8388608,256,8192,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,17296136,2.061860085,0.008054140955,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,76141595,285286750,875,17289660,17289660,not_applicable,0
bulk,encode,opaque,selected,scan,5,4,0,262144,8388608,256,8192,124196584364,124196584364,163840,262144,163840,425984,32,0,7168,64,4096,17327456,2.065593719,0.008068725467,4064332,0,0,0,0,2560,2560,0,1,full_sequential_extent,unestablished,0,0,available,76131941,285286749,1256,17299780,17299780,not_applicable,0
