suite,operation,call,provider,layout,width,repetition,cpu,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_unique_payload_lines,payload_lines,required_line_visits,required_line_coverage,coverage_kind,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns,capacity_mode,requested_payload_bytes
bulk,decode,opaque,selected,scan,7,0,0,262144,16777216,256,16384,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,37540387,2.237581432,0.008740552468,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,166002439,654459256,3005,37549215,37549215,not_applicable,0
bulk,decode,opaque,selected,scan,7,1,0,262144,16777216,256,16384,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,37605177,2.241443217,0.008755637566,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,165993170,654459255,1954,37575733,37575733,not_applicable,0
bulk,decode,opaque,selected,scan,7,2,0,262144,16777216,256,16384,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,37466657,2.233186781,0.008723385865,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,165994047,654459255,730,37475395,37475395,not_applicable,0
bulk,decode,opaque,selected,scan,7,3,0,262144,16777216,256,16384,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,37528447,2.236869752,0.00873777247,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,165987772,654459255,859,37505044,37505044,not_applicable,0
bulk,decode,opaque,selected,scan,7,4,0,262144,16777216,256,16384,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,37656906,2.244526505,0.008767681662,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,165991710,654459255,1854,37564614,37564614,not_applicable,0
bulk,decode,opaque,prior,scan,7,0,0,262144,16777216,256,16384,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,31282592,1.864587784,0.007283546031,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,138638457,872563054,421,31306222,31306222,not_applicable,0
bulk,decode,opaque,prior,scan,7,1,0,262144,16777216,256,16384,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,31480243,1.876368701,0.00732956524,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,138797606,872563056,2068,31391062,31391062,not_applicable,0
bulk,decode,opaque,prior,scan,7,2,0,262144,16777216,256,16384,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,31512753,1.878306448,0.007337134564,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,138986978,872563055,1550,31483972,31483972,not_applicable,0
bulk,decode,opaque,prior,scan,7,3,0,262144,16777216,256,16384,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,31488292,1.876848459,0.007331439294,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,138217600,872563061,4763,31333232,31333232,not_applicable,0
bulk,decode,opaque,prior,scan,7,4,0,262144,16777216,256,16384,124196584364,124196584364,229376,229376,262144,491520,32,0,7168,64,4096,31655762,1.886830449,0.007370431442,16658700,0,0,0,0,3584,3584,0,1,full_sequential_extent,unestablished,0,0,available,138869700,872563058,2377,31508742,31508742,not_applicable,0
