suite,operation,call,provider,layout,width,repetition,cpu,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_unique_payload_lines,payload_lines,required_line_visits,required_line_coverage,coverage_kind,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns,capacity_mode,requested_payload_bytes
capacity,dependent,opaque,selected,scan,5,0,0,1024,1048576,1,1,10723128554898435005,124196584364,640,640,0,640,32,0,13320,64,4096,9531159,9.089621544,9.089621544,16184918,0,396966060952036299,536791839,2384463794920098448,10,10,1442172,1,required_bytes_exact_trace,unestablished,0,0,available,36932239,53477734,0,9548872,9548872,fixed_logical,0
capacity,dependent,opaque,selected,scan,5,1,0,1024,1048576,1,1,12186166145150884479,124196584364,640,640,0,640,32,0,13320,64,4096,9583399,9.13944149,9.13944149,16175006,0,16423297550612187154,536570545,5311371214266427684,10,10,1441144,1,required_bytes_exact_trace,unestablished,0,0,available,36886949,53474003,0,9560689,9560689,fixed_logical,0
capacity,dependent,opaque,selected,scan,5,2,0,1024,1048576,1,1,1662609931548137281,124196584364,640,640,0,640,32,0,13320,64,4096,9522038,9.08092308,9.08092308,16183674,0,18124130541381359191,536707384,6061101884435225082,10,10,1442601,1,required_bytes_exact_trace,unestablished,0,0,available,36878206,53482385,0,9540234,9540234,fixed_logical,0
capacity,independent,opaque,selected,scan,5,0,0,1024,1048576,1,1,16047773564640954524,124196584364,640,640,0,640,32,0,13320,64,4096,8490545,8.097214699,8.097214699,16182189,0,2536368530834903231,536971255,12647349066912223617,10,10,1441494,1,required_bytes_exact_trace,unestablished,0,0,available,32904764,36176321,0,8507762,8507762,fixed_logical,0
capacity,independent,opaque,selected,scan,5,1,0,1024,1048576,1,1,6547916387875995305,124196584364,640,640,0,640,32,0,13320,64,4096,8538881,8.143311501,8.143311501,16180362,0,5596339621991546811,536269420,17736111691341175802,10,10,1441106,1,required_bytes_exact_trace,unestablished,0,0,available,32924984,36174943,0,8543197,8543197,fixed_logical,0
capacity,independent,opaque,selected,scan,5,2,0,1024,1048576,1,1,4924242711286987153,124196584364,640,640,0,640,32,0,13320,64,4096,8496194,8.102602005,8.102602005,16198737,0,7930023764644803916,535851351,7090894975531352993,10,10,1441730,1,required_bytes_exact_trace,unestablished,0,0,available,32918165,36173723,0,8515632,8515632,fixed_logical,0
capacity,get16,opaque,selected,scan,5,0,0,1024,1048576,16,1,10604474752609077526,124196584364,640,640,0,640,32,0,13320,64,4096,6676365,6.367077827,0.3979423642,7932683326286509364,13589345281746558193,2958188795243200084,527867888,3685139399635412849,10,10,1442756,1,required_bytes_exact_trace,unestablished,0,0,available,25848436,40507014,0,6693683,6693683,fixed_logical,0
capacity,get16,opaque,selected,scan,5,1,0,1024,1048576,16,1,4455807286219683008,124196584364,640,640,0,640,32,0,13320,64,4096,6677101,6.367779732,0.3979862332,3727689734448516030,321112411999530484,11434267382186114624,528497168,13175186937165164107,10,10,1442491,1,required_bytes_exact_trace,unestablished,0,0,available,25866076,40506048,0,6696294,6696294,fixed_logical,0
capacity,get16,opaque,selected,scan,5,2,0,1024,1048576,16,1,4164539054881745388,124196584364,640,640,0,640,32,0,13320,64,4096,6718961,6.407700539,0.4004812837,15965711690061712881,16432200677820083289,10031233188605370912,528112368,15123120068108225953,10,10,1441584,1,required_bytes_exact_trace,unestablished,0,0,available,25880486,40500785,0,6723268,6723268,fixed_logical,0
capacity,dependent,opaque,prior,scan,5,0,0,1024,1048576,1,1,10723128554898435005,124196584364,640,640,0,640,32,0,13320,64,4096,9376654,8.942274094,8.942274094,16184918,0,396966060952036299,536791839,2384463794920098448,10,10,1507083,1,required_bytes_exact_trace,unestablished,0,0,available,36305416,51380583,0,9394600,9394600,fixed_logical,0
capacity,dependent,opaque,prior,scan,5,1,0,1024,1048576,1,1,12186166145150884479,124196584364,640,640,0,640,32,0,13320,64,4096,9387628,8.952739716,8.952739716,16175006,0,16423297550612187154,536570545,5311371214266427684,10,10,1506552,1,required_bytes_exact_trace,unestablished,0,0,available,36379909,51376850,0,9406468,9406468,fixed_logical,0
