suite,operation,call,provider,layout,width,repetition,cpu,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_unique_payload_lines,payload_lines,required_line_visits,required_line_coverage,coverage_kind,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns,capacity_mode,requested_payload_bytes
capacity,dependent,opaque,selected,scan,5,0,0,1024,1048576,1,1,10723128554898435005,124196584364,640,640,0,640,32,0,13320,64,4096,9275880,8.846168518,8.846168518,16184918,0,396966060952036299,536791839,2384463794920098448,10,10,1442172,1,required_bytes_exact_trace,unestablished,0,0,available,25739708,45089101,39,9286494,9286494,fixed_logical,0
capacity,dependent,opaque,selected,scan,5,1,0,1024,1048576,1,1,12186166145150884479,124196584364,640,640,0,640,32,0,13320,64,4096,9213766,8.786931992,8.786931992,16175006,0,16423297550612187154,536570545,5311371214266427684,10,10,1441144,1,required_bytes_exact_trace,unestablished,0,0,available,25734684,45085369,33,9243427,9243427,fixed_logical,0
capacity,dependent,opaque,selected,scan,5,2,0,1024,1048576,1,1,1662609931548137281,124196584364,640,640,0,640,32,0,13320,64,4096,9266633,8.837349892,8.837349892,16183674,0,18124130541381359191,536707384,6061101884435225082,10,10,1442601,1,required_bytes_exact_trace,unestablished,0,0,available,25744348,45093751,39,9278338,9278338,fixed_logical,0
capacity,independent,opaque,selected,scan,5,0,0,1024,1048576,1,1,16047773564640954524,124196584364,640,640,0,640,32,0,13320,64,4096,4535141,4.325047493,4.325047493,16182189,0,2536368530834903231,536971255,12647349066912223617,10,10,1441494,1,required_bytes_exact_trace,unestablished,0,0,available,12668891,34341254,28,4573736,4573736,fixed_logical,0
capacity,independent,opaque,selected,scan,5,1,0,1024,1048576,1,1,6547916387875995305,124196584364,640,640,0,640,32,0,13320,64,4096,4547907,4.337222099,4.337222099,16180362,0,5596339621991546811,536269420,17736111691341175802,10,10,1441106,1,required_bytes_exact_trace,unestablished,0,0,available,12634976,34339874,32,4584662,4584662,fixed_logical,0
capacity,independent,opaque,selected,scan,5,2,0,1024,1048576,1,1,4924242711286987153,124196584364,640,640,0,640,32,0,13320,64,4096,4527955,4.318194389,4.318194389,16198737,0,7930023764644803916,535851351,7090894975531352993,10,10,1441730,1,required_bytes_exact_trace,unestablished,0,0,available,12644382,34338656,29,4563272,4563272,fixed_logical,0
capacity,get16,opaque,selected,scan,5,0,0,1024,1048576,16,1,10604474752609077526,124196584364,640,640,0,640,32,0,13320,64,4096,5246654,5.003599167,0.3127249479,7932683326286509364,13589345281746558193,2958188795243200084,527867888,3685139399635412849,10,10,1442756,1,required_bytes_exact_trace,unestablished,0,0,available,14656925,43917117,33,5281671,5281671,fixed_logical,0
capacity,get16,opaque,selected,scan,5,1,0,1024,1048576,16,1,4455807286219683008,124196584364,640,640,0,640,32,0,13320,64,4096,5348035,5.100283623,0.3187677264,3727689734448516030,321112411999530484,11434267382186114624,528497168,13175186937165164107,10,10,1442491,1,required_bytes_exact_trace,unestablished,0,0,available,14677603,43915737,43,5339980,5339980,fixed_logical,0
capacity,get16,opaque,selected,scan,5,2,0,1024,1048576,16,1,4164539054881745388,124196584364,640,640,0,640,32,0,13320,64,4096,5249764,5.006565094,0.3129103184,15965711690061712881,16432200677820083289,10031233188605370912,528112368,15123120068108225953,10,10,1441584,1,required_bytes_exact_trace,unestablished,0,0,available,14660447,43908217,30,5280202,5280202,fixed_logical,0
capacity,dependent,opaque,prior,scan,5,0,0,1024,1048576,1,1,10723128554898435005,124196584364,640,640,0,640,32,0,13320,64,4096,13489439,12.86453152,12.86453152,16184918,0,396966060952036299,536791839,2384463794920098448,10,10,1507083,1,required_bytes_exact_trace,unestablished,0,0,available,37656938,46399715,30,13520861,13520861,fixed_logical,0
capacity,dependent,opaque,prior,scan,5,1,0,1024,1048576,1,1,12186166145150884479,124196584364,640,640,0,640,32,0,13320,64,4096,13474769,12.85054111,12.85054111,16175006,0,16423297550612187154,536570545,5311371214266427684,10,10,1506552,1,required_bytes_exact_trace,unestablished,0,0,available,37634987,46397389,32,13507549,13507549,fixed_logical,0
capacity,dependent,opaque,prior,scan,5,2,0,1024,1048576,1,1,1662609931548137281,124196584364,640,640,0,640,32,0,13320,64,4096,13484194,12.8595295,12.8595295,16183674,0,18124130541381359191,536707384,6061101884435225082,10,10,1507853,1,required_bytes_exact_trace,unestablished,0,0,available,37657843,46402720,30,13516528,13516528,fixed_logical,0
capacity,independent,opaque,prior,scan,5,0,0,1024,1048576,1,1,16047773564640954524,124196584364,640,640,0,640,32,0,13320,64,4096,8686752,8.284332275,8.284332275,16182189,0,2536368530834903231,536971255,12647349066912223617,10,10,1507374,1,required_bytes_exact_trace,unestablished,0,0,available,24239450,35652079,30,8727734,8727734,fixed_logical,0
capacity,independent,opaque,prior,scan,5,1,0,1024,1048576,1,1,6547916387875995305,124196584364,640,640,0,640,32,0,13320,64,4096,8728544,8.324188232,8.324188232,16180362,0,5596339621991546811,536269420,17736111691341175802,10,10,1507190,1,required_bytes_exact_trace,unestablished,0,0,available,24210447,35651158,35,8738269,8738269,fixed_logical,0
capacity,independent,opaque,prior,scan,5,2,0,1024,1048576,1,1,4924242711286987153,124196584364,640,640,0,640,32,0,13320,64,4096,8652483,8.25165081,8.25165081,16198737,0,7930023764644803916,535851351,7090894975531352993,10,10,1507148,1,required_bytes_exact_trace,unestablished,0,0,available,24170874,35650425,28,8681797,8681797,fixed_logical,0
capacity,get16,opaque,prior,scan,5,0,0,1024,1048576,16,1,10604474752609077526,124196584364,640,640,0,640,32,0,13320,64,4096,7129376,6.799102783,0.424943924,7932683326286509364,13589345281746558193,2958188795243200084,527867888,3685139399635412849,10,10,1507917,1,required_bytes_exact_trace,unestablished,0,0,available,19911938,42342245,30,7165942,7165942,fixed_logical,0
capacity,get16,opaque,prior,scan,5,1,0,1024,1048576,16,1,4455807286219683008,124196584364,640,640,0,640,32,0,13320,64,4096,7121702,6.791784286,0.4244865179,3727689734448516030,321112411999530484,11434267382186114624,528497168,13175186937165164107,10,10,1508145,1,required_bytes_exact_trace,unestablished,0,0,available,19890724,42342714,28,7158501,7158501,fixed_logical,0
capacity,get16,opaque,prior,scan,5,2,0,1024,1048576,16,1,4164539054881745388,124196584364,640,640,0,640,32,0,13320,64,4096,7122108,6.792171478,0.4245107174,15965711690061712881,16432200677820083289,10031233188605370912,528112368,15123120068108225953,10,10,1507470,1,required_bytes_exact_trace,unestablished,0,0,available,19891696,42335245,27,7161066,7161066,fixed_logical,0
capacity,dependent,opaque,selected,scan,5,0,0,1073741824,1048576,1,1,6539679214098658520,124196584364,671088640,671088640,0,671088640,32,0,1324032,64,4096,166371220,158.6639595,158.6639595,16268494,0,17457827388366249896,562447440475983,10334202980373897061,1346420,10485760,1442323,0.1284046173,required_bytes_exact_trace,unestablished,0,0,available,462467803,45090973,1443902,166219485,166219485,fixed_logical,0
capacity,dependent,opaque,selected,scan,5,1,0,1073741824,1048576,1,1,7322650151751718876,124196584364,671088640,671088640,0,671088640,32,0,1324032,64,4096,167030275,159.2924833,159.2924833,16271357,0,11769178604189543421,562781190597967,13977035679276410366,1346390,10485760,1442322,0.1284017563,required_bytes_exact_trace,unestablished,0,0,available,462050359,45091927,1443958,166399785,166399785,fixed_logical,0
capacity,dependent,opaque,selected,scan,5,2,0,1073741824,1048576,1,1,3146314276787886182,124196584364,671088640,671088640,0,671088640,32,0,1324032,64,4096,163148323,155.5903654,155.5903654,16247711,0,15647364946048636502,563366970421483,3378999058295978366,1345373,10485760,1441589,0.1283047676,required_bytes_exact_trace,unestablished,0,0,available,454086372,45087283,1442925,163054600,163054600,fixed_logical,0
capacity,independent,opaque,selected,scan,5,0,0,1073741824,1048576,1,1,15052677439875335824,124196584364,671088640,671088640,0,671088640,32,0,1324032,64,4096,26251651,25.03552532,25.03552532,16248111,0,14201190974327866015,563077556296114,17249959118208045128,1344883,10485760,1441555,0.1282580376,required_bytes_exact_trace,unestablished,0,0,available,72311020,34339742,1441469,26225222,26225222,fixed_logical,0
