suite,operation,call,provider,layout,width,repetition,cpu,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_unique_payload_lines,payload_lines,required_line_visits,required_line_coverage,coverage_kind,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns,capacity_mode,requested_payload_bytes
bulk,decode,opaque,selected,scan,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,19754838,4.709920406,0.01839812659,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,76355331,142643545,0,49133461,49133461,not_applicable,0
bulk,decode,opaque,selected,scan,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,19880341,4.739842653,0.01851501036,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,76303888,142643546,0,19792325,19792325,not_applicable,0
bulk,decode,opaque,selected,scan,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,19737165,4.705706835,0.01838166732,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,76326608,142643545,0,19737279,19737279,not_applicable,0
bulk,decode,opaque,selected,scan,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,19806145,4.722152948,0.01844590995,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,76316607,142643545,0,19754542,19754542,not_applicable,0
bulk,decode,opaque,selected,scan,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,19689581,4.694361925,0.01833735127,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,76291203,142643544,0,19706399,19706399,not_applicable,0
bulk,encode,opaque,selected,scan,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,12159994,2.899168491,0.01132487692,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,45880475,159420753,0,12176944,12176944,not_applicable,0
bulk,encode,opaque,selected,scan,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,12188486,2.905961514,0.01135141216,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,45892921,159420753,0,12199101,12199101,not_applicable,0
bulk,encode,opaque,selected,scan,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,12192095,2.906821966,0.01135477331,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,45904345,159420753,0,12195963,12195963,not_applicable,0
bulk,encode,opaque,selected,scan,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,12203089,2.90944314,0.01136501227,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,45916259,159420754,0,12204102,12204102,not_applicable,0
bulk,encode,opaque,selected,scan,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,12185485,2.905246019,0.01134861726,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,45888264,159420753,0,12191444,12191444,not_applicable,0
bulk,decode,opaque,prior,scan,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,19711127,4.699498892,0.01835741755,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,76348607,142643545,0,19727633,19727633,not_applicable,0
bulk,decode,opaque,prior,scan,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,19761652,4.711544991,0.01840447262,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,76325408,142643545,0,19753491,19753491,not_applicable,0
bulk,decode,opaque,prior,scan,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,19729364,4.703846931,0.01837440208,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,76314314,142643545,0,19735250,19735250,not_applicable,0
bulk,decode,opaque,prior,scan,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,19780544,4.716049194,0.01842206717,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,76353065,142643545,0,19761095,19761095,not_applicable,0
bulk,decode,opaque,prior,scan,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,32768,262144,294912,32,0,7168,64,4096,19760390,4.711244106,0.01840329729,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,76311228,142643546,0,19754773,19754773,not_applicable,0
bulk,encode,opaque,prior,scan,1,0,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,12181607,2.904321432,0.01134500559,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,45865870,159420753,0,12187380,12187380,not_applicable,0
bulk,encode,opaque,prior,scan,1,1,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,12158947,2.898918867,0.01132390182,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,45894099,159420753,0,12175545,12175545,not_applicable,0
bulk,encode,opaque,prior,scan,1,2,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,12220925,2.913695574,0.01138162334,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,45866335,159420755,0,12210962,12210962,not_applicable,0
bulk,encode,opaque,prior,scan,1,3,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,12185359,2.905215979,0.01134849992,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,45887237,159420753,0,12191040,12191040,not_applicable,0
bulk,encode,opaque,prior,scan,1,4,0,262144,4194304,256,4096,124196584364,124196584364,32768,262144,32768,294912,32,0,7168,64,4096,12148112,2.896335602,0.01131381094,130850,0,0,0,0,512,512,0,1,full_sequential_extent,unestablished,0,0,available,45844235,159420753,0,12164777,12164777,not_applicable,0
bulk,decode,opaque,plain,u8,1,0,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22867860,5.452122688,0.02129735425,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,87859713,104894812,0,22741506,22741506,not_applicable,0
bulk,decode,opaque,plain,u8,1,1,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22705935,5.41351676,0.02114654984,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,87832545,104894812,0,22712097,22712097,not_applicable,0
bulk,decode,opaque,plain,u8,1,2,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22701385,5.412431955,0.02114231233,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,87823412,104894812,0,22707594,22707594,not_applicable,0
bulk,decode,opaque,plain,u8,1,3,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22732795,5.419920683,0.02117156517,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,87828951,104894813,0,22724417,22724417,not_applicable,0
bulk,decode,opaque,plain,u8,1,4,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22744676,5.422753334,0.02118263021,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,87814669,104894812,0,22726637,22726637,not_applicable,0
bulk,encode,opaque,plain,u8,1,0,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22504808,5.365564346,0.02095923573,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,86835911,104894812,0,22484501,22484501,not_applicable,0
bulk,encode,opaque,plain,u8,1,1,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22412010,5.343439579,0.02087281086,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,86825157,104894811,0,22429118,22429118,not_applicable,0
bulk,encode,opaque,plain,u8,1,2,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22444970,5.351297855,0.02090350725,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,86830302,104894812,0,22447534,22447534,not_applicable,0
bulk,encode,opaque,plain,u8,1,3,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22458259,5.3544662,0.02091588359,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,86839065,104894812,0,22459910,22459910,not_applicable,0
bulk,encode,opaque,plain,u8,1,4,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22481643,5.36004138,0.02093766164,130850,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,86834402,104894813,0,22473345,22473345,not_applicable,0
bulk,decode,opaque,selected,scan,2,0,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,20336644,4.848633766,0.01893997565,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,78778193,142643545,0,20354323,20354323,not_applicable,0
bulk,decode,opaque,selected,scan,2,1,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,20420334,4.868587017,0.01901791804,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,78738503,142643547,0,20384508,20384508,not_applicable,0
bulk,decode,opaque,selected,scan,2,2,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,20392460,4.861941338,0.01899195835,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,78761320,142643546,0,20383405,20383405,not_applicable,0
bulk,decode,opaque,selected,scan,2,3,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,20362192,4.854724884,0.01896376908,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,78773767,142643545,0,20366531,20366531,not_applicable,0
bulk,decode,opaque,selected,scan,2,4,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,20435249,4.87214303,0.01903180871,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,78758177,142643547,0,20403206,20403206,not_applicable,0
bulk,encode,opaque,selected,scan,2,0,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,13067078,3.11543417,0.01216966473,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,49231831,130060626,0,13072946,13072946,not_applicable,0
bulk,encode,opaque,selected,scan,2,1,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,13047499,3.110766172,0.01215143036,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,49241822,130060626,0,13064731,13064731,not_applicable,0
bulk,encode,opaque,selected,scan,2,2,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,13108527,3.125316381,0.01220826712,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,49237699,130060627,0,13099563,13099563,not_applicable,0
bulk,encode,opaque,selected,scan,2,3,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,13048236,3.110941887,0.01215211675,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,49244225,130060626,0,13065167,13065167,not_applicable,0
bulk,encode,opaque,selected,scan,2,4,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,13042501,3.109574556,0.01214677561,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,49221885,130060626,0,13059303,13059303,not_applicable,0
bulk,decode,opaque,prior,scan,2,0,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,20441451,4.873621702,0.01903758477,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,78781030,142643546,0,20452229,20452229,not_applicable,0
bulk,decode,opaque,prior,scan,2,1,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,20452137,4.876169443,0.01904753689,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,78778092,142643547,0,20410033,20410033,not_applicable,0
bulk,decode,opaque,prior,scan,2,2,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,20359925,4.854184389,0.01896165777,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,78779777,142643545,0,20365886,20365886,not_applicable,0
bulk,decode,opaque,prior,scan,2,3,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,20366664,4.855791092,0.01896793395,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,78774721,142643546,0,20369186,20369186,not_applicable,0
bulk,decode,opaque,prior,scan,2,4,0,262144,4194304,256,4096,124196584364,124196584364,65536,65536,262144,327680,32,0,7168,64,4096,20357736,4.853662491,0.0189596191,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,78734577,142643546,0,20363759,20363759,not_applicable,0
bulk,encode,opaque,prior,scan,2,0,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,13065536,3.115066528,0.01216822863,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,49208019,130060626,0,13071293,13071293,not_applicable,0
bulk,encode,opaque,prior,scan,2,1,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,13161550,3.13795805,0.01225764863,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,49274379,130060628,0,13132439,13132439,not_applicable,0
bulk,encode,opaque,prior,scan,2,2,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,13073460,3.116955757,0.01217560843,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,49241328,130060626,0,13079574,13079574,not_applicable,0
bulk,encode,opaque,prior,scan,2,3,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,13048886,3.111096859,0.01215272211,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,49250306,130060626,0,13066166,13066166,not_applicable,0
bulk,encode,opaque,prior,scan,2,4,0,262144,4194304,256,4096,124196584364,124196584364,65536,262144,65536,327680,32,0,7168,64,4096,13072408,3.116704941,0.01217462867,393172,0,0,0,0,1024,1024,0,1,full_sequential_extent,unestablished,0,0,available,49236008,130060626,0,13078301,13078301,not_applicable,0
bulk,decode,opaque,plain,u8,2,0,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22781920,5.431632996,0.02121731639,393172,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,87822545,104894813,0,22782685,22782685,not_applicable,0
bulk,decode,opaque,plain,u8,2,1,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22859532,5.450137138,0.0212895982,393172,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,87852985,104894815,0,22782922,22782922,not_applicable,0
bulk,decode,opaque,plain,u8,2,2,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22734641,5.420360804,0.02117328439,393172,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,87829658,104894813,0,22724446,22724446,not_applicable,0
bulk,decode,opaque,plain,u8,2,3,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22668942,5.404696941,0.02111209743,393172,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,87823252,104894811,0,22685584,22685584,not_applicable,0
bulk,decode,opaque,plain,u8,2,4,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22703371,5.412905455,0.02114416193,393172,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,87834600,104894812,0,22705899,22705899,not_applicable,0
bulk,encode,opaque,plain,u8,2,0,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22464654,5.355990887,0.0209218394,393172,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,86824164,104894811,0,22446134,22446134,not_applicable,0
bulk,encode,opaque,plain,u8,2,1,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22479514,5.359533787,0.02093567885,393172,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,86808249,104894812,0,22460481,22460481,not_applicable,0
bulk,encode,opaque,plain,u8,2,2,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22470995,5.357502699,0.02092774492,393172,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,86799715,104894812,0,22444736,22444736,not_applicable,0
bulk,encode,opaque,plain,u8,2,3,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22436122,5.349188328,0.02089526691,393172,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,86792539,104894812,0,22437376,22437376,not_applicable,0
bulk,encode,opaque,plain,u8,2,4,0,262144,4194304,256,4096,124196584364,124196584364,262144,262144,262144,524288,32,0,7168,64,4096,22397818,5.340055943,0.02085959353,393172,0,0,0,0,4096,4096,0,1,full_sequential_extent,unestablished,0,0,available,86777098,104894811,0,22414414,22414414,not_applicable,0
bulk,decode,opaque,selected,scan,3,0,0,262144,4194304,256,4096,124196584364,124196584364,98304,98304,262144,360448,32,0,7168,64,4096,20940084,4.992505074,0.01950197294,918820,0,0,0,0,1536,1536,0,1,full_sequential_extent,unestablished,0,0,available,80745860,167809371,0,20919884,20919884,not_applicable,0
bulk,decode,opaque,selected,scan,3,1,0,262144,4194304,256,4096,124196584364,124196584364,98304,98304,262144,360448,32,0,7168,64,4096,20864751,4.974544287,0.01943181362,918820,0,0,0,0,1536,1536,0,1,full_sequential_extent,unestablished,0,0,available,80717523,167809370,0,20870686,20870686,not_applicable,0
bulk,decode,opaque,selected,scan,3,2,0,262144,4194304,256,4096,124196584364,124196584364,98304,98304,262144,360448,32,0,7168,64,4096,20855747,4.972397566,0.01942342799,918820,0,0,0,0,1536,1536,0,1,full_sequential_extent,unestablished,0,0,available,80686005,167809370,0,20861669,20861669,not_applicable,0
bulk,decode,opaque,selected,scan,3,3,0,262144,4194304,256,4096,124196584364,124196584364,98304,98304,262144,360448,32,0,7168,64,4096,20897952,4.982460022,0.01946273446,918820,0,0,0,0,1536,1536,0,1,full_sequential_extent,unestablished,0,0,available,80713654,167809371,0,20890433,20890433,not_applicable,0
bulk,decode,opaque,selected,scan,3,4,0,262144,4194304,256,4096,124196584364,124196584364,98304,98304,262144,360448,32,0,7168,64,4096,20826344,4.965387344,0.01939604431,918820,0,0,0,0,1536,1536,0,1,full_sequential_extent,unestablished,0,0,available,80701886,167809369,0,20842847,20842847,not_applicable,0
