suite,operation,call,provider,layout,width,repetition,cpu,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_unique_payload_lines,payload_lines,required_line_visits,required_line_coverage,coverage_kind,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns,capacity_mode,requested_payload_bytes
capacity,dependent,opaque,selected,scan,6,0,0,1024,1048576,1,1,10723128554898435005,124196584364,768,768,0,768,32,0,13320,64,4096,9047934,8.628782272,8.628782272,32941865,0,13258603255803143942,536502848,839121904108269701,12,12,1310930,1,required_bytes_exact_trace,unestablished,3,0,available,40045123,58721217,585,36102941,36102941,fixed_logical,0
capacity,dependent,opaque,selected,scan,6,1,0,1024,1048576,1,1,12186166145150884479,124196584364,768,768,0,768,32,0,13320,64,4096,8914093,8.501141548,8.501141548,32964097,0,14932162707515870743,536752737,15331483081057015474,12,12,1310520,1,required_bytes_exact_trace,unestablished,0,0,available,39680458,58719819,9,8911030,8911030,fixed_logical,0
capacity,dependent,opaque,selected,scan,6,2,0,1024,1048576,1,1,1662609931548137281,124196584364,768,768,0,768,32,0,13320,64,4096,8902773,8.490345955,8.490345955,32958101,0,7422159232237728450,535671551,6179578873972515875,12,12,1311258,1,required_bytes_exact_trace,unestablished,0,0,available,39630886,58727176,0,8897361,8897361,fixed_logical,0
capacity,dependent,opaque,selected,scan,6,3,0,1024,1048576,1,1,1430291963782361849,124196584364,768,768,0,768,32,0,13320,64,4096,8868243,8.457415581,8.457415581,32965368,0,5186490940095548334,536211526,1885885480254368117,12,12,1310506,1,required_bytes_exact_trace,unestablished,0,0,available,39654064,58720215,1,8886960,8886960,fixed_logical,0
capacity,dependent,opaque,selected,scan,6,4,0,1024,1048576,1,1,678656302332983151,124196584364,768,768,0,768,32,0,13320,64,4096,8866863,8.45609951,8.45609951,32973361,0,9140967117441451068,536057692,14539408092935557854,12,12,1311574,1,required_bytes_exact_trace,unestablished,0,0,available,39600634,58724116,13,8874470,8874470,fixed_logical,0
capacity,independent,opaque,selected,scan,6,0,0,1024,1048576,1,1,16047773564640954524,124196584364,768,768,0,768,32,0,13320,64,4096,6996451,6.672335625,6.672335625,32986349,0,2536368530834903231,536971255,12647349066912223617,12,12,1310363,1,required_bytes_exact_trace,unestablished,0,0,available,31203325,39191603,23,7015468,7015468,fixed_logical,0
capacity,independent,opaque,selected,scan,6,1,0,1024,1048576,1,1,6547916387875995305,124196584364,768,768,0,768,32,0,13320,64,4096,6988860,6.665096283,6.665096283,32955274,0,5596339621991546811,536269420,17736111691341175802,12,12,1310739,1,required_bytes_exact_trace,unestablished,0,0,available,31075118,39191119,0,6997698,6997698,fixed_logical,0
capacity,independent,opaque,selected,scan,6,2,0,1024,1048576,1,1,4924242711286987153,124196584364,768,768,0,768,32,0,13320,64,4096,6996190,6.672086716,6.672086716,32971505,0,7930023764644803916,535851351,7090894975531352993,12,12,1310865,1,required_bytes_exact_trace,unestablished,0,0,available,31221263,39190110,3,7014038,7014038,fixed_logical,0
capacity,independent,opaque,selected,scan,6,3,0,1024,1048576,1,1,15111254592760746391,124196584364,768,768,0,768,32,0,13320,64,4096,6950831,6.628829002,6.628829002,32994836,0,3890073601116800313,536744870,14691723849663732051,12,12,1310733,1,required_bytes_exact_trace,unestablished,0,0,available,31060476,39189240,0,6968758,6968758,fixed_logical,0
capacity,independent,opaque,selected,scan,6,4,0,1024,1048576,1,1,4554930173571622138,124196584364,768,768,0,768,32,0,13320,64,4096,6953270,6.631155014,6.631155014,32985318,0,4826536169582227569,536197073,8596657518342283869,12,12,1310596,1,required_bytes_exact_trace,unestablished,0,0,available,31097304,39191748,1,6971818,6971818,fixed_logical,0
