format,w,values,stride,tile_residues,get1_max_lines,get1_max_line_span,get1_failures,get16_max_lines,get16_max_line_span,get16_failures
local8,1,8,1,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,1,1,0,1,1,0
calico256_prior32_h0,1,256,32,0/32,1,1,0,1,1,0
local8,2,8,2,0/2/4/6/8/10/12/14/16/18/20/22/24/26/28/30/32/34/36/38/40/42/44/46/48/50/52/54/56/58/60/62,1,1,0,1,1,0
calico256_prior32_h0,2,256,64,0,1,1,0,1,1,0
local8,3,8,3,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,2,2,0,2,2,0
calico256_prior32_h0,3,256,96,0/32,2,2,0,2,2,0
local8,4,8,4,0/4/8/12/16/20/24/28/32/36/40/44/48/52/56/60,1,1,0,1,1,0
calico256_prior32_h0,4,256,128,0,1,1,0,1,1,0
local8,5,8,5,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,2,2,0,2,2,0
calico256_prior32_h0,5,256,160,0/32,2,3,96,2,3,6
local8,6,8,6,0/2/4/6/8/10/12/14/16/18/20/22/24/26/28/30/32/34/36/38/40/42/44/46/48/50/52/54/56/58/60/62,2,2,0,2,2,0
calico256_prior32_h0,6,256,192,0,2,2,0,2,2,0
local8,7,8,7,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,2,2,0,2,2,0
calico256_prior32_h0,7,256,224,0/32,3,3,32,3,3,2
local8,12,8,12,0/4/8/12/16/20/24/28/32/36/40/44/48/52/56/60,2,2,0,2,2,0
local8,20,8,20,0/4/8/12/16/20/24/28/32/36/40/44/48/52/56/60,2,2,0,2,2,0
local8,32,8,32,0/32,1,1,0,1,1,0
local8,33,8,33,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,2,2,0,2,2,0
local8,34,8,34,0/2/4/6/8/10/12/14/16/18/20/22/24/26/28/30/32/34/36/38/40/42/44/46/48/50/52/54/56/58/60/62,2,2,0,2,2,0
local8,35,8,35,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,2,2,0,3,3,2
local8,36,8,36,0/4/8/12/16/20/24/28/32/36/40/44/48/52/56/60,2,2,0,2,2,0
local8,37,8,37,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,2,2,0,3,3,4
local8,40,8,40,0/8/16/24/32/40/48/56,2,2,0,2,2,0
local8,48,8,48,0/16/32/48,2,2,0,2,2,0
local8,49,8,49,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,2,2,0,3,3,16
local8,56,8,56,0/8/16/24/32/40/48/56,2,2,0,3,3,2
local8,63,8,63,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27/28/29/30/31/32/33/34/35/36/37/38/39/40/41/42/43/44/45/46/47/48/49/50/51/52/53/54/55/56/57/58/59/60/61/62/63,2,2,0,3,3,30
local8,64,8,64,0,1,1,0,2,2,0
body_first64_bitslice8,12,64,96,0/32,2,2,0,2,2,0
body_first64_prior32,12,64,96,0/32,2,2,0,2,2,0
hybrid32_q1_r2,10,128,160,0/32,2,2,0,2,2,0
hybrid32_q1_r4,12,64,96,0/32,2,2,0,2,2,0
hybrid32_q1_r6,14,128,224,0/32,2,2,0,2,2,0
hybrid32_q1_r7,15,256,480,0/32,2,2,0,2,2,0
hybrid32_q2_r4,20,64,160,0/32,2,2,0,2,2,0
body_first256_permuted_prior32,5,256,160,0/32,2,2,0,2,2,0
body_first256_continuous32,5,256,160,0/32,2,2,0,2,2,0
body_first256_permuted_prior32,7,256,224,0/32,2,2,0,2,2,0
body_first256_continuous32,7,256,224,0/32,2,2,0,2,2,0
