suite,operation,arm,cpu,repetition,logical_values,operations,values_per_operation,passes,seed,data_seed,payload_bytes,input_bytes,output_bytes,allocation_bytes,hot_metadata_bytes,trace_bytes,audit_aux_bytes,payload_alignment,page_bytes,elapsed_ns,ns_per_operation,ns_per_value,checksum0,checksum1,final_state,address_sum,trace_hash,required_line_visits,required_unique_payload_lines,payload_lines,residence,minor_faults,major_faults,pmu_status,cycles_raw,instructions_raw,cache_misses_raw,pmu_time_enabled_ns,pmu_time_running_ns
bulk,decode,local_aos7,0,0,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,31285952,59.6732177734,0.233098506927,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,87072324,226517240,397448,31322549,31322549
bulk,decode,local_aos7,0,1,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,31340871,59.777967453,0.233507685363,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,87149148,226517240,396157,31325980,31325980
bulk,decode,local_aos7,0,2,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,31339663,59.7756633759,0.233498685062,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,87068380,226517240,404941,31318780,31318780
bulk,decode,local_aos7,0,3,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,31280915,59.6636104584,0.233060978353,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,87180213,226517240,402903,31298012,31298012
bulk,decode,local_aos7,0,4,32768,524288,256,4096,1454428645,1454428645,229376,229376,262144,491520,40,0,0,64,4096,31301631,59.7031230927,0.233215324581,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,87090701,226517240,400306,31296143,31296143
bulk,encode,local_aos7,0,0,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,37482077,71.4913883209,0.279263235629,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,104432620,211312892,102612,37487589,37487589
bulk,encode,local_aos7,0,1,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,37679551,71.8680400848,0.280734531581,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,104427588,211312892,100100,37589804,37589804
bulk,encode,local_aos7,0,2,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,37468848,71.4661560059,0.279164671898,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,104461712,211312892,100387,37486242,37486242
bulk,encode,local_aos7,0,3,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,37508598,71.541973114,0.279460832477,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,104433413,211312892,99616,37502356,37502356
bulk,encode,local_aos7,0,4,32768,524288,256,4096,1454428645,1454428645,229376,262144,229376,491520,40,0,0,64,4096,37511537,71.5475788116,0.279482729733,18407330318386166812,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,104418993,211312892,101919,37505958,37505958
bulk,sum,local_aos7,0,0,32768,524288,256,4096,1454428645,1454428645,229376,229376,0,229376,40,0,0,64,4096,24513530,46.7558479309,0.18264003098,4581954858801807360,0,0,0,0,14680064,3584,3584,unestablished,0,0,available,68298071,235966714,346421,24532300,24532300
