input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:encoded_bytes,counter:query_bytes,counter:values_per_item,counter:bulk_input_output_bytes,counter:queries_per_iteration,counter:payload_stride,counter:head0_stride,counter:head1_stride,counter:query_hash_lo,counter:query_hash_hi
gnr-avx512,boundary/series/avx2/local/k7/h0/u64/dense/complete-suffix,1,3,"[953.6185185183363,960.428278593164,958.9923130677499]",958.9923130677499,"[953.8141160063007,960.7251805327378,958.9999534124673]",958.9999534124673,"[7.450144675924502,7.503345926509093,7.492127445841797]",7.492127445841797,4608.0,4032.0,,,,128.0,,,,1303494156.0,2768470197.0
gnr-avx512,boundary/series/avx2/local/k7/h0/u64/dense/crossing,1,3,"[1631.1703354106949,1627.7681535065767,1623.9022399303044]",1627.7681535065767,"[1632.0315679585522,1627.9343494794093,1624.0557081494942]",1627.9343494794093,"[12.743518245396057,12.716938699270129,12.686736249455503]",12.716938699270129,4608.0,4032.0,,,,128.0,,,,108697253.0,1292121895.0
gnr-avx512,boundary/series/avx2/local/k7/h0/u64/dense/eight,1,3,"[577.724042669487,574.5890043760414,578.1092861044029]",577.724042669487,"[577.8891958402759,575.1751777880147,578.1648659792653]",577.8891958402759,"[4.513469083355367,4.488976596687824,4.516478797690647]",4.513469083355367,4608.0,4032.0,,,,128.0,,,,2969912743.0,3667905639.0
gnr-avx512,boundary/series/avx2/local/k7/h0/u64/dense/full,1,3,"[470.5773913037889,470.1600112207001,470.12568863948724]",470.1600112207001,"[470.71031697440907,470.2047349210861,470.1703899009933]",470.2047349210861,"[3.6763858695608507,3.67312508766172,3.6728569424959945]",3.67312508766172,4608.0,4032.0,,,,128.0,,,,1469982516.0,1023244041.0
gnr-avx512,boundary/series/avx2/local/k7/h0/u64/dense/last-lane,1,3,"[803.7009222157797,804.2924439664962,804.5622255875559]",804.2924439664962,"[803.7068658171457,804.8453131896019,804.6426558352466]",804.6426558352466,"[6.2789134548107794,6.2835347184882515,6.285642387402779]",6.2835347184882515,4608.0,4032.0,,,,128.0,,,,1260620127.0,3406286814.0
gnr-avx512,boundary/series/avx2/local/k7/h0/u64/dense/short,1,3,"[559.5676833878206,560.9525028855609,561.3620925267433]",560.9525028855609,"[559.5717697307551,561.0895148096806,561.9028829997349]",561.0895148096806,"[4.371622526467349,4.382441428793445,4.385641347865181]",4.382441428793445,4608.0,4032.0,,,,128.0,,,,305054723.0,3068190081.0
gnr-avx512,boundary/series/avx2/striped/k12/h0/u64/dense/complete-suffix,1,3,"[1622.3828480967961,1621.1770406980916,1621.7783226501822]",1621.7783226501822,"[1624.4813499095098,1621.4481040962114,1626.2326820625944]",1624.4813499095098,"[12.67486600075622,12.665445630453839,12.670143145704548]",12.670143145704548,2560.0,3840.0,,,,128.0,,,,1757679287.0,2149622290.0
gnr-avx512,boundary/series/avx2/striped/k12/h0/u64/dense/crossing,1,3,"[1404.1565678747058,1403.586090363914,1404.1843127976433]",1404.1565678747058,"[1404.3131019545588,1403.7187658387772,1404.2339224818072]",1404.2339224818072,"[10.96997318652114,10.965516330968079,10.970189943731588]",10.96997318652114,2560.0,3840.0,,,,128.0,,,,3631075153.0,1343813115.0
gnr-avx512,boundary/series/avx2/striped/k12/h0/u64/dense/eight,1,3,"[444.7013596119343,443.40251897172254,443.7705628161772]",443.7705628161772,"[444.7469224273623,443.44313870429534,443.8117306084552]",443.8117306084552,"[3.4742293719682373,3.4640821794665824,3.4669575220013846]",3.4669575220013846,2560.0,3840.0,,,,128.0,,,,2221249179.0,1312938148.0
gnr-avx512,boundary/series/avx2/striped/k12/h0/u64/dense/full,1,3,"[580.0009496941663,577.9244993154564,577.6426077482773]",577.9244993154564,"[580.0653613067207,578.2006228856103,577.7358453649308]",578.2006228856103,"[4.531257419485674,4.515035150902002,4.512832873033417]",4.515035150902002,2560.0,3840.0,,,,128.0,,,,3269812584.0,4127933207.0
