dataset,first,count,layout,execution,repetition,windows,passes,calls,logical_blocks,metadata_bytes,body_bytes,query_bytes,body_suffix_bytes,checksum,elapsed_ns,ns_per_call,ns_per_block,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,0,256,direct32,inline,0,8,128,1024,262144,8192,60591,65536,512,16810624,19049703,18603.2,72.6688,53167128,81722773,19102594,19102594,available,0,0,unestablished
structural,0,256,direct32,inline,1,8,128,1024,262144,8192,60591,65536,512,16810624,19086010,18638.7,72.8074,53172178,81722773,19099711,19099711,available,0,0,unestablished
structural,0,256,direct32,inline,2,8,128,1024,262144,8192,60591,65536,512,16810624,19216866,18766.5,73.3065,53165645,81722773,19148321,19148321,available,0,0,unestablished
structural,0,256,direct32,inline,3,8,128,1024,262144,8192,60591,65536,512,16810624,19108733,18660.9,72.894,53153002,81722773,19108291,19108291,available,0,0,unestablished
structural,0,256,direct32,inline,4,8,128,1024,262144,8192,60591,65536,512,16810624,19139514,18690.9,73.0115,53182198,81722773,19133344,19133344,available,0,0,unestablished
structural,0,256,direct32,split,0,8,128,1024,262144,8192,60591,65536,512,16810624,20474995,19995.1,78.1059,56970339,81698197,20476937,20476937,available,0,0,unestablished
structural,0,256,direct32,split,1,8,128,1024,262144,8192,60591,65536,512,16810624,20435740,19956.8,77.9562,56969231,81698197,20448180,20448180,available,0,0,unestablished
structural,0,256,direct32,split,2,8,128,1024,262144,8192,60591,65536,512,16810624,20483240,20003.2,78.1374,56985306,81698197,20480497,20480497,available,0,0,unestablished
structural,0,256,direct32,split,3,8,128,1024,262144,8192,60591,65536,512,16810624,20427925,19949.1,77.9263,56948791,81698197,20441204,20441204,available,0,0,unestablished
structural,0,256,direct32,split,4,8,128,1024,262144,8192,60591,65536,512,16810624,20627824,20144.4,78.6889,56975729,81698197,20544789,20544789,available,0,0,unestablished
structural,0,256,local16,inline,0,8,128,1024,262144,4096,60591,65536,512,16810624,21751427,21241.6,82.9751,60612018,85289365,21764222,21764222,available,0,0,unestablished
structural,0,256,local16,inline,1,8,128,1024,262144,4096,60591,65536,512,16810624,21771228,21261,83.0506,60597759,85289365,21767790,21767790,available,0,0,unestablished
structural,0,256,local16,inline,2,8,128,1024,262144,4096,60591,65536,512,16810624,21707090,21198.3,82.806,60600020,85289365,21728837,21728837,available,0,0,unestablished
structural,0,256,local16,inline,3,8,128,1024,262144,4096,60591,65536,512,16810624,21735133,21225.7,82.913,60593957,85289365,21747789,21747789,available,0,0,unestablished
structural,0,256,local16,inline,4,8,128,1024,262144,4096,60591,65536,512,16810624,21781316,21270.8,83.0891,60603380,85289365,21778748,21778748,available,0,0,unestablished
structural,0,256,local16,split,0,8,128,1024,262144,4096,60591,65536,512,16810624,21644291,21137,82.5664,60339114,86613397,21657364,21657364,available,0,0,unestablished
structural,0,256,local16,split,1,8,128,1024,262144,4096,60591,65536,512,16810624,21676075,21168,82.6877,60334697,86613397,21673448,21673448,available,0,0,unestablished
structural,0,256,local16,split,2,8,128,1024,262144,4096,60591,65536,512,16810624,21643805,21136.5,82.5646,60332833,86613397,21656416,21656416,available,0,0,unestablished
structural,0,256,local16,split,3,8,128,1024,262144,4096,60591,65536,512,16810624,21713341,21204.4,82.8298,60337855,86613397,21699979,21699979,available,0,0,unestablished
structural,0,256,local16,split,4,8,128,1024,262144,4096,60591,65536,512,16810624,21647250,21139.9,82.5777,60341620,86613397,21660507,21660507,available,0,0,unestablished
structural,0,256,scan128,inline,0,8,128,1024,262144,4096,60591,65536,512,16810624,21634681,21127.6,82.5298,60331192,85945749,21647370,21647370,available,0,0,unestablished
structural,0,256,scan128,inline,1,8,128,1024,262144,4096,60591,65536,512,16810624,21686556,21178.3,82.7276,60331845,85945749,21684616,21684616,available,0,0,unestablished
structural,0,256,scan128,inline,2,8,128,1024,262144,4096,60591,65536,512,16810624,21639804,21132.6,82.5493,60328167,85945749,21652202,21652202,available,0,0,unestablished
structural,0,256,scan128,inline,3,8,128,1024,262144,4096,60591,65536,512,16810624,21683854,21175.6,82.7173,60323447,85945749,21677703,21677703,available,0,0,unestablished
structural,0,256,scan128,inline,4,8,128,1024,262144,4096,60591,65536,512,16810624,21644303,21137,82.5665,60328378,85945749,21656799,21656799,available,0,0,unestablished
structural,0,256,scan128,split,0,8,128,1024,262144,4096,60591,65536,512,16810624,21545877,21040.9,82.191,59955737,87677333,21542617,21542617,available,0,0,unestablished
structural,0,256,scan128,split,1,8,128,1024,262144,4096,60591,65536,512,16810624,21573437,21067.8,82.2961,59951771,87677333,21546065,21546065,available,0,0,unestablished
structural,0,256,scan128,split,2,8,128,1024,262144,4096,60591,65536,512,16810624,21558608,21053.3,82.2396,59951765,87677333,21541942,21541942,available,0,0,unestablished
structural,0,256,scan128,split,3,8,128,1024,262144,4096,60591,65536,512,16810624,21548217,21043.2,82.1999,59951706,87677333,21543598,21543598,available,0,0,unestablished
structural,0,256,scan128,split,4,8,128,1024,262144,4096,60591,65536,512,16810624,21501367,20997.4,82.0212,59945858,87677333,21514167,21514167,available,0,0,unestablished
structural,3,37,direct32,inline,0,8,512,4096,151552,8192,60591,65536,512,9838080,11052636,2698.4,72.9297,30870173,47477525,11079007,11079007,available,0,0,unestablished
structural,3,37,direct32,inline,1,8,512,4096,151552,8192,60591,65536,512,9838080,11092688,2708.18,73.1939,30876406,47477525,11104764,11104764,available,0,0,unestablished
structural,3,37,direct32,inline,2,8,512,4096,151552,8192,60591,65536,512,9838080,11127852,2716.76,73.426,30880919,47477525,11123949,11123949,available,0,0,unestablished
structural,3,37,direct32,inline,3,8,512,4096,151552,8192,60591,65536,512,9838080,11065984,2701.66,73.0177,30877285,47477525,11109477,11109477,available,0,0,unestablished
structural,3,37,direct32,inline,4,8,512,4096,151552,8192,60591,65536,512,9838080,11089209,2707.33,73.171,30875353,47477525,11101440,11101440,available,0,0,unestablished
structural,3,37,direct32,split,0,8,512,4096,151552,8192,60591,65536,512,9838080,12096017,2953.13,79.8143,32898211,47407893,11931614,11931614,available,0,0,unestablished
structural,3,37,direct32,split,1,8,512,4096,151552,8192,60591,65536,512,9838080,11814444,2884.39,77.9564,32894817,47407893,11827381,11827381,available,0,0,unestablished
structural,3,37,direct32,split,2,8,512,4096,151552,8192,60591,65536,512,9838080,11871780,2898.38,78.3347,32895624,47407893,11855442,11855442,available,0,0,unestablished
structural,3,37,direct32,split,3,8,512,4096,151552,8192,60591,65536,512,9838080,11809032,2883.06,77.9207,32893208,47407893,11824111,11824111,available,0,0,unestablished
structural,3,37,direct32,split,4,8,512,4096,151552,8192,60591,65536,512,9838080,11882410,2900.98,78.4048,32894585,47407893,11857097,11857097,available,0,0,unestablished
structural,3,37,local16,inline,0,8,512,4096,151552,4096,60591,65536,512,9838080,12726866,3107.15,83.9769,35014598,49726229,12672130,12672130,available,0,0,unestablished
structural,3,37,local16,inline,1,8,512,4096,151552,4096,60591,65536,512,9838080,12608822,3078.33,83.198,35007694,49726229,12606607,12606607,available,0,0,unestablished
structural,3,37,local16,inline,2,8,512,4096,151552,4096,60591,65536,512,9838080,12609701,3078.54,83.2038,35020297,49726229,12607930,12607930,available,0,0,unestablished
structural,3,37,local16,inline,3,8,512,4096,151552,4096,60591,65536,512,9838080,12567157,3068.15,82.9231,35004197,49726229,12579850,12579850,available,0,0,unestablished
structural,3,37,local16,inline,4,8,512,4096,151552,4096,60591,65536,512,9838080,12567755,3068.3,82.927,35005794,49726229,12579828,12579828,available,0,0,unestablished
structural,3,37,local16,split,0,8,512,4096,151552,4096,60591,65536,512,9838080,12545663,3062.91,82.7812,34843126,50393877,12542953,12542953,available,0,0,unestablished
structural,3,37,local16,split,1,8,512,4096,151552,4096,60591,65536,512,9838080,12509749,3054.14,82.5443,34840984,50393877,12522477,12522477,available,0,0,unestablished
structural,3,37,local16,split,2,8,512,4096,151552,4096,60591,65536,512,9838080,12504678,3052.9,82.5108,34843021,50393877,12517067,12517067,available,0,0,unestablished
structural,3,37,local16,split,3,8,512,4096,151552,4096,60591,65536,512,9838080,12504907,3052.96,82.5123,34841792,50393877,12517241,12517241,available,0,0,unestablished
structural,3,37,local16,split,4,8,512,4096,151552,4096,60591,65536,512,9838080,12692646,3098.79,83.7511,34843169,50393877,12594799,12594799,available,0,0,unestablished
structural,3,37,scan128,inline,0,8,512,4096,151552,4096,60591,65536,512,9838080,12522757,3057.31,82.6301,34887031,50127637,12534516,12534516,available,0,0,unestablished
structural,3,37,scan128,inline,1,8,512,4096,151552,4096,60591,65536,512,9838080,12523567,3057.51,82.6354,34882240,50127637,12536263,12536263,available,0,0,unestablished
structural,3,37,scan128,inline,2,8,512,4096,151552,4096,60591,65536,512,9838080,12522444,3057.24,82.628,34882466,50127637,12534888,12534888,available,0,0,unestablished
structural,3,37,scan128,inline,3,8,512,4096,151552,4096,60591,65536,512,9838080,12575548,3070.2,82.9784,34884666,50127637,12569715,12569715,available,0,0,unestablished
structural,3,37,scan128,inline,4,8,512,4096,151552,4096,60591,65536,512,9838080,12526905,3058.33,82.6575,34888166,50127637,12538915,12538915,available,0,0,unestablished
structural,3,37,scan128,split,0,8,512,4096,151552,4096,60591,65536,512,9838080,12447110,3038.85,82.131,34682842,51049237,12458862,12458862,available,0,0,unestablished
structural,3,37,scan128,split,1,8,512,4096,151552,4096,60591,65536,512,9838080,12448561,3039.2,82.1405,34679534,51049237,12460809,12460809,available,0,0,unestablished
structural,3,37,scan128,split,2,8,512,4096,151552,4096,60591,65536,512,9838080,12501642,3052.16,82.4908,34682144,51049237,12493968,12493968,available,0,0,unestablished
structural,3,37,scan128,split,3,8,512,4096,151552,4096,60591,65536,512,9838080,12453599,3040.43,82.1738,34683109,51049237,12466085,12466085,available,0,0,unestablished
structural,3,37,scan128,split,4,8,512,4096,151552,4096,60591,65536,512,9838080,12477213,3046.19,82.3296,34678563,51049237,12479603,12479603,available,0,0,unestablished
