dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income,all,intersection,bec-plain-frame,complete,5,3203.23,3192.29,3203.76,12364.01611328125,14.21856759216104
census-income,all,intersection,local-frame,complete,5,3443.28,3441.37,3460.67,13288.93359375,15.284106798055797
census-income,all,intersection,local-frame,selected,5,3440.51,3439.74,3447.83,13290.234375,15.365318827764233
census-income,all,intersection,local-inline,complete,5,3345.12,3342.01,3349.06,12912.77490234375,14.848392036753445
census-income,all,intersection,local-point,complete,5,4579.59,4564.68,4601.89,17704.1767578125,20.32798455289966
census-income,all,intersection,mixed-frame,complete,5,3457.45,3450.21,3477.73,13346.08984375,15.34700490489824
census-income,all,intersection,mixed-frame-point,complete,5,3921.03,3914.02,3941.2,15151.67626953125,17.404753978294163
census-income,all,intersection,mixed-point-frame,complete,5,4060.54,4054.14,4079.22,15693.72802734375,18.02401402667732
census-income,all,intersection,plain,complete,5,225.285,224.481,225.858,869.5330200195312,1.0
census-income,all,intersection,plain,selected,5,223.914,223.092,225.196,864.9322509765625,1.0
census-income,all,union,bec-plain-frame,complete,5,3214.06,3202.44,3226.63,12401.9208984375,14.280331809356243
census-income,all,union,local-frame,complete,5,10261.4,10218.2,10341.9,39572.92578125,45.59224060177101
census-income,all,union,local-frame,selected,5,10242.5,10198.4,10267.8,39519.40625,45.62726632870341
census-income,all,union,local-inline,complete,5,10155.8,10116.0,10158.7,39189.720703125,45.12305115320191
census-income,all,union,local-point,complete,5,11305.4,11261.6,11373.8,43595.650390625,50.23081810467013
census-income,all,union,mixed-frame,complete,5,10255.0,10207.8,10375.7,39556.0546875,45.56380487761531
census-income,all,union,mixed-frame-point,complete,5,10707.5,10681.0,10732.7,41288.607421875,47.574299437061526
census-income,all,union,mixed-point-frame,complete,5,10870.9,10801.4,10924.8,41940.0,48.300299019411824
census-income,all,union,plain,complete,5,225.069,224.283,229.156,869.1043701171875,1.0
census-income,all,union,plain,selected,5,224.482,223.528,224.708,867.1520080566406,1.0
census-income,cluster32,intersection,bec-plain-frame,complete,5,440.258,438.969,440.687,1700.304931640625,2.9190375473236836
census-income,cluster32,intersection,local-frame,complete,5,461.016,460.329,471.924,1780.62841796875,3.0566690756714823
census-income,cluster32,intersection,local-frame,selected,5,400.822,399.577,402.99,1546.7429809570312,14.831855656369799
census-income,cluster32,intersection,local-inline,complete,5,450.348,449.172,453.996,1738.1753540039062,2.98593715812575
census-income,cluster32,intersection,local-point,complete,5,589.75,588.431,591.906,2280.0552368164062,3.910212633351677
census-income,cluster32,intersection,mixed-frame,complete,5,458.64,457.584,460.957,1771.4783325195312,3.04091551023385
census-income,cluster32,intersection,mixed-frame-point,complete,5,513.835,511.949,517.846,1985.9891357421875,3.406874283100058
census-income,cluster32,intersection,mixed-point-frame,complete,5,525.015,523.685,527.583,2029.614013671875,3.481000908349522
census-income,cluster32,intersection,plain,complete,5,150.823,150.421,151.281,582.5906524658203,1.0
census-income,cluster32,intersection,plain,selected,5,27.0244,26.88,27.0978,101.85316467285156,1.0
census-income,cluster32,union,bec-plain-frame,complete,5,445.807,442.617,447.973,1717.0133666992188,2.9546927711242637
census-income,cluster32,union,local-frame,complete,5,1304.48,1298.87,1306.98,5031.76708984375,8.645753938534341
census-income,cluster32,union,local-frame,selected,5,1249.29,1246.84,1250.52,4815.53515625,46.47984790591597
census-income,cluster32,union,local-inline,complete,5,1286.3,1281.62,1293.67,4960.721435546875,8.525261630026312
census-income,cluster32,union,local-point,complete,5,1430.93,1423.0,1457.42,5524.875244140625,9.483831628899598
census-income,cluster32,union,mixed-frame,complete,5,1301.63,1299.2,1310.56,5022.390380859375,8.626864880269883
census-income,cluster32,union,mixed-frame-point,complete,5,1351.31,1343.55,1356.87,5203.4697265625,8.956130990648258
census-income,cluster32,union,mixed-point-frame,complete,5,1372.1,1366.33,1382.58,5296.87646484375,9.093921699882689
census-income,cluster32,union,plain,complete,5,150.881,150.541,151.457,583.1768646240234,1.0
census-income,cluster32,union,plain,selected,5,26.8781,26.7961,27.2011,101.106689453125,1.0
census-income,dispersed32,intersection,bec-plain-frame,complete,5,802.6,799.578,805.058,3098.1177978515625,4.823520220201571
census-income,dispersed32,intersection,local-frame,complete,5,654.186,650.492,662.834,2522.0487060546875,3.931571640633921
census-income,dispersed32,intersection,local-frame,selected,5,599.928,596.79,602.292,2308.3721923828125,12.785535266738274
census-income,dispersed32,intersection,local-inline,complete,5,604.882,603.374,606.767,2337.5267333984375,3.6352610987241047
census-income,dispersed32,intersection,local-point,complete,5,693.637,690.845,695.424,2676.0025634765625,4.168666951133761
census-income,dispersed32,intersection,mixed-frame,complete,5,650.582,648.456,655.238,2510.56298828125,3.9099120756281813
census-income,dispersed32,intersection,mixed-frame-point,complete,5,653.33,651.256,659.578,2521.886962890625,3.926427193451648
census-income,dispersed32,intersection,mixed-point-frame,complete,5,677.294,675.785,677.466,2610.3516845703125,4.070447675082486
census-income,dispersed32,intersection,plain,complete,5,166.393,165.45,166.917,641.3124389648438,1.0
census-income,dispersed32,intersection,plain,selected,5,46.9224,46.5663,47.7825,181.1956024169922,1.0
census-income,dispersed32,union,bec-plain-frame,complete,5,801.597,798.519,804.46,3093.0230712890625,4.818245204878371
census-income,dispersed32,union,local-frame,complete,5,1620.68,1618.87,1623.13,6253.833740234375,9.74159538850854
census-income,dispersed32,union,local-frame,selected,5,1555.51,1554.83,1556.75,6005.45458984375,33.18803659514909
census-income,dispersed32,union,local-inline,complete,5,1540.05,1532.73,1545.72,5923.185791015625,9.256943985285544
census-income,dispersed32,union,local-point,complete,5,1605.94,1601.01,1608.93,6204.815185546875,9.652996086964363
census-income,dispersed32,union,mixed-frame,complete,5,1594.36,1591.37,1603.95,6160.145263671875,9.583390936904554
census-income,dispersed32,union,mixed-frame-point,complete,5,1588.72,1588.06,1608.24,6136.46630859375,9.549489982989416
census-income,dispersed32,union,mixed-point-frame,complete,5,1636.7,1625.11,1655.24,6290.9638671875,9.837888523565372
census-income,dispersed32,union,plain,complete,5,166.367,165.671,166.996,641.7399291992188,1.0
census-income,dispersed32,union,plain,selected,5,46.8696,46.3858,47.5197,180.93701171875,1.0
census-income,none,intersection,bec-plain-frame,complete,5,139.4,139.22,139.738,538.1493835449219,1.0107162019112252
census-income,none,intersection,local-frame,complete,5,139.941,139.403,140.1,540.9192962646484,1.0146387088354287
census-income,none,intersection,local-frame,selected,5,3.11624,3.1035,3.13457,12.02481460571289,2.235354035306692
census-income,none,intersection,local-inline,complete,5,138.822,138.647,139.542,536.173095703125,1.0065254274154958
census-income,none,intersection,local-point,complete,5,140.54,140.409,140.657,543.2527160644531,1.0189817433041863
census-income,none,intersection,mixed-frame,complete,5,140.638,140.264,141.373,541.9855804443359,1.019692289844985
census-income,none,intersection,mixed-frame-point,complete,5,140.262,140.158,141.205,542.6398010253906,1.0169661112802888
census-income,none,intersection,mixed-point-frame,complete,5,140.664,140.083,140.811,543.1808013916016,1.0198808021925436
census-income,none,intersection,plain,complete,5,137.922,137.83,138.037,532.5968627929688,1.0
census-income,none,intersection,plain,selected,5,1.39407,1.39123,1.3978,5.386921405792236,1.0
census-income,none,union,bec-plain-frame,complete,5,139.249,139.077,139.747,538.3039093017578,1.0101926815820783
census-income,none,union,local-frame,complete,5,140.165,139.918,140.345,541.0411071777344,1.016837874698935
census-income,none,union,local-frame,selected,5,3.11053,3.10064,3.13005,12.01472806930542,2.2288279509024855
census-income,none,union,local-inline,complete,5,139.289,139.203,139.74,538.2925720214844,1.0104828646876178
census-income,none,union,local-point,complete,5,140.387,140.11,141.28,542.6305236816406,1.0184483909346798
census-income,none,union,mixed-frame,complete,5,140.232,140.073,141.83,541.9272766113281,1.0173239314007139
census-income,none,union,mixed-frame-point,complete,5,139.356,139.116,139.875,538.5841674804688,1.0109689213893966
census-income,none,union,mixed-point-frame,complete,5,140.661,139.715,142.414,541.0517272949219,1.020436145207626
census-income,none,union,plain,complete,5,137.844,137.624,138.356,532.5553588867188,1.0
census-income,none,union,plain,selected,5,1.39559,1.39404,1.39831,5.3865416049957275,1.0
census-income,single255,intersection,bec-plain-frame,complete,5,141.453,140.691,142.042,546.2693939208984,1.0007994905900666
census-income,single255,intersection,local-frame,complete,5,143.874,143.647,144.823,554.8938293457031,1.0179283996037922
census-income,single255,intersection,local-frame,selected,5,18.3881,18.3266,18.3991,70.87345886230469,6.337686419268006
census-income,single255,intersection,local-inline,complete,5,139.747,139.439,140.145,539.9921569824219,0.9887293052214519
census-income,single255,intersection,local-point,complete,5,142.727,142.416,143.187,551.8457336425781,1.009813216357719
census-income,single255,intersection,mixed-frame,complete,5,143.616,143.325,143.656,555.0478820800781,1.0161030140087732
census-income,single255,intersection,mixed-frame-point,complete,5,143.553,143.148,143.703,554.6997222900391,1.0156572803169661
census-income,single255,intersection,mixed-point-frame,complete,5,142.993,142.618,143.543,552.6508026123047,1.0116952030564594
census-income,single255,intersection,plain,complete,5,141.34,141.103,142.074,545.8529052734375,1.0
census-income,single255,intersection,plain,selected,5,2.90139,2.88454,2.92156,11.198007106781006,1.0
census-income,single255,union,bec-plain-frame,complete,5,143.014,142.482,143.44,552.4869689941406,1.0131125011511515
census-income,single255,union,local-frame,complete,5,150.186,149.253,151.928,578.7614288330078,1.0639190156060723
census-income,single255,union,local-frame,selected,5,48.1629,47.8705,48.4825,185.93010711669922,16.403084248061276
census-income,single255,union,local-inline,complete,5,145.188,145.053,146.153,560.8687591552734,1.0285131372951835
census-income,single255,union,local-point,complete,5,141.092,140.797,141.764,545.3323364257812,0.9994970353421222
census-income,single255,union,mixed-frame,complete,5,148.732,148.407,149.332,574.7964172363281,1.0536188661334769
census-income,single255,union,mixed-frame-point,complete,5,148.674,148.496,149.412,574.5568237304688,1.0532079935960557
census-income,single255,union,mixed-point-frame,complete,5,141.787,141.501,142.339,547.9380798339844,1.0044204217819117
census-income,single255,union,plain,complete,5,141.163,140.725,141.917,545.2902679443359,1.0
census-income,single255,union,plain,selected,5,2.93621,2.89502,2.98358,11.337539196014404,1.0
census-income_srt,all,intersection,bec-plain-frame,complete,5,2285.73,2282.03,2301.75,8836.80615234375,9.9965012486169
census-income_srt,all,intersection,local-frame,complete,5,895.007,889.836,905.179,3446.9007568359375,3.914258723917902
census-income_srt,all,intersection,local-frame,selected,5,884.411,879.981,892.31,3413.1002197265625,3.911246240934017
census-income_srt,all,intersection,local-inline,complete,5,736.464,730.526,739.159,2838.545654296875,3.220880548254342
census-income_srt,all,intersection,local-point,complete,5,1990.85,1989.11,2003.13,7690.8046875,8.706861488806183
census-income_srt,all,intersection,mixed-frame,complete,5,905.74,900.911,914.708,3506.3062744140625,3.9611988471614192
census-income_srt,all,intersection,mixed-frame-point,complete,5,1346.59,1344.3,1350.19,5195.881591796875,5.889229531211049
census-income_srt,all,intersection,mixed-point-frame,complete,5,1429.49,1425.48,1433.94,5527.220703125,6.251787643284803
census-income_srt,all,intersection,plain,complete,5,228.653,227.403,230.835,879.3154602050781,1.0
census-income_srt,all,intersection,plain,selected,5,226.12,225.658,226.74,873.4808654785156,1.0
census-income_srt,all,union,bec-plain-frame,complete,5,2298.54,2296.11,2304.28,8885.6416015625,10.07393707240749
census-income_srt,all,union,local-frame,complete,5,4996.44,4946.76,5099.16,19167.8037109375,21.89817107644839
census-income_srt,all,union,local-frame,selected,5,4961.51,4942.15,5012.38,19140.0791015625,21.920315627167618
census-income_srt,all,union,local-inline,complete,5,4757.61,4745.92,4767.19,18382.28564453125,20.85143776269136
census-income_srt,all,union,local-point,complete,5,6209.16,6193.13,6248.81,23990.8447265625,27.21322540069335
census-income_srt,all,union,mixed-frame,complete,5,4945.69,4932.11,4983.18,19080.4755859375,21.675746273562783
census-income_srt,all,union,mixed-frame-point,complete,5,5514.52,5484.21,5541.58,21261.71875,24.168788650418335
census-income_srt,all,union,mixed-point-frame,complete,5,5620.53,5599.51,5644.85,21677.60546875,24.63340448005189
census-income_srt,all,union,plain,complete,5,228.167,227.546,229.522,880.9989624023438,1.0
census-income_srt,all,union,plain,selected,5,226.343,225.715,226.668,873.8064880371094,1.0
census-income_srt,cluster32,intersection,bec-plain-frame,complete,5,163.126,161.481,164.319,627.7507019042969,1.0798898436362192
census-income_srt,cluster32,intersection,local-frame,complete,5,155.986,155.147,156.42,601.6566467285156,1.032623230812006
census-income_srt,cluster32,intersection,local-frame,selected,5,84.9139,84.6372,87.6162,319.0701141357422,3.159939714200655
census-income_srt,cluster32,intersection,local-inline,complete,5,153.623,152.873,154.323,593.5031127929688,1.0169802327582782
census-income_srt,cluster32,intersection,local-point,complete,5,273.396,273.25,274.654,1056.1253051757812,1.8098743528975627
census-income_srt,cluster32,intersection,mixed-frame,complete,5,154.659,153.768,155.723,596.3916625976562,1.0238385255994387
census-income_srt,cluster32,intersection,mixed-frame-point,complete,5,205.755,204.742,206.617,794.47021484375,1.3620927061128838
census-income_srt,cluster32,intersection,mixed-point-frame,complete,5,207.137,205.917,208.099,800.141357421875,1.371241509883621
census-income_srt,cluster32,intersection,plain,complete,5,151.058,149.856,151.574,580.7952117919922,1.0
census-income_srt,cluster32,intersection,plain,selected,5,26.872,26.6493,27.0989,101.12494277954102,1.0
census-income_srt,cluster32,union,bec-plain-frame,complete,5,166.068,165.531,166.491,641.6312866210938,1.1043811347857313
census-income_srt,cluster32,union,local-frame,complete,5,332.412,331.176,334.348,1283.3518676757812,2.2105977176602023
census-income_srt,cluster32,union,local-frame,selected,5,274.327,272.975,276.329,1056.6850280761719,10.274804299786508
census-income_srt,cluster32,union,local-inline,complete,5,315.476,314.664,317.15,1217.2047119140625,2.0979703668236107
census-income_srt,cluster32,union,local-point,complete,5,478.073,476.319,479.523,1845.41943359375,3.1792687468411667
census-income_srt,cluster32,union,mixed-frame,complete,5,331.013,329.133,333.254,1276.1900024414062,2.201294123906046
census-income_srt,cluster32,union,mixed-frame-point,complete,5,390.386,389.084,391.847,1505.8912963867188,2.5961349187348706
census-income_srt,cluster32,union,mixed-point-frame,complete,5,403.344,401.843,404.808,1556.1718139648438,2.6823078764663633
census-income_srt,cluster32,union,plain,complete,5,150.372,149.998,151.258,581.4650268554688,1.0
census-income_srt,cluster32,union,plain,selected,5,26.699,26.5521,27.0032,100.4361686706543,1.0
census-income_srt,dispersed32,intersection,bec-plain-frame,complete,5,541.361,541.129,542.305,2091.8621215820312,3.2072289299382675
census-income_srt,dispersed32,intersection,local-frame,complete,5,274.068,273.331,275.42,1059.0074462890625,1.623683306278659
census-income_srt,dispersed32,intersection,local-frame,selected,5,219.723,218.958,221.342,842.4791564941406,4.490769032674742
census-income_srt,dispersed32,intersection,local-inline,complete,5,229.395,228.951,230.359,884.8836975097656,1.3590234250032585
census-income_srt,dispersed32,intersection,local-point,complete,5,328.235,327.466,328.871,1266.33251953125,1.944589262651516
census-income_srt,dispersed32,intersection,mixed-frame,complete,5,269.431,268.934,270.754,1041.068115234375,1.5962119506617531
census-income_srt,dispersed32,intersection,mixed-frame-point,complete,5,283.687,282.566,284.755,1096.1744689941406,1.6806699290259133
census-income_srt,dispersed32,intersection,mixed-point-frame,complete,5,295.266,295.103,298.046,1141.1794128417969,1.7492683389219996
census-income_srt,dispersed32,intersection,plain,complete,5,168.794,168.189,168.887,650.8127746582031,1.0
census-income_srt,dispersed32,intersection,plain,selected,5,48.9277,47.3103,49.3983,188.91688537597656,1.0
census-income_srt,dispersed32,union,bec-plain-frame,complete,5,543.667,541.713,550.213,2100.242919921875,3.228177159720449
census-income_srt,dispersed32,union,local-frame,complete,5,853.866,851.46,857.478,3297.82421875,5.070071787807354
census-income_srt,dispersed32,union,local-frame,selected,5,788.572,784.88,791.012,3042.5179443359375,16.520097791725412
census-income_srt,dispersed32,union,local-inline,complete,5,804.943,802.325,808.723,3106.4798583984375,4.779577586053333
census-income_srt,dispersed32,union,local-point,complete,5,882.244,879.892,887.292,3408.2376708984375,5.238574219329862
census-income_srt,dispersed32,union,mixed-frame,complete,5,840.212,835.69,845.514,3242.27880859375,4.988997286432757
census-income_srt,dispersed32,union,mixed-frame-point,complete,5,841.419,837.429,844.135,3244.6053466796875,4.9961641916004105
census-income_srt,dispersed32,union,mixed-point-frame,complete,5,861.737,858.875,864.739,3326.8165283203125,5.116808084886558
census-income_srt,dispersed32,union,plain,complete,5,168.413,168.011,168.702,649.9251098632812,1.0
census-income_srt,dispersed32,union,plain,selected,5,47.7341,46.5453,49.0635,184.34002685546875,1.0
census-income_srt,none,intersection,bec-plain-frame,complete,5,140.691,140.153,142.762,543.8476715087891,1.010544234788792
census-income_srt,none,intersection,local-frame,complete,5,143.082,142.346,143.171,551.8935089111328,1.027718121287431
census-income_srt,none,intersection,local-frame,selected,5,3.11323,3.10206,3.13009,12.024091243743896,2.233178870653047
census-income_srt,none,intersection,local-inline,complete,5,139.985,139.813,140.704,541.3809051513672,1.0054732335892775
census-income_srt,none,intersection,local-point,complete,5,142.898,142.766,143.477,552.2522277832031,1.026396500578209
census-income_srt,none,intersection,mixed-frame,complete,5,142.594,142.526,142.933,551.1026763916016,1.0242129533194946
census-income_srt,none,intersection,mixed-frame-point,complete,5,143.171,143.054,143.752,553.0074157714844,1.0283573834783044
census-income_srt,none,intersection,mixed-point-frame,complete,5,143.233,142.731,143.78,552.5341339111328,1.0288027121955423
census-income_srt,none,intersection,plain,complete,5,139.223,139.125,140.678,538.7285461425781,1.0
census-income_srt,none,intersection,plain,selected,5,1.39408,1.38952,1.40038,5.378545761108398,1.0
census-income_srt,none,union,bec-plain-frame,complete,5,141.281,140.668,141.74,545.7803497314453,1.013908125991259
census-income_srt,none,union,local-frame,complete,5,142.219,141.765,142.613,549.4885559082031,1.0206397163833132
census-income_srt,none,union,local-frame,selected,5,3.11073,3.098,3.12529,12.006482124328613,2.2315456462789998
census-income_srt,none,union,local-inline,complete,5,140.569,140.204,140.87,542.8003845214844,1.008798432644625
census-income_srt,none,union,local-point,complete,5,143.351,142.391,143.964,552.6432037353516,1.0287635546816132
census-income_srt,none,union,mixed-frame,complete,5,142.865,142.432,143.257,551.9363250732422,1.0252757583803995
census-income_srt,none,union,mixed-frame-point,complete,5,143.975,143.487,144.526,556.2245330810547,1.033241712895517
census-income_srt,none,union,mixed-point-frame,complete,5,143.598,142.9,144.206,554.6594696044922,1.0305361589746167
census-income_srt,none,union,plain,complete,5,139.343,138.89,140.361,538.3807220458984,1.0
census-income_srt,none,union,plain,selected,5,1.39398,1.38677,1.39588,5.378403663635254,1.0
census-income_srt,single255,intersection,bec-plain-frame,complete,5,142.49,141.83,142.782,550.3965454101562,1.0068256974082135
census-income_srt,single255,intersection,local-frame,complete,5,145.203,145.028,146.355,561.255615234375,1.025995590853848
census-income_srt,single255,intersection,local-frame,selected,5,11.3816,11.1897,11.5395,43.28072547912598,3.8904270664561076
census-income_srt,single255,intersection,local-inline,complete,5,140.347,140.299,140.843,542.3509368896484,0.9916833893897855
census-income_srt,single255,intersection,local-point,complete,5,143.466,143.398,144.226,554.5226593017578,1.0137220542098868
census-income_srt,single255,intersection,mixed-frame,complete,5,144.064,143.835,144.659,557.05859375,1.0179474859387807
census-income_srt,single255,intersection,mixed-frame-point,complete,5,143.964,143.737,144.432,556.1977844238281,1.017240892004183
census-income_srt,single255,intersection,mixed-point-frame,complete,5,143.763,143.378,144.686,555.7635345458984,1.0158206381956418
census-income_srt,single255,intersection,plain,complete,5,141.524,141.326,141.826,547.0936737060547,1.0
census-income_srt,single255,intersection,plain,selected,5,2.92554,2.9175,2.94764,11.293729305267334,1.0
census-income_srt,single255,union,bec-plain-frame,complete,5,143.2,142.888,143.731,553.6139373779297,1.0077977648284209
census-income_srt,single255,union,local-frame,complete,5,144.029,143.434,144.855,556.8361053466797,1.0136320130619598
census-income_srt,single255,union,local-frame,selected,5,40.5139,40.4369,40.7906,156.1085433959961,13.904288945249625
census-income_srt,single255,union,local-inline,complete,5,138.354,138.016,138.516,534.7003784179688,0.9736931002449117
census-income_srt,single255,union,local-point,complete,5,142.461,142.275,143.001,550.7823333740234,1.002596909044844
census-income_srt,single255,union,mixed-frame,complete,5,143.308,143.069,143.808,554.0405883789062,1.0085578357683753
census-income_srt,single255,union,mixed-frame-point,complete,5,143.308,143.047,143.376,553.730224609375,1.0085578357683753
census-income_srt,single255,union,mixed-point-frame,complete,5,142.935,142.808,143.319,552.3542785644531,1.0059327759479773
census-income_srt,single255,union,plain,complete,5,142.092,141.784,142.265,549.3332061767578,1.0
census-income_srt,single255,union,plain,selected,5,2.91377,2.89566,2.93832,11.264106273651123,1.0
msmarco,all,intersection,bec-plain-frame,complete,5,6995.48,6971.12,7026.76,27018.7470703125,31.477000193483647
msmarco,all,intersection,local-frame,complete,5,10514.5,10480.1,10547.6,40599.45703125,47.31125219918916
msmarco,all,intersection,local-frame,selected,5,10526.6,10463.9,10602.4,40611.544921875,46.90392061631964
msmarco,all,intersection,local-inline,complete,5,10516.8,10418.5,10682.5,40390.642578125,47.32160132468806
msmarco,all,intersection,local-point,complete,5,11633.1,11587.0,11694.6,44888.1328125,52.344526887478004
msmarco,all,intersection,mixed-frame,complete,5,10505.1,10458.6,10595.6,40504.6953125,47.26895577323716
msmarco,all,intersection,mixed-frame-point,complete,5,10938.0,10900.9,10984.1,42174.96484375,49.216841176920546
msmarco,all,intersection,mixed-point-frame,complete,5,11318.0,11285.5,11379.2,43687.00390625,50.92669669412934
msmarco,all,intersection,plain,complete,5,222.241,221.555,227.313,845.2958374023438,1.0
msmarco,all,intersection,plain,selected,5,224.429,220.467,227.399,865.5864562988281,1.0
msmarco,all,union,bec-plain-frame,complete,5,6997.24,6975.93,7028.61,27024.53515625,31.208003104191103
msmarco,all,union,local-frame,complete,5,12546.3,12523.6,12638.5,48446.923828125,55.95705868972807
msmarco,all,union,local-frame,selected,5,12553.8,12488.5,12627.0,48456.455078125,56.05050608778736
msmarco,all,union,local-inline,complete,5,12504.4,12482.3,12583.4,48317.287109375,55.77018281723183
msmarco,all,union,local-point,complete,5,13590.8,13546.2,13703.9,52474.822265625,60.61557536806519
msmarco,all,union,mixed-frame,complete,5,12527.6,12478.9,12535.1,48365.65625,55.87365585403166
msmarco,all,union,mixed-frame-point,complete,5,12894.4,12842.9,12899.0,49767.48046875,57.509600246194466
