dataset,model,scan,stage,repetition,windows,passes,calls,conversions,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,cheap,full,predict,0,16,512,8192,0,63944192,7765277,947.91,30064580,102538536,7794869,7794869,available,0,0,unestablished
structural,cheap,full,predict,1,16,512,8192,0,63944192,7790144,950.945,30056410,102538536,7793735,7793735,available,0,0,unestablished
structural,cheap,full,predict,2,16,512,8192,0,63944192,7822889,954.943,30054131,102538536,7799384,7799384,available,0,0,unestablished
structural,cheap,full,predict,3,16,512,8192,0,63944192,7772808,948.829,30017395,102538536,7778374,7778374,available,0,0,unestablished
structural,cheap,full,predict,4,16,512,8192,0,63944192,7786210,950.465,30054750,102538536,7791958,7791958,available,0,0,unestablished
structural,cheap,full,encode,0,16,64,1024,1024,7756736,6225837,6079.92,24117260,48189670,6241176,6241176,available,0,0,unestablished
structural,cheap,full,encode,1,16,64,1024,1024,7756736,6265688,6118.84,24197079,48189670,6271231,6271231,available,0,0,unestablished
structural,cheap,full,encode,2,16,64,1024,1024,7756736,6303546,6155.81,24187454,48189672,6295265,6295265,available,0,0,unestablished
structural,cheap,full,encode,3,16,64,1024,1024,7756736,6251363,6104.85,24142069,48189670,6257198,6257198,available,0,0,unestablished
structural,cheap,full,encode,4,16,64,1024,1024,7756736,6250268,6103.78,24120565,48189670,6255974,6255974,available,0,0,unestablished
structural,cheap,full,predict-then-encode,0,16,512,8192,0,67108864,7754043,946.538,30030093,102571816,7768116,7768116,available,0,0,unestablished
structural,cheap,full,predict-then-encode,1,16,512,8192,0,67108864,7768134,948.259,30022240,102571815,7773570,7773570,available,0,0,unestablished
structural,cheap,full,predict-then-encode,2,16,512,8192,0,67108864,7804174,952.658,30025094,102571817,7797978,7797978,available,0,0,unestablished
structural,cheap,full,predict-then-encode,3,16,512,8192,0,67108864,7784549,950.262,30026822,102571816,7790325,7790325,available,0,0,unestablished
structural,cheap,full,predict-then-encode,4,16,512,8192,0,67108864,7773106,948.865,30021302,102571816,7778993,7778993,available,0,0,unestablished
structural,cheap,sample32,predict,0,16,2048,32768,0,260358144,5812617,177.387,22449148,61722917,5817491,5817491,available,0,0,unestablished
structural,cheap,sample32,predict,1,16,2048,32768,0,260358144,5810117,177.311,22418377,61722918,5815916,5815916,available,0,0,unestablished
structural,cheap,sample32,predict,2,16,2048,32768,0,260358144,5837079,178.134,22404647,61722919,5830993,5830993,available,0,0,unestablished
structural,cheap,sample32,predict,3,16,2048,32768,0,260358144,5815335,177.47,22443104,61722918,5821168,5821168,available,0,0,unestablished
structural,cheap,sample32,predict,4,16,2048,32768,0,260358144,5817287,177.53,22441880,61722918,5823027,5823027,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,0,16,2048,32768,0,268435456,5807295,177.225,22519025,61856037,5822545,5822545,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,1,16,2048,32768,0,268435456,5840029,178.224,22528044,61856038,5846364,5846364,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,2,16,2048,32768,0,268435456,5840196,178.229,22538825,61856038,5846149,5846149,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,3,16,2048,32768,0,268435456,5828107,177.86,22482877,61856038,5834099,5834099,available,0,0,unestablished
structural,cheap,sample32,predict-then-encode,4,16,2048,32768,0,268435456,5871223,179.176,22546374,61856039,5865819,5865819,available,0,0,unestablished
